CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181091058_002;CAST#1;46.215;-57.16833;106002;154;24-nov-91;17:00:00;NaN;NaN;265;12.86;1.142;13.15
181091058_002;CAST#1;46.215;-57.16833;106003;104;24-nov-91;17:00:00;32.98;0.89;307;8.83;0.992;9.11
181091058_002;CAST#1;46.215;-57.16833;106004;78;24-nov-91;17:00:00;32.92;0.85;311;7.91;0.935;8.18
181091058_002;CAST#1;46.215;-57.16833;106005;55;24-nov-91;17:00:00;32.63;1.23;329;4.39;0.78;5.51
181091058_002;CAST#1;46.215;-57.16833;106006;27;24-nov-91;17:00:00;32.04;5.3;326;0.81;0.397;1.06
181091058_002;CAST#1;46.215;-57.16833;106007;1;24-nov-91;17:00:00;32.06;5.39;330;0.88;0.437;1.05
181091058_003;CAST#1;47.21333;-59.81167;106074;411;27-nov-91;06:19:00;NaN;NaN;146;33.51;1.808;21.91
181091058_003;CAST#1;47.21333;-59.81167;106075;357;27-nov-91;06:19:00;34.73;5.26;158;26.5;1.591;21.98
181091058_003;CAST#1;47.21333;-59.81167;106076;307;27-nov-91;06:19:00;34.58;5.3;153;24.85;1.584;21.38
181091058_003;CAST#1;47.21333;-59.81167;106077;253;27-nov-91;06:19:00;34.24;4.66;185;19.09;1.449;18.76
181091058_003;CAST#1;47.21333;-59.81167;106078;202;27-nov-91;06:19:00;33.34;1.63;275;11.65;1.082;12.01
181091058_003;CAST#1;47.21333;-59.81167;106079;154;27-nov-91;06:19:00;32.74;0.06;326;5.5;0.923;7.12
181091058_003;CAST#1;47.21333;-59.81167;106080;105;27-nov-91;06:19:00;32.46;0.88;337;3.89;0.777;5.53
181091058_003;CAST#1;47.21333;-59.81167;106081;79;27-nov-91;06:19:00;32.06;4.87;322;1.87;0.489;2.09
181091058_003;CAST#1;47.21333;-59.81167;106082;55;27-nov-91;06:19:00;31.44;6.07;319;0.78;0.33;0.66
181091058_003;CAST#1;47.21333;-59.81167;106083;2;27-nov-91;06:19:00;31.26;5.95;320;1.68;0.425;1.16
181091058_014;CAST#1;47.29667;-59.73167;106084;472;27-nov-91;07:52:00;NaN;NaN;164;31.03;1.668;20.47
181091058_014;CAST#1;47.29667;-59.73167;106085;356;27-nov-91;07:52:00;34.72;5.27;151;28.19;1.679;21.94
181091058_014;CAST#1;47.29667;-59.73167;106086;306;27-nov-91;07:52:00;34.56;5.37;170;19.44;1.482;18.35
181091058_014;CAST#1;47.29667;-59.73167;106087;256;27-nov-91;07:52:00;34.23;4.63;188;15.01;1.29;14.56
181091058_014;CAST#1;47.29667;-59.73167;106088;204;27-nov-91;07:52:00;33.6;2.6;237;9.42;1.087;10.35
181091058_014;CAST#1;47.29667;-59.73167;106089;155;27-nov-91;07:52:00;32.97;0.65;304;4.28;0.858;6.03
181091058_014;CAST#1;47.29667;-59.73167;106090;104;27-nov-91;07:52:00;32.51;0.46;336;3.59;0.73;4.58
181091058_014;CAST#1;47.29667;-59.73167;106091;79;27-nov-91;07:52:00;32.29;2.24;330;1.1;0.42;0.9
181091058_014;CAST#1;47.29667;-59.73167;106092;54;27-nov-91;07:52:00;31.51;5.92;318;1.18;0.407;0.79
181091058_014;CAST#1;47.29667;-59.73167;106093;2;27-nov-91;07:52:00;31.37;5.86;320;1.5;0.379;0.94
181091058_025;CAST#1;47.41667;-59.58667;106094;467;27-nov-91;10:01:00;NaN;NaN;171;31.93;1.663;21.86
181091058_025;CAST#1;47.41667;-59.58667;106095;352;27-nov-91;10:01:00;34.79;5.15;158;29;1.678;22.49
181091058_025;CAST#1;47.41667;-59.58667;106096;306;27-nov-91;10:01:00;34.67;5.38;166;20.22;1.483;19.53
181091058_025;CAST#1;47.41667;-59.58667;106097;254;27-nov-91;10:01:00;34.46;5.19;185;18.81;1.458;17.78
181091058_025;CAST#1;47.41667;-59.58667;106098;205;27-nov-91;10:01:00;33.98;3.76;207;18.5;1.418;17.45
181091058_025;CAST#1;47.41667;-59.58667;106099;154;27-nov-91;10:01:00;33.18;1.18;283;11.6;1.123;11.55
181091058_025;CAST#1;47.41667;-59.58667;106100;103;27-nov-91;10:01:00;32.56;0.71;305;4.88;0.826;5.98
181091058_025;CAST#1;47.41667;-59.58667;106101;78;27-nov-91;10:01:00;32.33;2.48;329;3.86;0.709;4.33
181091058_025;CAST#1;47.41667;-59.58667;106102;54;27-nov-91;10:01:00;31.47;5.56;319;1.89;0.445;1.35
181091058_025;CAST#1;47.41667;-59.58667;106103;1;27-nov-91;10:01:00;31.41;5.67;321;1.71;0.427;1.12
181091058_036;CAST#1;47.49667;-59.47167;106104;446;27-nov-91;11:38:00;NaN;NaN;217;20.81;1.416;19.97
181091058_036;CAST#1;47.49667;-59.47167;106105;348;27-nov-91;11:38:00;34.8;5.14;193;21.25;1.505;21.25
181091058_036;CAST#1;47.49667;-59.47167;106106;299;27-nov-91;11:38:00;34.73;5.41;170;23.25;1.572;21.55
181091058_036;CAST#1;47.49667;-59.47167;106107;252;27-nov-91;11:38:00;34.61;5.45;163;22.28;1.512;21.01
181091058_036;CAST#1;47.49667;-59.47167;106108;204;27-nov-91;11:38:00;34.26;4.66;192;18.13;1.41;17.52
181091058_036;CAST#1;47.49667;-59.47167;106109;153;27-nov-91;11:38:00;33.39;1.92;265;13.02;1.23;13.07
181091058_036;CAST#1;47.49667;-59.47167;106110;103;27-nov-91;11:38:00;32.76;0.66;316;7.11;0.984;8.32
181091058_036;CAST#1;47.49667;-59.47167;106111;78;27-nov-91;11:38:00;32.42;1.56;327;4.2;0.796;5.48
181091058_036;CAST#1;47.49667;-59.47167;106112;53;27-nov-91;11:38:00;32.12;3.29;325;3.05;0.635;3.51
181091058_036;CAST#1;47.49667;-59.47167;106113;3;27-nov-91;11:38:00;31.41;5.41;321;1.61;0.439;1.18
181091058_047;CAST#1;47.57833;-59.34;106114;253;27-nov-91;13:31:00;NaN;NaN;173;22.01;1.497;20.79
181091058_047;CAST#1;47.57833;-59.34;106115;202;27-nov-91;13:31:00;34.16;4.27;202;18.78;1.369;18.02
181091058_047;CAST#1;47.57833;-59.34;106116;151;27-nov-91;13:31:00;33.54;2.32;253;14.08;1.232;13.79
181091058_047;CAST#1;47.57833;-59.34;106117;101;27-nov-91;13:31:00;32.9;0.63;311;6.82;0.909;7.5
181091058_047;CAST#1;47.57833;-59.34;106118;77;27-nov-91;13:31:00;32.74;0.48;321;5.53;0.788;5.95
181091058_047;CAST#1;47.57833;-59.34;106119;53;27-nov-91;13:31:00;32.62;0.49;327;5.55;0.883;6.67
181091058_047;CAST#1;47.57833;-59.34;106120;27;27-nov-91;13:31:00;32.37;1.78;327;3.68;0.675;4.33
181091058_047;CAST#1;47.57833;-59.34;106121;2;27-nov-91;13:31:00;31.63;4.66;322;1.85;0.409;1.55
181091058_058;CAST#1;47.99833;-59.50167;106122;167;27-nov-91;17:24:00;NaN;NaN;216;15.7;1.227;14.52
181091058_058;CAST#1;47.99833;-59.50167;106123;152;27-nov-91;17:24:00;33.57;2.46;248;14.36;1.177;13.26
181091058_058;CAST#1;47.99833;-59.50167;106124;103;27-nov-91;17:24:00;32.68;0.79;318;7.23;0.945;7.9
181091058_058;CAST#1;47.99833;-59.50167;106125;77;27-nov-91;17:24:00;32.51;1.14;302;5.65;0.848;6.66
181091058_058;CAST#1;47.99833;-59.50167;106126;53;27-nov-91;17:24:00;32.31;1.77;326;4.64;0.791;5.47
181091058_058;CAST#1;47.99833;-59.50167;106127;28;27-nov-91;17:24:00;31.44;5.79;319;1.58;0.423;1.14
181091058_058;CAST#1;47.99833;-59.50167;106128;1;27-nov-91;17:24:00;31.44;5.78;319;1.5;0.409;1.13
181091058_113;CAST#1;46.14;-57.25333;106008;292;24-nov-91;18:24:00;NaN;NaN;187;13.07;1.147;15.43
181091058_113;CAST#1;46.14;-57.25333;106009;252;24-nov-91;18:24:00;34.67;5.59;190;18.33;1.474;21.1
181091058_113;CAST#1;46.14;-57.25333;106010;203;24-nov-91;18:24:00;34.35;4.83;165;21.42;1.518;18.9
181091058_113;CAST#1;46.14;-57.25333;106011;153;24-nov-91;18:24:00;33.72;2.38;267;10.08;1.008;11.62
181091058_113;CAST#1;46.14;-57.25333;106012;103;24-nov-91;18:24:00;33.1;-0.43;310;10.47;1.055;8.57
181091058_113;CAST#1;46.14;-57.25333;106013;53;24-nov-91;18:24:00;32.52;0.22;352;4.05;0.842;6.19
181091058_113;CAST#1;46.14;-57.25333;106014;1;24-nov-91;18:24:00;31.85;4.85;333;0.69;0.392;0.64
181091058_138;CAST#1;47.96667;-60.33167;106175;484;28-nov-91;06:35:00;NaN;NaN;172;26.64;1.48;18.67
181091058_138;CAST#1;47.96667;-60.33167;106176;350;28-nov-91;06:35:00;34.73;5.36;169;22.25;1.426;19.8
181091058_138;CAST#1;47.96667;-60.33167;106177;297;28-nov-91;06:35:00;34.58;5.31;151;22.41;1.489;18.74
181091058_138;CAST#1;47.96667;-60.33167;106178;253;28-nov-91;06:35:00;34.25;4.46;125;26.72;1.717;19.05
181091058_138;CAST#1;47.96667;-60.33167;106179;204;28-nov-91;06:35:00;33.6;2.44;197;18.03;1.438;15.17
181091058_138;CAST#1;47.96667;-60.33167;106180;153;28-nov-91;06:35:00;32.93;0.27;293;11.03;1.065;9.53
181091058_138;CAST#1;47.96667;-60.33167;106181;53;28-nov-91;06:35:00;32.02;2.79;319;4.7;0.659;4.46
181091058_138;CAST#1;47.96667;-60.33167;106182;3;28-nov-91;06:35:00;31.28;5.5;324;1.64;0.409;1.03
181091058_149;CAST#1;47.85833;-60.45833;106183;427;28-nov-91;08:17:00;NaN;NaN;164;26.6;1.51;17.83
181091058_149;CAST#1;47.85833;-60.45833;106184;357;28-nov-91;08:17:00;34.78;5.17;149;23.68;1.577;20.33
181091058_149;CAST#1;47.85833;-60.45833;106185;306;28-nov-91;08:17:00;34.66;5.37;160;19.91;1.493;17.38
181091058_149;CAST#1;47.85833;-60.45833;106186;256;28-nov-91;08:17:00;34.43;5.06;166;16.18;1.32;13.31
181091058_149;CAST#1;47.85833;-60.45833;106187;204;28-nov-91;08:17:00;33.82;3.18;196;9.63;1.034;8.62
181091058_149;CAST#1;47.85833;-60.45833;106188;154;28-nov-91;08:17:00;33.01;0.48;277;3.95;0.729;4.54
181091058_149;CAST#1;47.85833;-60.45833;106189;55;28-nov-91;08:17:00;32.13;0.25;340;4.82;0.772;5.33
181091058_149;CAST#1;47.85833;-60.45833;106190;2;28-nov-91;08:17:00;30.81;4.28;332;1.8;0.416;1.64
181091058_160;CAST#1;47.76667;-60.56667;106191;266;28-nov-91;09:41:00;NaN;NaN;123;30.2;1.629;20.11
181091058_160;CAST#1;47.76667;-60.56667;106192;254;28-nov-91;09:41:00;34.25;4.34;131;28.04;1.617;19.81
181091058_160;CAST#1;47.76667;-60.56667;106193;204;28-nov-91;09:41:00;33.52;2.16;210;11.78;0.985;10.11
181091058_160;CAST#1;47.76667;-60.56667;106194;153;28-nov-91;09:41:00;33.02;0.56;249;11.56;0.975;10.28
181091058_160;CAST#1;47.76667;-60.56667;106195;103;28-nov-91;09:41:00;32.43;-0.02;300;8.77;0.883;8.01
181091058_160;CAST#1;47.76667;-60.56667;106196;79;28-nov-91;09:41:00;32.29;0.13;303;10.92;1.044;9.45
181091058_160;CAST#1;47.76667;-60.56667;106197;54;28-nov-91;09:41:00;32.02;0.77;303;8.44;0.889;7.42
181091058_160;CAST#1;47.76667;-60.56667;106198;2;28-nov-91;09:41:00;30.67;4.18;332;2.34;0.39;1.63
181091058_171;CAST#1;47.66667;-60.69;106199;59;28-nov-91;11:01:00;NaN;NaN;296;9.91;0.893;8.04
181091058_171;CAST#1;47.66667;-60.69;106200;28;28-nov-91;11:01:00;30.65;4.25;332;1.95;0.372;1.65
181091058_171;CAST#1;47.66667;-60.69;106201;2;28-nov-91;11:01:00;30.64;4.21;332;2.18;0.422;1.74
181091058_225;CAST#1;46.06167;-57.34833;106015;400;24-nov-91;19:46:00;NaN;NaN;229;17.68;1.346;19.1
181091058_225;CAST#1;46.06167;-57.34833;106016;337;24-nov-91;19:46:00;34.84;4.99;196;19.24;1.395;18.72
181091058_225;CAST#1;46.06167;-57.34833;106017;290;24-nov-91;19:46:00;34.73;5.46;187;18.22;1.418;19.41
181091058_225;CAST#1;46.06167;-57.34833;106018;239;24-nov-91;19:46:00;34.58;5.42;229;NaN;NaN;NaN
181091058_225;CAST#1;46.06167;-57.34833;106019;187;24-nov-91;19:46:00;34.1;3.93;248;10.51;1.005;12.35
181091058_225;CAST#1;46.06167;-57.34833;106020;142;24-nov-91;19:46:00;33.46;1.22;294;7.41;0.845;8.24
181091058_225;CAST#1;46.06167;-57.34833;106021;1;24-nov-91;19:46:00;31.56;5.91;320;1.9;0.376;1.37
181091058_264;CAST#1;45.99167;-57.45167;106022;441;24-nov-91;21:12:00;34.91;NaN;231;NaN;NaN;NaN
181091058_264;CAST#1;45.99167;-57.45167;106023;346;24-nov-91;21:12:00;34.83;5.11;170;22.52;1.498;20.41
181091058_264;CAST#1;45.99167;-57.45167;106024;299;24-nov-91;21:12:00;34.74;5.33;195;17.78;1.428;19.72
181091058_264;CAST#1;45.99167;-57.45167;106025;250;24-nov-91;21:12:00;34.54;5.25;162;21.74;1.477;20.07
181091058_264;CAST#1;45.99167;-57.45167;106026;199;24-nov-91;21:12:00;34.09;3.94;180;17.86;1.3;15.75
181091058_264;CAST#1;45.99167;-57.45167;106027;152;24-nov-91;21:12:00;33.64;2.57;216;17.57;1.355;15.13
181091058_264;CAST#1;45.99167;-57.45167;106028;1;24-nov-91;21:12:00;31.57;6.15;323;1.76;0.35;1.09
181091058_284;CAST#1;45.92167;-57.535;106029;467;24-nov-91;22:28:00;NaN;NaN;235;17.94;1.278;19.48
181091058_284;CAST#1;45.92167;-57.535;106030;352;24-nov-91;22:28:00;34.85;5.05;195;15.43;1.155;15.21
181091058_284;CAST#1;45.92167;-57.535;106031;303;24-nov-91;22:28:00;34.76;5.25;191;17.05;1.261;18.96
181091058_284;CAST#1;45.92167;-57.535;106032;254;24-nov-91;22:28:00;34.66;5.59;176;18.48;1.412;20.04
181091058_284;CAST#1;45.92167;-57.535;106033;204;24-nov-91;22:28:00;34.29;4.65;160;21.93;1.526;19.49
181091058_284;CAST#1;45.92167;-57.535;106034;153;24-nov-91;22:28:00;33.84;3.11;208;11.56;1.034;10.5
181091058_284;CAST#1;45.92167;-57.535;106035;1;24-nov-91;22:28:00;31.53;6.04;322;1.71;0.331;1.18
181091058_304;CAST#1;45.84833;-57.625;106036;473;24-nov-91;23:50:00;NaN;NaN;227;15.81;1.163;15.01
181091058_304;CAST#1;45.84833;-57.625;106037;349;24-nov-91;23:50:00;34.87;5.04;192;15.13;1.151;15.39
181091058_304;CAST#1;45.84833;-57.625;106038;298;24-nov-91;23:50:00;34.78;5.34;186;17.36;1.329;18.17
181091058_304;CAST#1;45.84833;-57.625;106039;247;24-nov-91;23:50:00;34.67;5.64;179;15.81;1.222;17.11
181091058_304;CAST#1;45.84833;-57.625;106040;196;24-nov-91;23:50:00;34.31;4.76;201;11.38;0.971;11.72
181091058_304;CAST#1;45.84833;-57.625;106041;151;24-nov-91;23:50:00;33.61;1.79;272;11.93;1.104;12.34
181091058_304;CAST#1;45.84833;-57.625;106042;1;24-nov-91;23:50:00;31.57;5.89;320;1.97;0.378;1.4
181091058_305;CAST#1;47.825;-62.81667;106474;70;03-dec-91;16:40:00;NaN;NaN;244;18.37;1.29;10.98
181091058_305;CAST#1;47.825;-62.81667;106475;55;03-dec-91;16:40:00;32.03;0.28;242;22.21;1.502;13.33
181091058_305;CAST#1;47.825;-62.81667;106476;30;03-dec-91;16:40:00;30.64;3.24;339;3.66;0.678;2.8
181091058_305;CAST#1;47.825;-62.81667;106477;4;03-dec-91;16:40:00;30.64;3.23;339;2.86;0.462;2.2
181091058_306;CAST#1;47.15667;-63.155;106478;64;03-dec-91;20:20:00;NaN;NaN;236;17.94;1.263;10.23
181091058_306;CAST#1;47.15667;-63.155;106479;30;03-dec-91;20:20:00;30.26;4.57;330;3.43;0.502;2.71
181091058_306;CAST#1;47.15667;-63.155;106480;5;03-dec-91;20:20:00;30.26;4.54;332;2.88;0.479;2.23
181091058_307;CAST#1;46.77667;-62.05;106481;67;04-dec-91;01:14:00;NaN;NaN;228;21.69;1.512;13.81
181091058_307;CAST#1;46.77667;-62.05;106482;31;04-dec-91;01:14:00;30.16;5.14;326;5.42;0.596;3.56
181091058_307;CAST#1;46.77667;-62.05;106483;6;04-dec-91;01:14:00;30.11;5.2;331;5.24;0.594;3.33
181091058_308;CAST#1;46.3333;-61.99667;106484;36;04-dec-91;05:40:00;NaN;NaN;323;5.87;0.592;2.54
181091058_308;CAST#1;46.3333;-61.99667;106485;30;04-dec-91;05:40:00;29.47;5.76;323;5.78;0.582;2.47
181091058_308;CAST#1;46.3333;-61.99667;106486;3;04-dec-91;05:40:00;29.46;5.78;328;5.81;0.555;2.51
181091058_309;CAST#1;46.235;-62;106487;42;04-dec-91;06:46:00;NaN;NaN;320;7.05;0.642;2.78
181091058_309;CAST#1;46.235;-62;106488;31;04-dec-91;06:46:00;29.53;6.33;320;6.41;0.617;2.58
181091058_309;CAST#1;46.235;-62;106489;6;04-dec-91;06:46:00;29.52;6.33;319;7.01;0.65;2.78
181091058_310;CAST#1;46.135;-62.00167;106490;40;04-dec-91;08:08:00;NaN;NaN;317;6.26;0.601;2.49
181091058_310;CAST#1;46.135;-62.00167;106491;31;04-dec-91;08:08:00;29.51;6.33;324;6.48;0.6;2.52
181091058_310;CAST#1;46.135;-62.00167;106492;6;04-dec-91;08:08:00;29.51;6.33;318;4.41;0.452;1.77
181091058_311;CAST#1;46.03333;-62;106493;41;04-dec-91;09:21:00;NaN;NaN;320;6.5;0.663;2.41
181091058_311;CAST#1;46.03333;-62;106494;31;04-dec-91;09:21:00;29.27;6.36;318;6.12;0.582;2.2
181091058_311;CAST#1;46.03333;-62;106495;6;04-dec-91;09:21:00;29.25;6.36;318;6.55;0.606;2.26
181091058_312;CAST#1;45.935;-62.00333;106496;37;04-dec-91;10:29:00;NaN;NaN;313;6.81;0.629;2.21
181091058_312;CAST#1;45.935;-62.00333;106497;29;04-dec-91;10:29:00;29.11;6.37;NaN;7.03;0.674;2.3
181091058_312;CAST#1;45.935;-62.00333;106498;5;04-dec-91;10:29:00;29.11;6.37;317;5.96;0.586;1.97
181091058_315;CAST#1;46.91167;-60.17833;106050;97;27-nov-91;00:46:00;NaN;NaN;299;9.47;0.917;7.23
181091058_315;CAST#1;46.91167;-60.17833;106051;91;27-nov-91;00:46:00;30.9;4.24;282;8.19;0.796;6.11
181091058_315;CAST#1;46.91167;-60.17833;106052;66;27-nov-91;00:46:00;30.33;5.71;298;6.73;0.651;4.09
181091058_315;CAST#1;46.91167;-60.17833;106054;18;27-nov-91;00:46:00;30.26;5.78;310;6.81;0.648;3.98
181091058_326;CAST#1;47.06167;-59.98667;106055;294;27-nov-91;02:55:00;NaN;NaN;129;32.27;1.814;21.3
181091058_326;CAST#1;47.06167;-59.98667;106056;253;27-nov-91;02:55:00;34.22;4.29;141;27.63;1.731;20.33
181091058_326;CAST#1;47.06167;-59.98667;106057;203;27-nov-91;02:55:00;33.72;2.85;188;21.22;1.551;17.62
181091058_326;CAST#1;47.06167;-59.98667;106059;102;27-nov-91;02:55:00;32.53;0.45;328;5.87;0.87;7.18
181091058_326;CAST#1;47.06167;-59.98667;106060;77;27-nov-91;02:55:00;32;1.55;288;10.22;1.055;8.63
181091058_326;CAST#1;47.06167;-59.98667;106061;52;27-nov-91;02:55:00;30.9;4.77;304;7.13;0.705;5.21
181091058_326;CAST#1;47.06167;-59.98667;106062;27;27-nov-91;02:55:00;30.55;5.52;285;5.64;0.623;3.82
181091058_339;CAST#1;47.15;-59.895;106064;397;27-nov-91;04:39:00;NaN;NaN;135;33.62;1.824;21.31
181091058_339;CAST#1;47.15;-59.895;106065;350;27-nov-91;04:39:00;34.71;5.21;141;30.74;1.766;23.25
181091058_339;CAST#1;47.15;-59.895;106067;241;27-nov-91;04:39:00;34.14;4.24;160;20.52;1.449;18.4
181091058_339;CAST#1;47.15;-59.895;106068;198;27-nov-91;04:39:00;33.33;1.56;273;9.26;0.914;9.83
181091058_339;CAST#1;47.15;-59.895;106069;147;27-nov-91;04:39:00;32.82;0.11;319;6.86;0.968;8.61
181091058_339;CAST#1;47.15;-59.895;106070;101;27-nov-91;04:39:00;32.45;1;323;3.56;0.711;5.12
181091058_339;CAST#1;47.15;-59.895;106072;52;27-nov-91;04:39:00;31.28;3.07;286;10.08;0.927;7.76
181091058_339;CAST#1;47.15;-59.895;106073;4;27-nov-91;04:39:00;30.5;5.8;318;3.36;0.404;2.25
