CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL15016_1423;531;47.99567;-60.5085;416625;451.58;10-jun-15;16:54:00;34.88;5.61;153.00516;153.02749;34.035;0.02;22.955;1.855;NaN;0.024
18TL15016_1423;531;47.99567;-60.5085;416626;400.71;10-jun-15;16:54:00;34.88;5.61;152.78186;NaN;33.735;0.02;23;1.875;NaN;0.024
18TL15016_1423;531;47.99567;-60.5085;416627;301.82;10-jun-15;16:54:00;34.78;6.09;138.31202;NaN;28.04;0.03;23.725;1.82;NaN;0.021
18TL15016_1423;531;47.99567;-60.5085;416628;251.22;10-jun-15;16:54:00;34.65;6.11;119.86744;118.77327;NaN;NaN;NaN;NaN;NaN;0.032
18TL15016_1423;531;47.99567;-60.5085;416629;200.6;10-jun-15;16:54:00;34.47;6.41;170.64586;NaN;18.11;0.035;19.73;1.5;NaN;0.008
18TL15016_1423;531;47.99567;-60.5085;416630;99.93;10-jun-15;16:54:00;32.67;0.79;285.02012;NaN;11.21;0.05;11.38;1.165;0.1;0.036
18TL15016_1423;531;47.99567;-60.5085;416631;50.86;10-jun-15;16:54:00;31.95;-0.58;364.51492;372.0178;5.685;0.16;5.725;0.85;0.135;0.139
18TL15016_1423;531;47.99567;-60.5085;416632;24.79;10-jun-15;16:54:00;31.59;1.01;380.14592;NaN;4.02;0.095;3.66;0.75;0.775;0.856
18TL15016_1423;531;47.99567;-60.5085;416633;14.87;10-jun-15;16:54:00;31.2;5.89;343.882;NaN;0.68;0.02;0.24;0.33;0.565;0.498
18TL15016_1423;531;47.99567;-60.5085;416634;4.86;10-jun-15;16:54:00;31.2;5.96;343.07812;342.49754;0.62;0.02;0.185;0.29667;0.57;0.376
18TL15016_1423;531;47.99567;-60.5085;416635;2.08;10-jun-15;16:54:00;31.2;5.99;342.94414;NaN;0.61;0.02333;0.175;0.30333;0.57;0.318
18TL15016_1424;541;47.5825;-59.343;416636;253.01;10-jun-15;23:13:00;34.74;6.64;159.2129;157.62747;21.82;0.045;22.13;1.63;NaN;0.029
18TL15016_1424;541;47.5825;-59.343;416637;200.81;10-jun-15;23:13:00;34.49;6.41;173.10216;NaN;18.01;0.055;19.82;1.495;NaN;0.024
18TL15016_1424;541;47.5825;-59.343;416638;100.13;10-jun-15;23:13:00;32.51;1.15;312.21806;NaN;6.645;0.11;8.245;0.96;0.3;0.214
18TL15016_1424;541;47.5825;-59.343;416639;49.08;10-jun-15;23:13:00;32;0.16;344.9985;348.66062;3.415;0.12;5.4;0.83;1.23;0.56
18TL15016_1424;541;47.5825;-59.343;416640;24.69;10-jun-15;23:13:00;31.42;3.6;368.75762;NaN;0.365;0.02;0.455;0.325;0.26;0.282
18TL15016_1424;541;47.5825;-59.343;416641;15.27;10-jun-15;23:13:00;31.09;4.99;347.6781;NaN;0.495;0.025;0.53;0.295;0.31;0.312
18TL15016_1424;541;47.5825;-59.343;416642;5.06;10-jun-15;23:13:00;30.82;6.92;335.44126;334.63738;0.37;0.015;0.21;0.25;0.395;0.389
18TL15016_1424;541;47.5825;-59.343;416643;1.88;10-jun-15;23:13:00;30.52;6.92;335.93252;NaN;0.365;0.015;0.205;0.255;0.38;0.386
18TL15016_1425;551;47.43333;-59.54567;416644;456.35;11-jun-15;01:27:00;34.9;5.55;181.14096;180.40407;27.44;0.02;21.815;1.7;NaN;0.022
18TL15016_1425;551;47.43333;-59.54567;416645;397.86;11-jun-15;01:27:00;34.9;5.57;177.16622;NaN;27.21;0.015;22.08;1.725;NaN;0.018
18TL15016_1425;551;47.43333;-59.54567;416646;300.05;11-jun-15;01:27:00;34.83;6.25;156.9799;NaN;23.775;0.02;23.14;1.715;NaN;0.014
18TL15016_1425;551;47.43333;-59.54567;416647;200.22;11-jun-15;01:27:00;34.6;6.74;160.19542;NaN;19.635;0.025;21.015;1.58;NaN;0.014
18TL15016_1425;551;47.43333;-59.54567;416648;102.21;11-jun-15;01:27:00;32.91;1.67;268.71922;NaN;12.355;0.04;12.42;1.205;0.095;0.046
18TL15016_1425;551;47.43333;-59.54567;416649;50.47;11-jun-15;01:27:00;32;-0.52;329.99274;335.6199;8.255;0.125;8.255;1.005;0.215;0.165
18TL15016_1425;551;47.43333;-59.54567;416650;26.28;11-jun-15;01:27:00;31.18;4.33;358.97708;NaN;0.25;0.015;0.05;0.275;0.275;0.348
18TL15016_1425;551;47.43333;-59.54567;416651;15.17;11-jun-15;01:27:00;30.6;6.33;335.3966;NaN;0.375;0.015;0.055;0.27;0.35;0.407
18TL15016_1425;551;47.43333;-59.54567;416652;5.26;11-jun-15;01:27:00;30.57;6.35;335.21796;337.8529;0.38;0.01;0.065;0.255;0.395;0.445
18TL15016_1425;551;47.43333;-59.54567;416653;3.67;11-jun-15;01:27:00;30.57;6.35;335.70922;NaN;0.37;0.01;0.055;0.255;0.35;0.435
18TL15016_1426;561;47.26583;-59.78217;416654;447.75;11-jun-15;04:13:00;34.88;5.61;151.844;150.9508;34.235;0.015;23.015;1.865;NaN;0.023
18TL15016_1426;561;47.26583;-59.78217;416655;401.93;11-jun-15;04:13:00;34.87;5.64;148.36052;NaN;32.745;0.02;23.335;1.865;NaN;0.024
