CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL13019_1281;461;47.26617;-59.786;348928;15.07;10-jun-13;21:31:00;31.32;6.16;336.87038;8.609;NaN;0.21;0;0.05;0.345;0.555;2.009
18TL13019_1281;461;47.26617;-59.786;348929;4.96;10-jun-13;21:31:00;31.25;7.37;329.32284;8.553;329.32284;0.37;0;0.02667;0.33;0.36;1.248
18TL13019_1281;461;47.26617;-59.786;348930;1.69;10-jun-13;21:31:00;31.25;7.37;328.74226;8.543;NaN;0.375;0;0.02667;0.355;0.3;0.998
18TL13019_1282;471;47.10467;-60.0105;348931;308.78;11-jun-13;00:44:00;34.69;5.95;140.32172;8.28;140.96929;27.75;0.015;23.3;1.72;NaN;0.322
18TL13019_1282;471;47.10467;-60.0105;348932;300.66;11-jun-13;00:44:00;34.64;5.93;139.83046;8.278;NaN;27.26;0.02;23.085;1.715;NaN;0.319
18TL13019_1282;471;47.10467;-60.0105;348933;197.94;11-jun-13;00:44:00;34.1;4.93;165.95656;8.389;NaN;22.17;0.09;20.215;1.595;NaN;0.304
18TL13019_1282;471;47.10467;-60.0105;348934;99.14;11-jun-13;00:44:00;32.6;1.46;315.83552;8.706;NaN;7.545;0.065;8.51;0.9;0.09;0.364
18TL13019_1282;471;47.10467;-60.0105;348935;49.48;11-jun-13;00:44:00;31.69;0.17;347.36548;8.708;344.70821;4.4;0.085;4.775;0.925;0.145;0.55
18TL13019_1282;471;47.10467;-60.0105;348936;24.69;11-jun-13;00:44:00;31.18;6.08;335.08398;8.647;NaN;0.5;0.005;0.185;0.37;0.77;2.227
18TL13019_1282;471;47.10467;-60.0105;348937;14.68;11-jun-13;00:44:00;30.96;7.81;327.31314;8.636;NaN;0.43;0.005;0.09;0.315;0.755;2.463
18TL13019_1282;471;47.10467;-60.0105;348938;4.86;11-jun-13;00:44:00;30.86;8.34;320.70346;8.633;321.19472;0.48;0;0.085;0.285;0.605;2.367
18TL13019_1282;471;47.10467;-60.0105;348939;0.79;11-jun-13;00:44:00;30.82;8.51;319.45298;8.637;NaN;0.47;0;0.11;0.275;0.565;2.206
18TL13019_1283;481;47.0175;-60.13167;348940;161.19;11-jun-13;02:30:00;33.45;3.28;216.86896;8.46;217.02527;18.585;0.14;15.865;1.365;NaN;0.41
18TL13019_1283;481;47.0175;-60.13167;348941;100.93;11-jun-13;02:30:00;32.24;1.01;293.68416;8.589;NaN;11.045;0.165;9.09;1.115;0.1;0.46
18TL13019_1283;481;47.0175;-60.13167;348942;50.27;11-jun-13;02:30:00;31.2;2.22;349.2412;8.727;353.10429;2.335;0.04;2.065;0.665;0.145;0.844
18TL13019_1283;481;47.0175;-60.13167;348943;25.09;11-jun-13;02:30:00;31.03;3.13;349.28586;8.712;NaN;1.695;0.03;1.225;0.6;0.42;1.456
18TL13019_1283;481;47.0175;-60.13167;348944;14.87;11-jun-13;02:30:00;30.7;5.89;337.31698;8.63;NaN;1.125;0.01;0.555;0.42;0.315;1.43
18TL13019_1283;481;47.0175;-60.13167;348945;5.06;11-jun-13;02:30:00;30.15;9.35;318.4258;8.505;319.87725;0.855;0;0.145;0.315;0.655;1.833
18TL13019_1283;481;47.0175;-60.13167;348946;1.69;11-jun-13;02:30:00;30.06;9.44;318.91706;8.489;NaN;0.86;0;0.165;0.31;0.695;2.243
18TL13019_1284;491;46.9605;-60.21567;348947;75.16;11-jun-13;04:34:00;31.77;0.57;324.58888;8.642;327.75974;6.9;0.105;6.315;1.03;0.125;0.556
18TL13019_1284;491;46.9605;-60.21567;348948;49.78;11-jun-13;04:34:00;31.39;0.8;351.11692;8.718;354.51108;3.055;0.06;3.35;0.87;0.115;0.679
18TL13019_1284;491;46.9605;-60.21567;348949;24.99;11-jun-13;04:34:00;31.08;2.9;349.4645;8.715;NaN;1.935;0.03;1.565;0.605;0.24;1.019
18TL13019_1284;491;46.9605;-60.21567;348950;14.68;11-jun-13;04:34:00;30.71;5.02;340.66648;8.654;NaN;1.425;0.02;0.905;0.495;0.46;2.013
18TL13019_1284;491;46.9605;-60.21567;348951;5.36;11-jun-13;04:34:00;30.08;7.61;326.55392;8.543;326.48693;1.29;0.01;0.45;0.385;0.47;1.516
18TL13019_1284;491;46.9605;-60.21567;348952;1.49;11-jun-13;04:34:00;30.06;7.81;324.32092;8.524;NaN;1.3;0.01;0.445;0.39;0.385;1.476
18TL13019_1285;501;46.741;-60.999;348953;54.93;11-jun-13;09:37:00;31.14;1.13;353.30526;8.785;354.8237;2.81;0.035;1.525;0.7;0.14;0.658
18TL13019_1285;501;46.741;-60.999;348954;49.48;11-jun-13;09:37:00;31.12;1.19;353.7072;8.784;NaN;2.78;0.03;1.515;0.695;0.215;0.742
18TL13019_1285;501;46.741;-60.999;348955;24.99;11-jun-13;09:37:00;30.49;4.38;341.4257;8.695;NaN;1.94;0.02;0.785;0.535;0.405;1.689
18TL13019_1285;501;46.741;-60.999;348956;14.88;11-jun-13;09:37:00;29.97;7.59;326.77722;8.571;NaN;1.435;0.01;0.315;0.395;0.57;1.708
18TL13019_1285;501;46.741;-60.999;348957;4.96;11-jun-13;09:37:00;29.55;9.9;315.03164;8.479;315.61222;1;0;0.06;0.265;0.53;1.166
18TL13019_1285;501;46.741;-60.999;348958;1.88;11-jun-13;09:37:00;29.55;9.88;313.0666;8.472;NaN;0.955;0;0.05;0.28;0.415;1.205
18TL13019_1286;511;46.82967;-61.251;348959;55.73;11-jun-13;11:17:00;31.53;0.12;332.18108;8.648;332.2704;5.19;0.095;7.33;1.13;0.255;0.722
18TL13019_1286;511;46.82967;-61.251;348960;24.99;11-jun-13;11:17:00;31.41;0.73;351.2509;8.689;NaN;1.75;0.07;4.17;0.905;0.125;0.548
18TL13019_1286;511;46.82967;-61.251;348961;14.38;11-jun-13;11:17:00;31.03;8.13;333.07428;8.604;NaN;0.575;0;0.14;0.33;0.275;0.821
18TL13019_1286;511;46.82967;-61.251;348962;4.86;11-jun-13;11:17:00;31.04;8.57;330.12672;8.548;327.06751;0.5;0;0.065;0.3;0.32;0.726
18TL13019_1286;511;46.82967;-61.251;348963;1.39;11-jun-13;11:17:00;31.03;8.58;329.76944;8.55;NaN;0.53;0.005;0.065;0.3;0.29;0.662
18TL13019_1287;521;46.91583;-61.50067;348964;50.47;11-jun-13;13:54:00;31.55;0.98;341.38104;8.722;345.08782;4.105;0.06;3.205;0.86;1.535;3.663
18TL13019_1287;521;46.91583;-61.50067;348965;24.59;11-jun-13;13:54:00;31.53;1.21;348.25868;8.725;NaN;1.92;0.03;0.865;0.665;4.02;27.072
18TL13019_1287;521;46.91583;-61.50067;348966;14.78;11-jun-13;13:54:00;31.26;6.25;398.54584;8.795;NaN;0.23;0;0.04;0.19;2.8;3.659
18TL13019_1287;521;46.91583;-61.50067;348967;4.56;11-jun-13;13:54:00;31.14;8.82;329.45682;8.583;328.07236;0.365;0;0.035;0.25;0.375;0.603
18TL13019_1287;521;46.91583;-61.50067;348968;1.98;11-jun-13;13:54:00;31.15;8.73;330.12672;8.565;NaN;0.335;0;0.05;0.255;0.39;0.715
18TL13019_1288;531;46.99233;-61.74567;348969;36.19;11-jun-13;15:54:00;31.41;2.34;320.97142;8.701;321.68598;2.76;0.02;0.3;0.55;1.53;3.802
18TL13019_1288;531;46.99233;-61.74567;348970;24.39;11-jun-13;15:54:00;31.39;2.45;319.67628;8.678;NaN;2.66;0.02;0.175;0.54;1.29;3.723
18TL13019_1288;531;46.99233;-61.74567;348971;14.48;11-jun-13;15:54:00;31.23;7.42;367.19452;8.72;NaN;0.395;0;0.03;0.26;1.865;2.93
18TL13019_1288;531;46.99233;-61.74567;348972;4.86;11-jun-13;15:54:00;31.21;9.11;328.29566;8.572;327.5811;0.21;0;0.03;0.265;0.34;0.549
18TL13019_1288;531;46.99233;-61.74567;348973;1.79;11-jun-13;15:54:00;31.22;8.89;330.7073;8.568;NaN;0.2;0;0.03;0.25;0.34;0.495
18TL13019_1289;541;47.16733;-62.25233;348974;35.7;11-jun-13;18:49:00;31.51;1.73;330.484;8.746;333.96748;3.48;0.07;3;0.735;3.055;6.388
18TL13019_1289;541;47.16733;-62.25233;348975;24.69;11-jun-13;18:49:00;31.46;2.5;348.5713;8.776;NaN;1.755;0.045;1.25;0.595;3.45;10.494
18TL13019_1289;541;47.16733;-62.25233;348976;14.48;11-jun-13;18:49:00;31.43;3.29;335.66456;8.702;NaN;2.14;0.05;1.335;0.59;2.42;4.378
18TL13019_1289;541;47.16733;-62.25233;348977;4.07;11-jun-13;18:49:00;31.1;8.13;343.70336;8.637;344.03831;0.49;0;0.045;0.28;1.2;1.734
18TL13019_1289;541;47.16733;-62.25233;348978;1.59;11-jun-13;18:49:00;31.1;8.62;337.67426;8.604;NaN;0.5;0;0.03;0.29;0.805;0.951
18TL13019_1290;551;47.33417;-62.752;348979;47;11-jun-13;21:51:00;31.45;0.14;339.32668;8.706;340.95677;10.82;0.145;8.815;1.13;0.245;0.944
18TL13019_1290;551;47.33417;-62.752;348980;24.49;11-jun-13;21:51:00;30.85;4.21;349.86644;8.686;NaN;4.72;0.065;3.73;0.75;0.125;0.614
18TL13019_1290;551;47.33417;-62.752;348981;14.87;11-jun-13;21:51:00;30.6;7.09;333.74418;8.581;NaN;3.245;0.05;2.09;0.56;0.245;1.243
18TL13019_1290;551;47.33417;-62.752;348982;4.96;11-jun-13;21:51:00;30.56;7.73;330.9306;8.538;330.484;3.1;0.04;2.005;0.535;0.515;1.452
18TL13019_1290;551;47.33417;-62.752;348983;1.88;11-jun-13;21:51:00;30.54;7.94;331.06458;8.526;NaN;3.135;0.045;2;0.54;0.45;1.655
18TL13019_1291;561;47.4995;-63.24683;348984;72.97;12-jun-13;01:15:00;31.46;-0.78;331.95778;8.684;334.59272;14.495;0.16;9.6;1.205;0.325;0.691
18TL13019_1291;561;47.4995;-63.24683;348985;49.38;12-jun-13;01:15:00;31.34;-0.6;345.04316;8.687;NaN;11.145;0.155;9.59;1.165;0.105;0.599
18TL13019_1291;561;47.4995;-63.24683;348986;24.99;12-jun-13;01:15:00;30.88;2.33;354.8237;8.69;NaN;3.83;0.07;4.59;0.83;0.125;0.741
18TL13019_1291;561;47.4995;-63.24683;348987;15.17;12-jun-13;01:15:00;30.19;6.32;339.72862;8.584;NaN;3.11;0.045;2.63;0.575;0.55;3.477
18TL13019_1291;561;47.4995;-63.24683;348988;5.06;12-jun-13;01:15:00;29.95;8.23;329.05488;8.496;328.80925;3.425;0.05;2.44;0.48;0.61;2.575
18TL13019_1291;561;47.4995;-63.24683;348989;2.08;12-jun-13;01:15:00;29.7;9.28;327.31314;8.458;NaN;3.46;0.05;2.355;0.43;0.95;3.639
18TL13019_1292;571;47.66517;-63.74933;348990;62.36;12-jun-13;03:51:00;31.24;-0.41;317.39862;8.66;321.03841;12.145;0.17;9.12;1.215;0.185;0.669
18TL13019_1292;571;47.66517;-63.74933;348991;49.58;12-jun-13;03:51:00;30.99;-0.3;322.93646;8.676;NaN;8.26;0.13;6.635;1.14;0.205;0.649
18TL13019_1292;571;47.66517;-63.74933;348992;24.79;12-jun-13;03:51:00;30.09;2.55;347.54412;8.694;NaN;7.615;0.155;6.235;0.8;0.23;0.926
18TL13019_1292;571;47.66517;-63.74933;348993;14.77;12-jun-13;03:51:00;28.45;7.7;331.46652;8.61;NaN;3.865;0.06;2.21;0.36;0.56;2.629
18TL13019_1292;571;47.66517;-63.74933;348994;4.56;12-jun-13;03:51:00;28.12;8.75;330.97526;8.542;329.76944;3.675;0.045;1.795;0.245;1.305;5.31
18TL13019_1292;571;47.66517;-63.74933;348995;2.08;12-jun-13;03:51:00;28.18;8.45;331.8238;8.537;NaN;3.725;0.04;1.74;0.24;1.35;5.604
18TL13019_1293;581;47.78367;-64.04133;348996;75.94;12-jun-13;05:45:00;31.77;-0.32;299.71326;8.611;302.23655;19.24;0.15;11.76;1.35;0.195;0.543
18TL13019_1293;581;47.78367;-64.04133;348997;49.48;12-jun-13;05:45:00;31.24;0.46;334.36942;8.671;NaN;11.06;0.18;8.725;1.075;0.205;0.713
18TL13019_1293;581;47.78367;-64.04133;348998;24.49;12-jun-13;05:45:00;29.24;4.22;339.72862;8.667;NaN;6.665;0.09;4.725;0.595;0.275;1.278
18TL13019_1293;581;47.78367;-64.04133;348999;15.07;12-jun-13;05:45:00;28.36;6.48;337.22766;8.571;NaN;5.655;0.07;3.9;0.42;1.75;5.327
18TL13019_1293;581;47.78367;-64.04133;349000;4.66;12-jun-13;05:45:00;28;7.13;339.28202;8.564;338.38882;4.865;0.06;2.87;0.32;1.885;6.043
18TL13019_1293;581;47.78367;-64.04133;349001;1.69;12-jun-13;05:45:00;27.13;8.76;335.3966;8.557;NaN;2.04;0.03;0.73;0.11;1.79;7.021
18TL13019_1294;591;47.83;-64.2445;349002;38.07;12-jun-13;08:53:00;30.03;2.82;345.48976;8.736;345.8917;5.905;0.12;4.585;0.68;0.235;1.076
18TL13019_1294;591;47.83;-64.2445;349003;24.89;12-jun-13;08:53:00;29.39;3.97;343.07812;8.714;NaN;5.255;0.105;3.98;0.595;0.295;1.071
18TL13019_1294;591;47.83;-64.2445;349004;14.28;12-jun-13;08:53:00;28.72;5.51;333.92282;8.633;NaN;5.895;0.07;3.795;0.495;0.76;2.188
18TL13019_1294;591;47.83;-64.2445;349005;4.66;12-jun-13;08:53:00;28.21;6.86;337.80824;8.577;337.49562;7.55;0.07;4.53;0.44;1.785;5.455
