CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL05035_747;151;47.58383;-59.34017;276507;248.65;15-jun-05;16:25:00;34.66;5.76;184.80308;182.4361;16.685;0.075;1.395;17.695;NaN;NaN;NaN;NaN;NaN;1.186
18TL05035_747;151;47.58383;-59.34017;276508;199.32;15-jun-05;16:25:00;34.33;5.45;196.2807;NaN;16.445;0.075;1.34;17.71;NaN;NaN;NaN;NaN;NaN;1.062
18TL05035_747;151;47.58383;-59.34017;276509;100.43;15-jun-05;16:25:00;32.5;1.9;314.67436;NaN;4.62;0.155;0.84;5.06;NaN;NaN;NaN;NaN;0.035;0.931
18TL05035_747;151;47.58383;-59.34017;276510;50.27;15-jun-05;16:25:00;31.97;1.46;340.04124;NaN;3.4;0.125;0.69;3.22;NaN;NaN;NaN;NaN;0.13;1.408
18TL05035_747;151;47.58383;-59.34017;276511;25.29;15-jun-05;16:25:00;31.79;5.75;325.3481;NaN;1.27;0.065;0.46;0.775;NaN;NaN;NaN;NaN;0.295;1.935
18TL05035_747;151;47.58383;-59.34017;276512;15.27;15-jun-05;16:25:00;31.67;7.62;318.73842;NaN;1.15;0.035;0.395;0.23;NaN;NaN;NaN;NaN;0.55;2.378
18TL05035_747;151;47.58383;-59.34017;276513;5.75;15-jun-05;16:25:00;31.56;7.5;319.40832;NaN;1.02;0.025;0.365;0.315;NaN;NaN;NaN;NaN;0.565;1.863
18TL05035_747;151;47.58383;-59.34017;276514;1.59;15-jun-05;16:25:00;31.55;7.58;318.82774;319.0957;0.82;0.04;0.365;0.235;NaN;NaN;NaN;NaN;0.825;1.493
18TL05035_748;161;47.43333;-59.5595;276515;461.3;15-jun-05;18:16:00;34.85;4.9;200.0768;201.6399;25.17;0.02;1.445;20.23;NaN;NaN;NaN;NaN;NaN;0.735
18TL05035_748;161;47.43333;-59.5595;276516;400.93;15-jun-05;18:16:00;34.85;5;191.68072;NaN;25.51;0.005;1.505;20.395;NaN;NaN;NaN;NaN;NaN;0.737
18TL05035_748;161;47.43333;-59.5595;276517;300.65;15-jun-05;18:16:00;34.74;5.68;187.70598;NaN;18.255;0.015;1.46;20.56;NaN;NaN;NaN;NaN;NaN;0.742
18TL05035_748;161;47.43333;-59.5595;276518;200.42;15-jun-05;18:16:00;33.91;4.47;213.96606;NaN;13.255;0.02;1.29;16.035;NaN;NaN;NaN;NaN;NaN;0.771
18TL05035_748;161;47.43333;-59.5595;276519;100.63;15-jun-05;18:16:00;32.52;1.04;318.2025;NaN;3.335;0.08;0.865;4.835;NaN;NaN;NaN;NaN;0.02;0.775
18TL05035_748;161;47.43333;-59.5595;276520;49.78;15-jun-05;18:16:00;32.45;2.32;329.54614;NaN;1.035;0.05;0.65;1.435;NaN;NaN;NaN;NaN;0.135;1.363
18TL05035_748;161;47.43333;-59.5595;276521;25.88;15-jun-05;18:16:00;32.05;3.23;340.57716;NaN;1.085;0.04;0.495;0.73;NaN;NaN;NaN;NaN;0.41;1.611
18TL05035_748;161;47.43333;-59.5595;276522;15.87;15-jun-05;18:16:00;31.94;4.37;341.29172;NaN;0.565;0.02;0.37;0.245;NaN;NaN;NaN;NaN;0.31;1.35
18TL05035_748;161;47.43333;-59.5595;276523;5.06;15-jun-05;18:16:00;31.79;7.24;322.2219;NaN;0.64;0.015;0.35;0.11;NaN;NaN;NaN;NaN;0.325;1.404
18TL05035_748;161;47.43333;-59.5595;276524;1.88;15-jun-05;18:16:00;31.8;7.03;324.49956;325.3481;0.59;0.015;0.365;0.11;NaN;NaN;NaN;NaN;0.355;1.288
18TL05035_749;171;47.27183;-59.78283;276525;453.29;15-jun-05;20:29:00;34.85;4.96;192.75256;191.5914;25.425;0.01;1.52;20.2;NaN;NaN;NaN;NaN;NaN;0.621
18TL05035_749;171;47.27183;-59.78283;276526;400.54;15-jun-05;20:29:00;34.85;5.01;190.43024;NaN;24.125;0.01;1.545;20.57;NaN;NaN;NaN;NaN;NaN;0.607
18TL05035_749;171;47.27183;-59.78283;276527;299.76;15-jun-05;20:29:00;34.75;5.65;189.00112;NaN;17.585;0.01;1.415;20.315;NaN;NaN;NaN;NaN;NaN;0.609
18TL05035_749;171;47.27183;-59.78283;276528;200.22;15-jun-05;20:29:00;34.26;5.02;165.37598;NaN;20.22;0.035;1.495;19.225;NaN;NaN;NaN;NaN;NaN;0.65
18TL05035_749;171;47.27183;-59.78283;276529;101.42;15-jun-05;20:29:00;32.8;1.94;302.7948;NaN;5.19;0.125;0.88;6.575;NaN;NaN;NaN;NaN;0.025;0.696
18TL05035_749;171;47.27183;-59.78283;276530;51.36;15-jun-05;20:29:00;32.12;2.13;334.32476;NaN;1.08;0.07;0.585;1.47;NaN;NaN;NaN;NaN;0.255;1.196
18TL05035_749;171;47.27183;-59.78283;276531;25.98;15-jun-05;20:29:00;31.98;5.43;333.29758;NaN;0.78;0.015;0.38;0.15;NaN;NaN;NaN;NaN;0.66;1.781
18TL05035_749;171;47.27183;-59.78283;276532;16.46;15-jun-05;20:29:00;31.37;3.64;342.45288;NaN;1.77;0.045;0.485;1.04;NaN;NaN;NaN;NaN;0.74;1.797
18TL05035_749;171;47.27183;-59.78283;276533;6.05;15-jun-05;20:29:00;31.4;7.2;320.92676;NaN;1.075;0.015;0.35;0.205;NaN;NaN;NaN;NaN;0.475;1.522
18TL05035_749;171;47.27183;-59.78283;276534;1.79;15-jun-05;20:29:00;31.09;7.12;325.08014;325.5714;1.315;0.025;0.45;0.35;NaN;NaN;NaN;NaN;0.56;1.438
18TL05035_750;181;47.101;-59.9885;276535;323.33;15-jun-05;22:51:00;34.77;5.39;174.75458;173.2808;20.84;0.045;1.485;20.73;NaN;NaN;NaN;NaN;NaN;0.642
18TL05035_750;181;47.101;-59.9885;276536;301.05;15-jun-05;22:51:00;34.72;5.7;170.55654;NaN;18.135;0.05;1.405;17.915;NaN;NaN;NaN;NaN;NaN;0.64
18TL05035_750;181;47.101;-59.9885;276537;200.72;15-jun-05;22:51:00;34.21;4.86;166.93908;NaN;18.83;0.125;1.465;17.89;NaN;NaN;NaN;NaN;NaN;0.67
18TL05035_750;181;47.101;-59.9885;276538;101.13;15-jun-05;22:51:00;32.84;1.88;278.27646;NaN;8.815;0.17;0.99;9.67;NaN;NaN;NaN;NaN;0.03;0.688
18TL05035_750;181;47.101;-59.9885;276539;51.26;15-jun-05;22:51:00;32.04;2.17;335.26262;NaN;2.515;0.115;0.625;2.27;NaN;NaN;NaN;NaN;0.09;1.215
18TL05035_750;181;47.101;-59.9885;276540;26.67;15-jun-05;22:51:00;31.61;6.18;328.83158;NaN;1.1;0.04;0.425;0.365;NaN;NaN;NaN;NaN;0.69;1.691
18TL05035_750;181;47.101;-59.9885;276541;16.66;15-jun-05;22:51:00;30.94;5.99;342.49754;NaN;1.37;0.05;0.405;0.285;NaN;NaN;NaN;NaN;0.715;1.586
18TL05035_750;181;47.101;-59.9885;276542;4.96;15-jun-05;22:51:00;30.25;7.61;327.40246;NaN;1.71;0.03;0.31;0.33;NaN;NaN;NaN;NaN;0.77;1.815
18TL05035_750;181;47.101;-59.9885;276543;1.49;15-jun-05;22:51:00;30.21;7.89;325.97334;325.3481;1.72;0.015;0.315;0.315;NaN;NaN;NaN;NaN;1.085;1.793
18TL05035_751;191;47.024;-60.11083;276544;177.54;16-jun-05;00:31:00;34.25;5.1;174.3973;173.2808;19.28;0.07;1.43;18.975;NaN;NaN;NaN;NaN;NaN;0.694
18TL05035_751;191;47.024;-60.11083;276545;101.72;16-jun-05;00:31:00;32.74;1.84;277.5619;NaN;9.58;0.155;1.045;9.495;NaN;NaN;NaN;NaN;0.04;0.748
18TL05035_751;191;47.024;-60.11083;276546;51.76;16-jun-05;00:31:00;31.54;1.77;344.23928;NaN;2.965;0.105;0.61;2.28;NaN;NaN;NaN;NaN;0.21;1.654
18TL05035_751;191;47.024;-60.11083;276547;26.08;16-jun-05;00:31:00;30.43;4.18;336.7364;NaN;2.2;0.055;0.465;1.46;NaN;NaN;NaN;NaN;0.32;1.927
18TL05035_751;191;47.024;-60.11083;276548;15.07;16-jun-05;00:31:00;30.23;5.98;331.55584;NaN;1.93;0.05;0.37;0.66;NaN;NaN;NaN;NaN;0.285;2.004
18TL05035_751;191;47.024;-60.11083;276549;5.85;16-jun-05;00:31:00;29.77;8.62;321.28404;NaN;1.66;0.035;0.26;0.365;NaN;NaN;NaN;NaN;0.19;2.087
18TL05035_751;191;47.024;-60.11083;276550;1.59;16-jun-05;00:31:00;29.7;9.21;319.67628;318.4258;1.57;0.05;0.255;0.345;NaN;NaN;NaN;NaN;0.48;2.076
18TL05035_752;201;46.961;-60.21767;276551;76.45;16-jun-05;01:48:00;32.32;1.36;291.6298;302.7948;4.93;0.175;0.91;7.13;NaN;NaN;NaN;NaN;0.085;0.849
18TL05035_752;201;46.961;-60.21767;276552;51.07;16-jun-05;01:48:00;31.34;2.01;338.2995;NaN;3.01;0.09;0.575;2.38;NaN;NaN;NaN;NaN;NaN;1.068
18TL05035_752;201;46.961;-60.21767;276553;26.58;16-jun-05;01:48:00;30.69;3.28;339.8626;NaN;1.805;0.07;0.515;1.52;NaN;NaN;NaN;NaN;0.295;1.691
18TL05035_752;201;46.961;-60.21767;276554;15.97;16-jun-05;01:48:00;30.08;6.56;330.35002;NaN;1.685;0.04;0.35;0.535;NaN;NaN;NaN;NaN;0.09;1.828
18TL05035_752;201;46.961;-60.21767;276555;4.76;16-jun-05;01:48:00;29.9;7.91;323.15976;NaN;1.505;0.025;0.305;0.23;NaN;NaN;NaN;NaN;0.265;1.893
18TL05035_752;201;46.961;-60.21767;276556;1.49;16-jun-05;01:48:00;29.9;7.96;324.09762;324.4549;1.44;0.03;0.345;0.31;NaN;NaN;NaN;NaN;0.235;1.933
18TL05035_753;211;46.74333;-60.9985;276557;54.93;16-jun-05;07:40:00;31.46;0.38;321.95394;337.4063;6.105;0.19;0.825;4.085;NaN;NaN;NaN;NaN;0.115;1.416
18TL05035_753;211;46.74333;-60.9985;276558;50.87;16-jun-05;07:40:00;31.3;0.75;338.03154;NaN;4.385;0.16;0.76;3.815;NaN;NaN;NaN;NaN;0.055;1.631
18TL05035_753;211;46.74333;-60.9985;276559;26.58;16-jun-05;07:40:00;30.37;2.32;344.41792;NaN;1.895;0.04;0.41;0.675;NaN;NaN;NaN;NaN;0.155;1.585
18TL05035_753;211;46.74333;-60.9985;276560;15.17;16-jun-05;07:40:00;30.18;8.44;326.4646;NaN;2.13;0.025;0.265;0.265;NaN;NaN;NaN;NaN;0.525;3.659
18TL05035_753;211;46.74333;-60.9985;276561;5.95;16-jun-05;07:40:00;29.49;9.79;310.20836;NaN;1.53;0.025;0.23;0.15;NaN;NaN;NaN;NaN;0.43;2.38
18TL05035_753;211;46.74333;-60.9985;276562;1.59;16-jun-05;07:40:00;29.38;9.91;308.24332;308.3773;1;0.055;0.275;0.215;NaN;NaN;NaN;NaN;0.445;2.118
18TL05035_754;221;46.8315;-61.249;276563;56.72;16-jun-05;09:06:00;31.48;0.42;313.7365;323.5617;7.255;0.22;0.94;5.335;NaN;NaN;NaN;NaN;0.12;0.963
18TL05035_754;221;46.8315;-61.249;276564;25.78;16-jun-05;09:06:00;30.63;1.3;338.03154;NaN;3.125;0.085;0.62;1.51;NaN;NaN;NaN;NaN;0.24;1.473
18TL05035_754;221;46.8315;-61.249;276565;15.77;16-jun-05;09:06:00;30.11;5.07;338.21018;NaN;1.815;0.045;0.335;0.885;NaN;NaN;NaN;NaN;0.4;1.875
18TL05035_754;221;46.8315;-61.249;276566;4.86;16-jun-05;09:06:00;29.26;9.51;310.20836;NaN;1.445;0.015;0.205;0.8;NaN;NaN;NaN;NaN;0.56;1.916
18TL05035_754;221;46.8315;-61.249;276567;1.59;16-jun-05;09:06:00;29.26;9.52;310.87826;310.1637;1.28;0.03;0.2;0.1;NaN;NaN;NaN;NaN;0.535;1.867
18TL05035_755;231;46.90167;-61.4995;276568;47;16-jun-05;11:04:00;31.42;0.41;313.7365;322.2219;8.74;0.25;0.88;4.88;NaN;NaN;NaN;NaN;0.16;1.348
18TL05035_755;231;46.90167;-61.4995;276569;25.29;16-jun-05;11:04:00;31.24;1.64;338.79076;NaN;3.875;0.135;0.68;2.905;NaN;NaN;NaN;NaN;0.27;1.554
18TL05035_755;231;46.90167;-61.4995;276570;14.78;16-jun-05;11:04:00;30.69;6.68;334.68204;NaN;4.07;0.06;0.35;0.755;NaN;NaN;NaN;NaN;1.57;4.816
18TL05035_755;231;46.90167;-61.4995;276571;4.76;16-jun-05;11:04:00;30.01;9.71;311.41418;NaN;1.98;0.015;0.22;0.335;NaN;NaN;NaN;NaN;0.39;1.28
18TL05035_755;231;46.90167;-61.4995;276572;1.19;16-jun-05;11:04:00;30.01;9.71;311.32486;311.0569;3.23;0.015;0.23;0.21;NaN;NaN;NaN;NaN;0.385;1.192
18TL05035_756;241;47.00083;-61.748;276573;33.42;16-jun-05;12:38:00;31.26;1.28;322.93646;329.8141;6.585;0.15;0.73;3.39;NaN;NaN;NaN;NaN;0.385;1.619
18TL05035_756;241;47.00083;-61.748;276574;25.29;16-jun-05;12:38:00;31.24;1.88;323.96364;NaN;4.525;0.1;0.555;1.595;NaN;NaN;NaN;NaN;0.41;1.89
18TL05035_756;241;47.00083;-61.748;276575;15.27;16-jun-05;12:38:00;31.16;2.67;337.22766;NaN;3.225;0.075;0.485;1.465;NaN;NaN;NaN;NaN;0.2;1.265
18TL05035_756;241;47.00083;-61.748;276576;5.55;16-jun-05;12:38:00;30.67;8.1;323.24908;NaN;2.135;0.055;0.365;0.735;NaN;NaN;NaN;NaN;0.385;1.733
18TL05035_756;241;47.00083;-61.748;276577;1.59;16-jun-05;12:38:00;30.64;8.61;318.6491;317.7559;1.62;0.185;0.26;0.535;NaN;NaN;NaN;NaN;0.465;1.869
18TL05035_757;251;47.16967;-62.248;276578;35.6;16-jun-05;14:48:00;31.28;1.16;315.16562;323.5617;7.21;0.12;0.82;3.85;NaN;NaN;NaN;NaN;0.18;1.69
18TL05035_757;251;47.16967;-62.248;276579;25.19;16-jun-05;14:48:00;31.21;2.07;319.27434;NaN;6.92;0.115;0.75;3.195;NaN;NaN;NaN;NaN;0.295;1.638
18TL05035_757;251;47.16967;-62.248;276580;15.67;16-jun-05;14:48:00;31.04;4.69;332.76166;NaN;2.51;0.045;0.39;0.58;NaN;NaN;NaN;NaN;0.64;1.668
18TL05035_757;251;47.16967;-62.248;276581;5.55;16-jun-05;14:48:00;30.85;8.05;323.91898;NaN;2.375;0.04;0.37;0.5;NaN;NaN;NaN;NaN;0.69;1.924
18TL05035_757;251;47.16967;-62.248;276582;1.49;16-jun-05;14:48:00;30.86;7.95;324.4549;325.5714;2.325;0.045;0.415;0.53;NaN;NaN;NaN;NaN;0.715;1.612
18TL05035_758;261;47.32933;-62.75;276583;45.12;16-jun-05;17:19:00;31.16;0.07;312.97728;323.5617;9.005;0.105;0.985;5.68;NaN;NaN;NaN;NaN;0.235;1.085
18TL05035_758;261;47.32933;-62.75;276584;25.39;16-jun-05;17:19:00;30.96;2.93;351.78682;NaN;2.715;0.07;0.48;1.675;NaN;NaN;NaN;NaN;0.57;2.19
18TL05035_758;261;47.32933;-62.75;276585;14.97;16-jun-05;17:19:00;30.55;4.93;350.1344;NaN;3.54;0.045;0.37;1.05;NaN;NaN;NaN;NaN;1.685;3.765
18TL05035_758;261;47.32933;-62.75;276586;5.35;16-jun-05;17:19:00;30.15;8.68;322.8918;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.08
18TL05035_758;261;47.32933;-62.75;276587;1.19;16-jun-05;17:19:00;30.15;8.69;322.57918;323.1151;3.915;0.05;0.315;0.685;NaN;NaN;NaN;NaN;1.28;2.318
18TL05035_759;271;47.49933;-63.2505;276588;72.28;16-jun-05;19:32:00;31.3;-0.72;288.36962;301.9016;14.745;0.105;1.215;7.345;NaN;NaN;NaN;NaN;0.155;0.962
18TL05035_759;271;47.49933;-63.2505;276589;49.38;16-jun-05;19:32:00;30.88;0.04;328.51896;NaN;7.175;0.105;0.905;4.96;NaN;NaN;NaN;NaN;0.09;1.072
18TL05035_759;271;47.49933;-63.2505;276590;25.09;16-jun-05;19:32:00;30.63;2.66;350.581;NaN;2.875;0.07;0.47;1.985;NaN;NaN;NaN;NaN;0.455;2.326
18TL05035_759;271;47.49933;-63.2505;276591;15.37;16-jun-05;19:32:00;30.28;3.74;350.04508;NaN;3.505;0.09;0.435;1.835;NaN;NaN;NaN;NaN;1.285;2.99
