CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
181C05624_002;STN27;47.5467;-52.5867;259899;170;17-jul-05;00:37:00;171.52;33.01;318.4;-0.78;12.02;1.1;8.4;NaN
181C05624_002;STN27;47.5467;-52.5867;259900;150;17-jul-05;00:37:00;150.95;32.94;326.9;-0.89;11.37;1.13;8.62;0.03
181C05624_002;STN27;47.5467;-52.5867;259901;100;17-jul-05;00:37:00;100.38;32.74;348.8;-1.27;6.68;0.94;7.2;0
181C05624_002;STN27;47.5467;-52.5867;259902;75;17-jul-05;00:37:00;75.17;32.64;348.8;-1.18;4.87;0.83;6.14;0
181C05624_002;STN27;47.5467;-52.5867;259903;50;17-jul-05;00:37:00;50.66;32.54;386.3;-0.87;1.8;0.55;2.36;0.14
181C05624_002;STN27;47.5467;-52.5867;259904;40;17-jul-05;00:37:00;39.85;32.45;369.3;-0.69;1.96;0.58;3.17;0.22
181C05624_002;STN27;47.5467;-52.5867;259905;30;17-jul-05;00:37:00;29.94;32.28;375.6;2.09;1.62;0.36;0.95;0.56
181C05624_002;STN27;47.5467;-52.5867;259906;20;17-jul-05;00:37:00;19.89;31.98;344.8;6.19;1.03;0.22;0.27;1.08
181C05624_002;STN27;47.5467;-52.5867;259907;10;17-jul-05;00:37:00;10.25;31.71;309;11.16;1.03;0.18;0.27;0.35
181C05624_002;STN27;47.5467;-52.5867;259908;5;17-jul-05;00:37:00;4.89;31.71;307.3;11.44;1.03;0.17;0.27;0.34
181C05624_003;FC-09;47;-50;259955;84;18-jul-05;04:38:00;84.51;32.94;280;0.13;10.48;1.24;8.34;0.25
181C05624_003;FC-09;47;-50;259956;50;18-jul-05;04:38:00;50.05;32.69;388.5;0.45;1.22;0.3;0.48;0.86
181C05624_003;FC-09;47;-50;259957;41;18-jul-05;04:38:00;41.14;32.6;376.5;2.39;1.03;0.19;0.21;0.56
181C05624_003;FC-09;47;-50;259958;31;18-jul-05;04:38:00;31.07;32.44;328.7;6.66;1.42;0.31;0.17;0.18
181C05624_003;FC-09;47;-50;259959;20;18-jul-05;04:38:00;20.03;32.41;316.2;8.72;1.41;0.29;0.17;0.18
181C05624_003;FC-09;47;-50;259960;10;18-jul-05;04:38:00;10.53;32.28;305.5;10.48;1.21;0.29;0.21;0.25
181C05624_003;FC-09;47;-50;259961;5;18-jul-05;04:38:00;5.39;32.28;305.5;10.48;1.21;0.28;0.37;0.3
181C05624_014;FC 10;47;-49.1167;259962;77;18-jul-05;09:30:00;77.69;33.02;298.3;-0.55;8.88;1.39;9.56;0.15
181C05624_014;FC 10;47;-49.1167;259963;50;18-jul-05;09:30:00;50.49;32.79;383.6;-0.18;2.01;0.52;1.99;0.18
181C05624_014;FC 10;47;-49.1167;259964;40;18-jul-05;09:30:00;40.45;32.63;392.1;1.4;1;0.24;0.17;0.22
181C05624_014;FC 10;47;-49.1167;259965;30;18-jul-05;09:30:00;30.59;32.4;332.3;6.17;1.23;0.28;0.21;0.25
181C05624_014;FC 10;47;-49.1167;259966;20;18-jul-05;09:30:00;20;32.36;326.9;7.29;1.96;0.32;0.62;0.37
181C05624_014;FC 10;47;-49.1167;259967;10;18-jul-05;09:30:00;10.22;32.24;305.9;10.3;1.19;0.25;0.18;2.04
181C05624_014;FC 10;47;-49.1167;259968;5;18-jul-05;09:30:00;5.03;32.24;305.9;10.31;1.32;0.3;0.46;0
181C05624_025;FC-11;47;-48.6167;259969;100;18-jul-05;12:39:00;100.43;33.17;309.9;-0.32;NaN;NaN;NaN;NaN
181C05624_036;FC-12;47;-48.1167;259970;129;18-jul-05;15:26:00;129.95;33.26;308.2;-0.39;10.7;0.95;8.59;NaN
181C05624_036;FC-12;47;-48.1167;259971;100;18-jul-05;15:26:00;100.66;33.07;347.5;-0.68;6.08;0.61;6.35;0.01
181C05624_036;FC-12;47;-48.1167;259972;75;18-jul-05;15:26:00;75.28;32.83;351.5;-1.22;6.57;0.87;6.83;0.19
181C05624_036;FC-12;47;-48.1167;259973;49;18-jul-05;15:26:00;49.9;32.71;385.9;-0.93;1.4;0.5;2.58;9.94
181C05624_036;FC-12;47;-48.1167;259974;39;18-jul-05;15:26:00;39.78;32.7;401.9;0.1;1.2;0.33;0.27;1.15
181C05624_036;FC-12;47;-48.1167;259975;30;18-jul-05;15:26:00;30.21;32.58;366.7;3.37;1.33;0.29;0.14;1.02
181C05624_036;FC-12;47;-48.1167;259976;20;18-jul-05;15:26:00;20.23;32.39;330.5;6.41;1.73;0.28;0.35;0.28
181C05624_036;FC-12;47;-48.1167;259977;10;18-jul-05;15:26:00;10.5;32.11;303.7;10.64;0.99;0.22;0.19;0.24
181C05624_036;FC-12;47;-48.1167;259978;5;18-jul-05;15:26:00;5.03;32.11;303.7;10.67;1.04;0.22;0.3;0.23
181C05624_113;FC-01;47;-52.8317;259909;99;17-jul-05;07:00:00;99.32;32.74;352.4;-1.35;4.94;0.57;6.03;0.01
181C05624_113;FC-01;47;-52.8317;259910;75;17-jul-05;07:00:00;75.27;32.67;360;-1.3;3.53;0.56;4.82;0.04
181C05624_113;FC-01;47;-52.8317;259911;50;17-jul-05;07:00:00;50.42;32.56;370.7;-0.87;2.51;0.43;3.27;0.15
181C05624_113;FC-01;47;-52.8317;259912;39;17-jul-05;07:00:00;39.73;32.48;371.6;-0.75;2.38;0.39;2.99;0.33
181C05624_113;FC-01;47;-52.8317;259913;30;17-jul-05;07:00:00;30.66;32.38;373.4;0.16;1.93;0.34;1.99;0.46
181C05624_113;FC-01;47;-52.8317;259914;20;17-jul-05;07:00:00;20.54;32.17;361.7;3.12;1.28;0.2;0.23;0.54
181C05624_113;FC-01;47;-52.8317;259915;10;17-jul-05;07:00:00;10.25;31.92;268;5.9;1.3;0.2;0.21;0.52
181C05624_113;FC-01;47;-52.8317;259916;4;17-jul-05;07:00:00;4.38;31.35;218.8;8;1.17;0.19;0.37;0.53
181C05624_225;FC-02;47;-52.705;259917;182;17-jul-05;09:23:00;183.06;33.22;287.2;-0.33;NaN;NaN;NaN;NaN
181C05624_264;FC-03;47;-52.58;259918;152;17-jul-05;10:58:00;152.88;33.13;266.6;-0.1;15.71;0.95;9.21;0.04
181C05624_264;FC-03;47;-52.58;259919;100;17-jul-05;10:58:00;100.56;32.9;343;-1.2;4.8;0.57;6.76;0
181C05624_264;FC-03;47;-52.58;259920;74;17-jul-05;10:58:00;74.76;32.77;352.4;-1.22;2.9;0.66;5.75;0.03
181C05624_264;FC-03;47;-52.58;259921;50;17-jul-05;10:58:00;50;32.67;359.1;-1.19;2.04;0.65;4.99;0.98
181C05624_264;FC-03;47;-52.58;259922;40;17-jul-05;10:58:00;40.59;32.64;381.4;-0.55;1.45;0.39;1.24;1.78
181C05624_264;FC-03;47;-52.58;259923;30;17-jul-05;10:58:00;29.85;32.48;393.9;0.68;1.12;0.23;0.33;0.8
181C05624_264;FC-03;47;-52.58;259924;20;17-jul-05;10:58:00;20.2;32.1;347.5;4.58;1.22;0.19;0.21;0.55
181C05624_264;FC-03;47;-52.58;259925;10;17-jul-05;10:58:00;10.05;32.07;325.1;8.12;1.53;0.2;0.53;0.36
