CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181079022_036;13;42.79167;-64.23333;4222;30;07-aug-79;22:12:00;30;NaN;351.4742;1.075;0.725;0.195
181079022_036;13;42.79167;-64.23333;4223;20;07-aug-79;22:12:00;20;NaN;336.2898;0.865;0.625;0.24
181079022_036;13;42.79167;-64.23333;4224;20;07-aug-79;22:12:00;20;NaN;339.416;0.755;0.565;0.155
181079022_036;13;42.79167;-64.23333;4225;10;07-aug-79;22:12:00;10;NaN;284.9308;0.64;0.495;0.155
181079022_047;14;42.63667;-65.15333;4226;97;07-aug-79;23:55:00;98;33.1495;218.834;8.145;1.245;10.505
181079022_047;14;42.63667;-65.15333;4227;97;07-aug-79;23:55:00;98;33.146;199.1836;6.88;1.08;8.91
181079022_047;14;42.63667;-65.15333;4228;74;07-aug-79;23:55:00;75;NaN;256.795;8;1.33;10.295
181079022_047;14;42.63667;-65.15333;4229;50;07-aug-79;23:55:00;50;NaN;275.9988;6.56;1.155;8.205
181079022_047;14;42.63667;-65.15333;4230;50;07-aug-79;23:55:00;50;NaN;275.5522;6.28;1.205;8.14
181079022_047;14;42.63667;-65.15333;4231;40;07-aug-79;23:55:00;40;NaN;284.0376;10.31;1.055;6.615
181079022_047;14;42.63667;-65.15333;4232;30;07-aug-79;23:55:00;30;NaN;319.319;2.36;0.845;1.52
181079022_047;14;42.63667;-65.15333;4233;20;07-aug-79;23:55:00;20;NaN;320.2122;0.915;0.645;0.175
181079022_047;14;42.63667;-65.15333;4234;10;07-aug-79;23:55:00;10;NaN;271.5328;0.52;0.48;0.3
181079022_058;15;42.48833;-65.07833;4235;111;08-aug-79;01:29:00;112;34.361;172.8342;7.235;1.12;11.15
181079022_058;15;42.48833;-65.07833;4236;111;08-aug-79;01:29:00;112;34.355;129.514;7.47;1.18;11.84
181079022_058;15;42.48833;-65.07833;4237;99;08-aug-79;01:29:00;100;NaN;85.7472;7.625;1.19;11.85
181079022_058;15;42.48833;-65.07833;4238;74;08-aug-79;01:29:00;75;NaN;179.5332;8.305;1.245;11.645
181079022_058;15;42.48833;-65.07833;4239;50;08-aug-79;01:29:00;50;NaN;155.4168;4.875;1.2;6.69
181079022_058;15;42.48833;-65.07833;4240;50;08-aug-79;01:29:00;50;NaN;159.4362;5.08;1.22;6.945
181079022_058;15;42.48833;-65.07833;4241;30;08-aug-79;01:29:00;30;NaN;295.6492;0.825;0.6;0.245
181079022_058;15;42.48833;-65.07833;4242;20;08-aug-79;01:29:00;20;NaN;340.3092;0.63;0.545;0.135
181079022_058;15;42.48833;-65.07833;4243;10;08-aug-79;01:29:00;10;NaN;264.3872;0.59;0.98;0.325
181079022_069;16;42.33333;-65;4244;350;08-aug-79;02:55:00;353;35.0305;160.776;13.375;1.675;21.73
181079022_069;16;42.33333;-65;4245;350;08-aug-79;02:55:00;353;35.0255;139.3392;10.425;1.4;16.48
181079022_069;16;42.33333;-65;4246;248;08-aug-79;02:55:00;250;NaN;158.9896;11.445;1.64;20.77
181079022_069;16;42.33333;-65;4247;198;08-aug-79;02:55:00;200;NaN;162.1158;9.445;1.355;16.945
181079022_069;16;42.33333;-65;4248;149;08-aug-79;02:55:00;150;NaN;190.2516;9.22;1.35;16.69
181079022_069;16;42.33333;-65;4249;99;08-aug-79;02:55:00;100;NaN;215.2612;7.915;1.175;13.075
181079022_069;16;42.33333;-65;4250;50;08-aug-79;02:55:00;50;NaN;306.8142;5.025;0.545;0.385
181079022_069;16;42.33333;-65;4251;30;08-aug-79;02:55:00;30;NaN;351.9208;1.17;0.62;0.285
181079022_069;16;42.33333;-65;4252;10;08-aug-79;02:55:00;10;NaN;268.4066;0.88;0.46;0.205
181079022_080;17;42.33333;-65.21667;4253;125;08-aug-79;04:45:00;126;35.0295;171.941;8.485;1.195;15.66
181079022_080;17;42.33333;-65.21667;4254;125;08-aug-79;04:45:00;126;35.06;151.844;7.99;1.195;14.775
181079022_080;17;42.33333;-65.21667;4255;99;08-aug-79;04:45:00;100;NaN;191.1448;8.165;1.205;14.835
181079022_080;17;42.33333;-65.21667;4256;74;08-aug-79;04:45:00;75;NaN;179.5332;8.135;1.255;14.455
181079022_080;17;42.33333;-65.21667;4257;50;08-aug-79;04:45:00;50;NaN;226.8728;6.445;1.09;9.74
181079022_080;17;42.33333;-65.21667;4258;50;08-aug-79;04:45:00;50;NaN;343.882;1.78;0.77;1.635
181079022_080;17;42.33333;-65.21667;4259;30;08-aug-79;04:45:00;30;NaN;345.6684;1.405;0.675;1.25
181079022_080;17;42.33333;-65.21667;4260;20;08-aug-79;04:45:00;20;NaN;326.4646;1.025;0.565;0.355
181079022_080;17;42.33333;-65.21667;4261;10;08-aug-79;04:45:00;10;NaN;274.659;0.85;0.44;0.215
181079022_091;18;42.325;-65.425;4262;107;08-aug-79;05:59:00;108;34.332;227.3194;7.285;0.98;12.36
181079022_091;18;42.325;-65.425;4263;107;08-aug-79;05:59:00;108;34.3305;229.1058;7.205;0.97;11.99
