CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_102;19;43.0083;-63.5083;-59;50;01-jul-76;23:41:00;31.98;303.688;3.74;0.64;2.98
18HU76020_102;19;43.0083;-63.5083;-60;75;01-jul-76;23:41:00;32.8;263.494;8.84;0.84;6.58
18HU76020_102;19;43.0083;-63.5083;-61;100;01-jul-76;23:41:00;34.19;218.834;13.18;1.02;11.26
18HU76020_102;19;43.0083;-63.5083;-62;125;01-jul-76;23:41:00;34.8;174.174;18.31;1.46;15.16
18HU76020_102;19;43.0083;-63.5083;-63;150;01-jul-76;23:41:00;35.01;178.64;18.24;1.2;14.55
18HU76020_127;21;43.005;-63.3333;-64;10;02-jul-76;01:30:00;31.28;259.028;0.13;0.25;1.62
18HU76020_127;21;43.005;-63.3333;-65;20;02-jul-76;01:30:00;31.34;263.494;0.06;0.25;1.82
18HU76020_127;21;43.005;-63.3333;-66;30;02-jul-76;01:30:00;31.23;294.756;0.25;0.31;2.18
18HU76020_127;21;43.005;-63.3333;-67;50;02-jul-76;01:30:00;32.04;294.756;3.04;0.55;3.77
18HU76020_127;21;43.005;-63.3333;-68;75;02-jul-76;01:30:00;33;281.358;10.89;0.89;10.26
18HU76020_127;21;43.005;-63.3333;-69;100;02-jul-76;01:30:00;34;196.504;16.86;1.27;15.11
18HU76020_149;23;43;-63.1667;-70;10;02-jul-76;03:13:00;31;267.96;0.09;0.27;1.41
18HU76020_149;23;43;-63.1667;-71;20;02-jul-76;03:13:00;31.92;267.96;0.14;0.31;1.89
18HU76020_149;23;43;-63.1667;-72;30;02-jul-76;03:13:00;32.07;285.824;0.09;0.31;2.01
18HU76020_149;23;43;-63.1667;-73;50;02-jul-76;03:13:00;32.69;281.358;5.42;0.69;5.19
18HU76020_149;23;43;-63.1667;-74;75;02-jul-76;03:13:00;34.27;227.766;10.27;0.76;8.38
18HU76020_171;25;42.9975;-63;-75;10;02-jul-76;05:24:00;NaN;267.96;0.09;0.27;2.04
18HU76020_171;25;42.9975;-63;-76;20;02-jul-76;05:24:00;NaN;276.892;0.48;0.34;1.83
18HU76020_171;25;42.9975;-63;-77;30;02-jul-76;05:24:00;NaN;294.756;0.77;0.47;2.72
18HU76020_171;25;42.9975;-63;-78;50;02-jul-76;05:24:00;NaN;276.892;7.62;0.85;6.65
18HU76020_239;32;42.6675;-63.5;-119;10;04-jul-76;01:55:00;32.02;254.562;0.26;0.31;1.22
18HU76020_239;32;42.6675;-63.5;-120;30;04-jul-76;01:55:00;32.94;272.426;0.17;0.33;2.19
18HU76020_239;32;42.6675;-63.5;-121;40;04-jul-76;01:55:00;33.42;263.494;0.17;0.34;2.36
18HU76020_239;32;42.6675;-63.5;-122;50;04-jul-76;01:55:00;33.69;250.096;2.7;0.4;4.07
18HU76020_239;32;42.6675;-63.5;-123;75;04-jul-76;01:55:00;34.17;227.766;9.03;0.78;7.2
18HU76020_239;32;42.6675;-63.5;-124;100;04-jul-76;01:55:00;34.89;196.504;9.51;1.01;7.96
18HU76020_239;32;42.6675;-63.5;-125;125;04-jul-76;01:55:00;35.17;183.106;9.86;1.07;9.33
18HU76020_239;32;42.6675;-63.5;-126;150;04-jul-76;01:55:00;35.2;165.242;14.85;1.2;10.62
18HU76020_243;33;42.75;-63.5058;-127;10;04-jul-76;04:26:00;31.54;NaN;0.19;0.32;1.19
18HU76020_243;33;42.75;-63.5058;-128;30;04-jul-76;04:26:00;32.85;NaN;0.15;0.26;3.89
18HU76020_243;33;42.75;-63.5058;-129;40;04-jul-76;04:26:00;32.76;NaN;1.91;0.5;3.95
18HU76020_243;33;42.75;-63.5058;-130;50;04-jul-76;04:26:00;33.56;NaN;3.67;0.6;5.5
18HU76020_243;33;42.75;-63.5058;-131;75;04-jul-76;04:26:00;34.23;NaN;9.58;0.78;6.64
18HU76020_243;33;42.75;-63.5058;-132;100;04-jul-76;04:26:00;34.9;NaN;10.45;1.01;9.22
18HU76020_243;33;42.75;-63.5058;-133;125;04-jul-76;04:26:00;35.06;NaN;15.3;1.18;10.9
18HU76020_243;33;42.75;-63.5058;-134;150;04-jul-76;04:26:00;35.07;NaN;17.09;1.36;12.2
18HU76020_247;35;42.835;-63.505;-135;10;04-jul-76;06:28:00;31.41;259.028;0.17;0.22;1.56
18HU76020_247;35;42.835;-63.505;-136;30;04-jul-76;06:28:00;31.76;276.892;0.06;0.3;1.83
18HU76020_247;35;42.835;-63.505;-137;40;04-jul-76;06:28:00;32.16;294.756;1.11;0.5;2.42
18HU76020_247;35;42.835;-63.505;-138;50;04-jul-76;06:28:00;32.61;285.824;5.64;0.82;6.24
18HU76020_247;35;42.835;-63.505;-139;75;04-jul-76;06:28:00;34.02;227.766;9.43;0.84;7.44
18HU76020_247;35;42.835;-63.505;-140;100;04-jul-76;06:28:00;34.79;209.902;12.09;0.92;7.93
18HU76020_247;35;42.835;-63.505;-141;125;04-jul-76;06:28:00;35;192.038;9.55;1.14;10.99
18HU76020_247;35;42.835;-63.505;-142;150;04-jul-76;06:28:00;35.08;169.708;17.08;1.21;12.3
18HU76020_253;36;42.9217;-63.5017;-143;10;04-jul-76;07:40:00;31.61;259.028;0.01;0.23;1.45
18HU76020_253;36;42.9217;-63.5017;-144;30;04-jul-76;07:40:00;32.17;276.892;0.21;0.38;1.72
18HU76020_253;36;42.9217;-63.5017;-145;40;04-jul-76;07:40:00;31.94;290.29;0.81;0.59;2.06
18HU76020_253;36;42.9217;-63.5017;-146;50;04-jul-76;07:40:00;32.19;285.824;2.55;0.58;3.35
18HU76020_253;36;42.9217;-63.5017;-147;75;04-jul-76;07:40:00;NaN;214.368;7.67;1.11;11.75
18HU76020_253;36;42.9217;-63.5017;-148;100;04-jul-76;07:40:00;NaN;196.504;8.65;0.94;8.97
18HU76020_253;36;42.9217;-63.5017;-149;125;04-jul-76;07:40:00;NaN;183.106;13.68;1.04;9.88
18HU76020_253;36;42.9217;-63.5017;-150;150;04-jul-76;07:40:00;35.1;178.64;16.91;1.28;12.98
18HU76020_257;37;43;-63.5;-151;10;04-jul-76;08:37:00;31.49;267.96;0.23;0.24;1.89
18HU76020_257;37;43;-63.5;-152;30;04-jul-76;08:37:00;31.97;285.824;1.04;0.64;2.41
18HU76020_257;37;43;-63.5;-153;40;04-jul-76;08:37:00;32.1;272.426;4.86;0.73;4
18HU76020_257;37;43;-63.5;-154;50;04-jul-76;08:37:00;32.71;245.63;8.41;0.96;8.66
18HU76020_257;37;43;-63.5;-155;75;04-jul-76;08:37:00;33.13;218.834;11.19;1.17;12.62
18HU76020_257;37;43;-63.5;-156;100;04-jul-76;08:37:00;34.07;183.106;11.19;1.17;13.22
18HU76020_257;37;43;-63.5;-157;125;04-jul-76;08:37:00;34.66;165.242;16.74;1.28;16.42
18HU76020_257;37;43;-63.5;-158;150;04-jul-76;08:37:00;34.97;156.31;9.78;1.36;15.98
18HU76020_265;40;41.9925;-63.4933;-79;10;05-jul-76;00:34:00;31.56;245.63;0.25;0.45;2.8
18HU76020_265;40;41.9925;-63.4933;-80;30;05-jul-76;00:34:00;33.25;281.358;0.12;0.3;2.75
18HU76020_265;40;41.9925;-63.4933;-81;40;05-jul-76;00:34:00;32.73;281.358;0.12;0.29;1.5
18HU76020_265;40;41.9925;-63.4933;-82;50;05-jul-76;00:34:00;33.06;272.426;4.19;0.6;3.94
18HU76020_265;40;41.9925;-63.4933;-83;75;05-jul-76;00:34:00;33.99;223.3;8.51;0.69;7.46
18HU76020_265;40;41.9925;-63.4933;-84;100;05-jul-76;00:34:00;34.73;200.97;11.03;0.77;7.06
18HU76020_265;40;41.9925;-63.4933;-85;125;05-jul-76;00:34:00;35;187.572;12.5;0.87;6.25
18HU76020_265;40;41.9925;-63.4933;-86;150;05-jul-76;00:34:00;35.13;192.038;16.06;0.97;10.21
18HU76020_275;41;42.1717;-63.4983;-87;10;05-jul-76;02:47:00;31.66;245.63;0.1;NaN;NaN
18HU76020_275;41;42.1717;-63.4983;-88;30;05-jul-76;02:47:00;33.1;259.028;0.06;NaN;NaN
18HU76020_275;41;42.1717;-63.4983;-89;40;05-jul-76;02:47:00;33.39;259.028;3.95;0.37;4.92
18HU76020_275;41;42.1717;-63.4983;-90;50;05-jul-76;02:47:00;33.96;241.164;7.2;0.58;5.83
18HU76020_275;41;42.1717;-63.4983;-91;75;05-jul-76;02:47:00;34.08;214.368;10.74;0.95;8.42
18HU76020_275;41;42.1717;-63.4983;-92;100;05-jul-76;02:47:00;34.81;187.572;13.87;0.9;7.62
18HU76020_275;41;42.1717;-63.4983;-93;125;05-jul-76;02:47:00;35;169.708;16.94;1.09;10.12
18HU76020_275;41;42.1717;-63.4983;-94;150;05-jul-76;02:47:00;35.21;151.844;19.32;1.33;NaN
18HU76020_276;42;42.3367;-63.5017;-100;100;05-jul-76;05:02:00;34.29;209.902;10.36;0.82;6.96
18HU76020_276;42;42.3367;-63.5017;-101;125;05-jul-76;05:02:00;34.05;192.038;13.73;0.84;9.62
18HU76020_276;42;42.3367;-63.5017;-102;150;05-jul-76;05:02:00;35.2;169.708;13.28;0.88;8.63
18HU76020_276;42;42.3367;-63.5017;-95;10;05-jul-76;05:02:00;31.76;250.096;0.49;0.25;0.8
18HU76020_276;42;42.3367;-63.5017;-96;30;05-jul-76;05:02:00;32.71;259.028;0.25;0.26;2.23
18HU76020_276;42;42.3367;-63.5017;-97;40;05-jul-76;05:02:00;32.78;267.96;0.24;0.19;2.33
18HU76020_276;42;42.3367;-63.5017;-98;50;05-jul-76;05:02:00;33.77;259.028;1.3;0.42;1.67
18HU76020_276;42;42.3367;-63.5017;-99;75;05-jul-76;05:02:00;33.69;232.232;7.72;0.74;NaN
18HU76020_277;43;42.5;-63.4967;-103;10;05-jul-76;06:45:00;31.98;241.164;0.02;0.26;1.67
18HU76020_277;43;42.5;-63.4967;-104;30;05-jul-76;06:45:00;32.91;263.494;0.11;0.24;2.83
18HU76020_277;43;42.5;-63.4967;-105;40;05-jul-76;06:45:00;33.42;263.494;1.09;0.34;5
18HU76020_277;43;42.5;-63.4967;-106;50;05-jul-76;06:45:00;33.32;263.494;3.14;0.56;4.91
18HU76020_277;43;42.5;-63.4967;-107;75;05-jul-76;06:45:00;34.05;218.834;6.9;0.82;8.73
18HU76020_277;43;42.5;-63.4967;-108;100;05-jul-76;06:45:00;34.57;196.504;8.76;0.96;9.43
18HU76020_277;43;42.5;-63.4967;-109;125;05-jul-76;06:45:00;35;178.64;10.82;0.92;NaN
18HU76020_277;43;42.5;-63.4967;-110;150;05-jul-76;06:45:00;35.09;160.776;15.95;1.11;11.53
18HU76020_278;44;42.6667;-63.4858;-111;10;05-jul-76;11:28:00;31.7;250.096;0.04;0.3;2.31
18HU76020_278;44;42.6667;-63.4858;-112;30;05-jul-76;11:28:00;32.7;259.028;0.04;0.2;2.12
18HU76020_278;44;42.6667;-63.4858;-113;40;05-jul-76;11:28:00;33.26;259.028;0.1;0.22;2.62
18HU76020_278;44;42.6667;-63.4858;-114;50;05-jul-76;11:28:00;33.59;254.562;2.63;0.47;4.54
18HU76020_278;44;42.6667;-63.4858;-115;75;05-jul-76;11:28:00;34.23;223.3;8.99;0.72;7.24
18HU76020_278;44;42.6667;-63.4858;-116;100;05-jul-76;11:28:00;35.07;192.038;11.08;0.85;7.57
18HU76020_278;44;42.6667;-63.4858;-117;125;05-jul-76;11:28:00;35.21;192.038;13.08;1.03;9.03
18HU76020_278;44;42.6667;-63.4858;-118;150;05-jul-76;11:28:00;35.2;165.242;14.52;1.23;11.85
18HU76020_280;46;42;-63.4917;-159;10;07-jul-76;05:05:00;31.93;254.562;0.16;0.27;1.48
18HU76020_280;46;42;-63.4917;-160;30;07-jul-76;05:05:00;32.61;263.494;0.26;0.54;3.38
18HU76020_280;46;42;-63.4917;-161;40;07-jul-76;05:05:00;32.51;276.892;1.38;0.52;2.31
18HU76020_280;46;42;-63.4917;-162;50;07-jul-76;05:05:00;32.45;290.29;6.17;0.62;7.39
18HU76020_280;46;42;-63.4917;-163;75;07-jul-76;05:05:00;NaN;NaN;6.23;0.86;7.22
18HU76020_280;46;42;-63.4917;-164;100;07-jul-76;05:05:00;NaN;NaN;9.66;1;9.61
18HU76020_280;46;42;-63.4917;-165;125;07-jul-76;05:05:00;34.72;187.572;11.27;1.08;12.1
18HU76020_280;46;42;-63.4917;-166;150;07-jul-76;05:05:00;34.86;169.708;15.62;1.14;9.1
18HU76020_281;47;41.8333;-63.4967;-167;10;07-jul-76;06:44:00;33.81;232.232;0;0.1;2.51
18HU76020_281;47;41.8333;-63.4967;-168;30;07-jul-76;06:44:00;34.64;245.63;0;0.04;1.95
18HU76020_281;47;41.8333;-63.4967;-169;40;07-jul-76;06:44:00;35.81;218.834;2.27;NaN;NaN
18HU76020_281;47;41.8333;-63.4967;-170;50;07-jul-76;06:44:00;35.87;192.038;4.72;0.5;4.94
18HU76020_281;47;41.8333;-63.4967;-171;75;07-jul-76;06:44:00;35.63;187.572;7.36;NaN;NaN
18HU76020_281;47;41.8333;-63.4967;-172;100;07-jul-76;06:44:00;35.64;187.572;NaN;NaN;NaN
18HU76020_281;47;41.8333;-63.4967;-173;125;07-jul-76;06:44:00;35.62;192.038;7.89;0.76;6.15
18HU76020_281;47;41.8333;-63.4967;-174;150;07-jul-76;06:44:00;35.55;169.708;13;0.9;8.19
18HU76020_282;48;41.6667;-63.5;-175;10;07-jul-76;08:30:00;NaN;NaN;0.03;0.03;2.06
18HU76020_282;48;41.6667;-63.5;-176;30;07-jul-76;08:30:00;35.88;205.436;0.04;0.07;2.37
18HU76020_282;48;41.6667;-63.5;-177;40;07-jul-76;08:30:00;36.21;196.504;1.62;NaN;NaN
18HU76020_282;48;41.6667;-63.5;-178;50;07-jul-76;08:30:00;36.4;178.64;4.22;0.31;3.86
18HU76020_282;48;41.6667;-63.5;-179;75;07-jul-76;08:30:00;36.53;147.378;8.11;0.45;4.59
18HU76020_282;48;41.6667;-63.5;-180;100;07-jul-76;08:30:00;36.25;160.776;7.5;0.54;5.29
18HU76020_282;48;41.6667;-63.5;-181;125;07-jul-76;08:30:00;36.22;165.242;9;0.6;5.15
18HU76020_282;48;41.6667;-63.5;-182;150;07-jul-76;08:30:00;NaN;NaN;10.54;0.67;6.34
18HU76020_283;49;41.5;-63.5;-183;10;07-jul-76;10:21:00;35.82;205.436;0.01;0.03;1.91
18HU76020_283;49;41.5;-63.5;-184;30;07-jul-76;10:21:00;35.91;200.97;0.12;NaN;1.89
18HU76020_283;49;41.5;-63.5;-185;40;07-jul-76;10:21:00;35.87;200.97;0.23;NaN;1.58
18HU76020_283;49;41.5;-63.5;-186;50;07-jul-76;10:21:00;36.06;205.436;1.2;0.16;2.75
18HU76020_283;49;41.5;-63.5;-187;75;07-jul-76;10:21:00;36.32;156.31;6.99;0.52;7.19
18HU76020_283;49;41.5;-63.5;-188;100;07-jul-76;10:21:00;36.07;160.776;7.45;0.52;5.54
18HU76020_283;49;41.5;-63.5;-189;125;07-jul-76;10:21:00;36.08;151.844;11.16;0.7;6.41
18HU76020_283;49;41.5;-63.5;-190;150;07-jul-76;10:21:00;36.01;160.776;13.67;0.71;6.75
18HU76020_284;5;42.6667;-64;-26;10;30-jun-76;22:33:00;31.46;281.358;0.21;0.27;2.15
18HU76020_284;5;42.6667;-64;-27;20;30-jun-76;22:33:00;31.71;285.824;0.6;0.34;1.81
18HU76020_284;5;42.6667;-64;-28;30;30-jun-76;22:33:00;32.24;303.688;0.15;0.34;1.45
18HU76020_284;5;42.6667;-64;-29;50;30-jun-76;22:33:00;32.47;303.688;6.53;0.84;6.18
18HU76020_284;5;42.6667;-64;-30;75;30-jun-76;22:33:00;32.69;272.426;8.53;0.94;9.12
18HU76020_284;5;42.6667;-64;-31;100;30-jun-76;22:33:00;33.17;245.63;14.26;1.19;13.35
18HU76020_284;5;42.6667;-64;-32;125;30-jun-76;22:33:00;33.91;200.97;18.12;1.37;13.2
18HU76020_284;5;42.6667;-64;-33;150;30-jun-76;22:33:00;34.62;174.174;17.05;1.23;13.45
18HU76020_285;50;41.505;-63.3067;-191;10;07-jul-76;11:53:00;35.91;187.572;0.06;0.02;2.71
18HU76020_285;50;41.505;-63.3067;-192;30;07-jul-76;11:53:00;35.96;192.038;0.03;0.02;2.06
18HU76020_285;50;41.505;-63.3067;-193;40;07-jul-76;11:53:00;36;183.106;0.04;0.04;2.4
18HU76020_285;50;41.505;-63.3067;-194;50;07-jul-76;11:53:00;36.47;196.504;0.04;0.03;1.67
18HU76020_285;50;41.505;-63.3067;-195;75;07-jul-76;11:53:00;35.72;178.64;4.7;0.27;3.44
18HU76020_285;50;41.505;-63.3067;-196;100;07-jul-76;11:53:00;36.26;147.378;8;0.61;6.41
18HU76020_285;50;41.505;-63.3067;-197;125;07-jul-76;11:53:00;36.09;156.31;8.88;0.66;6.7
18HU76020_285;50;41.505;-63.3067;-198;150;07-jul-76;11:53:00;36.13;147.378;9.28;0.72;7.77
18HU76020_295;51;43.005;-63;-199;10;07-jul-76;21:14:00;31.64;241.164;0.07;0.43;1.36
18HU76020_295;51;43.005;-63;-200;30;07-jul-76;21:14:00;33.34;263.494;0.05;0.42;1.85
18HU76020_295;51;43.005;-63;-201;40;07-jul-76;21:14:00;32.46;285.824;0.45;0.44;2.35
18HU76020_295;51;43.005;-63;-202;50;07-jul-76;21:14:00;32.66;263.494;6.45;1;6.56
18HU76020_295;51;43.005;-63;-203;75;07-jul-76;21:14:00;32.2;214.368;8.75;0.84;7.09
18HU76020_295;51;43.005;-63;-204;100;07-jul-76;21:14:00;34.65;192.038;8.21;0.99;9.6
18HU76020_295;51;43.005;-63;-205;125;07-jul-76;21:14:00;NaN;NaN;11.71;1.14;11.09
18HU76020_296;52;42.9167;-63;-206;10;07-jul-76;22:11:00;31.42;250.096;0.1;0.38;1.95
18HU76020_296;52;42.9167;-63;-207;30;07-jul-76;22:11:00;32.59;276.892;0.13;0.4;2.59
18HU76020_296;52;42.9167;-63;-208;40;07-jul-76;22:11:00;33.29;272.426;3.4;0.65;5.11
18HU76020_296;52;42.9167;-63;-209;50;07-jul-76;22:11:00;34.05;227.766;6.24;0.65;5.83
18HU76020_296;52;42.9167;-63;-210;75;07-jul-76;22:11:00;34.46;205.436;9.54;0.86;7.88
18HU76020_296;52;42.9167;-63;-211;100;07-jul-76;22:11:00;34.95;187.572;10.95;1.04;9.74
18HU76020_296;52;42.9167;-63;-212;125;07-jul-76;22:11:00;35.03;169.708;9.74;1.15;11.39
18HU76020_297;53;42.8367;-63.0033;-213;10;07-jul-76;23:07:00;31.72;232.232;0.16;0.42;2.05
18HU76020_297;53;42.8367;-63.0033;-214;30;07-jul-76;23:07:00;32.72;267.96;0.1;0.35;2.44
18HU76020_297;53;42.8367;-63.0033;-215;40;07-jul-76;23:07:00;33.45;259.028;0.72;0.33;3.15
18HU76020_297;53;42.8367;-63.0033;-216;50;07-jul-76;23:07:00;33.62;245.63;4.87;0.64;3.99
18HU76020_297;53;42.8367;-63.0033;-217;75;07-jul-76;23:07:00;34.16;218.834;7.68;0.73;6.96
18HU76020_297;53;42.8367;-63.0033;-218;100;07-jul-76;23:07:00;34.91;178.64;9.93;1.07;9.98
18HU76020_297;53;42.8367;-63.0033;-219;125;07-jul-76;23:07:00;35.23;156.31;14.1;1.26;12.95
18HU76020_298;54;42.7467;-62.985;-220;10;08-jul-76;00:32:00;31.72;232.232;0.19;0.25;1.83
18HU76020_298;54;42.7467;-62.985;-221;30;08-jul-76;00:32:00;32.76;245.63;0.45;0.31;2.29
18HU76020_298;54;42.7467;-62.985;-222;40;08-jul-76;00:32:00;33.43;250.096;0.21;0.24;2.62
18HU76020_298;54;42.7467;-62.985;-223;50;08-jul-76;00:32:00;33.38;254.562;0.32;0.36;3.32
18HU76020_298;54;42.7467;-62.985;-224;75;08-jul-76;00:32:00;34.04;205.436;4.71;0.6;5.33
18HU76020_298;54;42.7467;-62.985;-225;100;08-jul-76;00:32:00;34.69;187.572;6.93;0.9;8.96
18HU76020_298;54;42.7467;-62.985;-226;125;08-jul-76;00:32:00;35.08;165.242;10.35;NaN;9.33
18HU76020_298;54;42.7467;-62.985;-227;150;08-jul-76;00:32:00;35.13;156.31;10.21;1.13;10.81
18HU76020_299;55;42.6717;-63.0033;-228;10;08-jul-76;01:34:00;32.23;227.766;0.28;0.19;2.19
18HU76020_299;55;42.6717;-63.0033;-229;30;08-jul-76;01:34:00;33.07;245.63;0.12;0.16;2.64
18HU76020_299;55;42.6717;-63.0033;-230;40;08-jul-76;01:34:00;33.51;254.562;1.68;0.55;4.21
18HU76020_299;55;42.6717;-63.0033;-231;50;08-jul-76;01:34:00;33.43;254.562;6.54;0.73;6.18
18HU76020_299;55;42.6717;-63.0033;-232;75;08-jul-76;01:34:00;33.85;227.766;10.76;0.9;8.29
18HU76020_299;55;42.6717;-63.0033;-233;100;08-jul-76;01:34:00;34.34;205.436;10.3;0.98;10.87
18HU76020_299;55;42.6717;-63.0033;-234;125;08-jul-76;01:34:00;34.73;187.572;17.42;1.35;12.57
18HU76020_299;55;42.6717;-63.0033;-235;150;08-jul-76;01:34:00;35.07;156.31;19.56;1.47;14.95
18HU76020_300;56;42.5833;-63.005;-236;10;08-jul-76;02:47:00;32.28;232.232;NaN;NaN;NaN
18HU76020_300;56;42.5833;-63.005;-237;30;08-jul-76;02:47:00;32.86;259.028;0.31;0.29;2.8
18HU76020_300;56;42.5833;-63.005;-238;40;08-jul-76;02:47:00;33.19;254.562;2.6;0.44;4.44
18HU76020_300;56;42.5833;-63.005;-239;50;08-jul-76;02:47:00;33.55;254.562;5.04;0.6;4.9
18HU76020_300;56;42.5833;-63.005;-240;75;08-jul-76;02:47:00;34.17;218.834;6.21;1.03;8.47
18HU76020_300;56;42.5833;-63.005;-241;100;08-jul-76;02:47:00;34.58;192.038;12.1;1.08;10.3
18HU76020_300;56;42.5833;-63.005;-242;125;08-jul-76;02:47:00;35.05;169.708;12.35;1.14;11.72
18HU76020_300;56;42.5833;-63.005;-243;150;08-jul-76;02:47:00;35.15;156.31;12.61;1.32;12.93
18HU76020_301;57;42.5;-63.0017;-244;10;08-jul-76;04:07:00;32.53;241.164;0.19;0.2;1.82
18HU76020_301;57;42.5;-63.0017;-245;30;08-jul-76;04:07:00;33.08;250.096;0.35;0.23;2.3
18HU76020_301;57;42.5;-63.0017;-246;40;08-jul-76;04:07:00;33.41;254.562;0.26;0.32;3.11
18HU76020_301;57;42.5;-63.0017;-247;50;08-jul-76;04:07:00;33.95;241.164;1.6;0.4;3.81
18HU76020_301;57;42.5;-63.0017;-248;75;08-jul-76;04:07:00;34.16;223.3;6.08;0.7;5.35
18HU76020_301;57;42.5;-63.0017;-249;100;08-jul-76;04:07:00;34.65;183.106;11.33;1.01;9.39
18HU76020_301;57;42.5;-63.0017;-250;125;08-jul-76;04:07:00;34.97;165.242;16.45;1.17;12.13
18HU76020_301;57;42.5;-63.0017;-251;150;08-jul-76;04:07:00;35.05;147.378;17.64;1.38;12.71
18HU76020_302;58;42.5;-63.1667;-252;10;08-jul-76;05:13:00;32.46;236.698;0.02;0.21;1.98
