CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL07040_927;11;46.956;-60.21567;292063;69.61;04-aug-07;23:48:00;32.44;1.24;320.48016;8.222;318.6491;6.965;0.105;3.485;0.74;NaN;0.456
18TL07040_927;11;46.956;-60.21567;292064;50.07;04-aug-07;23:48:00;31.61;2.51;331.55584;8.261;NaN;7.045;0.15;3.985;0.855;0.365;1.093
18TL07040_927;11;46.956;-60.21567;292065;14.97;04-aug-07;23:48:00;29.69;15.94;294.62202;8.391;NaN;1.37;0;0.455;0.13;1.285;3.593
18TL07040_927;11;46.956;-60.21567;292066;12.99;04-aug-07;23:48:00;29.71;15.3;286.89584;8.393;NaN;NaN;NaN;NaN;NaN;NaN;3.805
18TL07040_927;11;46.956;-60.21567;292067;2.08;04-aug-07;23:48:00;29.17;20.67;249.69406;8.422;250.096;0.76;0;0.455;0.015;0.845;2.511
18TL07040_928;111;47.70033;-59.7045;292087;502.24;05-aug-07;19:11:00;34.8;4.84;195.11954;8.131;192.63347;NaN;NaN;NaN;NaN;NaN;0.25
18TL07040_928;111;47.70033;-59.7045;292088;250.24;05-aug-07;19:11:00;34.34;5.33;183.37396;8.142;186.6788;NaN;NaN;NaN;NaN;NaN;0.217
18TL07040_928;111;47.70033;-59.7045;292089;1.49;05-aug-07;19:11:00;31.27;15.32;276.6687;8.367;278.52953;NaN;NaN;NaN;NaN;NaN;0.754
18TL07040_929;131;47.49783;-59.99867;292090;486.62;06-aug-07;01:43:00;34.79;4.72;203.06902;8.15;198.737;NaN;NaN;NaN;NaN;NaN;0.234
18TL07040_929;131;47.49783;-59.99867;292091;251.53;06-aug-07;01:43:00;34.61;5.51;174.30798;8.141;178.8633;NaN;NaN;NaN;NaN;NaN;0.199
18TL07040_929;131;47.49783;-59.99867;292092;1.29;06-aug-07;01:43:00;30.89;17.59;256.70568;8.382;256.5717;NaN;NaN;NaN;NaN;NaN;1.47
18TL07040_930;141;47.46883;-60.36467;292093;163.26;06-aug-07;04:18:00;33.69;3.4;217.18158;8.114;212.5816;NaN;NaN;NaN;NaN;NaN;0.248
18TL07040_930;141;47.46883;-60.36467;292094;1.69;06-aug-07;04:18:00;30.82;17.84;256.43772;8.388;255.4552;NaN;NaN;NaN;NaN;NaN;1.254
18TL07040_931;161;47.646;-60.44833;292095;306.39;06-aug-07;07:47:00;34.68;5.51;126.70042;8.033;125.048;NaN;NaN;NaN;NaN;NaN;0.266
