CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL10052_1109;831;47.67117;-59.87267;344404;509.66;15-aug-10;01:26:00;34.89;5.35;185.16036;7.881;186.99142;16.55;0.03333;16.5;1.31667;NaN;0.223
18TL10052_1109;831;47.67117;-59.87267;344405;251.82;15-aug-10;01:26:00;34.65;6.55;157.91776;7.877;159.16824;18.205;0.025;21.07;1.465;NaN;0.209
18TL10052_1109;831;47.67117;-59.87267;344406;53.44;15-aug-10;01:26:00;32.25;3.83;318.4258;8.033;NaN;1.375;0.2;2.78;0.57;NaN;1.52
18TL10052_1109;831;47.67117;-59.87267;344407;17.65;15-aug-10;01:26:00;31.28;11.17;299.35598;8.141;295.44823;0.94;0.015;0.075;0.225;0.39;6.749
18TL10052_1109;831;47.67117;-59.87267;344408;8.33;15-aug-10;01:26:00;30.72;17.56;257.64354;8.177;261.30566;0.73667;0.025;0.045;0.13;0.685;2.237
18TL10052_1110;851;47.58783;-59.3395;344410;233.6;15-aug-10;05:53:00;34.61;6.35;164.21482;7.872;164.01385;NaN;NaN;NaN;NaN;NaN;0.245
18TL10052_1110;851;47.58783;-59.3395;344411;14.68;15-aug-10;05:53:00;31.92;7.58;323.82966;8.109;323.87432;NaN;NaN;NaN;NaN;NaN;4.678
18TL10052_1110;851;47.58783;-59.3395;344412;5.06;15-aug-10;05:53:00;31.35;12.66;289.35214;8.123;291.1832;NaN;NaN;NaN;NaN;NaN;3.84
18TL10052_1111;871;47.26883;-59.777;344413;444.09;15-aug-10;09:32:00;34.85;5.25;165.50996;7.799;166.06821;28.49333;0.025;21.99;1.58;NaN;0.247
18TL10052_1111;871;47.26883;-59.777;344414;249.06;15-aug-10;09:32:00;34.68;6.2;155.23816;7.847;155.43913;19.32;0.025;22.08;1.495;NaN;0.227
18TL10052_1111;871;47.26883;-59.777;344415;52.65;15-aug-10;09:32:00;32.24;2.15;326.9112;7.999;NaN;3.03667;0.155;4.645;0.645;0.12;0.684
18TL10052_1111;871;47.26883;-59.777;344416;20.82;15-aug-10;09:32:00;31.54;2.9;339.6393;8.05;NaN;2.83;0.125;1.02;0.52;1.225;5.578
18TL10052_1111;871;47.26883;-59.777;344417;15.17;15-aug-10;09:32:00;31.48;9.93;306.85886;8.114;306.16663;1.12333;0.035;0.07;0.295;0.675;3.997
18TL10052_1111;871;47.26883;-59.777;344418;5.26;15-aug-10;09:32:00;30.68;17.62;257.50956;8.173;260.47945;0.64;0.025;0.05;0.12;0.375;2.461
18TL10052_1112;891;47.27133;-60.30533;344419;197.74;15-aug-10;14:23:00;34.36;5.89;173.99536;7.865;175.42448;NaN;NaN;NaN;NaN;NaN;0.262
18TL10052_1112;891;47.27133;-60.30533;344420;16.06;15-aug-10;14:23:00;30.83;15.67;270.95222;8.15;273.38619;NaN;NaN;NaN;NaN;NaN;6.422
18TL10052_1112;891;47.27133;-60.30533;344421;5.16;15-aug-10;14:23:00;29.93;18.48;253.57948;8.212;257.19694;NaN;NaN;NaN;NaN;NaN;1.573
18TL10052_1113;901;47.65883;-60.462;344422;278.56;15-aug-10;17:34:00;34.68;5.78;155.77408;7.841;156.5333;17.90667;0.045;21.335;1.52;NaN;0.254
18TL10052_1113;901;47.65883;-60.462;344423;249.05;15-aug-10;17:34:00;34.53;5.83;155.72942;7.841;155.77408;16.92;0.04333;21.61;1.43333;NaN;0.253
18TL10052_1113;901;47.65883;-60.462;344424;50.57;15-aug-10;17:34:00;32.26;3.55;316.50542;8.027;NaN;2.15667;0.295;2.805;0.565;0.81;1.575
18TL10052_1113;901;47.65883;-60.462;344425;24.29;15-aug-10;17:34:00;31.83;8.14;316.01416;8.113;NaN;1.20333;0.035;0.095;0.3;1.19;6.377
18TL10052_1113;901;47.65883;-60.462;344426;15.87;15-aug-10;17:34:00;30.96;14.34;279.92888;8.163;277.38326;0.83667;0.035;0.085;0.16;0.75;3.97
18TL10052_1113;901;47.65883;-60.462;344427;5.85;15-aug-10;17:34:00;30.69;17.74;258.09014;8.183;263.58332;0.65667;0.04;0.07;0.12;0.5;1.702
