CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL08036_957;1011;47.83133;-62.25033;293950;51.56;27-jun-08;18:00:00;32.08;-0.96;309.13652;8.001;304.22392;9.76;0.12333;7.945;1.01;0.085;0.39
18TL08036_957;1011;47.83133;-62.25033;293951;26.67;27-jun-08;18:00:00;31.37;1.62;357.9499;8.202;NaN;0;0.06333;2.9;0.48333;0.88;1.093
18TL08036_957;1011;47.83133;-62.25033;293952;15.77;27-jun-08;18:00:00;30.19;10.55;311.63748;8.33;NaN;0.715;0.005;0.1;0.135;0.52;1.566
18TL08036_957;1011;47.83133;-62.25033;293953;5.45;27-jun-08;18:00:00;30.08;11.84;285.06478;8.336;NaN;0.585;0.005;0.075;0.09;0.49;0.965
18TL08036_957;1011;47.83133;-62.25033;293954;2.08;27-jun-08;18:00:00;30.07;11.87;286.18128;8.343;296.20745;0.38;0.015;0.1;0.145;0.49;0.877
18TL08036_958;391;47.5845;-59.3405;293756;245.98;20-jun-08;20:31:00;34.6;5.55;175.0672;8.083;176.25069;20.57;0.07;20.265;1.515;NaN;0.229
18TL08036_958;391;47.5845;-59.3405;293757;201.3;20-jun-08;20:31:00;34.13;4.72;200.25544;8.099;NaN;17.815;0.06333;16.805;1.29333;NaN;0.229
18TL08036_958;391;47.5845;-59.3405;293758;102.11;20-jun-08;20:31:00;32.6;1.1;330.484;8.195;NaN;7.23;0.14;7.415;0.9;0.045;0.292
18TL08036_958;391;47.5845;-59.3405;293759;52.05;20-jun-08;20:31:00;31.96;2.5;347.85674;8.263;NaN;1.7;0.1;2.375;0.57;0.21;0.865
18TL08036_958;391;47.5845;-59.3405;293760;26.97;20-jun-08;20:31:00;31.88;3.08;344.41792;8.278;NaN;1.935;0.07;1.455;0.495;0.305;0.998
18TL08036_958;391;47.5845;-59.3405;293761;17.06;20-jun-08;20:31:00;31.38;6.88;327.89372;8.297;NaN;0.21;0.02;0.235;0.33;0.42;1.166
18TL08036_958;391;47.5845;-59.3405;293762;7.24;20-jun-08;20:31:00;31.31;8.34;320.39084;8.303;NaN;0.46;0.02;0.115;0.33;0.78;1.584
18TL08036_958;391;47.5845;-59.3405;293763;1.69;20-jun-08;20:31:00;31.32;8.56;319.89958;8.308;316.88503;0;0.015;0.085;0.285;0.945;1.463
18TL08036_959;401;47.43483;-59.5535;293764;457.83;20-jun-08;22:35:00;34.79;5;173.99536;8.046;174.41963;30.86;0.03;20.765;1.655;NaN;0.21
