CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
181C04552_225;FC-02;47;-52.705;258531;181;23-jul-04;00:34:00;182.19;33.264;253.2;0.37;NaN;NaN;NaN;NaN
181C04552_264;FC-03;47;-52.58;258532;155;23-jul-04;02:09:00;156.19;33.273;251.4;0.34;15.02;1.4;9.56;NaN
181C04552_264;FC-03;47;-52.58;258533;99;23-jul-04;02:09:00;99.61;33.077;288.5;-0.05;9.15;1.15;8.52;0
181C04552_264;FC-03;47;-52.58;258534;75;23-jul-04;02:09:00;75.57;32.877;324.7;-0.28;4.29;0.92;5.76;0.03
181C04552_264;FC-03;47;-52.58;258535;50;23-jul-04;02:09:00;50.23;32.656;357.3;0.89;1.33;0.52;0.7;0.85
181C04552_264;FC-03;47;-52.58;258536;40;23-jul-04;02:09:00;40.35;32.548;368;2.25;1.37;0.38;0.15;1.89
181C04552_264;FC-03;47;-52.58;258537;31;23-jul-04;02:09:00;30.81;32.506;345.2;4.24;1.05;0.3;0;0.27
181C04552_264;FC-03;47;-52.58;258538;20;23-jul-04;02:09:00;20.31;32.391;325.1;6.29;1.56;0.31;0.15;0.41
181C04552_264;FC-03;47;-52.58;258539;10;23-jul-04;02:09:00;10.24;32.141;282.2;11.2;1.04;0.23;0.88;0.27
181C04552_264;FC-03;47;-52.58;258540;4;23-jul-04;02:09:00;4.47;32.147;280;11.65;1.17;0.26;0.82;0.27
181C04552_284;FC-04;47;-52.3217;258541;118;23-jul-04;04:51:00;119.16;33.209;267.1;0.23;12.63;1.31;12.84;NaN
181C04552_284;FC-04;47;-52.3217;258542;100;23-jul-04;04:51:00;100.52;33.028;301.9;-0.46;11.74;1.13;9.7;0.09
181C04552_284;FC-04;47;-52.3217;258543;75;23-jul-04;04:51:00;75.16;32.762;343;-0.6;3.07;0.74;5.85;0
181C04552_284;FC-04;47;-52.3217;258544;50;23-jul-04;04:51:00;50.54;32.545;351.9;-0.83;2.54;0.8;3.48;0.7
181C04552_284;FC-04;47;-52.3217;258545;40;23-jul-04;04:51:00;40.77;32.482;373.4;0.25;1.46;0.53;0.77;1.57
181C04552_284;FC-04;47;-52.3217;258546;30;23-jul-04;04:51:00;30.35;32.395;368.9;2.57;1.44;0.37;0.77;0.31
181C04552_284;FC-04;47;-52.3217;258547;20;23-jul-04;04:51:00;20.29;32.105;329.6;6.23;1.04;0.3;0;0.44
181C04552_284;FC-04;47;-52.3217;258548;10;23-jul-04;04:51:00;9.79;32.077;284;10.88;1.05;0.31;1.41;0.31
181C04552_284;FC-04;47;-52.3217;258549;4;23-jul-04;04:51:00;4.29;32.073;283.6;10.86;1.95;0.5;0.48;0.3
181C04552_304;FC-05;47;-52.0333;258550;132;23-jul-04;07:21:00;133.54;33.083;297.9;-0.38;11.1;1.27;8.59;NaN
181C04552_304;FC-05;47;-52.0333;258551;100;23-jul-04;07:21:00;101.29;32.755;341.2;-1.28;6.24;0.89;8.08;0
181C04552_304;FC-05;47;-52.0333;258552;75;23-jul-04;07:21:00;75.2;32.602;342.1;-1.34;4.84;0.81;6.28;0
181C04552_304;FC-05;47;-52.0333;258553;50;23-jul-04;07:21:00;50.57;32.467;347.9;-1.06;2.74;0.83;4.81;0.13
181C04552_304;FC-05;47;-52.0333;258554;40;23-jul-04;07:21:00;40.27;32.423;360.8;-0.66;2.48;0.8;3.61;0.96
181C04552_304;FC-05;47;-52.0333;258555;30;23-jul-04;07:21:00;30.11;32.329;373.4;0.87;1.25;0.42;0.55;0.83
181C04552_304;FC-05;47;-52.0333;258556;20;23-jul-04;07:21:00;19.99;32.158;368.4;2.19;1.49;0.4;1.31;0.24
181C04552_304;FC-05;47;-52.0333;258557;10;23-jul-04;07:21:00;9.91;31.858;295.6;9.61;1.24;0.37;0.12;0.34
181C04552_304;FC-05;47;-52.0333;258558;5;23-jul-04;07:21:00;4.99;31.843;284;11.05;1.32;0.36;0.53;0.31
181C04552_315;FC-06;47;-51.485;258559;96;23-jul-04;10:13:00;96.68;33.178;256.3;0.38;NaN;NaN;NaN;NaN
181C04552_326;FC-07;47;-51;258560;98;23-jul-04;12:30:00;98.66;33.087;292.1;-0.04;10.14;1.27;8.39;0.01
181C04552_326;FC-07;47;-51;258561;75;23-jul-04;12:30:00;76.08;32.881;334.9;-0.66;4.26;0.95;5.95;0
181C04552_326;FC-07;47;-51;258562;49;23-jul-04;12:30:00;49.48;32.718;355;0.19;2.85;0.76;3.52;1.33
181C04552_326;FC-07;47;-51;258563;40;23-jul-04;12:30:00;40.82;32.604;356.8;0.16;1.62;0.65;2.13;0.92
181C04552_326;FC-07;47;-51;258564;31;23-jul-04;12:30:00;31.5;32.546;372.9;1.77;1.13;0.4;0.13;0.98
181C04552_326;FC-07;47;-51;258565;19;23-jul-04;12:30:00;19.16;32.272;301.9;8.71;1.72;0.34;0.83;0.43
181C04552_326;FC-07;47;-51;258566;10;23-jul-04;12:30:00;9.77;32.255;284.5;10.78;1.3;0.33;0.58;0.38
181C04552_326;FC-07;47;-51;258567;6;23-jul-04;12:30:00;6.38;32.248;284.5;10.86;1.21;0.31;0.19;0.36
181C04552_339;FC-08;47;-50.6667;258568;171;23-jul-04;14:38:00;172.09;33.266;258.6;0.39;NaN;NaN;NaN;NaN
