CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU86006_002;CAST#1;42.02667;-57.41167;30001;1004;18-apr-86;19:16:00;34.998;NaN;NaN;NaN;NaN
18HU86006_002;CAST#1;42.02667;-57.41167;30002;306;18-apr-86;19:16:00;35.455;NaN;9.99;1.08;21.36
18HU86006_058;CAST#1;41.25333;-48.49833;30259;3374;24-apr-86;09:55:00;35.006;295.2026;18.93;1.21;16.97
18HU86006_058;CAST#1;41.25333;-48.49833;30260;3326;24-apr-86;09:55:00;35.004;293.4162;18.85;1.24;16.84
18HU86006_058;CAST#1;41.25333;-48.49833;30261;3275;24-apr-86;09:55:00;35.007;294.756;17.45;1.27;16.67
18HU86006_058;CAST#1;41.25333;-48.49833;30262;3172;24-apr-86;09:55:00;35.016;292.523;17.87;1.21;16.6
18HU86006_058;CAST#1;41.25333;-48.49833;30263;2998;24-apr-86;09:55:00;35.026;290.7366;15.6;1.19;17.14
18HU86006_058;CAST#1;41.25333;-48.49833;30264;2845;24-apr-86;09:55:00;35.037;289.8434;15.61;1.23;17.44
18HU86006_058;CAST#1;41.25333;-48.49833;30265;2693;24-apr-86;09:55:00;35.042;288.057;15.01;1.21;17.45
18HU86006_058;CAST#1;41.25333;-48.49833;30266;2539;24-apr-86;09:55:00;35.043;288.5036;14.76;1.22;17.39
18HU86006_058;CAST#1;41.25333;-48.49833;30267;2333;24-apr-86;09:55:00;35.071;278.6784;17.26;1.28;18.32
18HU86006_058;CAST#1;41.25333;-48.49833;30268;2067;24-apr-86;09:55:00;35.08;280.9114;15.91;1.27;18.38
18HU86006_058;CAST#1;41.25333;-48.49833;30269;1924;24-apr-86;09:55:00;35.082;276.892;14.53;1.23;18.58
18HU86006_058;CAST#1;41.25333;-48.49833;30270;1717;24-apr-86;09:55:00;35.086;278.6784;13.31;1.24;18.39
18HU86006_058;CAST#1;41.25333;-48.49833;30271;1513;24-apr-86;09:55:00;35.084;278.2318;12.25;1.23;18.2
18HU86006_058;CAST#1;41.25333;-48.49833;30272;1312;24-apr-86;09:55:00;35.076;277.7852;11.64;1.23;18.08
18HU86006_058;CAST#1;41.25333;-48.49833;30273;1108;24-apr-86;09:55:00;35.07;280.0182;10.93;1.21;18.03
18HU86006_058;CAST#1;41.25333;-48.49833;30274;904;24-apr-86;09:55:00;35.09;265.727;11.18;1.27;18.67
18HU86006_058;CAST#1;41.25333;-48.49833;30275;703;24-apr-86;09:55:00;35.124;249.2028;11.98;1.29;19.58
18HU86006_058;CAST#1;41.25333;-48.49833;30276;501;24-apr-86;09:55:00;34.888;258.1348;11.38;1.27;18.34
18HU86006_058;CAST#1;41.25333;-48.49833;30277;297;24-apr-86;09:55:00;34.818;217.9408;11.42;1.29;18.84
18HU86006_058;CAST#1;41.25333;-48.49833;30278;9;24-apr-86;09:55:00;NaN;247.4164;5.39;0.82;9.83
18HU86006_058;CAST#1;41.25333;-48.49833;30279;4;24-apr-86;09:55:00;NaN;299.6686;0.34;0.29;1.03
18HU86006_069;CAST#1;41.5;-49.00167;30280;3397;24-apr-86;14:16:00;35.001;296.0958;17.08;1.17;16.48
18HU86006_069;CAST#1;41.5;-49.00167;30281;3352;24-apr-86;14:16:00;35.001;296.0958;17.04;1.14;16.53
18HU86006_069;CAST#1;41.5;-49.00167;30282;3301;24-apr-86;14:16:00;35.002;294.756;17.64;1.13;16.59
18HU86006_069;CAST#1;41.5;-49.00167;30283;3201;24-apr-86;14:16:00;35.007;292.9696;18.56;1.13;16.53
18HU86006_069;CAST#1;41.5;-49.00167;30284;3047;24-apr-86;14:16:00;35.018;291.6298;16.82;1.14;16.6
18HU86006_069;CAST#1;41.5;-49.00167;30285;2945;24-apr-86;14:16:00;35.023;291.1832;15.45;0;16.84
18HU86006_069;CAST#1;41.5;-49.00167;30286;2740;24-apr-86;14:16:00;35.03;289.3968;14.8;1.13;17.03
18HU86006_069;CAST#1;41.5;-49.00167;30287;2537;24-apr-86;14:16:00;35.036;287.1638;19.94;1.13;17.06
18HU86006_069;CAST#1;41.5;-49.00167;30288;2330;24-apr-86;14:16:00;35.045;284.0376;15.09;1.15;17.41
18HU86006_069;CAST#1;41.5;-49.00167;30289;2126;24-apr-86;14:16:00;35.049;284.9308;14.89;1.19;17.48
18HU86006_069;CAST#1;41.5;-49.00167;30290;1923;24-apr-86;14:16:00;35.077;277.3386;16.58;1.2;18.56
18HU86006_069;CAST#1;41.5;-49.00167;30291;1720;24-apr-86;14:16:00;35.079;277.3386;14.22;1.22;18.35
18HU86006_069;CAST#1;41.5;-49.00167;30292;1513;24-apr-86;14:16:00;35.073;280.4648;12.27;1.17;17.75
18HU86006_069;CAST#1;41.5;-49.00167;30293;1313;24-apr-86;14:16:00;35.056;286.2706;11.43;1.17;17.67
18HU86006_069;CAST#1;41.5;-49.00167;30294;1110;24-apr-86;14:16:00;35.036;281.8046;11.56;1.15;18.03
18HU86006_069;CAST#1;41.5;-49.00167;30295;907;24-apr-86;14:16:00;35.044;279.125;10.77;1.14;17.87
18HU86006_069;CAST#1;41.5;-49.00167;30296;705;24-apr-86;14:16:00;35.102;262.6008;11.5;1.18;18.37
18HU86006_069;CAST#1;41.5;-49.00167;30297;500;24-apr-86;14:16:00;35.14;230.4456;12.84;1.3;20.67
18HU86006_069;CAST#1;41.5;-49.00167;30298;298;24-apr-86;14:16:00;34.826;259.028;11.41;1.17;17.78
18HU86006_069;CAST#1;41.5;-49.00167;30299;98;24-apr-86;14:16:00;34.419;202.7564;7.41;0.97;13.45
