CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_008;S27-07;47.84;-51.19;258003;5;05-dec-03;21:31:00;32.41;334.947;1.85;5.08;0.62;4.35;0.93
18HU03075_009;S27-06;47.79;-51.42;258004;138;05-dec-03;23:25:00;33.32;297.8349;-0.85;NaN;NaN;NaN;NaN
18HU03075_010;S27-05;47.74;-51.65;258005;149;06-dec-03;00:38:00;33.23;303.6853;-0.96;11.84;0.95;10.75;NaN
18HU03075_010;S27-05;47.74;-51.65;258006;99;06-dec-03;00:38:00;32.91;314.6715;-0.71;9.08;0.82;8.73;0.04
18HU03075_010;S27-05;47.74;-51.65;258007;73;06-dec-03;00:38:00;32.81;317.1278;-0.84;8.76;0.81;8.23;0.05
18HU03075_010;S27-05;47.74;-51.65;258008;49;06-dec-03;00:38:00;32.68;325.3005;1.07;6.17;0.63;5.55;0.12
18HU03075_010;S27-05;47.74;-51.65;258009;40;06-dec-03;00:38:00;32.49;326.5063;1.32;5.65;0.63;4.77;0.26
18HU03075_010;S27-05;47.74;-51.65;258010;31;06-dec-03;00:38:00;32.38;329.1412;1.83;4.86;0.61;4.35;0.54
18HU03075_010;S27-05;47.74;-51.65;258011;20;06-dec-03;00:38:00;32.25;330.5257;2.19;3.67;0.49;3.1;0.74
18HU03075_010;S27-05;47.74;-51.65;258012;10;06-dec-03;00:38:00;32.23;331.2402;2.26;4.64;0.65;3.61;0.84
18HU03075_010;S27-05;47.74;-51.65;258013;5;06-dec-03;00:38:00;32.23;331.1063;2.26;4.14;0.57;3.62;0.72
18HU03075_011;S27-04;47.68;-51.88;258014;179;06-dec-03;02:26:00;33.3;298.3708;-0.88;NaN;NaN;NaN;NaN
