CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL09037_1017;1081;47.83217;-62.24633;342523;1.69;20-jun-09;07:06:00;29.17;12.26;303.77732;8.747;NaN;0.01;0.025;0.035;2.62;NaN;0.94;3.383
18TL09037_1018;1091;47.83217;-62.74667;342525;56.81;20-jun-09;09:42:00;31.89;-0.38;313.37922;8.443;NaN;0.14;0.98;7.075;12.375;NaN;0.125;0.369
18TL09037_1018;1091;47.83217;-62.74667;342527;25.98;20-jun-09;09:42:00;30.82;2.47;363.17512;8.606;NaN;0.11;0.66;3.77;3.475;NaN;0.25;0.826
18TL09037_1018;1091;47.83217;-62.74667;342528;16.36;20-jun-09;09:42:00;30.03;8.06;346.42762;8.691;NaN;0.025;0.13;0.42;1.175;NaN;1.54;5.712
18TL09037_1018;1091;47.83217;-62.74667;342529;7.14;20-jun-09;09:42:00;28.53;11.61;318.8724;8.729;NaN;0.015;0.06;0.035;5.785;NaN;1.195;3.64
18TL09037_1018;1091;47.83217;-62.74667;342530;2.48;20-jun-09;09:42:00;28.59;11.46;321.28404;8.748;NaN;0.01;0.05;0.03;5.44;NaN;1.305;3.475
18TL09037_1019;1151;47.83233;-63.25233;342546;81.59;20-jun-09;23:57:00;32.07;-0.19;269.88038;8.344;263.78429;0.215;1.41;12.645;22.13;NaN;0.18;0.415
18TL09037_1019;1151;47.83233;-63.25233;342547;51.26;20-jun-09;23:57:00;31.49;0.44;338.43348;8.493;NaN;0.145;1.005;7.42;9.815;NaN;0.11;0.415
18TL09037_1019;1151;47.83233;-63.25233;342548;26.47;20-jun-09;23:57:00;30.53;3.28;361.03144;8.637;NaN;0.085;0.585;3.15;3.215;NaN;0.225;0.639
18TL09037_1019;1151;47.83233;-63.25233;342549;16.46;20-jun-09;23:57:00;29.17;6.9;336.7364;8.645;NaN;0.07;0.35;2.51;4.695;NaN;2.085;2.995
18TL09037_1019;1151;47.83233;-63.25233;342550;6.74;20-jun-09;23:57:00;28.59;11.68;324.05296;8.741;NaN;0.01;0.065;0.035;6.155;NaN;1.19;3.883
18TL09037_1019;1151;47.83233;-63.25233;342551;2.68;20-jun-09;23:57:00;28.59;11.71;325.25878;8.767;328.07236;0.01;0.06;0.03;6.02;NaN;1.23;3.727
18TL09037_1020;391;47.58417;-59.34267;342293;243.01;12-jun-09;15:49:00;34.47;5.43;195.34284;8.486;196.12439;0.09;1.05;12.84;10.665;NaN;NaN;0.248
18TL09037_1020;391;47.58417;-59.34267;342294;197.54;12-jun-09;15:49:00;34.12;4.8;215.35052;8.5;NaN;0.035;1.005;10.87;9.525;NaN;NaN;0.253
18TL09037_1020;391;47.58417;-59.34267;342295;101.52;12-jun-09;15:49:00;32.69;1.13;322.08792;8.564;NaN;0.07;0.65;5.055;3.365;0.05;NaN;0.295
18TL09037_1020;391;47.58417;-59.34267;342296;49.77;12-jun-09;15:49:00;32.13;1.83;351.20624;8.605;NaN;0.05;0.535;2.335;1.5;0.2;NaN;0.67
18TL09037_1020;391;47.58417;-59.34267;342297;25.98;12-jun-09;15:49:00;31.85;4.12;348.83926;8.661;NaN;0.01;0.3;0.145;0;0.19;NaN;0.513
18TL09037_1020;391;47.58417;-59.34267;342298;15.67;12-jun-09;15:49:00;31.21;6.92;327.49178;8.653;NaN;0.01;0.3;0.2;0;0.42;NaN;1.003
18TL09037_1020;391;47.58417;-59.34267;342299;5.85;12-jun-09;15:49:00;31.16;7.23;324.36558;8.668;NaN;0.01;0.21;0.065;0;0.6;NaN;1.147
18TL09037_1020;391;47.58417;-59.34267;342300;1.78;12-jun-09;15:49:00;31.16;7.23;324.4549;8.68;326.35295;0.005;0.315;0.045;0;0.56;NaN;1.234
