CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL09037_1038;621;47.50033;-64.2475;342418;56.12;15-jun-09;10:52:00;31.62;-0.03;282.6978;8.387;316.39377;0.2;1.22;9.445;13.03;2.23;NaN;0.45
18TL09037_1038;621;47.50033;-64.2475;342419;24.99;15-jun-09;10:52:00;28.45;5.26;332.40438;8.62;NaN;0.12;0.53;4.785;6.745;0.14;NaN;0.829
18TL09037_1038;621;47.50033;-64.2475;342420;15.47;15-jun-09;10:52:00;27.88;6.89;321.95394;8.64;NaN;0.095;0.4;3.855;3.68;NaN;0.52;2.001
18TL09037_1038;621;47.50033;-64.2475;342421;5.65;15-jun-09;10:52:00;27.58;9.99;347.09752;8.804;NaN;0.015;0.03;0.085;0;NaN;0.415;1.916
18TL09037_1038;621;47.50033;-64.2475;342422;13.49;15-jun-09;10:52:00;27.68;8.24;328.9209;8.768;NaN;NaN;NaN;NaN;NaN;NaN;3.615;14.233
18TL09037_1039;631;47.5;-63.74983;342423;66.23;15-jun-09;13:38:00;31.77;-0.59;284.2609;8.392;287.11914;0.22;1.34;11.11;18.845;NaN;0.115;0.397
18TL09037_1039;631;47.5;-63.74983;342424;50.87;15-jun-09;13:38:00;31.42;-0.66;329.23352;8.475;NaN;0.185;1.14;8.75;12.415;NaN;0.105;0.383
18TL09037_1039;631;47.5;-63.74983;342425;25.58;15-jun-09;13:38:00;30.6;1.08;332.18108;8.495;NaN;0.155;0.99;7.25;6.615;NaN;0.15;0.687
18TL09037_1039;631;47.5;-63.74983;342426;13.39;15-jun-09;13:38:00;28.87;7.12;326.10732;8.704;NaN;0.04;0.25;0.73;1.25;NaN;1.43;2.995
18TL09037_1039;631;47.5;-63.74983;342427;5.75;15-jun-09;13:38:00;28.24;10.93;316.59474;8.764;NaN;0.015;0.055;0.235;2.365;NaN;1.13;2.471
18TL09037_1039;631;47.5;-63.74983;342428;1.49;15-jun-09;13:38:00;28.01;10.91;320.74812;8.792;321.21705;0.01;0.11;0.045;3;NaN;0.69;1.63
18TL09037_1040;671;46.57083;-62.25017;342429;41.55;16-jun-09;02:04:00;31.05;0.37;314.09378;8.496;306.99284;0.115;1.055;4.15;3.92;NaN;0.22;0.405
18TL09037_1040;671;46.57083;-62.25017;342430;26.08;16-jun-09;02:04:00;30.11;3.6;353.7072;8.671;NaN;0.08;0.59;1.87;1.495;NaN;0.3;0.828
18TL09037_1040;671;46.57083;-62.25017;342431;15.87;16-jun-09;02:04:00;29.19;7.84;330.0374;8.747;NaN;0.01;0.165;0.05;0;NaN;0.905;2.189
18TL09037_1040;671;46.57083;-62.25017;342432;6.25;16-jun-09;02:04:00;28.45;10.93;313.87048;8.761;NaN;0.01;0.1;0.04;0.315;NaN;0.53;2.139
18TL09037_1041;701;47.17083;-62.7455;342434;61.08;16-jun-09;09:34:00;32;-0.68;305.74236;8.461;300.65112;0.205;1.14;9.13;16.625;NaN;0.195;0.457
18TL09037_1041;701;47.17083;-62.7455;342435;26.18;16-jun-09;09:34:00;31.15;5.61;352.01012;8.687;NaN;0.005;0.445;0.075;1.46;NaN;0.89;2.791
18TL09037_1041;701;47.17083;-62.7455;342436;16.76;16-jun-09;09:34:00;30.69;6.17;347.27616;8.737;NaN;0.01;0.355;0.13;0.925;NaN;1.035;3.041
18TL09037_1041;701;47.17083;-62.7455;342437;6.35;16-jun-09;09:34:00;30.42;10.25;313.69184;8.724;NaN;0.01;0.26;0.05;0.99;NaN;0.34;1.55
18TL09037_1041;701;47.17083;-62.7455;342438;1.49;16-jun-09;09:34:00;30.42;10.2;314.36174;8.745;313.71417;0.005;0.25;0.025;1.11;NaN;0.315;1.4
18TL09037_1042;711;47.17167;-63.255;342439;62.27;16-jun-09;12:25:00;31.46;-1;319.5423;8.462;310.43166;0.13;1.18;8.25;12.15;NaN;0.14;0.462
18TL09037_1042;711;47.17167;-63.255;342440;51.66;16-jun-09;12:25:00;31.44;-0.9;323.1151;8.448;NaN;0.14;1.15;8.24;11.745;NaN;0.105;0.448
18TL09037_1042;711;47.17167;-63.255;342441;25.58;16-jun-09;12:25:00;30.95;1.07;362.81784;8.615;NaN;0.1;0.775;4.68;4.29;NaN;0.235;0.671
18TL09037_1042;711;47.17167;-63.255;342442;15.67;16-jun-09;12:25:00;29.9;6.12;344.73054;8.693;NaN;0.04;0.375;1.585;2.48;NaN;1.97;7.002
18TL09037_1042;711;47.17167;-63.255;342443;5.65;16-jun-09;12:25:00;28.42;10.48;325.08014;8.749;NaN;0.01;0.13;0.04;3.34;NaN;0.915;1.854
18TL09037_1042;711;47.17167;-63.255;342444;1.79;16-jun-09;12:25:00;28.49;10.48;325.1248;8.778;326.17431;0.01;0.105;0.025;3.56;NaN;1.115;2.001
18TL09037_1043;731;46.50117;-63.24733;342445;23.6;16-jun-09;17:28:00;29.79;4.38;277.29394;8.553;278.0085;0.165;0.75;3.245;7.145;NaN;0.205;0.745
18TL09037_1043;731;46.50117;-63.24733;342446;15.77;16-jun-09;17:28:00;29.12;6.43;294.39872;8.652;NaN;0.11;0.505;1.745;3.56;NaN;0.255;1.297
18TL09037_1043;731;46.50117;-63.24733;342447;5.95;16-jun-09;17:28:00;28.37;10.64;310.6103;8.728;NaN;0.01;0.13;0.05;0.7;NaN;0.71;1.327
18TL09037_1043;731;46.50117;-63.24733;342448;1.69;16-jun-09;17:28:00;28.19;13.52;299.35598;8.745;301.72296;0.015;0.115;0.05;0.65;NaN;0.275;0.711
18TL09037_1044;741;46.83667;-63.74867;342449;31.83;16-jun-09;20:56:00;30.44;1.5;277.60656;8.396;283.32304;0.155;1.145;6.71;7.135;NaN;0.12;0.588
18TL09037_1044;741;46.83667;-63.74867;342450;25.78;16-jun-09;20:56:00;29.46;3.93;287.74438;8.504;NaN;0.105;0.75;3.71;3.925;NaN;0.295;0.875
18TL09037_1044;741;46.83667;-63.74867;342451;16.36;16-jun-09;20:56:00;28.83;8.51;320.92676;8.718;NaN;0.015;0.185;0.145;0.535;NaN;1.135;3.486
18TL09037_1044;741;46.83667;-63.74867;342452;5.55;16-jun-09;20:56:00;28.08;12.2;305.74236;8.758;NaN;0.01;0.085;0.025;0.3;NaN;0.745;2.626
18TL09037_1044;741;46.83667;-63.74867;342453;1.69;16-jun-09;20:56:00;28.07;12.41;305.83168;8.771;308.64526;0.01;0.085;0.025;0.43;NaN;0.67;2.331
18TL09037_1045;901;46.49783;-61.75017;342454;41.15;18-jun-09;08:08:00;31.17;1.03;333.69952;8.516;329.45682;0.09;0.83;2.98;4.11;NaN;0.11;0.486
18TL09037_1045;901;46.49783;-61.75017;342455;26.58;18-jun-09;08:08:00;30.85;2.04;331.73448;8.518;NaN;0.105;0.765;2.69;2.59;NaN;0.235;0.732
18TL09037_1045;901;46.49783;-61.75017;342456;16.16;18-jun-09;08:08:00;29.75;7.05;324.54422;8.655;NaN;0.015;0.25;0.11;0.54;NaN;0.93;2.771
18TL09037_1045;901;46.49783;-61.75017;342457;6.35;18-jun-09;08:08:00;29.15;10.37;310.6103;8.673;NaN;0.01;0.155;0.19;0.71;NaN;0.83;2.598
18TL09037_1046;921;46.83167;-60.92017;342459;100.63;18-jun-09;13:48:00;33.36;2.29;234.28636;8.41;233.01355;0.225;1.315;15.025;16.32;NaN;0.07;0.326
18TL09037_1046;921;46.83167;-60.92017;342460;50.67;18-jun-09;13:48:00;31.87;-0.08;317.26464;8.474;NaN;0.11;0.95;6.31;4.84;NaN;0.51;0.439
18TL09037_1046;921;46.83167;-60.92017;342461;26.28;18-jun-09;13:48:00;29.76;8.66;307.12682;8.625;NaN;0.01;0.235;0.06;0.53;NaN;0.625;1.794
18TL09037_1046;921;46.83167;-60.92017;342462;15.17;18-jun-09;13:48:00;29.3;11.3;306.45692;8.69;NaN;0.01;0.13;0.05;0.4;NaN;0.51;2.763
18TL09037_1046;921;46.83167;-60.92017;342463;4.96;18-jun-09;13:48:00;29.21;11.52;304.53654;8.723;NaN;0.005;0.135;0.05;0.375;NaN;0.635;1.38
18TL09037_1046;921;46.83167;-60.92017;342464;1.69;18-jun-09;13:48:00;29.21;11.53;304.62586;8.73;307.21614;0.005;0.135;0.05;0.37;NaN;0.485;1.519
18TL09037_1047;951;47.16917;-61.7435;342465;26.18;18-jun-09;20:42:00;31.23;3.41;349.9111;8.661;347.76742;0.025;0.56;0.85;1.725;NaN;0.39;1.998
18TL09037_1047;951;47.16917;-61.7435;342466;15.47;18-jun-09;20:42:00;30.93;7.68;336.82572;8.684;NaN;0.005;0.37;0.03;0;NaN;0.165;0.801
18TL09037_1047;951;47.16917;-61.7435;342467;5.06;18-jun-09;20:42:00;30.56;11.38;307.0375;8.69;NaN;0.005;0.29;0.025;0.385;NaN;0.24;0.778
18TL09037_1047;951;47.16917;-61.7435;342468;2.98;18-jun-09;20:42:00;30.56;11.14;308.3773;8.707;311.92777;0.005;0.28;0.035;0.335;NaN;0.25;0.727
18TL09037_1048;961;47.50267;-61.245;342469;26.77;19-jun-09;00:00:00;31.14;4.66;339.1927;8.662;337.09368;0.05;0.495;0.94;1.46;NaN;2.635;3.539
18TL09037_1048;961;47.50267;-61.245;342470;15.37;19-jun-09;00:00:00;30.98;5.98;352.54604;8.708;NaN;0.015;0.35;0.04;0;NaN;0.75;5.221
18TL09037_1048;961;47.50267;-61.245;342471;5.95;19-jun-09;00:00:00;30.8;9.89;318.6491;8.684;NaN;0.01;0.335;0.035;0;NaN;0.265;1.72
18TL09037_1048;961;47.50267;-61.245;342472;1.49;19-jun-09;00:00:00;30.8;9.88;318.55978;8.699;322.15491;0.005;0.335;0.03;0;NaN;0.3;1.636
18TL09037_1049;971;47.4995;-60.74583;342473;51.46;19-jun-09;02:26:00;32.17;0.41;352.68002;8.604;345.4451;0.105;0.705;4.78;3.84;NaN;0.18;0.579
18TL09037_1049;971;47.4995;-60.74583;342474;25.98;19-jun-09;02:26:00;31.74;2.19;365.05084;8.644;NaN;0.04;0.5;1.425;0.84;NaN;0.135;0.527
18TL09037_1049;971;47.4995;-60.74583;342475;16.36;19-jun-09;02:26:00;31.42;6.58;336.0665;8.646;NaN;0.015;0.37;0.13;0.35;NaN;0.235;0.868
18TL09037_1049;971;47.4995;-60.74583;342476;6.54;19-jun-09;02:26:00;30.93;9.6;314.13844;8.659;NaN;0.005;0.28;0.025;0.68;NaN;0.24;0.886
18TL09037_1049;971;47.4995;-60.74583;342477;1.49;19-jun-09;02:26:00;30.93;9.6;314.13844;8.674;316.05882;0.005;0.305;0.025;0.87;NaN;0.23;0.902
