CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18NA97052_284;CAST#1;45.7432;-60.799;180715;15;25-sep-97;13:57:00;21.544;15.009;270.4163;2.435;0.056;0.0975;0.03
18NA97052_284;CAST#1;45.7432;-60.799;180716;5;25-sep-97;13:57:00;21.543;15.102;271.93474;2.495;0.056;0.1055;0
18NA97052_284;CAST#1;45.7432;-60.799;180717;1;25-sep-97;13:57:00;21.542;15.115;271.89008;2.475;0.056;0.1045;0.01
18NA97052_304;CAST#1;45.8202;-60.851;180718;150;25-sep-97;15:03:00;NaN;NaN;296.989;10.82;0.069;0.8585;5.375
18NA97052_304;CAST#1;45.8202;-60.851;180720;125;25-sep-97;15:03:00;NaN;NaN;294.88998;10.085;0.056;0.803;5.04
18NA97052_326;CAST#1;45.9153;-60.9622;180721;11;25-sep-97;16:40:00;23.138;15.335;251.48046;4.11;0.133;0.26;0.265
18NA97052_326;CAST#1;45.9153;-60.9622;180722;5;25-sep-97;16:40:00;22.066;14.856;268.6299;3.655;0.056;0.1775;0.02
18NA97052_326;CAST#1;45.9153;-60.9622;180723;1;25-sep-97;16:40:00;21.867;14.88;267.7367;3.645;0.056;0.169;0.02
18NA97052_339;CAST#1;45.902;-61.0557;180724;8;25-sep-97;17:10:00;22.778;15.774;243.75428;5;0.12;0.3715;0.27
18NA97052_339;CAST#1;45.902;-61.0557;180725;1;25-sep-97;17:10:00;21.892;15.183;265.5037;4.195;0.056;0.229;0.015
