CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE16016_002;HL_02;44.27353;-63.31478;412010;2.74;28-jun-16;00:51:00;2.749;30.8533;13.1875;6.2485;0.55199;1;30.866;1;6.381;1;0;1;0;1;0.2765;1;0.96;1;0;0.00;0.00
18NE16016_002;HL_02;44.27346;-63.31482;412009;4.91;28-jun-16;00:51:00;4.918;30.8514;13.1861;6.2546;0.54049;1;NaN;9;NaN;9;0;1;0.075;1;0.241;1;0.835;1;0;0.31;0.09
18NE16016_002;HL_02;44.27336;-63.31486;412008;9.71;28-jun-16;00:50:00;9.711;30.8425;13.1832;6.2479;1.13848;1;NaN;9;NaN;9;0;1;0.08;1;0.3155;1;0.95;1;0;0.25;0.08
18NE16016_002;HL_02;44.27322;-63.31494;412007;20.24;28-jun-16;00:49:00;20.244;31.1378;7.9145;7.1716;0.83948;1;NaN;9;NaN;9;0;1;0.105;1;0.3455;1;0.825;1;0;0.30;0.13
18NE16016_002;HL_02;44.2731;-63.31502;412006;31.47;28-jun-16;00:49:00;31.476;31.4965;3.24;7.445;0.87398;1;NaN;9;NaN;9;0.12;1;0.31;1;0.596;1;1.21;1;0;0.52;0.26
18NE16016_002;HL_02;44.27296;-63.3151;412005;40.43;28-jun-16;00:48:00;40.433;31.6287;2.445;7.166;0.48092;1;31.633;1;7.3765;1;0.215;1;1.56;1;0.6055;1;1.925;1;0;2.58;0.81
18NE16016_002;HL_02;44.27285;-63.31518;412004;49.97;28-jun-16;00:47:00;49.974;31.7678;2.3048;6.9762;0.25763;1;NaN;9;NaN;9;0.23;1;2.645;1;0.6695;1;2.79;1;0;3.95;0.95
18NE16016_002;HL_02;44.27256;-63.31538;412003;75.37;28-jun-16;00:46:00;75.374;32.3142;3.0642;6.2112;0.04095;1;NaN;9;NaN;9;0.025;1;6.975;1;0.9045;1;6.795;1;0;7.71;1.03
