CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l);((none));((none));((none));((none))
18HU06019_175;Transit_04;45.6203;-59.3968;299588;10.2;05-jun-06;16:17:00;7.3;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299586;20.1;05-jun-06;16:15:00;7.7;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299585;30.3;05-jun-06;16:14:00;7.7;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299584;39.5;05-jun-06;16:14:00;7.7;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299583;49.4;05-jun-06;16:13:00;7.6;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299582;60.4;05-jun-06;16:12:00;7.2;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299581;79.9;05-jun-06;16:11:00;6.7;1;0;NaN;NaN
18HU06019_175;Transit_04;45.6203;-59.3968;299579;118.8;05-jun-06;16:09:00;6.3;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299628;21.2;06-jun-06;17:12:00;7.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299627;100.5;06-jun-06;17:10:00;4.9;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299626;200.3;06-jun-06;17:07:00;3.5;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299625;379.3;06-jun-06;17:04:00;4.7;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299624;501.6;06-jun-06;17:01:00;5.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299623;700.6;06-jun-06;16:57:00;5.6;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299622;902;06-jun-06;16:54:00;5.8;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299621;1100.9;06-jun-06;16:50:00;6;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299620;1251.4;06-jun-06;16:47:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299619;1398.7;06-jun-06;16:44:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299618;1600.7;06-jun-06;16:40:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299617;1801.6;06-jun-06;16:37:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299616;2001;06-jun-06;16:33:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299615;2200.3;06-jun-06;16:30:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299614;2351.3;06-jun-06;16:27:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299613;2599.7;06-jun-06;16:23:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299612;2851.6;06-jun-06;16:18:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299611;3048.9;06-jun-06;16:15:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299610;3250.6;06-jun-06;16:11:00;6.3;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299609;3450;06-jun-06;16:07:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299608;3640.1;06-jun-06;16:03:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299607;3821.1;06-jun-06;15:59:00;6.2;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299606;4000.4;06-jun-06;15:54:00;6.1;1;0;NaN;NaN
18HU06019_178;HL_10;42.0295;-61.078;299605;4137.7;06-jun-06;15:51:00;6.1;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299652;10;06-jun-06;22:00:00;6.9;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299651;100.3;06-jun-06;21:58:00;4.7;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299650;200.4;06-jun-06;21:56:00;-76.4;4;6;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299649;350.5;06-jun-06;21:53:00;4.5;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299648;601.1;06-jun-06;21:47:00;5.6;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299647;801.2;06-jun-06;21:43:00;5.9;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299646;1001.4;06-jun-06;21:38:00;6.1;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299645;1200.6;06-jun-06;21:34:00;6.1;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299644;1389.8;06-jun-06;21:31:00;6.1;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299643;1561.7;06-jun-06;21:28:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299642;1739.4;06-jun-06;21:25:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299641;1921.8;06-jun-06;21:22:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299640;2169.5;06-jun-06;21:18:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299639;2368.9;06-jun-06;21:14:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299638;2550.5;06-jun-06;21:11:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299637;2739.5;06-jun-06;21:08:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299636;2901.2;06-jun-06;21:05:00;6.3;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299635;3062.3;06-jun-06;21:02:00;6.3;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299634;3211.9;06-jun-06;20:59:00;6.3;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299633;3341.7;06-jun-06;20:57:00;6.3;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299632;3461.4;06-jun-06;20:54:00;6.3;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299631;3570.6;06-jun-06;20:52:00;6.2;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299630;3701.3;06-jun-06;20:49:00;6.3;1;0;NaN;NaN
18HU06019_187;HL_09;42.2333;-61.2098;299629;3855.3;06-jun-06;20:46:00;6.3;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299676;10.9;07-jun-06;02:02:00;6.9;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299675;102.1;07-jun-06;02:00:00;4.4;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299674;200.2;07-jun-06;01:58:00;3.4;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299673;349.8;07-jun-06;01:55:00;4.5;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299672;500.9;07-jun-06;01:48:00;5.2;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299671;651;07-jun-06;01:45:00;5.6;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299670;821;07-jun-06;01:42:00;6;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299669;1040.5;07-jun-06;01:36:00;5.9;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299668;1200.5;07-jun-06;01:31:00;6;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299667;1400.7;07-jun-06;01:28:00;6.1;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299666;1601.5;07-jun-06;01:25:00;6.1;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299665;1801.4;07-jun-06;01:21:00;6.1;1;0;NaN;NaN
18HU06019_192;HL_08;42.3785;-61.3033;299664;1979.6;07-jun-06;01:18:00;6.2;1;0;NaN;NaN
