CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;FLOR;DOXY;OXYM_01;Q_OXYM;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mg/m**3);(ml/l);(mmol/m**3);((none));((none));((none));((none))
18TL06043_861;11;46.882;-60.14867;290135;1.49;03-aug-06;11:19:00;28.12;19.19;2.558;244.5135;5.4335;7;256;NaN;NaN
18TL06043_861;11;46.882;-60.14867;290134;157.92;03-aug-06;11:19:00;33.99;4.37;0.264;163.50026;3.617;7;256;NaN;NaN
18TL06043_868;21;46.95383;-60.02017;290137;1.98;03-aug-06;13:37:00;28.94;17.92;2.311;255.81248;5.681;7;256;NaN;NaN
18TL06043_868;21;46.95383;-60.02017;290136;149.99;03-aug-06;13:37:00;34.08;4.64;0.232;173.23614;3.755;7;256;NaN;NaN
18TL06043_869;31;47.08333;-59.9175;290140;1.49;03-aug-06;15:30:00;30.41;17;1.117;259.16198;5.797;7;256;NaN;NaN
18TL06043_869;31;47.08333;-59.9175;290139;249.85;03-aug-06;15:30:00;34.63;5.8;0.186;149.611;3.2415;7;256;NaN;NaN
18TL06043_869;31;47.08333;-59.9175;290138;369.96;03-aug-06;15:30:00;34.83;5.29;0.201;165.82258;3.7415;7;256;NaN;NaN
18TL06043_870;41;47.184;-59.79883;290143;1.49;03-aug-06;16:43:00;30.4;17.26;1.213;258.44742;5.7795;7;256;NaN;NaN
18TL06043_870;41;47.184;-59.79883;290142;252.13;03-aug-06;16:43:00;34.73;5.68;0.215;149.3877;3.298;7;256;NaN;NaN
18TL06043_870;41;47.184;-59.79883;290141;431.23;03-aug-06;16:43:00;34.87;5;0.199;179.5332;4.0565;7;256;NaN;NaN
18TL06043_871;51;47.28317;-59.683;290146;1.49;03-aug-06;18:08:00;30.25;16.69;1.203;263.0474;5.867;7;256;NaN;NaN
18TL06043_871;51;47.28317;-59.683;290145;251.04;03-aug-06;18:08:00;34.68;5.83;0.2;147.42266;3.338;7;256;NaN;NaN
18TL06043_871;51;47.28317;-59.683;290144;460.91;03-aug-06;18:08:00;34.88;4.97;0.187;187.7953;4.28;7;256;NaN;NaN
18TL06043_872;61;47.38417;-59.566;290149;2.28;03-aug-06;19:24:00;30.45;15.98;1.331;264.34254;6.027;7;256;NaN;NaN
18TL06043_872;61;47.38417;-59.566;290148;251.23;03-aug-06;19:24:00;34.64;5.83;0.202;145.32364;3.219;7;256;NaN;NaN
18TL06043_872;61;47.38417;-59.566;290147;462.68;03-aug-06;19:24:00;34.88;4.97;0.192;187.7953;4.275;7;256;NaN;NaN
18TL06043_873;71;47.47417;-59.44017;290152;2.38;03-aug-06;21:55:00;30.58;15.35;2.464;276.31142;6.122;7;256;NaN;NaN
18TL06043_873;71;47.47417;-59.44017;290151;250.83;03-aug-06;21:55:00;34.69;5.88;0.185;151.71002;3.355;7;256;NaN;NaN
18TL06043_873;71;47.47417;-59.44017;290150;438.34;03-aug-06;21:55:00;34.87;5.01;0.166;187.48268;6.152;7;256;NaN;NaN
18TL06043_874;81;47.59367;-59.3655;290155;1.98;04-aug-06;00:17:00;30.7;13.29;4.425;291.94242;6.46266659202866;7;256;NaN;NaN
18TL06043_874;81;47.59367;-59.3655;290154;250.83;04-aug-06;00:17:00;34.78;6.25;0.152;171.58372;3.846;7;256;NaN;NaN
18TL06043_874;81;47.59367;-59.3655;290153;260.64;04-aug-06;00:17:00;34.78;6.25;0.149;171.941;3.85966659202866;7;256;NaN;NaN
18TL06043_875;91;47.80733;-59.47283;290157;1.98;04-aug-06;02:37:00;31.34;6.57;2.324;312.1734;7.192;7;256;NaN;NaN
18TL06043_875;91;47.80733;-59.47283;290156;154.73;04-aug-06;02:37:00;34.26;5.28;0.179;173.99536;3.9595;7;256;NaN;NaN
18TL06043_860;101;47.74883;-59.58717;290160;1.78;04-aug-06;03:32:00;30.9;12.03;3.196;288.2803;6.416;7;256;NaN;NaN
18TL06043_860;101;47.74883;-59.58717;290159;250.13;04-aug-06;03:32:00;34.75;5.81;0.192;156.80126;3.597;7;256;NaN;NaN
18TL06043_860;101;47.74883;-59.58717;290158;370.73;04-aug-06;03:32:00;34.85;5.5;0.185;183.5526;4.142;7;256;NaN;NaN
18TL06043_862;111;47.7145;-59.61817;290163;1.88;04-aug-06;06:35:00;31.04;9.82;3.321;288.86088;6.6265;7;256;NaN;NaN
18TL06043_862;111;47.7145;-59.61817;290162;250.93;04-aug-06;06:35:00;34.72;5.91;0.186;153.6304;3.432;7;256;NaN;NaN
18TL06043_862;111;47.7145;-59.61817;290161;393.8;04-aug-06;06:35:00;34.86;5.17;0.184;183.46328;4.14;7;256;NaN;NaN
18TL06043_863;131;47.43283;-59.9305;290166;1.69;04-aug-06;12:38:00;30.39;16.92;0.967;257.4649;5.719;7;256;NaN;NaN
18TL06043_863;131;47.43283;-59.9305;290165;250.34;04-aug-06;12:38:00;34.68;5.71;0.203;151.26342;3.2775;7;256;NaN;NaN
18TL06043_863;131;47.43283;-59.9305;290164;489.3;04-aug-06;12:38:00;34.87;4.98;0.202;180.29242;4.0655;7;256;NaN;NaN
18TL06043_864;141;47.40183;-60.26;290168;1.88;04-aug-06;15:40:00;29.84;16.59;0.9;265.727;5.914;7;256;NaN;NaN
18TL06043_864;141;47.40183;-60.26;290167;193.88;04-aug-06;15:40:00;34.17;4.76;0.23;131.92564;2.883;7;256;NaN;NaN
18TL06043_865;151;47.69233;-60.10683;290171;1.78;04-aug-06;19:25:00;30.37;17.44;1.162;255.81248;5.689;7;256;NaN;NaN
18TL06043_865;151;47.69233;-60.10683;290170;250.63;04-aug-06;19:25:00;34.62;5.88;0.189;148.44984;3.299;7;256;NaN;NaN
18TL06043_865;151;47.69233;-60.10683;290169;504.62;04-aug-06;19:25:00;34.87;4.98;0.178;181.81086;4.14;7;256;NaN;NaN
18TL06043_866;171;47.65083;-60.45;290174;1.69;04-aug-06;23:12:00;30.17;17.38;2.862;260.41246;5.784;7;256;NaN;NaN
18TL06043_866;171;47.65083;-60.45;290173;250.43;04-aug-06;23:12:00;34.63;5.6;0.183;124.19946;2.823;7;256;NaN;NaN
18TL06043_866;171;47.65083;-60.45;290172;312.33;04-aug-06;23:12:00;34.76;5.5;0.191;143.22462;3.234;7;256;NaN;NaN
18TL06043_867;181;47.80067;-60.638;290176;3.87;05-aug-06;03:13:00;30.28;17.04;2.099;257.86684;5.978;7;256;NaN;NaN
18TL06043_867;181;47.80067;-60.638;290175;232.11;05-aug-06;03:13:00;34.41;5.29;0.237;119.73346;2.6445;7;256;NaN;NaN
