CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
181091058_014;CAST#1;47.29667;-59.73167;106092;54;27-nov-91;07:52:00;31.51;5.92;7.1204657411554;1;0.79;1;0.407;1;1.18;1;0;1.94;0.67
181091058_014;CAST#1;47.29667;-59.73167;106091;79;27-nov-91;07:52:00;32.29;2.24;7.38916256157635;1;0.9;1;0.42;1;1.1;1;0;2.14;0.82
181091058_014;CAST#1;47.29667;-59.73167;106090;104;27-nov-91;07:52:00;32.51;0.46;7.52351097178683;1;4.58;1;0.73;1;3.59;1;0;6.27;1.28
181091058_014;CAST#1;47.29667;-59.73167;106089;155;27-nov-91;07:52:00;32.97;0.65;6.80698611733095;1;6.03;1;0.858;1;4.28;1;0;7.03;1.41
181091058_014;CAST#1;47.29667;-59.73167;106088;204;27-nov-91;07:52:00;33.6;2.6;5.30676220331393;1;10.35;1;1.087;1;9.42;1;0;9.52;1.10
181091058_014;CAST#1;47.29667;-59.73167;106087;256;27-nov-91;07:52:00;34.23;4.63;4.20958351992835;1;14.56;1;1.29;1;15.01;1;0;11.29;0.97
181091058_014;CAST#1;47.29667;-59.73167;106086;306;27-nov-91;07:52:00;34.56;5.37;3.80653828929691;1;18.35;1;1.482;1;19.44;1;0;12.38;0.94
181091058_014;CAST#1;47.29667;-59.73167;106085;356;27-nov-91;07:52:00;34.72;5.27;3.38110165696373;1;21.94;1;1.679;1;28.19;1;0;13.07;0.78
181091058_014;CAST#1;47.29667;-59.73167;106084;472;27-nov-91;07:52:00;NaN;NaN;3.67218987908643;1;20.47;1;1.668;1;31.03;1;0;12.27;0.66
181091058_025;CAST#1;47.41667;-59.58667;106103;1;27-nov-91;10:01:00;31.41;5.67;7.18763994626064;1;1.12;1;0.427;1;1.71;1;0;2.62;0.65
181091058_025;CAST#1;47.41667;-59.58667;106102;54;27-nov-91;10:01:00;31.47;5.56;7.14285714285714;1;1.35;1;0.445;1;1.89;1;0;3.03;0.71
181091058_025;CAST#1;47.41667;-59.58667;106101;78;27-nov-91;10:01:00;32.33;2.48;7.36677115987461;1;4.33;1;0.709;1;3.86;1;0;6.11;1.12
181091058_025;CAST#1;47.41667;-59.58667;106100;103;27-nov-91;10:01:00;32.56;0.71;6.82937751903269;1;5.98;1;0.826;1;4.88;1;0;7.24;1.23
181091058_025;CAST#1;47.41667;-59.58667;106099;154;27-nov-91;10:01:00;33.18;1.18;6.33676668159427;1;11.55;1;1.123;1;11.6;1;0;10.28;1.00
181091058_025;CAST#1;47.41667;-59.58667;106098;205;27-nov-91;10:01:00;33.98;3.76;4.63502015226153;1;17.45;1;1.418;1;18.5;1;0;12.31;0.94
181091058_025;CAST#1;47.41667;-59.58667;106097;254;27-nov-91;10:01:00;34.46;5.19;4.14240931482311;1;17.78;1;1.458;1;18.81;1;0;12.19;0.95
181091058_025;CAST#1;47.41667;-59.58667;106096;306;27-nov-91;10:01:00;34.67;5.38;3.71697268248992;1;19.53;1;1.483;1;20.22;1;0;13.17;0.97
181091058_025;CAST#1;47.41667;-59.58667;106095;352;27-nov-91;10:01:00;34.79;5.15;3.53784146887595;1;22.49;1;1.678;1;29;1;0;13.40;0.78
181091058_025;CAST#1;47.41667;-59.58667;106094;467;27-nov-91;10:01:00;NaN;NaN;3.82892969099866;1;21.86;1;1.663;1;31.93;1;0;13.14;0.68
181091058_036;CAST#1;47.49667;-59.47167;106113;3;27-nov-91;11:38:00;31.41;5.41;7.18763994626064;1;1.18;1;0.439;1;1.61;1;0;2.69;0.73
181091058_036;CAST#1;47.49667;-59.47167;106112;53;27-nov-91;11:38:00;32.12;3.29;7.27720555306762;1;3.51;1;0.635;1;3.05;1;0;5.53;1.15
181091058_036;CAST#1;47.49667;-59.47167;106111;78;27-nov-91;11:38:00;32.42;1.56;7.32198835647112;1;5.48;1;0.796;1;4.2;1;0;6.88;1.30
181091058_036;CAST#1;47.49667;-59.47167;106110;103;27-nov-91;11:38:00;32.76;0.66;7.0756829377519;1;8.32;1;0.984;1;7.11;1;0;8.46;1.17
181091058_036;CAST#1;47.49667;-59.47167;106109;153;27-nov-91;11:38:00;33.39;1.92;5.93372145096283;1;13.07;1;1.23;1;13.02;1;0;10.63;1.00
181091058_036;CAST#1;47.49667;-59.47167;106108;204;27-nov-91;11:38:00;34.26;4.66;4.29914912673533;1;17.52;1;1.41;1;18.13;1;0;12.43;0.97
181091058_036;CAST#1;47.49667;-59.47167;106107;252;27-nov-91;11:38:00;34.61;5.45;3.64979847738468;1;21.01;1;1.512;1;22.28;1;0;13.90;0.94
181091058_036;CAST#1;47.49667;-59.47167;106106;299;27-nov-91;11:38:00;34.73;5.41;3.80653828929691;1;21.55;1;1.572;1;23.25;1;0;13.71;0.93
