Filename; Pressure; Uniqueno; Variable; Values; Test failed
18OL06008_819; 1.98; 289854; doxy; 6.44; Bottle-CTD Difference Problem
18OL06008_819; 320.36; 289846; doxy; 3.62; Bottle-CTD Difference Problem
18OL06008_820; 1.98; 289864; doxy; 6.49; Bottle-CTD Difference Problem
18OL06008_820; 455.17; 289855; doxy; 4.11; Bottle-CTD Difference Problem
18OL06008_821; 1.59; 289874; doxy; 6.54; Bottle-CTD Difference Problem
18OL06008_821; 459.42; 289865; doxy; 4.64; Bottle-CTD Difference Problem
18OL06008_822; 2.68; 289882; doxy; 6.45; Bottle-CTD Difference Problem
18OL06008_822; 245.68; 289875; doxy; 3.78; Bottle-CTD Difference Problem
18OL06008_823; 1.79; 289889; doxy; 6.40; Bottle-CTD Difference Problem
18OL06008_823; 176.35; 289883; doxy; 3.39; Bottle-CTD Difference Problem
18OL06008_824; 1.88; 289895; doxy; 6.44; Bottle-CTD Difference Problem
18OL06008_824; 72.48; 289890; doxy; 6.33; Bottle-CTD Difference Problem
18OL06008_825; 2.28; 289901; doxy; 6.00; Bottle-CTD Difference Problem
18OL06008_825; 54.44; 289896; doxy; 6.40; Bottle-CTD Difference Problem
18OL06008_826; 2.48; 289907; doxy; 6.40; Bottle-CTD Difference Problem
18OL06008_826; 55.63; 289902; doxy; 5.95; Bottle-CTD Difference Problem
18OL06008_827; 2.28; 289912; doxy; 6.05; Bottle-CTD Difference Problem
18OL06008_827; 50.08; 289908; doxy; 6.86; Bottle-CTD Difference Problem
18OL06008_828; 2.38; 289917; doxy; 6.68; Bottle-CTD Difference Problem
18OL06008_828; 34.90; 289913; doxy; 7.41; Bottle-CTD Difference Problem
18OL06008_829; 3.97; 289922; doxy; 6.13; Bottle-CTD Difference Problem
18OL06008_829; 35.20; 289918; doxy; 7.10; Bottle-CTD Difference Problem
18OL06008_830; 2.48; 289927; doxy; 6.20; Bottle-CTD Difference Problem
18OL06008_830; 47.79; 289923; doxy; 7.66; Bottle-CTD Difference Problem
18OL06008_831; 1.98; 289933; doxy; 6.28; Bottle-CTD Difference Problem
18OL06008_831; 74.16; 289928; doxy; 5.73; Bottle-CTD Difference Problem
18OL06008_832; 2.68; 289939; doxy; 6.34; Bottle-CTD Difference Problem
18OL06008_832; 60.08; 289934; doxy; 5.86; Bottle-CTD Difference Problem
18OL06008_833; 2.18; 289945; doxy; 6.60; Bottle-CTD Difference Problem
18OL06008_833; 75.45; 289940; doxy; 5.20; Bottle-CTD Difference Problem
18OL06008_834; 1.88; 289950; doxy; 6.67; Bottle-CTD Difference Problem
18OL06008_834; 35.89; 289946; doxy; 6.53; Bottle-CTD Difference Problem
18OL06008_835; 1.19; 289961; doxy; 6.59; Bottle-CTD Difference Problem
18OL06008_835; 30.34; 289957; doxy; 6.20; Bottle-CTD Difference Problem
18OL06008_838; 2.18; 289975; doxy; 6.25; Bottle-CTD Difference Problem
18OL06008_838; 50.17; 289971; doxy; 6.55; Bottle-CTD Difference Problem
18OL06008_840; 2.08; 289986; doxy; 5.79; Bottle-CTD Difference Problem
18OL06008_840; 40.56; 289982; doxy; 7.23; Bottle-CTD Difference Problem
18OL06008_841; 2.18; 289991; doxy; 5.96; Bottle-CTD Difference Problem
18OL06008_841; 50.87; 289987; doxy; 6.79; Bottle-CTD Difference Problem
18OL06008_842; 1.98; 289995; doxy; 5.87; Bottle-CTD Difference Problem
18OL06008_842; 18.45; 289992; doxy; 5.74; Bottle-CTD Difference Problem
18OL06008_843; 1.88; 290001; doxy; 6.00; Bottle-CTD Difference Problem
18OL06008_843; 60.09; 289996; doxy; 6.79; Bottle-CTD Difference Problem
18OL06008_844; 2.18; 290006; doxy; 6.18; Bottle-CTD Difference Problem
18OL06008_844; 49.78; 290002; doxy; 6.84; Bottle-CTD Difference Problem
18OL06008_845; 1.69; 290010; doxy; 6.91; Bottle-CTD Difference Problem
18OL06008_845; 19.93; 290007; doxy; 6.12; Bottle-CTD Difference Problem
18OL06008_846; 1.29; 290014; doxy; 6.07; Bottle-CTD Difference Problem
18OL06008_846; 20.23; 290011; doxy; 6.20; Bottle-CTD Difference Problem
18OL06008_847; 1.29; 290017; doxy; 5.71; Bottle-CTD Difference Problem
18OL06008_847; 13.49; 290015; doxy; 5.68; Bottle-CTD Difference Problem
18OL06008_848; 1.59; 290020; doxy; 6.33; Bottle-CTD Difference Problem
18OL06008_848; 15.47; 290018; doxy; 6.58; Bottle-CTD Difference Problem
18OL06008_849; 1.49; 290024; doxy; 6.32; Bottle-CTD Difference Problem
18OL06008_849; 25.49; 290021; doxy; 6.81; Bottle-CTD Difference Problem
18OL06008_850; 2.68; 290029; doxy; 6.01; Bottle-CTD Difference Problem
18OL06008_850; 44.82; 290025; doxy; 7.11; Bottle-CTD Difference Problem
18OL06008_851; 1.79; 290034; doxy; 5.74; Bottle-CTD Difference Problem
18OL06008_851; 43.53; 290030; doxy; 7.15; Bottle-CTD Difference Problem
18OL06008_852; 1.59; 290040; doxy; 5.97; Bottle-CTD Difference Problem
18OL06008_852; 99.74; 290035; doxy; 5.85; Bottle-CTD Difference Problem
18OL06008_853; 1.59; 290046; doxy; 5.94; Bottle-CTD Difference Problem
18OL06008_853; 63.66; 290041; doxy; 6.06; Bottle-CTD Difference Problem
18OL06008_854; 2.08; 290051; doxy; 5.94; Bottle-CTD Difference Problem
18OL06008_854; 39.86; 290047; doxy; 6.41; Bottle-CTD Difference Problem
18OL06008_855; 2.18; 290056; doxy; 6.07; Bottle-CTD Difference Problem
18OL06008_855; 44.72; 290052; doxy; 7.44; Bottle-CTD Difference Problem
18OL06008_856; 2.18; 290069; doxy; 5.99; Bottle-CTD Difference Problem
18OL06008_856; 15.17; 290067; doxy; 6.56; Bottle-CTD Difference Problem
18OL06008_857; 1.29; 290073; doxy; 5.67; Bottle-CTD Difference Problem
18OL06008_857; 25.09; 290070; doxy; 7.04; Bottle-CTD Difference Problem
18OL06008_858; 1.98; 290079; doxy; 6.44; Bottle-CTD Difference Problem
18OL06008_858; 60.78; 290074; doxy; 6.54; Bottle-CTD Difference Problem
18OL06008_859; 2.78; 290085; doxy; 6.12; Bottle-CTD Difference Problem
18OL06008_859; 70.19; 290080; doxy; 5.43; Bottle-CTD Difference Problem
