CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1130;31;43.87867;-62.87767;344675;39.87;07-nov-10;08:29:00;32.72;9.04;269.70174;NaN;NaN;0.11;0.069;NaN;9;0.055;1;NaN;9;4.44;1;NaN;9;0.665;1;3.775;1;0;6.68;1.18
18HU10070_1130;31;43.87867;-62.87767;344674;49.69;07-nov-10;08:29:00;32.82;5.61;273.7658;NaN;6.024;0.08;0.059;NaN;9;0.03;1;NaN;9;7.28;1;NaN;9;0.885;1;5.545;1;256;8.23;1.31
18HU10070_1130;31;43.87867;-62.87767;344673;60.5;07-nov-10;08:29:00;32.96;4.99;262.51148;NaN;NaN;0.05;0.051;NaN;9;0.025;1;NaN;9;9.18;1;NaN;9;0.99;1;6.76;1;0;9.27;1.36
18HU10070_1130;31;43.87867;-62.87767;344672;81.33;07-nov-10;08:29:00;33.86;7.46;218.78934;NaN;NaN;0.02;0.032;NaN;9;0.02;1;NaN;9;12.485;1;NaN;9;1.09;1;9.18;1;0;11.45;1.36
18HU10070_1130;31;43.87867;-62.87767;344671;97.59;07-nov-10;08:29:00;34.47;9.43;197.53118;NaN;4.343;0.015;0.028;NaN;9;0.015;1;NaN;9;13.73;1;NaN;9;1.08;1;9.27;1;256;12.71;1.48
18HU10070_1130;31;43.87867;-62.87767;344670;198.6;07-nov-10;08:29:00;35.07;10.47;158.0964;NaN;3.451;NaN;0.024;NaN;9;0.015;1;NaN;9;18.61;1;NaN;9;1.315;1;13.88;1;256;14.15;1.34
18HU10070_1130;31;43.87867;-62.87767;344669;218.22;07-nov-10;08:29:00;35.09;10.45;155.01486;NaN;3.373;NaN;0.023;NaN;9;0.015;1;NaN;9;18.895;1;NaN;9;1.32;1;14.755;1;256;14.31;1.28
18HU10070_1131;41;43.48067;-62.44767;344687;4.36;07-nov-10;13:46:00;32.1;13.12;274.2124;NaN;6.0395;0.9;0.3;NaN;9;0.085;1;NaN;9;0.25;1;NaN;9;0.26;1;2.005;1;256;0.96;0.12
18HU10070_1131;41;43.48067;-62.44767;344686;9.92;07-nov-10;13:46:00;32.1;13.14;275.01628;NaN;6.051;0.915;0.307;NaN;9;0.09;1;NaN;9;0.245;1;NaN;9;0.26;1;2.105;1;256;0.94;0.12
18HU10070_1131;41;43.48067;-62.44767;344685;20.14;07-nov-10;13:46:00;32.11;13.05;274.2124;NaN;6.021;0.95;0.336;NaN;9;0.08;1;NaN;9;0.24;1;NaN;9;0.27;1;2.17;1;256;0.89;0.11
