CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1137;91;47.435;-59.55933;344736;100.63;09-nov-10;07:36:00;32.9;1.56;287.02982;8.048;6.465;0.025;0.034;0.02;1;NaN;9;10.115;1;NaN;9;0.955;1;NaN;9;8.7;1;256;10.59;1.16
18HU10070_1137;91;47.435;-59.55933;344735;199.62;09-nov-10;07:36:00;34.49;6.3;168.1449;7.965;3.734;NaN;0.027;0.015;1;NaN;9;19.88;1;NaN;9;1.375;1;NaN;9;17.71;1;256;14.46;1.12
18HU10070_1137;91;47.435;-59.55933;344734;299.56;09-nov-10;07:36:00;34.87;6.45;167.16238;7.988;3.708;NaN;0.021;0.025;1;NaN;9;21.225;1;NaN;9;1.445;1;NaN;9;18.5;1;256;14.69;1.15
18HU10070_1137;91;47.435;-59.55933;344733;399.35;09-nov-10;07:36:00;34.86;5.3;167.83228;7.944;3.703;NaN;0.025;0.015;1;NaN;9;21.875;1;NaN;9;1.585;1;NaN;9;30.35;1;256;13.80;0.72
18HU10070_1137;91;47.435;-59.55933;344732;463.47;09-nov-10;07:36:00;34.87;5.33;174.53128;7.958;3.8635;NaN;0.025;0.02;1;NaN;9;21.665;1;NaN;9;1.545;1;NaN;9;26.73;1;256;14.02;0.81
18HU10070_1114;101;47.27317;-59.7865;344751;2.98;09-nov-10;09:56:00;29.9;8.69;302.43752;8.171;6.646;0.75;0.225;0.105;1;NaN;9;1.41;1;NaN;9;0.435;1;NaN;9;4.465;1;256;3.24;0.32
18HU10070_1114;101;47.27317;-59.7865;344750;4.36;09-nov-10;09:56:00;29.9;8.69;302.08024;8.171;6.656;0.78;0.223;0.105;1;NaN;9;1.415;1;NaN;9;0.42;1;NaN;9;3.675;1;256;3.37;0.39
18HU10070_1114;101;47.27317;-59.7865;344749;14.28;09-nov-10;09:56:00;29.9;8.69;302.52684;8.171;6.632;0.765;0.228;0.085;1;NaN;9;1.32;1;NaN;9;0.43;1;NaN;9;3.56;1;256;3.07;0.37
18HU10070_1114;101;47.27317;-59.7865;344748;24.69;09-nov-10;09:56:00;30;8.49;300.02588;8.172;6.63;0.535;0.195;0.1;1;NaN;9;1.5;1;NaN;9;0.44;1;NaN;9;3.72;1;256;3.41;0.40
18HU10070_1114;101;47.27317;-59.7865;344747;48.98;09-nov-10;09:56:00;30.81;6.3;290.87058;8.131;6.44;0.215;0.102;0.12;1;NaN;9;3.855;1;NaN;9;0.61;1;NaN;9;6.14;1;256;6.32;0.63
18HU10070_1114;101;47.27317;-59.7865;344746;98.85;09-nov-10;09:56:00;32.61;1.22;310.1637;8.095;6.934;0.035;0.037;0.025;1;NaN;9;7.845;1;NaN;9;0.85;1;NaN;9;5.98;1;256;9.23;1.31
18HU10070_1114;101;47.27317;-59.7865;344745;198.64;09-nov-10;09:56:00;34.08;5.06;185.24968;7.954;4.141;NaN;0.031;0.01;1;NaN;9;18.18;1;NaN;9;1.35;1;NaN;9;17.71;1;256;13.47;1.03
18HU10070_1114;101;47.27317;-59.7865;344744;298.87;09-nov-10;09:56:00;34.7;5.87;155.01486;7.937;3.429;NaN;0.024;0.02;1;NaN;9;22.395;1;NaN;9;1.52;1;NaN;9;23.685;1;256;14.73;0.95
18HU10070_1114;101;47.27317;-59.7865;344743;400.84;09-nov-10;09:56:00;34.85;5.39;169.08276;7.957;3.751;NaN;0.021;0.02;1;NaN;9;22;1;NaN;9;1.54;1;NaN;9;28.01;1;256;14.29;0.79
18HU10070_1114;101;47.27317;-59.7865;344742;457.25;09-nov-10;09:56:00;34.86;5.31;167.51966;7.948;3.7255;NaN;0.028;0.015;1;NaN;9;22.04;1;NaN;9;1.555;1;NaN;9;30.575;1;256;14.17;0.72
18HU10070_1116;111;47.1025;-59.99583;344760;1.98;09-nov-10;14:00:00;25.21;8.68;311.19088;8.191;NaN;0.66;0.14;0.115;1;NaN;9;1.37;1;NaN;9;0.42;1;NaN;9;3.98;1;0;3.26;0.34
18HU10070_1116;111;47.1025;-59.99583;344759;4.66;09-nov-10;14:00:00;29.86;8.69;301.72296;8.195;NaN;0.675;0.203;0.1;1;NaN;9;1.225;1;NaN;9;0.415;1;NaN;9;3.18;1;0;2.95;0.39
18HU10070_1116;111;47.1025;-59.99583;344758;14.28;09-nov-10;14:00:00;29.86;8.68;301.6783;8.195;6.667;0.64;0.211;0.1;1;NaN;9;1.23;1;NaN;9;0.42;1;NaN;9;3.125;1;256;2.93;0.39
18HU10070_1116;111;47.1025;-59.99583;344757;25.29;09-nov-10;14:00:00;29.86;8.67;300.74044;8.195;6.664;0.53;0.196;0.1;1;NaN;9;1.235;1;NaN;9;0.42;1;NaN;9;3.095;1;256;2.94;0.40
18HU10070_1116;111;47.1025;-59.99583;344756;50.87;09-nov-10;14:00:00;30.26;7.84;293.72882;8.179;6.506;0.25;0.106;0.125;1;NaN;9;1.945;1;NaN;9;0.48;1;NaN;9;3.815;1;256;4.05;0.51
18HU10070_1116;111;47.1025;-59.99583;344755;101.33;09-nov-10;14:00:00;32.45;1.82;308.77924;8.107;6.946;0.06;0.044;0.045;1;NaN;9;6.925;1;NaN;9;0.8;1;NaN;9;5.595;1;256;8.66;1.24
18HU10070_1116;111;47.1025;-59.99583;344754;200.62;09-nov-10;14:00:00;34.38;5.92;171.4944;7.98;3.806;NaN;0.028;0.035;1;NaN;9;19.64;1;NaN;9;1.385;1;NaN;9;18.425;1;256;14.18;1.07
18HU10070_1116;111;47.1025;-59.99583;344753;299.87;09-nov-10;14:00:00;34.67;5.67;145.3683;7.924;3.193;NaN;0.025;0.035;1;NaN;9;22.655;1;NaN;9;1.57;1;NaN;9;25.49;1;256;14.43;0.89
18HU10070_1116;111;47.1025;-59.99583;344752;321.55;09-nov-10;14:00:00;34.72;5.76;151.71002;7.947;3.3565;NaN;0.026;0.035;1;NaN;9;22.495;1;NaN;9;1.56;1;NaN;9;25.36;1;256;14.42;0.89
18HU10070_1117;121;47.02483;-60.1205;344767;3.07;09-nov-10;16:15:00;29.94;8.78;301.9016;8.203;6.6975;0.495;0.272;0.11;1;NaN;9;1.755;1;NaN;9;0.415;1;NaN;9;3.74;1;256;4.23;0.47
18HU10070_1117;121;47.02483;-60.1205;344766;4.56;09-nov-10;16:15:00;29.94;8.78;302.25888;8.204;6.682;0.66;0.28;0.105;1;NaN;9;1.685;1;NaN;9;0.415;1;NaN;9;3.635;1;256;4.06;0.46
18HU10070_1117;121;47.02483;-60.1205;344765;15.37;09-nov-10;16:15:00;29.94;8.77;303.0181;8.199;6.682;0.71;0.265;0.105;1;NaN;9;1.625;1;NaN;9;0.415;1;NaN;9;3.63;1;256;3.92;0.45
18HU10070_1117;121;47.02483;-60.1205;344764;24.39;09-nov-10;16:15:00;29.94;8.78;301.63364;8.2;6.679;0.825;0.265;0.1;1;NaN;9;1.63;1;NaN;9;0.415;1;NaN;9;3.55;1;256;3.93;0.46
18HU10070_1117;121;47.02483;-60.1205;344763;49.38;09-nov-10;16:15:00;30.25;7.87;293.8628;8.179;6.496;0.305;0.123;0.13;1;NaN;9;2.505;1;NaN;9;0.5;1;NaN;9;4.47;1;256;5.01;0.56
18HU10070_1117;121;47.02483;-60.1205;344762;99.15;09-nov-10;16:15:00;33.07;2.34;265.41438;8.047;5.921;0.04;0.038;0.04;1;NaN;9;12.04;1;NaN;9;1.06;1;NaN;9;11.025;1;256;11.36;1.09
18HU10070_1117;121;47.02483;-60.1205;344761;170.01;09-nov-10;16:15:00;33.88;4.27;198.15642;7.977;4.364;NaN;0.051;0.09;1;NaN;9;17.56;1;NaN;9;1.33;1;NaN;9;18.185;1;256;13.20;0.97
18HU10070_1118;131;46.95983;-60.21617;344773;2.78;09-nov-10;18:46:00;29.93;8.7;304.53654;8.204;6.696;0.955;0.323;0.105;1;NaN;9;1.495;1;NaN;9;0.415;1;NaN;9;3.545;1;256;3.60;0.42
18HU10070_1118;131;46.95983;-60.21617;344772;4.76;09-nov-10;18:46:00;29.93;8.7;305.4744;8.204;6.732;1.065;0.322;0.1;1;NaN;9;1.395;1;NaN;9;0.41;1;NaN;9;3.14;1;256;3.40;0.44
18HU10070_1118;131;46.95983;-60.21617;344771;14.48;09-nov-10;18:46:00;29.93;8.7;304.17926;8.204;6.723;1.045;0.329;0.09333;1;NaN;9;1.28333;1;NaN;9;0.41;1;NaN;9;3.165;1;256;3.13;0.41
18HU10070_1118;131;46.95983;-60.21617;344770;24.49;09-nov-10;18:46:00;29.94;8.66;302.70548;8.198;6.67;0.75;0.276;0.095;1;NaN;9;1.455;1;NaN;9;0.415;1;NaN;9;3.26;1;256;3.51;0.45
18HU10070_1118;131;46.95983;-60.21617;344769;50.47;09-nov-10;18:46:00;31.16;7.19;298.50744;8.192;6.573;0.265;0.115;0.105;1;NaN;9;2.015;1;NaN;9;0.41;1;NaN;9;3.33;1;256;4.91;0.61
18HU10070_1118;131;46.95983;-60.21617;344768;70.2;09-nov-10;18:46:00;32.54;2.7;289.21816;8.079;6.412;0.07;0.052;0.07;1;NaN;9;8.48;1;NaN;9;0.865;1;NaN;9;7.91;1;256;9.80;1.07
18HU10070_1119;141;46.73667;-60.9985;344778;2.68;09-nov-10;23:43:00;29.57;9.53;296.63172;8.196;NaN;0.67;0.218;0.12;1;NaN;9;1.14;1;NaN;9;0.455;1;NaN;9;3.59;1;0;2.51;0.32
18HU10070_1119;141;46.73667;-60.9985;344777;4.76;09-nov-10;23:43:00;29.57;9.54;300.51714;8.196;6.589;0.575;0.219;0.115;1;NaN;9;1.115;1;NaN;9;0.46;1;NaN;9;3.375;1;256;2.42;0.33
18HU10070_1119;141;46.73667;-60.9985;344776;14.58;09-nov-10;23:43:00;29.57;9.54;298.95404;8.196;6.59;0.68;0.237;0.105;1;NaN;9;0.94;1;NaN;9;0.44;1;NaN;9;2.985;1;256;2.14;0.31
18HU10070_1119;141;46.73667;-60.9985;344775;28.96;09-nov-10;23:43:00;29.96;8.63;299.57928;8.186;6.59;0.405;0.177;0.12;1;NaN;9;1.43;1;NaN;9;0.46;1;NaN;9;3.515;1;256;3.11;0.41
18HU10070_1119;141;46.73667;-60.9985;344774;49.28;09-nov-10;23:43:00;31.35;4.63;274.2124;8.049;6.047;0.16;0.086;0.17;1;NaN;9;6.605;1;NaN;9;0.8;1;NaN;9;7.895;1;256;8.26;0.84
18HU10070_1120;151;46.83017;-61.24883;344784;2.58;10-nov-10;01:17:00;29.72;9.09;305.65304;8.203;6.733;0.85;0.245;0.105;1;NaN;9;0.94;1;NaN;9;0.415;1;NaN;9;2.98;1;256;2.27;0.32
18HU10070_1120;151;46.83017;-61.24883;344783;4.17;10-nov-10;01:17:00;29.74;9.05;304.67052;8.203;6.691;0.665;0.252;0.105;1;NaN;9;0.95;1;NaN;9;0.415;1;NaN;9;3.315;1;256;2.29;0.29
18HU10070_1120;151;46.83017;-61.24883;344782;14.28;10-nov-10;01:17:00;30.06;8.23;307.17148;8.205;6.677;0.835;0.269;0.11;1;NaN;9;1.01;1;NaN;9;0.43;1;NaN;9;2.72;1;256;2.35;0.37
18HU10070_1120;151;46.83017;-61.24883;344781;24.59;10-nov-10;01:17:00;29.77;8.96;303.33072;8.205;6.65;0.825;0.293;0.095;1;NaN;9;0.89;1;NaN;9;0.42;1;NaN;9;2.945;1;256;2.12;0.30
18HU10070_1120;151;46.83017;-61.24883;344780;50.27;10-nov-10;01:17:00;31.18;4.47;266.44156;8.034;5.92;0.22;0.087;0.16333;1;NaN;9;6.75667;1;NaN;9;0.87333;1;NaN;9;10.53;1;256;7.74;0.64
18HU10070_1120;151;46.83017;-61.24883;344779;57.31;10-nov-10;01:17:00;31.73;3.06;262.28818;7.989;NaN;0.26;0.084;0.135;1;NaN;9;9.725;1;NaN;9;1.04;1;NaN;9;13.11;1;0;9.35;0.74
18HU10070_1121;161;46.89733;-61.50017;344789;2.78;10-nov-10;02:49:00;30.11;7.87;311.23554;8.208;6.871;0.55;0.184;0.095;1;NaN;9;1.17;1;NaN;9;0.4;1;NaN;9;2.89;1;256;2.92;0.40
18HU10070_1121;161;46.89733;-61.50017;344788;4.36;10-nov-10;02:49:00;30.11;7.88;309.09186;8.208;6.807;0.59;0.189;0.105;1;NaN;9;1.24;1;NaN;9;0.42;1;NaN;9;3.105;1;256;2.95;0.40
18HU10070_1121;161;46.89733;-61.50017;344787;15.37;10-nov-10;02:49:00;30.11;7.88;308.10934;8.206;6.802;0.615;0.196;0.095;1;NaN;9;1.165;1;NaN;9;0.415;1;NaN;9;3.07;1;256;2.81;0.38
18HU10070_1121;161;46.89733;-61.50017;344786;23.9;10-nov-10;02:49:00;30.19;7.7;308.06468;8.199;6.794;0.515;0.19;0.11;1;NaN;9;1.235;1;NaN;9;0.42;1;NaN;9;2.925;1;256;2.94;0.42
18HU10070_1121;161;46.89733;-61.50017;344785;49.68;10-nov-10;02:49:00;31.24;3.24;265.32506;7.984;5.83;0.465;0.102;0.12;1;NaN;9;7.91;1;NaN;9;0.98333;1;NaN;9;12.625;1;256;8.04;0.63
18HU10070_1122;171;46.99633;-61.74383;344794;3.27;10-nov-10;04:33:00;30.43;7.06;316.46076;8.207;6.988;1.655;0.313;0.085;1;NaN;9;1.265;1;NaN;9;0.42;1;NaN;9;2.11;1;256;3.01;0.60
18HU10070_1122;171;46.99633;-61.74383;344793;4.26;10-nov-10;04:33:00;30.43;7.06;317.35396;8.207;6.977;1.56;0.283;0.075;1;NaN;9;1.115;1;NaN;9;0.41;1;NaN;9;1.93;1;256;2.72;0.58
18HU10070_1122;171;46.99633;-61.74383;344792;14.68;10-nov-10;04:33:00;30.43;7.07;312.93262;8.202;6.91;1.465;0.32;0.09;1;NaN;9;1.285;1;NaN;9;0.42;1;NaN;9;2.24;1;256;3.06;0.57
18HU10070_1122;171;46.99633;-61.74383;344791;24.69;10-nov-10;04:33:00;30.44;7.03;312.79864;8.202;6.9;1.7;0.354;0.095;1;NaN;9;1.215;1;NaN;9;0.415;1;NaN;9;2.035;1;256;2.93;0.60
18HU10070_1122;171;46.99633;-61.74383;344790;36.49;10-nov-10;04:33:00;30.7;5.97;298.37346;8.149;6.5845;1.065;0.291;0.125;1;NaN;9;2.935;1;NaN;9;0.56;1;NaN;9;4.83;1;256;5.24;0.61
18HU10070_1123;181;47.1715;-62.2575;344799;2.48;10-nov-10;07:01:00;30.57;6.38;317.44328;8.186;6.98;3.07;0.527;0.095;1;NaN;9;2.135;1;NaN;9;0.5;1;NaN;9;3.645;1;256;4.27;0.59
18HU10070_1123;181;47.1715;-62.2575;344798;5.36;10-nov-10;07:01:00;30.57;6.38;318.06852;8.186;7.006;3.06;0.549;0.1;1;NaN;9;2.22;1;NaN;9;0.505;1;NaN;9;3.11;1;256;4.40;0.71
18HU10070_1123;181;47.1715;-62.2575;344797;14.58;10-nov-10;07:01:00;30.57;6.36;314.71902;8.181;6.937;2.805;0.563;0.095;1;NaN;9;2.16;1;NaN;9;0.51;1;NaN;9;3.48;1;256;4.24;0.62
18HU10070_1123;181;47.1715;-62.2575;344796;25.19;10-nov-10;07:01:00;30.61;6.2;309.31516;8.167;6.859;2.555;0.63;0.095;1;NaN;9;2.39;1;NaN;9;0.52;1;NaN;9;3.725;1;256;4.60;0.64
18HU10070_1123;181;47.1715;-62.2575;344795;41.45;10-nov-10;07:01:00;31.19;3.69;281.17936;8.042;6.1655;0.76;0.192;0.115;1;NaN;9;6.295;1;NaN;9;0.86;1;NaN;9;11.51;1;256;7.32;0.55
18HU10070_1124;191;47.33033;-62.7465;344804;2.48;10-nov-10;09:26:00;30.44;6.5;324.05296;8.223;7.129;2.08;0.354;0.07;1;NaN;9;1.465;1;NaN;9;0.435;1;NaN;9;2.49;1;256;3.37;0.59
18HU10070_1124;191;47.33033;-62.7465;344803;4.96;10-nov-10;09:26:00;30.46;6.51;320.25686;8.223;7.06;2.07;0.361;0.085;1;NaN;9;1.505;1;NaN;9;0.43;1;NaN;9;2.17;1;256;3.50;0.69
18HU10070_1124;191;47.33033;-62.7465;344802;14.08;10-nov-10;09:26:00;30.46;6.51;325.21412;8.228;7.142;1.92;0.411;0.085;1;NaN;9;1.5;1;NaN;9;0.425;1;NaN;9;2.115;1;256;3.53;0.71
18HU10070_1124;191;47.33033;-62.7465;344801;25.09;10-nov-10;09:26:00;30.46;6.49;318.73842;8.228;7.071;2.02;0.424;0.08;1;NaN;9;1.515;1;NaN;9;0.43;1;NaN;9;2.14;1;256;3.52;0.71
18HU10070_1124;191;47.33033;-62.7465;344800;49.68;10-nov-10;09:26:00;31.8;1.57;288.68224;8.036;6.391;0.335;0.091;0.06;1;NaN;9;8.79;1;NaN;9;1.015;1;NaN;9;11.75;1;256;8.66;0.75
18HU10070_1125;201;47.50033;-63.248;344810;1.59;10-nov-10;12:35:00;20.94;6.1;344.86452;8.2;7.114;0.26;0.091;0.12;1;NaN;9;2.22;1;NaN;9;0.46667;1;NaN;9;3.055;1;256;4.76;0.73
18HU10070_1125;201;47.50033;-63.248;344809;5.26;10-nov-10;12:35:00;30.41;6.25;321.64132;8.205;7.113;0.48;0.147;0.125;1;NaN;9;2.375;1;NaN;9;0.48;1;NaN;9;3.075;1;256;4.95;0.77
18HU10070_1125;201;47.50033;-63.248;344808;15.37;10-nov-10;12:35:00;30.41;6.25;319.7656;8.205;7.056;0.525;0.143;0.12;1;NaN;9;2.335;1;NaN;9;0.48;1;NaN;9;3.1;1;256;4.86;0.75
18HU10070_1125;201;47.50033;-63.248;344807;23.6;10-nov-10;12:35:00;30.41;6.25;319.67628;8.206;7.067;0.485;0.142;0.12;1;NaN;9;2.36;1;NaN;9;0.48;1;NaN;9;3.24;1;256;4.92;0.73
18HU10070_1125;201;47.50033;-63.248;344806;51.06;10-nov-10;12:35:00;31.72;2.26;296.00648;8.081;6.572;0.145;0.063;0.065;1;NaN;9;6.47;1;NaN;9;0.855;1;NaN;9;8.54;1;256;7.57;0.76
18HU10070_1125;201;47.50033;-63.248;344805;64.65;10-nov-10;12:35:00;32.06;0.95;268.8532;7.969;5.9365;0.125;0.066;0.03;1;NaN;9;11.27;1;NaN;9;1.2;1;NaN;9;15.925;1;256;9.39;0.71
18HU10070_1127;211;47.66067;-63.74833;344816;2.68;10-nov-10;16:02:00;29.61;6.07;326.41994;8.187;NaN;0.56;0.156;0.165;1;NaN;9;4.53;1;NaN;9;0.58;1;NaN;9;6;1;0;7.81;0.76
18HU10070_1127;211;47.66067;-63.74833;344815;4.46;10-nov-10;16:02:00;29.62;6.07;323.15976;8.187;7.157;0.48;0.161;0.165;1;NaN;9;4.5;1;NaN;9;0.6;1;NaN;9;5.945;1;256;7.50;0.76
18HU10070_1127;211;47.66067;-63.74833;344814;15.17;10-nov-10;16:02:00;29.61;6.06;322.53452;8.187;7.125;0.33;0.16;0.165;1;NaN;9;4.495;1;NaN;9;0.59;1;NaN;9;5.965;1;256;7.62;0.75
18HU10070_1127;211;47.66067;-63.74833;344813;23.8;10-nov-10;16:02:00;29.63;6.07;322.2219;8.187;7.138;0.415;0.157;0.165;1;NaN;9;4.44;1;NaN;9;0.595;1;NaN;9;5.965;1;256;7.46;0.74
18HU10070_1127;211;47.66067;-63.74833;344812;50.47;10-nov-10;16:02:00;31.1;4.54;296.27444;8.121;6.544;0.1;0.066;0.2;1;NaN;9;5.63;1;NaN;9;0.73;1;NaN;9;7.03;1;256;7.71;0.80
18HU10070_1127;211;47.66067;-63.74833;344811;57.8;10-nov-10;16:02:00;31.63;2.85;290.55796;8.064;6.4;0.08;0.064;0.145;1;NaN;9;7.915;1;NaN;9;0.905;1;NaN;9;10.29;1;256;8.75;0.77
18HU10070_1128;221;47.7415;-63.99733;344822;3.77;10-nov-10;17:47:00;29.53;6.96;321.86462;8.212;7.064;0.67;0.201;0.125;1;NaN;9;2.345;1;NaN;9;0.47;1;NaN;9;4.155;1;256;4.99;0.56
18HU10070_1128;221;47.7415;-63.99733;344821;4.66;10-nov-10;17:47:00;29.53;6.96;320.39084;8.213;7.058;0.625;0.205;0.125;1;NaN;9;2.395;1;NaN;9;0.51;1;NaN;9;4.045;1;256;4.70;0.59
18HU10070_1128;221;47.7415;-63.99733;344820;15.57;10-nov-10;17:47:00;29.53;6.95;317.26464;8.212;6.985;0.69;0.209;0.125;1;NaN;9;2.375;1;NaN;9;0.495;1;NaN;9;4.075;1;256;4.80;0.58
18HU10070_1128;221;47.7415;-63.99733;344819;24.49;10-nov-10;17:47:00;29.53;6.95;316.50542;8.212;6.991;0.665;0.209;0.12;1;NaN;9;2.55;1;NaN;9;0.465;1;NaN;9;4.105;1;256;5.48;0.62
18HU10070_1128;221;47.7415;-63.99733;344818;51.06;10-nov-10;17:47:00;30.67;6;291.76378;8.15;6.478;0.17;0.079;0.23;1;NaN;9;3.9;1;NaN;9;0.645;1;NaN;9;6.345;1;256;6.05;0.61
18HU10070_1128;221;47.7415;-63.99733;344817;77.04;10-nov-10;17:47:00;31.84;2.08;272.24736;8.004;6.0165;0.195;0.08;0.14;1;NaN;9;9.945;1;NaN;9;1.125;1;NaN;9;15.455;1;256;8.84;0.64
18HU10070_1129;231;47.8315;-64.24767;344827;2.28;10-nov-10;19:27:00;29.75;5.66;326.4646;8.189;7.23;0.53;0.184;0.19;1;NaN;9;4.92;1;NaN;9;0.66;1;NaN;9;6.415;1;256;7.45;0.77
18HU10070_1129;231;47.8315;-64.24767;344826;5.06;10-nov-10;19:27:00;29.75;5.66;326.59858;8.189;7.23;0.515;0.183;0.17;1;NaN;9;4.825;1;NaN;9;0.605;1;NaN;9;6.3;1;256;7.98;0.77
18HU10070_1129;231;47.8315;-64.24767;344825;14.87;10-nov-10;19:27:00;29.75;5.65;328.42964;8.189;7.253;0.51;0.181;0.17;1;NaN;9;4.755;1;NaN;9;0.605;1;NaN;9;6.28;1;256;7.86;0.76
18HU10070_1129;231;47.8315;-64.24767;344824;24.29;10-nov-10;19:27:00;29.75;5.66;324.94616;8.189;7.186;0.59;0.18;0.17667;1;NaN;9;4.78667;1;NaN;9;0.65;1;NaN;9;6.26;1;256;7.36;0.76
18HU10070_1129;231;47.8315;-64.24767;344823;36.29;10-nov-10;19:27:00;29.75;5.66;325.83936;8.189;7.1795;0.6;0.181;0.175;1;NaN;9;4.895;1;NaN;9;0.66;1;NaN;9;6.27;1;256;7.42;0.78
18HU10070_1134;641;47.67033;-59.87;345156;1.39;16-nov-10;08:54:00;30.44;7.36;315.43358;8.211;NaN;1.26;0.42;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU10070_1134;641;47.67033;-59.87;345155;4.66;16-nov-10;08:54:00;30.44;7.36;314.31708;8.215;6.933;1.265;0.416;0.085;1;NaN;9;1.31;1;NaN;9;0.37;1;NaN;9;2.87;1;256;3.54;0.46
18HU10070_1134;641;47.67033;-59.87;345154;14.58;16-nov-10;08:54:00;30.44;7.37;313.82582;8.22;6.921;1.235;0.437;0.09;1;NaN;9;1.375;1;NaN;9;0.38;1;NaN;9;2.805;1;256;3.62;0.49
18HU10070_1134;641;47.67033;-59.87;345153;25.38;16-nov-10;08:54:00;31.23;7.02;300.51714;8.195;6.584;0.25;0.119;0.135;1;NaN;9;2.23;1;NaN;9;0.44;1;NaN;9;3.195;1;256;5.07;0.70
18HU10070_1134;641;47.67033;-59.87;345152;49.97;16-nov-10;08:54:00;32.18;2.64;297.83754;8.099;6.661;0.08;0.055;0.025;1;NaN;9;6.955;1;NaN;9;0.805;1;NaN;9;6.215;1;256;8.64;1.12
18HU10070_1134;641;47.67033;-59.87;345151;100.23;16-nov-10;08:54:00;32.76;1.23;306.5909;8.095;6.877;0.045;0.038;0.02;1;NaN;9;8.335;1;NaN;9;0.87;1;NaN;9;6.205;1;256;9.58;1.34
18HU10070_1134;641;47.67033;-59.87;345150;200.21;16-nov-10;08:54:00;34.37;6.09;178.01476;7.994;3.959;NaN;0.025;0.02;1;NaN;9;18.565;1;NaN;9;1.33;1;NaN;9;16.105;1;256;13.96;1.15
18HU10070_1134;641;47.67033;-59.87;345149;300.05;16-nov-10;08:54:00;34.77;6.24;157.73912;7.975;3.491;NaN;0.023;0.01;1;NaN;9;22.21;1;NaN;9;1.52;1;NaN;9;20.875;1;256;14.61;1.06
18HU10070_1134;641;47.67033;-59.87;345148;399.84;16-nov-10;08:54:00;34.86;5.48;172.07498;7.977;3.807;NaN;0.023;0.01;1;NaN;9;21.84;1;NaN;9;1.525;1;NaN;9;25.49;1;256;14.32;0.86
18HU10070_1134;641;47.67033;-59.87;345147;499.28;16-nov-10;08:54:00;34.89;5.37;181.49824;7.987;4.031;NaN;0.025;0.015;1;NaN;9;21.555;1;NaN;9;1.505;1;NaN;9;26.32;1;256;14.32;0.82
18HU10070_1134;641;47.67033;-59.87;345146;521.04;16-nov-10;08:54:00;34.89;5.38;183.106;7.992;4.0725;NaN;0.023;0.02;1;NaN;9;21.425;1;NaN;9;1.475;1;NaN;9;25.895;1;256;14.53;0.83
