CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));(celsius);((none));(mmol/m**3);((none));((none));((none));((none))
181064009_182;26;38;-48.43;-591;0;13-jun-64;12:36:00;NaN;9;20.7;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-592;50;13-jun-64;12:36:00;5.14995297805643;1;20.18;1;3;1;0;NaN;NaN
181064009_182;26;38;-48.43;-593;99;13-jun-64;12:36:00;4.72995745633677;1;17.9;1;4;1;0;NaN;NaN
181064009_182;26;38;-48.43;-594;149;13-jun-64;12:36:00;4.9299552171966;1;17.56;1;3;1;0;NaN;NaN
181064009_182;26;38;-48.43;-595;199;13-jun-64;12:36:00;5.0099552171966;1;17.4;1;3;1;0;NaN;NaN
181064009_182;26;38;-48.43;-596;249;13-jun-64;12:36:00;5.14995297805643;1;17.31;1;2;1;0;NaN;NaN
181064009_182;26;38;-48.43;-597;299;13-jun-64;12:36:00;5.1199552171966;1;17.28;1;3;1;0;NaN;NaN
181064009_182;26;38;-48.43;-598;398;13-jun-64;12:36:00;5.0099552171966;1;17.12;1;2;1;0;NaN;NaN
181064009_182;26;38;-48.43;-599;498;13-jun-64;12:36:00;5.0199552171966;1;16.91;1;2;1;0;NaN;NaN
181064009_182;26;38;-48.43;-600;597;13-jun-64;12:36:00;4.68995745633677;1;15.62;1;4;1;0;NaN;NaN
181064009_182;26;38;-48.43;-601;696;13-jun-64;12:36:00;4.82995745633677;1;13.45;1;7;1;0;NaN;NaN
181064009_182;26;38;-48.43;-602;795;13-jun-64;12:36:00;3.79996641289745;1;11.97;1;10;1;0;NaN;NaN
181064009_182;26;38;-48.43;-603;896;13-jun-64;12:36:00;3.31997089117779;1;9.61;1;16;1;0;NaN;NaN
181064009_182;26;38;-48.43;-604;996;13-jun-64;12:36:00;3.95996417375728;1;7.25;1;17;1;0;NaN;NaN
181064009_182;26;38;-48.43;-605;1196;13-jun-64;12:36:00;5.14995297805643;1;5.23;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-606;1558;13-jun-64;14:12:00;5.85994626063592;1;4.2;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-607;2054;13-jun-64;14:12:00;6.05994626063592;1;3.77;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-608;2542;13-jun-64;14:12:00;6.03994626063592;1;3.44;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-609;3045;13-jun-64;14:12:00;6.05994626063592;1;3.04;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-610;3543;13-jun-64;14:12:00;6.04994626063592;1;2.63;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-611;4040;13-jun-64;14:12:00;6.05994626063592;1;2.38;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-612;4543;13-jun-64;14:12:00;6.06994402149575;1;2.3;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-613;4743;13-jun-64;14:12:00;6.01994626063592;1;2.3;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-614;4945;13-jun-64;14:12:00;6.01994626063592;1;2.25;1;NaN;9;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-615;0;13-jun-64;22:12:00;NaN;9;20.7;1;NaN;9;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-616;10;13-jun-64;22:12:00;5.19995297805643;1;20.39;1;NaN;9;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-617;50;13-jun-64;23:06:00;5.28995297805643;1;19.78;1;3;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-618;99;13-jun-64;23:06:00;4.79995745633677;1;17.93;1;4;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-619;150;13-jun-64;23:36:00;5.0799552171966;1;17.6;1;3;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-620;200;13-jun-64;23:36:00;5.13995297805643;1;17.58;1;2;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-621;250;13-jun-64;23:36:00;5.23995297805643;1;17.42;1;2;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-622;300;13-jun-64;23:36:00;5.09995297805643;1;17.38;1;3;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-623;400;14-jun-64;00:12:00;5.24995297805643;1;17.35;1;2;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-624;500;14-jun-64;00:12:00;5.14995297805643;1;17.23;1;2;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-625;600;14-jun-64;00:12:00;4.54995969547694;1;16.22;1;4;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-626;695;14-jun-64;01:00:00;3.87996417375728;1;14.28;1;6;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-627;790;14-jun-64;01:00:00;3.34996865203762;1;12.36;1;10;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-628;898;14-jun-64;01:54:00;3.91996417375728;1;9.94;1;16;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-629;996;14-jun-64;01:54:00;4.19996193461711;1;7.56;1;18;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-630;1194;14-jun-64;02:42:00;5.14995297805643;1;5.31;1;15;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-631;1492;14-jun-64;02:42:00;5.88994626063592;1;4.34;1;14;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-632;1995;14-jun-64;05:24:00;6.09994626063592;1;3.87;1;14;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-633;2430;14-jun-64;05:24:00;6.20994402149575;1;3.59;1;16;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-634;2975;14-jun-64;08:36:00;6.07994626063592;1;3.19;1;21;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-635;3474;14-jun-64;08:36:00;6.00994626063592;1;2.79;1;25;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-636;3973;14-jun-64;08:36:00;5.99994626063592;1;2.45;1;30;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-637;4471;14-jun-64;08:36:00;6.12994402149575;1;2.32;1;35;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-638;4970;14-jun-64;08:36:00;5.98994626063592;1;2.3;1;39;1;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-640;5170;13-jun-64;08:36:00;5.98994626063592;1;2.29;1;38;1;4;NaN;NaN
181064009_193;27;38.0683;-49.9316;-639;5370;14-jun-64;08:36:00;5.88994626063592;1;2.27;1;42;1;4;NaN;NaN
181064009_204;28;38.5083;-49.9716;-641;0;14-jun-64;13:36:00;NaN;9;20.6;1;2;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-642;49;14-jun-64;13:36:00;5.10995297805643;1;20.21;1;2;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-643;98;14-jun-64;13:36:00;5.06995297805643;1;18.4;1;3;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-644;147;14-jun-64;13:36:00;4.83995745633677;1;17.84;1;2;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-645;196;14-jun-64;13:36:00;4.82995745633677;1;17.6;1;4;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-646;293;14-jun-64;13:36:00;4.9499552171966;1;17.3;1;3;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-647;390;14-jun-64;13:36:00;4.9899552171966;1;17.32;1;4;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-648;485;14-jun-64;13:36:00;4.82995745633677;1;17.04;1;4;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-649;581;14-jun-64;13:36:00;4.67995745633677;1;16.38;1;6;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-650;678;14-jun-64;13:36:00;4.21996193461711;1;14.58;1;9;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-651;770;14-jun-64;13:36:00;3.99996417375728;1;13.06;1;14;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-652;858;14-jun-64;13:36:00;3.38996865203762;1;10.69;1;17;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-653;952;14-jun-64;13:36:00;3.43996865203762;1;8.58;1;NaN;9;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-654;1135;14-jun-64;13:36:00;4.9999552171966;1;5.32;1;NaN;9;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-655;1426;14-jun-64;13:36:00;5.79994849977609;1;4.44;1;NaN;9;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-656;1624;14-jun-64;15:12:00;5.92994626063592;1;4.18;1;NaN;9;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-657;1825;14-jun-64;15:12:00;6.01994626063592;1;3.98;1;NaN;9;0;NaN;NaN
