CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Q_OXYM;CHL_03;Q_CHL;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);((none));(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU00001_002;STN27;47.5467;-52.5867;221510;6;01-nov-00;13:18:00;5.8;7.4899328257949;1;1.34;1;1.15;1;0.57;1;0.38;1;1.69;1;0;1.50;0.34
18HU00001_002;STN27;47.5467;-52.5867;221509;11;01-nov-00;13:18:00;10.71;7.4899328257949;1;1.32;1;1.09;1;0.58;1;0.48;1;1.74;1;0;1.21;0.33
18HU00001_002;STN27;47.5467;-52.5867;221508;20;01-nov-00;13:18:00;19.67;7.4899328257949;1;1.32;1;1.08;1;0.57;1;0.44;1;1.74;1;0;1.30;0.33
18HU00001_002;STN27;47.5467;-52.5867;221507;29;01-nov-00;13:18:00;29.41;7.5599328257949;1;0.64;1;0.56;1;0.78;1;0.53;1;2.1;1;0;1.47;0.37
18HU00001_002;STN27;47.5467;-52.5867;221506;40;01-nov-00;13:18:00;40.74;7.74993058665472;1;0.85;1;0.69;1;0.96;1;0.55;1;2.13;1;0;1.75;0.45
18HU00001_002;STN27;47.5467;-52.5867;221505;49;01-nov-00;13:18:00;49.67;7.80993058665473;1;0.5;1;0.43;1;1.15;1;0.55;1;2.35;1;0;2.09;0.49
18HU00001_002;STN27;47.5467;-52.5867;221511;74;01-nov-00;13:18:00;74.84;8.03992834751456;1;0.13;1;0.11;1;3.38;1;1.08;1;3.73;1;0;3.13;0.91
18HU00001_002;STN27;47.5467;-52.5867;221503;99;01-nov-00;13:18:00;99.85;7.91992834751456;1;0.06;1;0.04;1;5.19;1;1.04;1;5.57;1;0;4.99;0.93
18HU00001_002;STN27;47.5467;-52.5867;221502;150;01-nov-00;13:18:00;150.76;7.17993506493506;1;NaN;9;NaN;9;10.21;1;1.43;1;13.57;1;0;7.14;0.75
18HU00001_002;STN27;47.5467;-52.5867;221501;170;01-nov-00;13:18:00;171.45;7.00993730407524;1;NaN;9;NaN;9;10.86;1;1.44;1;15.38;1;0;7.54;0.71
18HU00001_113;STN27;47.5467;-52.5867;221512;11;01-nov-00;14:43:00;10.68;7.5299328257949;1;NaN;9;NaN;9;3.24;1;0.85;1;3.95;1;0;3.81;0.82
18HU00001_113;STN27;47.5467;-52.5867;221511;75;01-nov-00;14:43:00;75.95;7.91992834751456;1;NaN;9;NaN;9;0.59;1;0.43;1;1.82;1;0;1.37;0.32
18HU00001_284;SEGB-01;46.5833;-52.9333;221513;5;01-nov-00;21:47:00;5.5;7.4799328257949;1;0.48;1;0.43;1;1.24;1;0.56;1;2.48;1;0;2.21;0.50
18HU00001_284;SEGB-01;46.5833;-52.9333;221514;10;01-nov-00;21:47:00;10.31;7.4799328257949;1;1.17;1;0.99;1;0.5;1;0.49;1;1.7;1;0;1.02;0.29
18HU00001_284;SEGB-01;46.5833;-52.9333;221515;20;01-nov-00;21:47:00;20.39;7.4899328257949;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU00001_284;SEGB-01;46.5833;-52.9333;221516;30;01-nov-00;21:47:00;30.25;7.51993282579489;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
