CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU86006_002;CAST#1;42.02667;-57.41167;30002;306;18-apr-86;19:16:00;35.455;NaN;9;21.36;1;1.08;1;9.99;1;0;19.78;2.14
18HU86006_002;CAST#1;42.02667;-57.41167;30001;1004;18-apr-86;19:16:00;34.998;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU86006_058;CAST#1;41.25333;-48.49833;30279;4;24-apr-86;09:55:00;NaN;6.71;1;1.03;7;0.29;1;0.34;1;512;3.55;3.03
18HU86006_058;CAST#1;41.25333;-48.49833;30278;9;24-apr-86;09:55:00;NaN;5.54;1;9.83;7;0.82;1;5.39;1;512;11.99;1.82
18HU86006_058;CAST#1;41.25333;-48.49833;30277;297;24-apr-86;09:55:00;34.818;4.88;1;18.84;1;1.29;1;11.42;1;0;14.60;1.65
18HU86006_058;CAST#1;41.25333;-48.49833;30276;501;24-apr-86;09:55:00;34.888;5.78;1;18.34;1;1.27;1;11.38;1;0;14.44;1.61
18HU86006_058;CAST#1;41.25333;-48.49833;30275;703;24-apr-86;09:55:00;35.124;5.58;1;19.58;1;1.29;1;11.98;1;0;15.18;1.63
18HU86006_058;CAST#1;41.25333;-48.49833;30274;904;24-apr-86;09:55:00;35.09;5.95;1;18.67;1;1.27;1;11.18;1;0;14.70;1.67
18HU86006_058;CAST#1;41.25333;-48.49833;30273;1108;24-apr-86;09:55:00;35.07;6.27;1;18.03;1;1.21;1;10.93;1;0;14.90;1.65
18HU86006_058;CAST#1;41.25333;-48.49833;30272;1312;24-apr-86;09:55:00;35.076;6.22;1;18.08;1;1.23;1;11.64;1;0;14.70;1.55
18HU86006_058;CAST#1;41.25333;-48.49833;30271;1513;24-apr-86;09:55:00;35.084;6.23;1;18.2;1;1.23;1;12.25;1;0;14.80;1.49
18HU86006_058;CAST#1;41.25333;-48.49833;30270;1717;24-apr-86;09:55:00;35.086;6.24;1;18.39;1;1.24;1;13.31;1;0;14.83;1.38
18HU86006_058;CAST#1;41.25333;-48.49833;30269;1924;24-apr-86;09:55:00;35.082;6.2;1;18.58;1;1.23;1;14.53;1;0;15.11;1.28
18HU86006_058;CAST#1;41.25333;-48.49833;30268;2067;24-apr-86;09:55:00;35.08;6.29;1;18.38;1;1.27;1;15.91;1;0;14.47;1.16
18HU86006_058;CAST#1;41.25333;-48.49833;30267;2333;24-apr-86;09:55:00;35.071;6.24;1;18.32;1;1.28;1;17.26;1;0;14.31;1.06
18HU86006_058;CAST#1;41.25333;-48.49833;30266;2539;24-apr-86;09:55:00;35.043;6.46;1;17.39;1;1.22;1;14.76;1;0;14.25;1.18
18HU86006_058;CAST#1;41.25333;-48.49833;30265;2693;24-apr-86;09:55:00;35.042;6.45;1;17.45;1;1.21;1;15.01;1;0;14.42;1.16
18HU86006_058;CAST#1;41.25333;-48.49833;30264;2845;24-apr-86;09:55:00;35.037;6.49;1;17.44;1;1.23;1;15.61;1;0;14.18;1.12
18HU86006_058;CAST#1;41.25333;-48.49833;30263;2998;24-apr-86;09:55:00;35.026;6.51;1;17.14;1;1.19;1;15.6;1;0;14.40;1.10
18HU86006_058;CAST#1;41.25333;-48.49833;30262;3172;24-apr-86;09:55:00;35.016;6.55;1;16.6;1;1.21;1;17.87;1;0;13.72;0.93
18HU86006_058;CAST#1;41.25333;-48.49833;30261;3275;24-apr-86;09:55:00;35.007;6.6;1;16.67;1;1.27;1;17.45;1;0;13.13;0.96
18HU86006_058;CAST#1;41.25333;-48.49833;30260;3326;24-apr-86;09:55:00;35.004;6.57;1;16.84;1;1.24;1;18.85;1;0;13.58;0.89
18HU86006_058;CAST#1;41.25333;-48.49833;30259;3374;24-apr-86;09:55:00;35.006;6.61;1;16.97;1;1.21;1;18.93;1;0;14.02;0.90
18HU86006_069;CAST#1;41.5;-49.00167;30300;5;24-apr-86;14:16:00;NaN;8.51;1;0;1;0.29;1;0.24;1;0;0.00;0.00
18HU86006_069;CAST#1;41.5;-49.00167;30299;98;24-apr-86;14:16:00;34.419;4.54;1;13.45;1;0.97;1;7.41;1;0;13.87;1.82
18HU86006_069;CAST#1;41.5;-49.00167;30298;298;24-apr-86;14:16:00;34.826;5.8;1;17.78;1;1.17;1;11.41;1;0;15.20;1.56
18HU86006_069;CAST#1;41.5;-49.00167;30297;500;24-apr-86;14:16:00;35.14;5.16;1;20.67;1;1.3;1;12.84;1;0;15.90;1.61
18HU86006_069;CAST#1;41.5;-49.00167;30296;705;24-apr-86;14:16:00;35.102;5.88;1;18.37;1;1.18;1;11.5;1;0;15.57;1.60
18HU86006_069;CAST#1;41.5;-49.00167;30295;907;24-apr-86;14:16:00;35.044;6.25;1;17.87;1;1.14;1;10.77;1;0;15.68;1.66
18HU86006_069;CAST#1;41.5;-49.00167;30294;1110;24-apr-86;14:16:00;35.036;6.31;1;18.03;1;1.15;1;11.56;1;0;15.68;1.56
18HU86006_069;CAST#1;41.5;-49.00167;30293;1313;24-apr-86;14:16:00;35.056;6.41;1;17.67;1;1.17;1;11.43;1;0;15.10;1.55
18HU86006_069;CAST#1;41.5;-49.00167;30292;1513;24-apr-86;14:16:00;35.073;6.28;1;17.75;1;1.17;1;12.27;1;0;15.17;1.45
18HU86006_069;CAST#1;41.5;-49.00167;30291;1720;24-apr-86;14:16:00;35.079;6.21;1;18.35;1;1.22;1;14.22;1;0;15.04;1.29
18HU86006_069;CAST#1;41.5;-49.00167;30290;1923;24-apr-86;14:16:00;35.077;6.21;1;18.56;1;1.2;1;16.58;1;0;15.47;1.12
18HU86006_069;CAST#1;41.5;-49.00167;30289;2126;24-apr-86;14:16:00;35.049;6.38;1;17.48;1;1.19;1;14.89;1;0;14.69;1.17
18HU86006_069;CAST#1;41.5;-49.00167;30288;2330;24-apr-86;14:16:00;35.045;6.36;1;17.41;1;1.15;1;15.09;1;0;15.14;1.15
18HU86006_069;CAST#1;41.5;-49.00167;30287;2537;24-apr-86;14:16:00;35.036;6.43;1;17.06;1;1.13;1;19.94;1;0;15.10;0.86
18HU86006_069;CAST#1;41.5;-49.00167;30286;2740;24-apr-86;14:16:00;35.03;6.48;1;17.03;1;1.13;1;14.8;1;0;15.07;1.15
18HU86006_069;CAST#1;41.5;-49.00167;30285;2945;24-apr-86;14:16:00;35.023;6.52;1;16.84;1;0;1;15.45;1;0;NaN;1.09
18HU86006_069;CAST#1;41.5;-49.00167;30284;3047;24-apr-86;14:16:00;35.018;6.53;1;16.6;1;1.14;1;16.82;1;0;14.56;0.99
18HU86006_069;CAST#1;41.5;-49.00167;30283;3201;24-apr-86;14:16:00;35.007;6.56;1;16.53;1;1.13;1;18.56;1;0;14.63;0.89
18HU86006_069;CAST#1;41.5;-49.00167;30282;3301;24-apr-86;14:16:00;35.002;6.6;1;16.59;1;1.13;1;17.64;1;0;14.68;0.94
18HU86006_069;CAST#1;41.5;-49.00167;30281;3352;24-apr-86;14:16:00;35.001;6.63;1;16.53;1;1.14;1;17.04;1;0;14.50;0.97
18HU86006_069;CAST#1;41.5;-49.00167;30280;3397;24-apr-86;14:16:00;35.001;6.63;1;16.48;1;1.17;1;17.08;1;0;14.09;0.96
18HU86006_080;CAST#1;41.955;-48.98167;30321;3;24-apr-86;18:42:00;NaN;8.01;1;0;1;0.33;1;0;1;0;0.00;NaN
18HU86006_080;CAST#1;41.955;-48.98167;30320;94;24-apr-86;18:42:00;34.656;5.84;1;10.91;1;0.91;1;6.25;1;0;11.99;1.75
18HU86006_080;CAST#1;41.955;-48.98167;30319;194;24-apr-86;18:42:00;34.848;3.95;1;19.2;1;1.38;1;10.47;1;0;13.91;1.83
18HU86006_080;CAST#1;41.955;-48.98167;30318;295;24-apr-86;18:42:00;34.837;6.31;1;18.53;1;1.36;1;11.6;1;0;13.63;1.60
18HU86006_080;CAST#1;41.955;-48.98167;30317;493;24-apr-86;18:42:00;35.163;5.66;1;18.98;1;1.3;1;11.54;1;0;14.60;1.64
18HU86006_080;CAST#1;41.955;-48.98167;30316;693;24-apr-86;18:42:00;35.062;5.95;1;18.39;1;1.28;1;10.93;1;0;14.37;1.68
18HU86006_080;CAST#1;41.955;-48.98167;30315;884;24-apr-86;18:42:00;35.103;6.1;1;18.24;1;1.16;1;11.56;1;0;15.72;1.58
18HU86006_080;CAST#1;41.955;-48.98167;30314;1082;24-apr-86;18:42:00;35.039;6.43;1;17.55;1;1.11;1;10.61;1;0;15.81;1.65
18HU86006_080;CAST#1;41.955;-48.98167;30313;1284;24-apr-86;18:42:00;35.022;6.4;1;17.73;1;1.14;1;11.18;1;0;15.55;1.59
18HU86006_080;CAST#1;41.955;-48.98167;30312;1489;24-apr-86;18:42:00;35.037;6.34;1;17.54;1;1.16;1;12.08;1;0;15.12;1.45
18HU86006_080;CAST#1;41.955;-48.98167;30311;1699;24-apr-86;18:42:00;35.025;6.32;1;17.56;1;1.15;1;13.37;1;0;15.27;1.31
18HU86006_080;CAST#1;41.955;-48.98167;30310;1912;24-apr-86;18:42:00;35.043;6.43;1;17.38;1;1.16;1;12.31;1;0;14.98;1.41
18HU86006_080;CAST#1;41.955;-48.98167;30309;2115;24-apr-86;18:42:00;35.046;6.36;1;17.42;1;1.15;1;14.02;1;0;15.15;1.24
18HU86006_080;CAST#1;41.955;-48.98167;30308;2320;24-apr-86;18:42:00;35.043;6.37;1;17.06;1;1.09;1;14.81;1;0;15.65;1.15
18HU86006_080;CAST#1;41.955;-48.98167;30307;2530;24-apr-86;18:42:00;35.038;6.39;1;17.14;1;1.01;1;14.45;1;0;16.97;1.19
18HU86006_080;CAST#1;41.955;-48.98167;30306;2738;24-apr-86;18:42:00;35.034;6.44;1;17.12;1;0.99;1;15.12;1;0;17.29;1.13
18HU86006_080;CAST#1;41.955;-48.98167;30305;2942;24-apr-86;18:42:00;35.024;6.49;1;16.62;1;0.95;1;16.07;1;0;17.49;1.03
