CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE14101_002;1;44.03384;-63.66719;397818;5.03;08-mar-14;02:12:00;5.032;31.316;-0.3393;7.7432;0.51542;1;NaN;9;8.0345;1;0.205;1;5.705;1;0.762;1;6.265;1;0;7.49;0.91
18NE14101_002;1;44.03376;-63.66675;397817;25.37;08-mar-14;02:11:00;25.374;31.6118;0.6152;7.5185;0.93111;1;NaN;9;NaN;9;0.165;1;5.555;1;0.729;1;5.625;1;0;7.62;0.99
18NE14101_002;1;44.03366;-63.66603;397816;50.57;08-mar-14;02:10:00;50.574;32.1291;2.2597;6.3925;0.0851;1;NaN;9;NaN;9;0.05;1;8.43;1;0.9385;1;8.41;1;0;8.98;1.00
18NE14101_002;1;44.03322;-63.66291;397815;175.54;08-mar-14;02:05:00;175.541;34.7749;9.9684;3.2445;0.0222;1;34.785;1;3.76;1;0.06;1;17.555;1;1.292;1;13.745;1;0;13.59;1.28
18NE14101_113;2;44.02708;-63.47406;397822;4.79;08-mar-14;08:58:00;4.798;31.3145;-0.3039;7.6926;0.38795;1;NaN;9;8.011;1;0.17;1;5.89;1;0.7925;1;6.18;1;0;7.43;0.95
18NE14101_113;2;44.02721;-63.47382;397821;25.29;08-mar-14;08:57:00;25.291;31.6765;0.8088;7.3941;0.60963;1;NaN;9;NaN;9;0.225;1;5.605;1;0.7375;1;5.565;1;0;7.60;1.01
18NE14101_113;2;44.02732;-63.47358;397820;50.13;08-mar-14;08:56:00;50.131;32.3327;3.6483;6.3219;0.2106;1;NaN;9;NaN;9;0.13;1;7.345;1;0.8035;1;6.405;1;0;9.14;1.15
18NE14101_113;2;44.02791;-63.47234;397819;192.11;08-mar-14;08:51:00;192.114;35.0663;10.5713;2.9608;0.0111;1;35.078;1;3.468;1;0.045;1;18.435;1;1.347;1;13.78;1;0;13.69;1.34
