CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NA97015_002;CAST#1;46.1242;-60.7047;147677;1;02-jun-97;12:20:00;20.255;9.161;7.414;1;0.0455;1;0;1;0.139;1;3.73;1;0;0.00;0.00
18NA97015_002;CAST#1;46.1242;-60.7047;147676;5;02-jun-97;12:20:00;21.305;7.473;7.889;1;0.0445;1;0;1;0.1565;1;3.515;1;0;0.00;0.00
18NA97015_002;CAST#1;46.1242;-60.7047;147675;27;02-jun-97;12:20:00;23.97;0.839;6.784;1;0.136;1;1.67;1;0.788;1;4.92;1;0;2.12;0.34
18NA97015_304;CAST#1;45.9483;-61.1245;147683;1;02-jun-97;16:10:00;17.49;10.181;7.777;1;0.037;1;0;1;0.117;1;4.955;1;0;0.00;0.00
18NA97015_304;CAST#1;45.9483;-61.1245;147682;4;02-jun-97;16:10:00;18.716;7.967;8.102;1;0.037;1;0;1;0.169;1;4.18;1;0;0.00;0.00
18NA97015_304;CAST#1;45.9483;-61.1245;147681;10;02-jun-97;16:10:00;21.963;3.24;8.287;1;0.334;1;0.695;1;0.45;1;1.62;1;0;1.54;0.43
18NA97015_304;CAST#1;45.9483;-61.1245;147680;15;02-jun-97;16:10:00;22.382;2.469;6.984;1;0.32;1;4.385;1;1.162;1;2.045;1;0;3.77;2.14
18NA97015_304;CAST#1;45.9483;-61.1245;147679;20;02-jun-97;16:10:00;22.845;3.018;1.797;1;0.2695;1;1.81;1;5.43;4;29.235;1;6;NaN;0.06
18NA97015_304;CAST#1;45.9483;-61.1245;147678;35;02-jun-97;16:10:00;23.02;3.227;0;1;0.2;1;0;1;12.217;4;36.87;1;6;NaN;0.00
18NA97015_326;CAST#1;46.0025;-60.9935;147686;1;02-jun-97;18:06:00;12.688;13.79;7.195;1;0.037;1;0;7;0.03;1;8.755;1;512;0.00;0.00
18NA97015_326;CAST#1;46.0025;-60.9935;147685;8;02-jun-97;18:06:00;17.941;5.96;2.122;1;0.094;1;12.14;7;2.6755;1;34.55;1;512;4.54;0.35
