CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));((none));((none));((none))
18BA68003_1736;211;47.705;-63.8133;116;1;27-apr-68;09:18:00;7.1;1;0;NaN;NaN
18BA68003_1736;211;47.705;-63.8133;117;10;27-apr-68;09:18:00;7.06;1;0;NaN;NaN
18BA68003_1736;211;47.705;-63.8133;118;20;27-apr-68;09:18:00;7.06;1;0;NaN;NaN
18BA68003_1736;211;47.705;-63.8133;119;30;27-apr-68;09:18:00;7.46;1;0;NaN;NaN
18BA68003_1736;211;47.705;-63.8133;120;50;27-apr-68;09:18:00;6.89;1;0;NaN;NaN
18BA68003_1738;251;47.3;-64.3166;139;1;28-apr-68;17:06:00;7.88;1;0;NaN;NaN
18BA68003_1738;251;47.3;-64.3166;140;10;28-apr-68;17:06:00;7.38;1;0;NaN;NaN
18BA68003_1738;251;47.3;-64.3166;141;20;28-apr-68;17:06:00;7.99;1;0;NaN;NaN
18BA68003_1738;251;47.3;-64.3166;142;30;28-apr-68;17:06:00;7.28;1;0;NaN;NaN
18BA68003_1738;251;47.3;-64.3166;143;40;28-apr-68;17:06:00;7.48;1;0;NaN;NaN
18BA68003_1743;441;47.5333;-63.7333;283;1;05-may-68;11:24:00;8.47;1;0;NaN;NaN
18BA68003_1743;441;47.5333;-63.7333;284;10;05-may-68;11:24:00;8.71;1;0;NaN;NaN
18BA68003_1743;441;47.5333;-63.7333;285;20;05-may-68;11:24:00;8.47;1;0;NaN;NaN
18BA68003_1743;441;47.5333;-63.7333;286;30;05-may-68;11:24:00;7.62;1;0;NaN;NaN
18BA68003_1743;441;47.5333;-63.7333;287;50;05-may-68;11:24:00;7.34;1;0;NaN;NaN
