CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13038_1311;11;47.66617;-59.86533;349458;4.66;19-oct-13;06:03:00;31.2;10.54;288.86088;6.477;0.905;0.191;0.01667;1;0.03333;1;0.225;1;1.22;1;256;0.15;0.03
18HU13038_1311;11;47.66617;-59.86533;349457;15.87;19-oct-13;06:03:00;31.56;9.33;298.95404;NaN;1.97;0.346;0.02667;1;0.05;1;0.27;1;0.615;1;0;0.19;0.08
18HU13038_1311;11;47.66617;-59.86533;349456;24.39;19-oct-13;06:03:00;31.85;7.28;317.13066;NaN;1.68;0.29;0.11;1;1.12;1;0.38;1;1.48;1;0;2.95;0.76
18HU13038_1311;11;47.66617;-59.86533;349455;50.17;19-oct-13;06:03:00;32.48;2.02;319.67628;7.202;0.165;0.102;0.13;1;5.875;1;0.76;1;3.835;1;256;7.73;1.53
18HU13038_1311;11;47.66617;-59.86533;349454;100.23;19-oct-13;06:03:00;32.83;1.59;303.77732;NaN;0.045;0.074;0.065;1;8.915;1;0.92;1;6.445;1;0;9.69;1.38
18HU13038_1311;11;47.66617;-59.86533;349453;200.51;19-oct-13;06:03:00;34.31;5.85;201.8632;NaN;NaN;0.066;0.025;1;18.145;1;1.345;1;16.35;1;0;13.49;1.11
18HU13038_1311;11;47.66617;-59.86533;349452;300.05;19-oct-13;06:03:00;34.68;5.82;176.98758;NaN;NaN;0.064;0.025;1;21.635;1;1.505;1;19.055;1;0;14.38;1.14
18HU13038_1311;11;47.66617;-59.86533;349451;400.23;19-oct-13;06:03:00;34.86;5.42;177.16622;NaN;NaN;0.064;0.025;1;22.2;1;1.58;1;25.4;1;0;14.05;0.87
18HU13038_1311;11;47.66617;-59.86533;349450;515.6;19-oct-13;06:03:00;34.91;5.4;166.89442;3.73;NaN;0.066;0.025;1;22.73;1;1.705;1;31.955;1;256;13.33;0.71
18HU13038_1349;21;47.95833;-59.41483;349461;1.78;19-oct-13;10:07:00;31.78;7.95;310.20836;NaN;NaN;0.442;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13038_1349;21;47.95833;-59.41483;349460;76.44;19-oct-13;10:07:00;32.52;2.27;315.70154;NaN;NaN;0.104;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13038_1312;1161;47.9185;-69.78017;349737;1.69;31-oct-13;11:43:00;24.58;4.02;266.8435;NaN;0.21;0.116;0.13;1;13.595;1;1.005;1;15.16;1;0;13.53;0.90
18HU13038_1312;1161;47.9185;-69.78017;349736;5.16;31-oct-13;11:43:00;25.17;3.87;269.88038;6.872;0.24;0.116;0.13;1;13.435;1;1.015;1;15.02;1;256;13.24;0.89
18HU13038_1312;1161;47.9185;-69.78017;349735;14.68;31-oct-13;11:43:00;28.82;2.79;295.82784;NaN;0.185;0.101;0.14;1;12.27;1;1.12;1;13.59;1;0;10.96;0.90
18HU13038_1312;1161;47.9185;-69.78017;349734;26.47;31-oct-13;11:43:00;30.42;2.18;286.18128;NaN;0.195;0.093;0.135;1;12.09;1;1.165;1;13.225;1;0;10.38;0.91
18HU13038_1312;1161;47.9185;-69.78017;349733;50.47;31-oct-13;11:43:00;30.83;2.16;283.8143;6.3605;0.175;0.089;0.14;1;12.07;1;1.17;1;12.805;1;256;10.32;0.94
18HU13038_1312;1161;47.9185;-69.78017;349732;99.93;31-oct-13;11:43:00;31.34;1.84;279.88422;NaN;0.12;0.085;0.14;1;12.285;1;1.22;1;13.135;1;0;10.07;0.94
18HU13038_1312;1161;47.9185;-69.78017;349731;109.94;31-oct-13;11:43:00;31.34;1.84;279.97354;5.964;NaN;0.088;0.14;1;12.255;1;1.22;1;13.075;1;256;10.05;0.94
18HU13038_1313;1541;47.99283;-60.505;349990;3.17;04-nov-13;20:51:00;31.25;8.1;302.52684;6.796;1.085;0.198;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1313;1541;47.99283;-60.505;349989;24.49;04-nov-13;20:51:00;31.25;8.06;299.84724;6.78;1.09;0.212;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1313;1541;47.99283;-60.505;349988;452.57;04-nov-13;20:51:00;34.91;5.4;166.22452;3.7235;NaN;0.068;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1314;1561;47.89467;-60.83233;350003;3.17;05-nov-13;03:19:00;31.1;7.49;306.54624;6.739;1.245;0.23;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1314;1561;47.89467;-60.83233;350002;25.38;05-nov-13;03:19:00;31.15;7.23;309.13652;6.91;1.1;0.23;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1314;1561;47.89467;-60.83233;350001;122.03;05-nov-13;03:19:00;32.76;1.26;284.39488;6.305;NaN;0.072;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1315;1571;47.51133;-60.4515;350006;2.88;05-nov-13;06:17:00;30.96;7.62;270.37164;6.844;1.62;0.255;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1315;1571;47.51133;-60.4515;350005;24.89;05-nov-13;06:17:00;31.01;7.57;301.94626;6.8075;1.37;0.226;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1315;1571;47.51133;-60.4515;350004;206.16;05-nov-13;06:17:00;34.27;5.56;162.3391;3.5925;NaN;0.067;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1316;1581;47.56467;-61.19317;350008;2.78;05-nov-13;11:38:00;30.38;8.12;294.88998;6.7015;1.785;0.282;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1316;1581;47.56467;-61.19317;350007;25.29;05-nov-13;11:38:00;30.5;8;298.46278;6.682;1.525;0.241;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU13038_1317;1591;47.5985;-61.74333;350010;1.98;05-nov-13;14:13:00;30.67;7.36;302.43752;6.8305;1.58;0.253;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
