CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_02;OXY_XX;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l);(mmol/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13037_036;HL_01;44.4;-63.4503;398758;2;22-sep-13;03:42:00;30.846;16.4142;4.7851;0.3758;NaN;NaN;NaN;0;1;0;1;0.1295;1;0.55;1;0;0.00;0.00
18HU13037_036;HL_01;44.4;-63.4503;398756;20;22-sep-13;03:40:00;30.9052;9.4148;6.4748;0.8148;30.898;5.823;260.0552;0;1;0;1;0.24;1;0.57;1;0;0.00;0.00
18HU13037_036;HL_01;44.4;-63.4503;398755;30;22-sep-13;03:39:00;31.6975;5.2478;5.2445;3.454;NaN;NaN;NaN;0.085;1;0.735;1;0.4975;1;1.23;1;0;1.48;0.60
18HU13037_036;HL_01;44.4;-63.4503;398754;40;22-sep-13;03:38:00;32.1025;3.4734;5.6193;0.8752;NaN;NaN;NaN;0.205;1;7.005;1;0.8435;1;6.32;1;0;8.30;1.11
18HU13037_036;HL_01;44.4;-63.4503;398753;50;22-sep-13;03:37:00;32.1135;3.4614;5.9937;0.7847;NaN;NaN;NaN;0.185;1;6.955;1;0.849;1;6.36;1;0;8.19;1.09
18HU13037_036;HL_01;44.4;-63.4503;398752;60;22-sep-13;03:35:00;32.1556;3.4475;5.6021;0.7997;NaN;NaN;NaN;0.14;1;7.155;1;0.831;1;6.25;1;0;8.61;1.14
18HU13037_036;HL_01;44.4;-63.4503;398751;75;22-sep-13;03:33:00;32.1747;3.5127;5.7778;0.6975;30.893;NaN;NaN;0.11;1;7.115;1;0.8435;1;6.41;1;256;8.44;1.11
18HU13037_080;HL_02;44.2597;-63.312;398768;2;22-sep-13;06:30:00;30.7757;17.5941;4.996;0.222;30.917;5.63;251.4358;0;1;0;1;0.057;1;0.35;1;0;0.00;0.00
