CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NA97052_002;CAST#1;45.656;-60.8565;180704;1;25-sep-97;11:45:00;21.292;15.209;5.959;1;0.037;1;0;1;0.1175;1;2.51;1;0;0.00;0.00
18NA97052_002;CAST#1;45.656;-60.8565;180703;5;25-sep-97;11:45:00;21.292;15.211;5.952;1;0.037;1;0;1;0.1215;1;2.32;1;0;0.00;0.00
18NA97052_002;CAST#1;45.656;-60.8565;180702;15;25-sep-97;11:45:00;22.026;4.586;3.101;1;0.122;1;6.36;1;1.6325;2;14.355;2;2048;3.90;0.44
18NA97052_002;CAST#1;45.656;-60.8565;180701;25;25-sep-97;11:45:00;21.978;4.026;NaN;9;0.066;1;11.645;2;2.2655;2;19.57;2;2048;5.14;0.60
18NA97052_113;CAST#1;45.6668;-60.8598;180707;1;25-sep-97;12:34:00;21.32;15.064;5.922;1;NaN;9;0;1;0.1635;1;2.66;1;0;0.00;0.00
18NA97052_113;CAST#1;45.6668;-60.8598;180706;5;25-sep-97;12:34:00;21.325;15.061;5.903;1;0.037;1;0.15;1;0.162;1;2.65;1;0;0.93;0.06
18NA97052_113;CAST#1;45.6668;-60.8598;180705;10;25-sep-97;12:34:00;22.01;10.269;4.609;1;0.136;1;0.57;1;0.8025;1;7.57;2;2048;0.71;0.08
18NA97052_225;CAST#1;45.6847;-60.8287;180709;5;25-sep-97;13:04:00;21.402;14.801;5.904;1;0.066;1;0.04;1;0.158;1;3.485;1;0;0.25;0.01
18NA97052_225;CAST#1;45.6847;-60.8287;180708;18;25-sep-97;13:04:00;21.876;10.374;4.823;1;0.49;1;2.96;1;0.853;1;11.23;2;2048;3.47;0.26
18NA97052_264;CAST#1;45.7008;-60.79;180713;1;25-sep-97;13:27:00;21.444;15.136;6.059;1;0.0625;1;0.025;1;0.129;1;2.76;1;0;0.19;0.01
18NA97052_264;CAST#1;45.7008;-60.79;180712;5;25-sep-97;13:27:00;21.445;15.132;6.058;1;0.056;1;0.005;1;0.144;1;2.81;1;0;0.03;0.00
