Filename; Pressure; Uniqueno; Variable; Values; Test failed
18TL15133_2234; 4.76; 402505; doxy; 5.90; Bottle-CTD Difference Problem
18TL15133_2234; 34.60; 402503; doxy; 5.08; Bottle-CTD Difference Problem
18TL15133_2235; 4.86; 402590; doxy; 5.44; Bottle-CTD Difference Problem
18TL15133_2235; 78.22; 402588; doxy; 4.98; Bottle-CTD Difference Problem
18TL15133_2236; 4.07; 402623; doxy; 6.10; Bottle-CTD Difference Problem
18TL15133_2236; 77.03; 402621; doxy; 5.32; Bottle-CTD Difference Problem
18TL15133_2237; 4.86; 402626; doxy; 5.65; Bottle-CTD Difference Problem
18TL15133_2237; 63.36; 402624; doxy; 5.87; Bottle-CTD Difference Problem
18TL15133_2238; 4.86; 402630; doxy; 5.68; Bottle-CTD Difference Problem
18TL15133_2238; 70.99; 402627; doxy; 5.90; Bottle-CTD Difference Problem
18TL15133_2244; 4.86; 402677; doxy; 5.82; Bottle-CTD Difference Problem
18TL15133_2244; 32.52; 402675; doxy; 5.42; Bottle-CTD Difference Problem
18TL15133_2245; 4.96; 402680; doxy; 5.88; Bottle-CTD Difference Problem
18TL15133_2245; 34.80; 402678; doxy; 5.55; Bottle-CTD Difference Problem
18TL15133_2246; 4.66; 402683; doxy; 6.48; Bottle-CTD Difference Problem
18TL15133_2246; 51.76; 402681; doxy; 5.93; Bottle-CTD Difference Problem
18TL15133_2247; 4.76; 402686; doxy; 5.88; Bottle-CTD Difference Problem
18TL15133_2247; 39.36; 402684; doxy; 6.37; Bottle-CTD Difference Problem
18TL15133_2248; 5.26; 402689; doxy; 5.79; Bottle-CTD Difference Problem
18TL15133_2248; 55.03; 402687; doxy; 6.20; Bottle-CTD Difference Problem
18TL15133_2255; 4.56; 402710; doxy; 5.68; Bottle-CTD Difference Problem
18TL15133_2255; 61.68; 402708; doxy; 6.39; Bottle-CTD Difference Problem
18TL15133_2256; 5.06; 402713; doxy; 5.53; Bottle-CTD Difference Problem
18TL15133_2256; 49.68; 402711; doxy; 6.25; Bottle-CTD Difference Problem
18TL15133_2257; 4.96; 402715; doxy; 5.48; Bottle-CTD Difference Problem
18TL15133_2257; 32.82; 402714; doxy; 5.53; Bottle-CTD Difference Problem
18TL15133_2263; 4.56; 402732; doxy; 5.59; Bottle-CTD Difference Problem
18TL15133_2263; 34.31; 402730; doxy; 5.53; Bottle-CTD Difference Problem
18TL15133_2264; 5.26; 402734; doxy; 5.66; Bottle-CTD Difference Problem
18TL15133_2264; 26.58; 402733; doxy; 5.21; Bottle-CTD Difference Problem
18TL15133_2265; 5.06; 402737; doxy; 5.66; Bottle-CTD Difference Problem
18TL15133_2265; 44.22; 402735; doxy; 5.85; Bottle-CTD Difference Problem
18TL15133_2271; 1.69; 402762; doxy; 6.23; Bottle-CTD Difference Problem
18TL15133_2271; 19.83; 402759; doxy; 6.05; Bottle-CTD Difference Problem
18TL15133_2271; 50.17; 402756; doxy; 6.32; Bottle-CTD Difference Problem
18TL15133_2271; 81.10; 402753; doxy; 5.64; Bottle-CTD Difference Problem
18TL15133_2272; 4.96; 402766; doxy; 6.23; Bottle-CTD Difference Problem
18TL15133_2272; 82.29; 402763; doxy; 5.59; Bottle-CTD Difference Problem
18TL15133_2273; 4.66; 402769; doxy; 5.97; Bottle-CTD Difference Problem
18TL15133_2273; 66.43; 402767; doxy; 5.39; Bottle-CTD Difference Problem
18TL15133_2274; 4.96; 402772; doxy; 5.96; Bottle-CTD Difference Problem
18TL15133_2274; 61.77; 402770; doxy; 5.68; Bottle-CTD Difference Problem
18TL15133_2275; 5.35; 402775; doxy; 6.12; Bottle-CTD Difference Problem
18TL15133_2275; 91.31; 402773; doxy; 5.44; Bottle-CTD Difference Problem
18TL15133_2218; 168.81; 429020; slca; 26.59  ; Out of Nutrient Climatology in box(es) 6 (Min=3.72 Max=26.12 n=52)
