CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL09037_1042;711;47.17167;-63.255;342439;62.27;16-jun-09;12:25:00;31.46;-1;319.5423;8.462;6.951;NaN;0.14;0.462;0.13;1;8.25;1;1.18;1;12.15;1;256;6.99;0.68
18TL09037_1043;731;46.50117;-63.24733;342448;1.69;16-jun-09;17:28:00;28.19;13.52;299.35598;8.745;6.756;NaN;0.275;0.711;0.015;1;0.05;1;0.115;1;0.65;1;256;0.43;0.08
18TL09037_1043;731;46.50117;-63.24733;342447;5.95;16-jun-09;17:28:00;28.37;10.64;310.6103;8.728;NaN;NaN;0.71;1.327;0.01;1;0.05;1;0.13;1;0.7;1;0;0.38;0.07
18TL09037_1043;731;46.50117;-63.24733;342446;15.77;16-jun-09;17:28:00;29.12;6.43;294.39872;8.652;NaN;NaN;0.255;1.297;0.11;1;1.745;1;0.505;1;3.56;1;0;3.46;0.49
18TL09037_1043;731;46.50117;-63.24733;342445;23.6;16-jun-09;17:28:00;29.79;4.38;277.29394;8.553;6.225;NaN;0.205;0.745;0.165;1;3.245;1;0.75;1;7.145;1;256;4.33;0.45
18TL09037_1044;741;46.83667;-63.74867;342453;1.69;16-jun-09;20:56:00;28.07;12.41;305.83168;8.771;6.911;NaN;0.67;2.331;0.01;1;0.025;1;0.085;1;0.43;1;256;0.29;0.06
18TL09037_1044;741;46.83667;-63.74867;342452;5.55;16-jun-09;20:56:00;28.08;12.2;305.74236;8.758;NaN;NaN;0.745;2.626;0.01;1;0.025;1;0.085;1;0.3;1;0;0.29;0.08
18TL09037_1044;741;46.83667;-63.74867;342451;16.36;16-jun-09;20:56:00;28.83;8.51;320.92676;8.718;NaN;NaN;1.135;3.486;0.015;1;0.145;1;0.185;1;0.535;1;0;0.78;0.27
18TL09037_1044;741;46.83667;-63.74867;342450;25.78;16-jun-09;20:56:00;29.46;3.93;287.74438;8.504;NaN;NaN;0.295;0.875;0.105;1;3.71;1;0.75;1;3.925;1;0;4.95;0.95
18TL09037_1044;741;46.83667;-63.74867;342449;31.83;16-jun-09;20:56:00;30.44;1.5;277.60656;8.396;6.344;NaN;0.12;0.588;0.155;1;6.71;1;1.145;1;7.135;1;256;5.86;0.94
18TL09037_1045;901;46.49783;-61.75017;342457;6.35;18-jun-09;08:08:00;29.15;10.37;310.6103;8.673;NaN;NaN;0.83;2.598;0.01;1;0.19;1;0.155;1;0.71;1;0;1.23;0.27
18TL09037_1045;901;46.49783;-61.75017;342456;16.16;18-jun-09;08:08:00;29.75;7.05;324.54422;8.655;NaN;NaN;0.93;2.771;0.015;1;0.11;1;0.25;1;0.54;1;0;0.44;0.20
18TL09037_1045;901;46.49783;-61.75017;342455;26.58;18-jun-09;08:08:00;30.85;2.04;331.73448;8.518;NaN;NaN;0.235;0.732;0.105;1;2.69;1;0.765;1;2.59;1;0;3.52;1.04
18TL09037_1045;901;46.49783;-61.75017;342454;41.15;18-jun-09;08:08:00;31.17;1.03;333.69952;8.516;7.377;NaN;0.11;0.486;0.09;1;2.98;1;0.83;1;4.11;1;256;3.59;0.73
18TL09037_1046;921;46.83167;-60.92017;342464;1.69;18-jun-09;13:48:00;29.21;11.53;304.62586;8.73;6.879;NaN;0.485;1.519;0.005;1;0.05;1;0.135;1;0.37;1;256;0.37;0.14
18TL09037_1046;921;46.83167;-60.92017;342463;4.96;18-jun-09;13:48:00;29.21;11.52;304.53654;8.723;NaN;NaN;0.635;1.38;0.005;1;0.05;1;0.135;1;0.375;1;0;0.37;0.13
18TL09037_1046;921;46.83167;-60.92017;342462;15.17;18-jun-09;13:48:00;29.3;11.3;306.45692;8.69;NaN;NaN;0.51;2.763;0.01;1;0.05;1;0.13;1;0.4;1;0;0.38;0.13
18TL09037_1046;921;46.83167;-60.92017;342461;26.28;18-jun-09;13:48:00;29.76;8.66;307.12682;8.625;NaN;NaN;0.625;1.794;0.01;1;0.06;1;0.235;1;0.53;1;0;0.26;0.11
18TL09037_1046;921;46.83167;-60.92017;342460;50.67;18-jun-09;13:48:00;31.87;-0.08;317.26464;8.474;NaN;NaN;0.51;0.439;0.11;1;6.31;1;0.95;1;4.84;1;0;6.64;1.30
18TL09037_1046;921;46.83167;-60.92017;342459;100.63;18-jun-09;13:48:00;33.36;2.29;234.28636;8.41;5.2175;NaN;0.07;0.326;0.225;1;15.025;1;1.315;1;16.32;1;256;11.43;0.92
18TL09037_1047;951;47.16917;-61.7435;342468;2.98;18-jun-09;20:42:00;30.56;11.14;308.3773;8.707;6.9845;NaN;0.25;0.727;0.005;1;0.035;1;0.28;1;0.335;1;256;0.13;0.10
18TL09037_1047;951;47.16917;-61.7435;342467;5.06;18-jun-09;20:42:00;30.56;11.38;307.0375;8.69;NaN;NaN;0.24;0.778;0.005;1;0.025;1;0.29;1;0.385;1;0;0.09;0.06
18TL09037_1047;951;47.16917;-61.7435;342466;15.47;18-jun-09;20:42:00;30.93;7.68;336.82572;8.684;NaN;NaN;0.165;0.801;0.005;1;0.03;1;0.37;1;0;1;0;0.08;NaN
18TL09037_1047;951;47.16917;-61.7435;342465;26.18;18-jun-09;20:42:00;31.23;3.41;349.9111;8.661;7.787;NaN;0.39;1.998;0.025;1;0.85;1;0.56;1;1.725;1;256;1.52;0.49
18TL09037_1048;961;47.50267;-61.245;342472;1.49;19-jun-09;00:00:00;30.8;9.88;318.55978;8.699;7.2135;NaN;0.3;1.636;0.005;1;0.03;1;0.335;1;0;1;256;0.09;NaN
18TL09037_1048;961;47.50267;-61.245;342471;5.95;19-jun-09;00:00:00;30.8;9.89;318.6491;8.684;NaN;NaN;0.265;1.72;0.01;1;0.035;1;0.335;1;0;1;0;0.10;NaN
18TL09037_1048;961;47.50267;-61.245;342470;15.37;19-jun-09;00:00:00;30.98;5.98;352.54604;8.708;NaN;NaN;0.75;5.221;0.015;1;0.04;1;0.35;1;0;1;0;0.11;NaN
18TL09037_1048;961;47.50267;-61.245;342469;26.77;19-jun-09;00:00:00;31.14;4.66;339.1927;8.662;7.548;NaN;2.635;3.539;0.05;1;0.94;1;0.495;1;1.46;1;256;1.90;0.64
18TL09037_1049;971;47.4995;-60.74583;342477;1.49;19-jun-09;02:26:00;30.93;9.6;314.13844;8.674;7.077;NaN;0.23;0.902;0.005;1;0.025;1;0.305;1;0.87;1;256;0.08;0.03
18TL09037_1049;971;47.4995;-60.74583;342476;6.54;19-jun-09;02:26:00;30.93;9.6;314.13844;8.659;NaN;NaN;0.24;0.886;0.005;1;0.025;1;0.28;1;0.68;1;0;0.09;0.04
18TL09037_1049;971;47.4995;-60.74583;342475;16.36;19-jun-09;02:26:00;31.42;6.58;336.0665;8.646;NaN;NaN;0.235;0.868;0.015;1;0.13;1;0.37;1;0.35;1;0;0.35;0.37
18TL09037_1049;971;47.4995;-60.74583;342474;25.98;19-jun-09;02:26:00;31.74;2.19;365.05084;8.644;NaN;NaN;0.135;0.527;0.04;1;1.425;1;0.5;1;0.84;1;0;2.85;1.70
18TL09037_1049;971;47.4995;-60.74583;342473;51.46;19-jun-09;02:26:00;32.17;0.41;352.68002;8.604;7.735;NaN;0.18;0.579;0.105;1;4.78;1;0.705;1;3.84;1;256;6.78;1.24
18TL09037_1016;1031;47.82717;-61.75067;342501;2.18;19-jun-09;19:07:00;29.33;11.84;309.67244;8.741;7.024;NaN;0.81;1.675;0.01;1;0.04;1;0.07;1;2.17;1;256;0.57;0.02
18TL09037_1016;1031;47.82717;-61.75067;342500;5.85;19-jun-09;19:07:00;29.33;11.82;309.22584;8.717;NaN;NaN;0.75;2.277;0.005;1;0.06;1;0.075;1;2.095;1;0;0.80;0.03
18TL09037_1016;1031;47.82717;-61.75067;342499;16.76;19-jun-09;19:07:00;30.79;4.9;358.35184;8.676;NaN;NaN;0.72;2.29;0.03;1;0.605;1;0.385;1;1;1;0;1.57;0.60
18TL09037_1016;1031;47.82717;-61.75067;342498;25.48;19-jun-09;19:07:00;31.02;3.29;360.98678;8.64;NaN;NaN;0.985;3.294;0.055;1;2.09;1;0.51;1;1.64;1;0;4.10;1.27
18TL09037_1016;1031;47.82717;-61.75067;342497;48.98;19-jun-09;19:07:00;31.88;0.25;331.33254;8.51;7.285;NaN;0.17;0.5;0.145;1;7.39;1;1;1;11.31;1;256;7.39;0.65
18TL09037_1017;1081;47.83217;-62.24633;342523;1.69;20-jun-09;07:06:00;29.17;12.26;303.77732;8.747;NaN;NaN;0.94;3.383;0.01;1;0.035;1;0.025;1;2.62;1;0;1.40;0.01
18TL09037_1017;1081;47.83217;-62.24633;342522;17.06;20-jun-09;07:06:00;30.9;3.34;363.71104;8.633;NaN;NaN;2.265;4.268;0.07;1;2.285;1;0.43;1;2;1;0;5.31;1.14
18TL09037_1017;1081;47.83217;-62.24633;342521;26.87;20-jun-09;07:06:00;31.43;1.2;360.58484;8.554;NaN;NaN;0.35;0.898;0.09;1;4.82;1;0.795;1;4.71;1;0;6.06;1.02
18TL09037_1017;1081;47.83217;-62.24633;342520;56.71;20-jun-09;07:06:00;32.05;-0.3;320.25686;8.48;7.01;NaN;0.135;0.391;0.18;1;9.175;1;1.095;1;13.525;1;256;8.38;0.68
18TL09037_1018;1091;47.83217;-62.74667;342530;2.48;20-jun-09;09:42:00;28.59;11.46;321.28404;8.748;NaN;NaN;1.305;3.475;0.01;1;0.03;1;0.05;1;5.44;1;0;0.60;0.01
18TL09037_1018;1091;47.83217;-62.74667;342529;7.14;20-jun-09;09:42:00;28.53;11.61;318.8724;8.729;NaN;NaN;1.195;3.64;0.015;1;0.035;1;0.06;1;5.785;1;0;0.58;0.01
18TL09037_1018;1091;47.83217;-62.74667;342528;16.36;20-jun-09;09:42:00;30.03;8.06;346.42762;8.691;NaN;NaN;1.54;5.712;0.025;1;0.42;1;0.13;1;1.175;1;0;3.23;0.36
18TL09037_1018;1091;47.83217;-62.74667;342527;25.98;20-jun-09;09:42:00;30.82;2.47;363.17512;8.606;NaN;NaN;0.25;0.826;0.11;1;3.77;1;0.66;1;3.475;1;0;5.71;1.08
18TL09037_1018;1091;47.83217;-62.74667;342525;56.81;20-jun-09;09:42:00;31.89;-0.38;313.37922;8.443;NaN;NaN;0.125;0.369;0.14;1;7.075;1;0.98;1;12.375;1;0;7.22;0.57
18TL09037_1019;1151;47.83233;-63.25233;342551;2.68;20-jun-09;23:57:00;28.59;11.71;325.25878;8.767;7.346;NaN;1.23;3.727;0.01;1;0.03;1;0.06;1;6.02;1;256;0.50;0.00
18TL09037_1019;1151;47.83233;-63.25233;342550;6.74;20-jun-09;23:57:00;28.59;11.68;324.05296;8.741;NaN;NaN;1.19;3.883;0.01;1;0.035;1;0.065;1;6.155;1;0;0.54;0.01
18TL09037_1019;1151;47.83233;-63.25233;342549;16.46;20-jun-09;23:57:00;29.17;6.9;336.7364;8.645;NaN;NaN;2.085;2.995;0.07;1;2.51;1;0.35;1;4.695;1;0;7.17;0.53
18TL09037_1019;1151;47.83233;-63.25233;342548;26.47;20-jun-09;23:57:00;30.53;3.28;361.03144;8.637;NaN;NaN;0.225;0.639;0.085;1;3.15;1;0.585;1;3.215;1;0;5.38;0.98
18TL09037_1019;1151;47.83233;-63.25233;342547;51.26;20-jun-09;23:57:00;31.49;0.44;338.43348;8.493;NaN;NaN;0.11;0.415;0.145;1;7.42;1;1.005;1;9.815;1;0;7.38;0.76
18TL09037_1019;1151;47.83233;-63.25233;342546;81.59;20-jun-09;23:57:00;32.07;-0.19;269.88038;8.344;5.9065;NaN;0.18;0.415;0.215;1;12.645;1;1.41;1;22.13;1;256;8.97;0.57
