CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE14018_002;HL_02;44.26092;-63.33316;398020;2.46;28-jun-14;15:41:00;2.466;30.67;12.9637;6.088;0.48741;1;30.7125;1;NaN;9;0.025;1;0;1;0.2715;1;0.135;1;0;0.00;0.00
18NE14018_002;HL_02;44.26098;-63.3331;398019;4.79;28-jun-14;15:41:00;4.798;30.8002;12.2076;6.1909;0.52641;1;NaN;9;NaN;9;0.055;1;0;1;0.2715;1;0.075;1;0;0.00;0.00
18NE14018_002;HL_02;44.26102;-63.33305;398018;9.72;28-jun-14;15:40:00;9.723;31.1035;10.1146;6.6384;0.66896;1;NaN;9;NaN;9;0.03;1;0;1;0.2835;1;0.145;1;0;0.00;0.00
18NE14018_002;HL_02;44.26106;-63.33296;398017;19.79;28-jun-14;15:40:00;19.797;31.6625;7.4;7.2634;1.02573;1;NaN;9;NaN;9;0.03;1;0;1;0.289;1;0.16;1;0;0.00;0.00
18NE14018_002;HL_02;44.26108;-63.33288;398016;29.83;28-jun-14;15:39:00;29.834;31.9953;5.9545;7.4481;1.65009;1;NaN;9;NaN;9;0.065;1;0;1;0.29;1;0.22;1;0;0.00;0.00
18NE14018_002;HL_02;44.26108;-63.33277;398015;40.22;28-jun-14;15:38:00;40.223;32.0705;2.8647;6.907;0.83835;1;32.0959;1;NaN;9;0.145;1;1.72;1;0.603;1;1.3;1;0;2.85;1.32
18NE14018_002;HL_02;44.26106;-63.33268;398014;50.34;28-jun-14;15:37:00;50.348;32.3926;3.7017;6.5018;0.48091;1;NaN;9;NaN;9;0.155;1;2.125;1;0.5855;1;1.49;1;0;3.63;1.43
18NE14018_002;HL_02;44.26098;-63.3325;398013;75.26;28-jun-14;15:36:00;75.264;32.8361;4.3346;5.687;0.13647;1;NaN;9;NaN;9;0.195;1;7.205;1;0.9165;1;5.035;1;0;7.86;1.43
