CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NA96002_002;CAST#1;45.6577;-60.8535;147404;1;25-apr-96;11:32:00;20.556;4.334;8.014;1;NaN;9;0.1165;1;0.04;1;0.219;1;0.42;1;0;0.18;0.10
18NA96002_002;CAST#1;45.6577;-60.8535;147403;5;25-apr-96;11:32:00;21.158;2.964;8.064;1;0.0801;1;0.111;1;0.025;1;0.172;1;0.295;1;0;0.15;0.08
18NA96002_002;CAST#1;45.6577;-60.8535;147402;15;25-apr-96;11:32:00;21.871;1.126;7.885;1;0.4005;1;0.142;1;0.085;1;0.317;1;0.24;1;0;0.27;0.35
18NA96002_002;CAST#1;45.6577;-60.8535;147401;25;25-apr-96;11:32:00;21.943;0.784;6.34;1;NaN;9;0.162;1;3;1;0.928;1;8.245;1;0;3.23;0.36
18NA96002_113;CAST#1;45.685;-60.8272;147407;1;25-apr-96;12:20:00;21.122;3.334;8.292;1;0.2403;7;0.128;1;0.025;7;0.195;1;0.325;1;32;0.13;0.08
18NA96002_113;CAST#1;45.685;-60.8272;147406;14;25-apr-96;12:20:00;21.822;1.543;8.543;1;0.2403;7;0.119;1;0.025;7;0.251;1;0.37;1;32;0.10;0.07
18NA96002_225;CAST#1;45.7013;-60.7907;147410;1;25-apr-96;12:50:00;21.332;3.191;8.323;1;0.3204;1;0.1205;1;0.01;1;0.195;1;0.075;1;0;0.05;0.13
18NA96002_225;CAST#1;45.7013;-60.7907;147409;5;25-apr-96;12:50:00;21.543;2.703;8.368;1;0.3204;1;0.1115;1;0.05;1;0.184;1;0.125;1;0;0.27;0.40
18NA96002_225;CAST#1;45.7013;-60.7907;147408;18;25-apr-96;12:50:00;21.848;1.442;8.474;1;0.1602;1;0.1245;1;0.04;1;0.241;1;0.24;1;0;0.17;0.17
18NA96002_264;CAST#1;45.744;-60.8;147414;1;25-apr-96;13:30:00;21.746;2.199;8.516;1;NaN;9;0.1195;1;0;1;0.21;1;0.005;1;0;0.00;0.00
18NA96002_264;CAST#1;45.744;-60.8;147413;5;25-apr-96;13:30:00;21.751;2.128;8.508;1;0.3204;1;0.1165;1;0.035;1;0.212;1;0.235;1;0;0.17;0.15
18NA96002_264;CAST#1;45.744;-60.8;147412;15;25-apr-96;13:30:00;21.823;1.689;8.515;1;0.2403;1;0.1235;1;0;1;0.2115;1;0.145;1;0;0.00;0.00
18NA96002_264;CAST#1;45.744;-60.8;147411;37;25-apr-96;13:30:00;21.94;1.043;8.446;1;NaN;9;0.1295;1;0.055;1;0.2795;1;0.2;1;0;0.20;0.27
