CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU94030_002;CAST#1;43.98917;-58.0045;150601;1373.76;13-oct-94;16:44:00;1389.496;34.9339;3.6471;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150602;1375.23;13-oct-94;16:44:00;1390.981;34.9344;3.6468;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150603;1376.31;13-oct-94;16:44:00;1392.083;34.9344;3.6458;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150605;1378.93;13-oct-94;16:44:00;1394.738;34.9338;3.6402;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150606;1379.91;13-oct-94;16:44:00;1395.733;34.9337;3.6399;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150604;1380.6;13-oct-94;16:44:00;1396.432;34.933;3.6408;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150607;1381.76;13-oct-94;16:44:00;1397.609;34.9338;3.6366;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150608;1382.08;13-oct-94;16:44:00;1397.933;34.9337;3.6314;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150609;1383.41;13-oct-94;16:44:00;1399.292;34.9324;3.6293;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150610;1384.16;13-oct-94;16:44:00;1400.044;34.9327;3.6265;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150612;1386.8;13-oct-94;16:44:00;1402.724;34.9332;3.6252;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150611;1386.86;13-oct-94;16:44:00;1402.789;34.9324;3.6258;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150613;1388.34;13-oct-94;16:44:00;1404.288;34.9321;3.6242;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150615;1388.39;13-oct-94;16:44:00;1404.338;34.9317;3.6226;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150619;1389.9;13-oct-94;16:44:00;1405.87;34.9313;3.618;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150618;1390.54;13-oct-94;16:44:00;1406.52;34.9308;3.6185;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150617;1390.65;13-oct-94;16:44:00;1406.633;34.9315;3.6188;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150620;1390.84;13-oct-94;16:44:00;1406.823;34.9319;3.6183;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150616;1391.41;13-oct-94;16:44:00;1407.402;34.9319;3.6194;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150614;2743.57;13-oct-94;16:44:00;2784.069;34.2884;3.6231;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU94030_113;CAST#1;42.99667;-50.28833;150623;11.35;15-oct-94;03:53:00;11.44;32.4349;9.1959;7.194;1;0.59904;1;0.29655;1;0.86149;1;0;2.02;0.70
18HU94030_113;CAST#1;42.99667;-50.28833;150622;30.87;15-oct-94;03:53:00;31.122;33.2321;-0.3025;7.747;1;8.11553;1;0.88803;1;7.80005;1;0;9.14;1.04
18HU94030_113;CAST#1;42.99667;-50.28833;150621;68.23;15-oct-94;03:53:00;68.792;33.4777;-0.8231;8.594;1;10.81604;1;1.01004;1;9.87302;1;0;10.71;1.10
18HU94030_225;CAST#1;42.748;-50.2935;150631;11.01;15-oct-94;05:34:00;11.102;32.5362;7.6403;7.426;1;0.7955;1;0.32504;1;1.32249;1;0;2.45;0.60
