CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;OXYM_01;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL17177_2422;11;46.06833;-63.31083;437792;4.46;05-sep-17;23:14:00;28.26;17.46;273.40852;2.46;6.0685;7.619;0.04;1;0.34;1;0.4;1;1.345;1;256;0.85;0.25
18TL17177_2422;11;46.06833;-63.31083;437791;16.26;05-sep-17;23:14:00;28.49;16.1;231.47278;3.83;5.515;9.686;0.08;1;0.42;1;0.605;1;2.71;1;256;0.69;0.15
18TL17177_2464;21;46.07867;-63.34583;437794;4.56;06-sep-17;02:50:00;28.21;17.48;270.4163;2.495;6.042;8.173;0.04;1;0.245;1;0.42;1;1.025;1;256;0.58;0.24
18TL17177_2464;21;46.07867;-63.34583;437793;17.45;06-sep-17;02:50:00;28.42;16.49;236.43004;11.38;5.67;11.948;0.04;1;0.505;1;0.405;1;1.545;1;256;1.25;0.33
18TL17177_2475;31;46.05;-63.51217;437796;4.66;06-sep-17;06:24:00;28.14;17.81;250.85522;1.865;5.633;7.065;0.045;1;0.315;1;0.42;1;0.75;1;256;0.75;0.42
18TL17177_2475;31;46.05;-63.51217;437795;19.14;06-sep-17;06:24:00;28.82;13.74;186.14288;3.835;4.7;8.268;0.095;1;0.71;1;0.695;1;5.405;1;256;1.02;0.13
18TL17177_2486;41;45.95383;-63.39017;437798;5.06;06-sep-17;08:48:00;28.36;17.3;268.13864;2.845;5.973;8.075;0.04;1;0.4;1;0.275;1;1.32;1;256;1.45;0.30
18TL17177_2486;41;45.95383;-63.39017;437797;19.64;06-sep-17;08:48:00;28.95;12.41;224.6398;3.09;5.2835;3.945;0.145;1;0.98;1;0.565;1;5.505;1;256;1.73;0.18
18TL17177_2491;51;45.887;-62.808;437800;5.26;06-sep-17;12:53:00;28.5;15.85;259.74256;2.365;4.49;5.659;0.05;1;0.42;1;0.325;1;2.495;1;1280;1.29;0.17
18TL17177_2491;51;45.887;-62.808;437799;33.82;06-sep-17;12:53:00;29.37;9.5;244.82612;1.335;5.248;2.557;0.28;1;2.045;1;0.645;1;8.36;1;256;3.17;0.24
18TL17177_2492;61;45.90383;-62.66333;437802;5.45;06-sep-17;16:51:00;28.06;17.23;261.75226;1.945;5.8995;5.216;0.04;1;0.275;1;0.14;1;1.915;1;256;1.96;0.14
18TL17177_2492;61;45.90383;-62.66333;437801;27.07;06-sep-17;16:51:00;29.62;7.79;244.11156;0.805;5.405;1.317;0.26;1;1.89;1;0.64;1;8.605;1;256;2.95;0.22
18TL17177_2493;71;45.81867;-62.42233;437804;4.07;06-sep-17;20:31:00;28.37;16.69;251.4358;2.145;5.6445;7.534;0.04;1;0.39;1;0.3;1;2.32;1;256;1.30;0.17
18TL17177_2493;71;45.81867;-62.42233;437803;19.44;06-sep-17;20:31:00;28.37;16.42;247.72902;2.32;5.486;8.196;0.04;1;0.34;1;0.31;1;2.49;1;256;1.10;0.14
