CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_03;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU01068_002;STN27;47.5467;-52.5867;253810;6;14-nov-01;23:30:00;6.13;31.201;1;7.64890282131662;1;6.509;1;0.82;1;0;1;0.53;1;0.51;1;0;0.00;0.00
18HU01068_002;STN27;47.5467;-52.5867;253809;11;14-nov-01;23:30:00;10.97;31.201;1;7.63994626063592;1;6.503;1;0.83;1;0;1;0.65;1;0.61;1;0;0.00;0.00
18HU01068_002;STN27;47.5467;-52.5867;253808;21;14-nov-01;23:30:00;21.05;31.201;1;7.63994626063592;1;6.518;1;0.8;1;0;1;0.57;1;0.49;1;0;0.00;0.00
18HU01068_002;STN27;47.5467;-52.5867;253807;31;14-nov-01;23:30:00;31.11;31.202;1;7.64890282131662;1;6.514;1;0.85;1;0;1;0.52;1;0.49;1;0;0.00;0.00
18HU01068_002;STN27;47.5467;-52.5867;253806;40;14-nov-01;23:30:00;40.4;31.221;1;7.68920734437976;1;6.442;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_002;STN27;47.5467;-52.5867;253805;51;14-nov-01;23:30:00;51.15;31.292;1;7.74070756829378;1;6.204;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_002;STN27;47.5467;-52.5867;253804;75;14-nov-01;23:30:00;75.82;32.324;1;8.11016569637259;1;0.255;1;0.11;1;3.71;1;1.54;1;3.37;1;0;2.41;1.10
18HU01068_002;STN27;47.5467;-52.5867;253803;100;14-nov-01;23:30:00;100.42;32.549;1;8.06090461262875;1;-0.706;1;0.08;1;5.31;1;1.62;1;4.72;1;0;3.28;1.13
18HU01068_002;STN27;47.5467;-52.5867;253802;150;14-nov-01;23:30:00;151.59;32.93;1;7.76981639050605;1;-1.111;1;0.06;1;6.54;1;1.39;1;5.47;1;0;4.71;1.20
18HU01068_002;STN27;47.5467;-52.5867;253801;169;14-nov-01;23:30:00;170.3;33.279;1;7.34885803851321;1;-0.8;1;NaN;9;8.53;1;1.51;1;9.16;1;0;5.65;0.93
18HU01068_113;SEGB-01;46.5833;-52.9333;253815;6;15-nov-01;06:04:00;5.56;31.38;1;7.78996865203762;1;5.661;1;0.7;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_113;SEGB-01;46.5833;-52.9333;253814;10;15-nov-01;06:04:00;10.52;31.381;1;7.81012091356919;1;5.672;1;0.72;1;1.28;1;0.59;1;1.88;1;0;2.17;0.68
18HU01068_113;SEGB-01;46.5833;-52.9333;253813;20;15-nov-01;06:04:00;20.58;31.381;1;7.81907747424989;1;5.668;1;0.74;1;1.59;1;0.63;1;2.04;1;0;2.52;0.78
18HU01068_113;SEGB-01;46.5833;-52.9333;253812;30;15-nov-01;06:04:00;30.52;31.424;1;7.85938199731303;1;5.564;1;0.6;1;0.78;1;0.57;1;1.65;1;0;1.37;0.47
18HU01068_113;SEGB-01;46.5833;-52.9333;253811;46;15-nov-01;06:04:00;46.22;31.874;1;8.06090461262875;1;3.428;1;0.26;1;2.04;1;0.77;1;2.91;1;0;2.65;0.70
18HU01068_225;SEGB-02;46.5;-52.85;253816;172;15-nov-01;07:00:00;173.01;32.931;1;7.59964173757277;1;-1.04;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_264;SEGB-03;46.35;-52.7333;253826;6;15-nov-01;08:12:00;5.79;31.658;1;7.59068517689207;1;7.11;1;1.14;1;0.15;1;0.32;1;0.78;1;0;0.47;0.19
18HU01068_264;SEGB-03;46.35;-52.7333;253825;10;15-nov-01;08:12:00;10.24;31.657;1;7.59964173757277;1;7.113;1;1.16;1;0.18;1;0.37;1;1.17;1;0;0.49;0.15
18HU01068_264;SEGB-03;46.35;-52.7333;253824;21;15-nov-01;08:12:00;20.73;31.66;1;7.63994626063592;1;7.11;1;1.2;1;0.21;1;0.34;1;0.81;1;0;0.62;0.26
18HU01068_264;SEGB-03;46.35;-52.7333;253823;31;15-nov-01;08:12:00;30.78;31.656;1;7.76981639050605;1;7.107;1;1.18;1;1.63;1;0.46;1;1.08;1;0;3.54;1.51
18HU01068_264;SEGB-03;46.35;-52.7333;253822;40;15-nov-01;08:12:00;40.76;32.558;1;8.54903716972683;1;0.522;1;0.27;1;4.5;1;1.21;1;3.54;1;0;3.72;1.27
18HU01068_264;SEGB-03;46.35;-52.7333;253821;51;15-nov-01;08:12:00;50.95;32.668;1;8.17062248096731;1;-0.953;1;0.17;1;5.54;1;1.33;1;5.66;1;0;4.17;0.98
18HU01068_264;SEGB-03;46.35;-52.7333;253820;75;15-nov-01;08:12:00;75.46;32.878;1;7.70935960591133;1;-0.742;1;0.08;1;8.46;1;1.74;1;9.86;1;0;4.86;0.86
18HU01068_264;SEGB-03;46.35;-52.7333;253819;100;15-nov-01;08:12:00;100.95;33.132;1;7.18092252575011;1;-0.728;1;0.05;1;11.12;1;1.88;2;15.55;1;2048;5.91;0.72
18HU01068_264;SEGB-03;46.35;-52.7333;253818;150;15-nov-01;08:12:00;151.26;33.268;1;7.08016121809225;1;-0.648;1;0.05;1;11.21;1;1.86;2;16.62;2;2048;6.03;0.67
18HU01068_264;SEGB-03;46.35;-52.7333;253817;168;15-nov-01;08:12:00;169.76;33.269;1;7.08016121809225;1;-0.649;1;NaN;9;12.11;1;1.9;2;16.44;2;2048;6.37;0.74
18HU01068_284;SEGB-04;46.2083;-52.6083;-253827;0;15-nov-01;10:17:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_284;SEGB-04;46.2083;-52.6083;253827;126;15-nov-01;10:17:00;127.15;33.232;1;7.1204657411554;1;-0.679;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_304;SEGB-05;46.07;-52.5;-253828;0;15-nov-01;11:22:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU01068_304;SEGB-05;46.07;-52.5;253835;6;15-nov-01;11:22:00;5.61;31.937;1;7.2704881325571;1;8.522;1;1.08;1;0.43;1;0.32;1;0.92;1;0;1.34;0.47
18HU01068_304;SEGB-05;46.07;-52.5;253834;11;15-nov-01;11:22:00;11.26;31.937;1;7.2794446932378;1;8.526;1;1.13;1;1.69;1;0.46;1;1.49;1;0;3.67;1.13
18HU01068_304;SEGB-05;46.07;-52.5;253833;20;15-nov-01;11:22:00;20.53;31.938;1;7.29064039408867;1;8.519;1;1.11;1;0.48;1;0.33;1;1.14;1;0;1.45;0.42
18HU01068_304;SEGB-05;46.07;-52.5;253832;31;15-nov-01;11:22:00;30.76;31.941;1;7.31079265562024;1;8.524;1;1.11;1;1.55;1;0.4;1;1.3;1;0;3.88;1.19
