CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU87037_305;CAST#1;45.20667;-48.00333;39456;103;31-oct-87;04:31:00;5.606;4.88;1;20.21;1;NaN;9;11.08;1;0;NaN;1.82
18HU87037_305;CAST#1;45.20667;-48.00333;39455;304;31-oct-87;04:31:00;5.089;5.48;1;20.14;1;NaN;9;11.55;1;0;NaN;1.74
18HU87037_305;CAST#1;45.20667;-48.00333;39454;404;31-oct-87;04:31:00;4.48;5.95;1;19.36;1;NaN;9;10.71;1;0;NaN;1.81
18HU87037_305;CAST#1;45.20667;-48.00333;39453;508;31-oct-87;04:31:00;3.806;6.49;1;18.31;1;NaN;9;9.44;1;0;NaN;1.94
18HU87037_305;CAST#1;45.20667;-48.00333;39452;610;31-oct-87;04:31:00;3.366;6.81;1;17.7;1;NaN;9;8.92;1;0;NaN;1.98
18HU87037_305;CAST#1;45.20667;-48.00333;39451;711;31-oct-87;04:31:00;3.558;6.65;1;17.83;1;NaN;9;9.34;1;0;NaN;1.91
18HU87037_305;CAST#1;45.20667;-48.00333;39450;914;31-oct-87;04:31:00;3.48;6.7;1;17.76;1;NaN;9;9.49;1;0;NaN;1.87
18HU87037_305;CAST#1;45.20667;-48.00333;39449;1016;31-oct-87;04:31:00;3.381;6.84;1;17.88;1;NaN;9;9.49;1;0;NaN;1.88
18HU87037_305;CAST#1;45.20667;-48.00333;39448;1217;31-oct-87;04:31:00;3.374;6.76;1;18.02;1;NaN;9;9.49;1;0;NaN;1.90
18HU87037_305;CAST#1;45.20667;-48.00333;39447;1320;31-oct-87;04:31:00;3.363;6.73;1;17.9;1;NaN;9;10.23;1;0;NaN;1.75
18HU87037_305;CAST#1;45.20667;-48.00333;39446;1421;31-oct-87;04:31:00;3.384;6.69;1;18.11;1;NaN;9;10.25;1;0;NaN;1.77
18HU87037_305;CAST#1;45.20667;-48.00333;39445;1522;31-oct-87;04:31:00;3.426;6.49;1;18.04;1;NaN;9;10.33;1;0;NaN;1.75
18HU87037_305;CAST#1;45.20667;-48.00333;39444;1623;31-oct-87;04:31:00;3.43;6.65;1;18.06;1;NaN;9;10.51;1;0;NaN;1.72
18HU87037_305;CAST#1;45.20667;-48.00333;39443;1726;31-oct-87;04:31:00;3.442;6.6;1;18.41;1;NaN;9;10.82;1;0;NaN;1.70
18HU87037_305;CAST#1;45.20667;-48.00333;39442;1827;31-oct-87;04:31:00;3.433;6.55;1;18.27;1;NaN;9;11.24;1;0;NaN;1.63
18HU87037_305;CAST#1;45.20667;-48.00333;39441;1930;31-oct-87;04:31:00;3.421;6.49;1;18.4;1;NaN;9;11.4;1;0;NaN;1.61
18HU87037_305;CAST#1;45.20667;-48.00333;39440;2031;31-oct-87;04:31:00;3.349;6.5;1;18.33;1;NaN;9;11.42;1;0;NaN;1.61
18HU87037_305;CAST#1;45.20667;-48.00333;39439;2132;31-oct-87;04:31:00;3.331;6.48;1;17.9;1;NaN;9;12.04;1;0;NaN;1.49
18HU87037_305;CAST#1;45.20667;-48.00333;39438;2270;31-oct-87;04:31:00;3.301;6.47;1;17.92;1;NaN;9;12.1;1;0;NaN;1.48
18HU87037_306;CAST#1;45.30667;-48.325;39478;15;31-oct-87;04:31:00;8.47;6.88;1;0.09;1;NaN;9;1.25;1;0;NaN;0.07
18HU87037_306;CAST#1;45.30667;-48.325;39477;55;31-oct-87;04:31:00;5.199;7.25;1;3.54;1;NaN;9;2.67;1;0;NaN;1.33
18HU87037_306;CAST#1;45.30667;-48.325;39476;103;31-oct-87;04:31:00;2.747;6.84;1;14.95;1;NaN;9;6.81;1;0;NaN;2.20
18HU87037_306;CAST#1;45.30667;-48.325;39475;154;31-oct-87;04:31:00;3.331;6.59;1;17.56;1;NaN;9;8.77;1;0;NaN;2.00
18HU87037_306;CAST#1;45.30667;-48.325;39474;206;31-oct-87;04:31:00;3.573;6.61;1;17.76;1;NaN;9;8.97;1;0;NaN;1.98
18HU87037_306;CAST#1;45.30667;-48.325;39473;307;31-oct-87;04:31:00;3.509;6.76;1;17.52;1;NaN;9;9.62;1;0;NaN;1.82
18HU87037_306;CAST#1;45.30667;-48.325;39472;408;31-oct-87;04:31:00;3.432;6.8;1;17.42;1;NaN;9;8.84;1;0;NaN;1.97
18HU87037_306;CAST#1;45.30667;-48.325;39471;510;31-oct-87;04:31:00;3.364;6.87;1;17.44;1;NaN;9;8.93;1;0;NaN;1.95
18HU87037_306;CAST#1;45.30667;-48.325;39470;607;31-oct-87;04:31:00;3.263;6.98;1;17.35;1;NaN;9;8.76;1;0;NaN;1.98
18HU87037_306;CAST#1;45.30667;-48.325;39469;710;31-oct-87;04:31:00;3.367;6.86;1;17.97;1;NaN;9;9.38;1;0;NaN;1.92
18HU87037_306;CAST#1;45.30667;-48.325;39468;812;31-oct-87;04:31:00;3.403;6.86;1;17.85;1;NaN;9;9.39;1;0;NaN;1.90
18HU87037_306;CAST#1;45.30667;-48.325;39467;910;31-oct-87;04:31:00;3.403;6.86;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU87037_306;CAST#1;45.30667;-48.325;39466;1012;31-oct-87;04:31:00;3.356;6.93;1;18.21;1;NaN;9;9.38;1;0;NaN;1.94
18HU87037_306;CAST#1;45.30667;-48.325;39465;1111;31-oct-87;04:31:00;3.298;6.98;1;17.58;1;NaN;9;9.52;1;0;NaN;1.85
18HU87037_306;CAST#1;45.30667;-48.325;39464;1166;31-oct-87;04:31:00;3.291;6.99;1;17.73;1;NaN;9;9.6;1;0;NaN;1.85
18HU87037_306;CAST#1;45.30667;-48.325;39463;1220;31-oct-87;04:31:00;3.273;6.99;1;17.83;1;NaN;9;9.85;1;0;NaN;1.81
18HU87037_306;CAST#1;45.30667;-48.325;39462;1263;31-oct-87;04:31:00;3.271;6.98;1;17.66;1;NaN;9;9.86;1;0;NaN;1.79
18HU87037_306;CAST#1;45.30667;-48.325;39461;1267;31-oct-87;04:31:00;3.271;6.98;1;17.92;1;NaN;9;10.13;1;0;NaN;1.77
18HU87037_306;CAST#1;45.30667;-48.325;39460;1319;31-oct-87;04:31:00;3.278;6.91;1;17.78;1;NaN;9;10.19;1;0;NaN;1.74
18HU87037_306;CAST#1;45.30667;-48.325;39459;1371;31-oct-87;04:31:00;3.287;6.94;1;17.68;1;NaN;9;10.09;1;0;NaN;1.75
18HU87037_306;CAST#1;45.30667;-48.325;39458;1440;31-oct-87;04:31:00;3.296;6.89;1;17.04;1;NaN;9;9.66;1;0;NaN;1.76
18HU87037_307;CAST#1;45.41167;-48.66667;39488;12;31-oct-87;11:07:00;5.773;7.46;1;0.33;1;NaN;9;1.43;1;0;NaN;0.23
18HU87037_307;CAST#1;45.41167;-48.66667;39487;32;31-oct-87;11:07:00;-0.907;7.63;1;8.1;1;NaN;9;7.03;1;0;NaN;1.15
18HU87037_307;CAST#1;45.41167;-48.66667;39486;63;31-oct-87;11:07:00;-1.137;7.38;1;10.34;1;NaN;9;8.29;1;0;NaN;1.25
18HU87037_307;CAST#1;45.41167;-48.66667;39485;93;31-oct-87;11:07:00;-0.774;7.26;1;11.92;1;NaN;9;9.29;1;0;NaN;1.28
18HU87037_307;CAST#1;45.41167;-48.66667;39484;124;31-oct-87;11:07:00;-0.534;7.19;1;12.91;1;NaN;9;9.76;1;0;NaN;1.32
18HU87037_307;CAST#1;45.41167;-48.66667;39483;162;31-oct-87;11:07:00;-0.429;7.14;1;13.16;1;NaN;9;9.37;1;0;NaN;1.40
18HU87037_307;CAST#1;45.41167;-48.66667;39482;203;31-oct-87;11:07:00;0.08;7.08;1;14.1;1;NaN;9;9.5;1;0;NaN;1.48
18HU87037_307;CAST#1;45.41167;-48.66667;39481;243;31-oct-87;11:07:00;0.332;7.05;1;14.48;1;NaN;9;9.67;1;0;NaN;1.50
18HU87037_307;CAST#1;45.41167;-48.66667;39480;285;31-oct-87;11:07:00;0.524;1.59;1;14.59;1;NaN;9;9.71;1;0;NaN;1.50
18HU87037_307;CAST#1;45.41167;-48.66667;39479;317;31-oct-87;11:07:00;1.009;6.89;1;15.06;1;NaN;9;10.47;1;0;NaN;1.44
