CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l);((none));((none));((none));((none))
18HU11009_264;HL_02;44.261;-63.3342;378024;1.7;06-may-11;18:06:00;7.9;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378023;9.7;06-may-11;18:05:00;7.9;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378022;20.7;06-may-11;18:03:00;7.8;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378021;29.5;06-may-11;18:02:00;7.7;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378020;40.4;06-may-11;18:00:00;7.7;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378019;51.1;06-may-11;17:58:00;7.4;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378018;59.1;06-may-11;17:57:00;7.1;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378017;79.8;06-may-11;17:55:00;6.7;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378016;100.2;06-may-11;17:52:00;6.6;1;0;NaN;NaN
18HU11009_264;HL_02;44.261;-63.3342;378015;144.2;06-may-11;17:50:00;3.9;1;0;NaN;NaN
18HU11009_315;LF_07;44.563;-56.0873;378031;101;07-may-11;22:44:00;5.5;1;0;NaN;NaN
18HU11009_315;LF_07;44.563;-56.0873;378030;249.9;07-may-11;22:42:00;3.6;1;0;NaN;NaN
18HU11009_315;LF_07;44.563;-56.0873;378028;750.5;07-may-11;22:34:00;6;1;0;NaN;NaN
18HU11009_315;LF_07;44.563;-56.0873;378027;999.4;07-may-11;22:30:00;6.2;1;0;NaN;NaN
18HU11009_315;LF_07;44.563;-56.0873;378026;1500.8;07-may-11;22:22:00;5.8;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378047;20;08-may-11;04:02:00;7.1;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378046;202.4;08-may-11;03:58:00;3.4;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378045;650.5;08-may-11;03:49:00;5.6;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378043;1548.8;08-may-11;03:32:00;6.1;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378042;2101.9;08-may-11;03:20:00;6.2;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378041;2631.8;08-may-11;03:10:00;6.2;1;0;NaN;NaN
18HU11009_326;LF_09;44.122;-55.8995;378040;3152;08-may-11;03:00:00;6.3;1;0;NaN;NaN
18HU11009_339;LF_08;44.351;-56.0002;378057;20.6;08-may-11;07:18:00;7.4;1;0;NaN;NaN
18HU11009_339;LF_08;44.351;-56.0002;378056;203.4;08-may-11;07:13:00;3.9;1;0;NaN;NaN
18HU11009_339;LF_08;44.351;-56.0002;378055;902.4;08-may-11;06:59:00;6.3;1;0;NaN;NaN
18HU11009_339;LF_08;44.351;-56.0002;378052;1702.2;08-may-11;06:42:00;6.2;1;0;NaN;NaN
18HU11009_339;LF_08;44.351;-56.0002;378051;2102.3;08-may-11;06:34:00;6.2;1;0;NaN;NaN
18HU11009_339;LF_08;44.351;-56.0002;378050;2627.4;08-may-11;06:24:00;6.3;1;0;NaN;NaN
18HU11009_003;LF_06;44.6678;-56.1043;378062;14;08-may-11;10:25:00;7.2;1;0;NaN;NaN
18HU11009_003;LF_06;44.6678;-56.1043;378061;203.7;08-may-11;10:22:00;3.8;1;0;NaN;NaN
18HU11009_003;LF_06;44.6678;-56.1043;378060;781;08-may-11;10:12:00;6.1;1;0;NaN;NaN
18HU11009_003;LF_06;44.6678;-56.1043;378059;1253.9;08-may-11;10:05:00;6.2;1;0;NaN;NaN
18HU11009_003;LF_06;44.6678;-56.1043;378058;1600.4;08-may-11;10:00:00;6.2;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378076;9.4;08-may-11;17:14:00;7.9;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378073;29.3;08-may-11;17:12:00;7.5;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378072;39.8;08-may-11;17:12:00;7.5;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378070;60;08-may-11;17:10:00;7.3;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378069;79.9;08-may-11;17:09:00;6.7;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378068;102.3;08-may-11;17:08:00;5.9;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378067;151.4;08-may-11;17:06:00;4.2;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378066;205;08-may-11;17:05:00;4.2;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378065;250.8;08-may-11;17:03:00;4;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378064;399.4;08-may-11;17:00:00;5.4;1;0;NaN;NaN
18HU11009_036;LF_03.5;44.8248;-56.13;378063;501.7;08-may-11;16:58:00;5.8;1;0;NaN;NaN
18HU11009_069;Transit;46.9867;-52.6905;378089;10.1;09-may-11;12:01:00;8.6;1;0;NaN;NaN
18HU11009_069;Transit;46.9867;-52.6905;378084;53.1;09-may-11;11:59:00;8.2;1;0;NaN;NaN
18HU11009_069;Transit;46.9867;-52.6905;378081;101.2;09-may-11;11:57:00;7.6;1;0;NaN;NaN
18HU11009_069;Transit;46.9867;-52.6905;378079;173.1;09-may-11;11:54:00;6.6;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;379006;3.1;25-may-11;01:48:00;5.4;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;379005;56;25-may-11;01:46:00;5.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;379003;195.5;25-may-11;01:42:00;4.8;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;379002;330.6;25-may-11;01:40:00;3.2;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;379000;732.5;25-may-11;01:32:00;5;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378999;960;25-may-11;01:28:00;5.6;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378998;1200.8;25-may-11;01:24:00;5.9;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378997;1449.2;25-may-11;01:19:00;6;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378996;1725.2;25-may-11;01:14:00;6;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378995;2011.2;25-may-11;01:09:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378994;2309.6;25-may-11;01:03:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378993;2605.6;25-may-11;00:58:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378992;2891.6;25-may-11;00:53:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378991;3164.2;25-may-11;00:48:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378989;3680.2;25-may-11;00:39:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378988;4000.8;25-may-11;00:32:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378987;4349.9;25-may-11;00:26:00;6.1;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378986;4699.7;25-may-11;00:19:00;5.9;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378985;4922.4;25-may-11;00:14:00;5.8;1;0;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378984;5039.5;25-may-11;00:11:00;5.9;1;4;NaN;NaN
18HU11009_245;HL_14;40.6755;-60.2132;378983;5039.7;25-may-11;00:11:00;5.9;1;4;NaN;NaN
18HU11009_246;HL_13;41.0432;-60.4445;379030;3.1;25-may-11;09:54:00;5.5;1;0;NaN;NaN
18HU11009_246;HL_13;41.0432;-60.4445;379029;56.2;25-may-11;09:53:00;4.8;1;0;NaN;NaN
