CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU16006_315;CSL_01;46.95792;-60.21614;433033;1.46;02-may-16;01:35:00;1.465;30.0747;1.7787;8.3262;8.13;1.40278;1;30.097;1;8.694;1;0.02;1;NaN;9;0;1;NaN;9;0.34467;1;NaN;9;0;1;NaN;9;0;0.00;NaN
18HU16006_315;CSL_01;46.95794;-60.21612;433032;9.67;02-may-16;01:34:00;9.672;30.155;1.5628;8.3634;8.132;2.38346;1;30.225;1;8.788;1;0.03333;1;NaN;9;0;1;NaN;9;0.29667;1;NaN;9;0;1;NaN;9;0;0.00;NaN
18HU16006_315;CSL_01;46.95798;-60.2161;433031;19.85;02-may-16;01:33:00;19.851;30.2213;1.3333;8.398;8.133;3.43218;1;NaN;9;NaN;9;0.05;1;NaN;9;0;1;NaN;9;0.35067;1;NaN;9;0;1;NaN;9;0;0.00;NaN
18HU16006_315;CSL_01;46.95804;-60.21606;433030;30.72;02-may-16;01:32:00;30.726;30.4128;1.0288;8.3764;8.12;4.19489;1;30.477;1;8.75;1;0.03667;1;NaN;9;0;1;NaN;9;0.38367;1;NaN;9;0;1;NaN;9;0;0.00;NaN
18HU16006_315;CSL_01;46.95816;-60.216;433029;40.21;02-may-16;01:31:00;40.211;30.5238;0.754;8.3617;8.111;4.38557;1;NaN;9;NaN;9;0.04333;1;NaN;9;0.57667;1;NaN;9;0.41;1;NaN;9;0;1;NaN;9;0;1.41;NaN
18HU16006_315;CSL_01;46.95822;-60.2159;433028;50.36;02-may-16;01:30:00;50.366;30.7094;0.6027;8.2845;8.102;3.57519;1;30.761;1;8.642;1;0.03333;1;NaN;9;0.79;1;NaN;9;0.397;1;NaN;9;0.30667;1;NaN;9;0;1.99;2.58
18HU16006_315;CSL_01;46.95828;-60.21584;433027;60.32;02-may-16;01:29:00;60.329;31.0347;0.1285;8.0979;8.055;3.14616;1;NaN;9;8.457;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU16006_315;CSL_01;46.95832;-60.21588;433026;73.57;02-may-16;01:28:00;73.573;31.4368;-0.0515;7.7953;8;2.33579;1;31.33;1;8.101;1;0.08333;1;NaN;9;3.03667;1;NaN;9;0.68667;1;NaN;9;3.10333;1;NaN;9;0;4.42;0.98
