CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
180166005_102;CAST#1;44.58333;-64.03333;-45;10;18-jul-66;00:00:00;8.39677563815495;1;31.56;1.88;1;0.01;1;0;1;0.26;1;2.6;1;0;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-46;15;18-jul-66;00:00:00;8.28481862964622;1;31.55;2.03;1;0;1;0;1;0.3;1;1.9;1;0;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-47;25;18-jul-66;00:00:00;8.06090461262875;1;31.61;2.1;1;0.01;1;0.21;1;0.49;1;2.2;1;0;0.43;0.10
180166005_102;CAST#1;44.58333;-64.03333;-48;45;18-jul-66;00:00:00;7.16524854455889;1;31.75;1.96;1;2.17;1;2.02;1;0.84;1;8.1;1;0;2.40;0.25
180166005_138;CAST#1;44.58333;-64.03333;-49;1;21-jul-66;00:00:00;7.05329153605016;1;30.85;1.05;1;0;1;0;1;0.16;1;2.6;1;0;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-50;5;21-jul-66;00:00:00;7.50111957008509;1;31.25;1.42;1;0;1;0;1;0.18;1;1.9;1;0;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-51;10;21-jul-66;00:00:00;8.62068965517241;1;31.7;2.18;1;0;1;0;1;0.19;1;1.9;1;0;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-52;15;21-jul-66;00:00:00;8.62068965517241;1;31.7;2.33;1;0;1;0;1;0.3;1;2.7;1;0;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-53;25;21-jul-66;00:00:00;8.28481862964622;1;31.79;2.78;1;0.03;1;0.13;1;0.54;1;2.9;1;0;0.24;0.04
180166005_138;CAST#1;44.58333;-64.03333;-54;45;21-jul-66;00:00:00;7.38916256157635;1;31.91;1.75;1;0.2;1;2.18;1;0.9;1;9.7;1;0;2.42;0.22
180166005_149;CAST#1;44.58333;-64.03333;-55;1;25-jul-66;00:00:00;6.38154948499776;1;30.51;0.75;1;0;1;0;1;0.17;1;3;1;0;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-56;5;25-jul-66;00:00:00;6.49350649350649;1;31.1;0.6;1;0;1;0;1;0.09;1;1.5;1;0;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-57;10;25-jul-66;00:00:00;8.50873264666368;1;31.56;1.24;1;0;1;0;1;0.16;1;1.6;1;0;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-58;15;25-jul-66;00:00:00;8.84460367218988;1;31.56;2.33;1;0;1;0;1;0.26;1;3.2;1;0;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-59;25;25-jul-66;00:00:00;7.94894760412002;1;31.68;1.35;1;0.01;1;0;1;0.42;1;3.5;1;0;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-60;45;25-jul-66;00:00:00;7.05329153605016;1;31.84;2.03;1;0.14;1;1.36;1;0.76;1;5.5;1;0;1.79;0.25
180166005_182;CAST#1;44.58333;-64.03333;-61;1;28-jul-66;00:00:00;6.04567845947156;1;30.569;0.68;1;0.01;1;0;1;0.18;1;3.9;1;0;0.00;0.00
180166005_182;CAST#1;44.58333;-64.03333;-62;5;28-jul-66;00:00:00;6.94133452754142;1;31.259;0.6;1;0;1;0.29;1;0.17;1;2.1;1;0;1.71;0.14
180166005_182;CAST#1;44.58333;-64.03333;-63;10;28-jul-66;00:00:00;6.82937751903269;1;31.189;0.9;1;0.01;1;0.13;1;0.18;1;1.6;1;0;0.72;0.08
180166005_182;CAST#1;44.58333;-64.03333;-64;15;28-jul-66;00:00:00;7.16524854455889;1;31.256;1.88;1;0.05;1;0.15;1;0.15;1;3.1;1;0;1.00;0.05
180166005_182;CAST#1;44.58333;-64.03333;-65;25;28-jul-66;00:00:00;8.06090461262875;1;NaN;2.93;1;0.01;1;0.19;1;0.21;1;2.4;1;0;0.90;0.08
180166005_182;CAST#1;44.58333;-64.03333;-66;45;28-jul-66;00:00:00;7.16524854455889;1;31.649;1.58;1;0.09;1;0.9;1;0.69;1;3.8;1;0;1.30;0.24
180166005_204;CAST#1;44.58333;-64.03333;-67;1;01-aug-66;00:00:00;6.1576354679803;1;30.736;0.6;1;0.01;1;0.27;1;0.2;1;2.2;1;0;1.35;0.12
180166005_204;CAST#1;44.58333;-64.03333;-68;5;01-aug-66;00:00:00;6.71742051052396;1;30.945;0.75;1;0.01;1;0.07;1;0.19;1;1.6;1;0;0.37;0.04
180166005_204;CAST#1;44.58333;-64.03333;-69;10;01-aug-66;00:00:00;7.38916256157635;1;31.316;1.35;1;0.01;1;0.16;1;0.2;1;1.8;1;0;0.80;0.09
180166005_204;CAST#1;44.58333;-64.03333;-70;15;01-aug-66;00:00:00;7.61307657859382;1;31.356;1.8;1;0.02;1;0.16;1;0.22;1;3.2;1;0;0.73;0.05
180166005_204;CAST#1;44.58333;-64.03333;-71;25;01-aug-66;00:00:00;8.17286162113748;1;31.498;2.8;1;0.02;1;0.16;1;0.28;1;2.4;1;0;0.57;0.07
180166005_204;CAST#1;44.58333;-64.03333;-72;45;01-aug-66;00:00:00;7.27720555306762;1;31.677;1.2;1;0.16;1;1.36;1;0.84;1;7;1;0;1.62;0.19
180166005_239;CAST#1;44.58333;-64.03333;-73;1;08-aug-66;00:00:00;6.04567845947156;1;30.594;0.75;1;0.01;1;0.03;1;0.2;1;3.4;2;2048;0.15;0.01
180166005_239;CAST#1;44.58333;-64.03333;-74;5;08-aug-66;00:00:00;6.82937751903269;1;31.129;0.75;1;0.01;1;0.13;1;0.16;1;2.5;2;2048;0.81;0.05
180166005_239;CAST#1;44.58333;-64.03333;-75;10;08-aug-66;00:00:00;7.16524854455889;1;31.216;0.9;1;0.02;1;0.13;1;0.24;1;3.2;2;2048;0.54;0.04
180166005_239;CAST#1;44.58333;-64.03333;-76;15;08-aug-66;00:00:00;7.50111957008509;1;31.308;1.42;1;0.02;1;0.13;1;0.33;1;4.6;1;0;0.39;0.03
180166005_239;CAST#1;44.58333;-64.03333;-77;25;08-aug-66;00:00:00;7.61307657859382;1;31.507;1.2;1;0.05;1;0.14;1;0.4;1;3.4;1;0;0.35;0.04
180166005_239;CAST#1;44.58333;-64.03333;-78;45;08-aug-66;00:00:00;7.05329153605016;1;31.658;0.75;1;0.12;1;1.12;1;0.74;1;7.1;1;0;1.51;0.16
180166005_244;CAST#1;44.58333;-64.03333;-79;1;11-aug-66;00:00:00;5.8217644424541;1;30.617;0.75;1;0.01;1;0.61;1;0.18;1;3.3;2;2048;3.39;0.18
180166005_244;CAST#1;44.58333;-64.03333;-80;5;11-aug-66;00:00:00;6.04567845947156;1;30.874;1.12;1;0.01;1;0.42;1;0.22;1;2.1;1;0;1.91;0.20
180166005_244;CAST#1;44.58333;-64.03333;-81;10;11-aug-66;00:00:00;6.94133452754142;1;31.116;1.28;1;0.01;1;0.41;1;0.25;1;2.4;2;2048;1.64;0.17
180166005_244;CAST#1;44.58333;-64.03333;-82;15;11-aug-66;00:00:00;7.38916256157635;1;31.333;1.96;1;0;1;0.39;1;0.26;1;2.8;1;0;1.50;0.14
180166005_244;CAST#1;44.58333;-64.03333;-83;25;11-aug-66;00:00:00;7.16524854455889;1;31.449;0.98;1;0.04;1;0.67;1;0.36;1;3.5;1;0;1.86;0.19
180166005_244;CAST#1;44.58333;-64.03333;-84;45;11-aug-66;00:00:00;6.49350649350649;1;NaN;0.68;1;0.13;1;1.45;1;0.87;1;10;1;0;1.67;0.14
180166005_247;CAST#1;44.58333;-64.03333;-85;1;15-aug-66;00:00:00;5.93372145096283;1;31.012;0.82;1;0;1;0.49;1;0.17;1;2.2;1;0;2.88;0.22
180166005_247;CAST#1;44.58333;-64.03333;-86;5;15-aug-66;00:00:00;7.16524854455889;1;31.102;1.64;1;0;1;1.2;1;0.19;1;2.5;2;2048;6.32;0.48
180166005_247;CAST#1;44.58333;-64.03333;-87;10;15-aug-66;00:00:00;7.38916256157635;1;NaN;2.02;1;0.01;1;0.49;1;0.29;1;3.3;2;2048;1.69;0.15
180166005_247;CAST#1;44.58333;-64.03333;-88;15;15-aug-66;00:00:00;7.16524854455889;1;31.204;1.35;1;0.01;1;0.72;1;0.41;1;4.5;1;0;1.76;0.16
180166005_247;CAST#1;44.58333;-64.03333;-89;25;15-aug-66;00:00:00;7.05329153605016;1;31.504;0.75;1;0.09;1;0.97;1;0.54;1;5.2;2;2048;1.80;0.19
180166005_247;CAST#1;44.58333;-64.03333;-90;45;15-aug-66;00:00:00;6.60546350201523;1;31.664;0.38;1;0.18;1;1.49;1;0.83;1;7.8;1;0;1.80;0.19
180166005_275;CAST#1;44.58333;-64.03333;-91;1;18-aug-66;00:00:00;5.59785042543663;1;30.355;1.12;1;0.01;1;0.41;1;0.18;1;2.5;2;2048;2.28;0.16
180166005_275;CAST#1;44.58333;-64.03333;-92;5;18-aug-66;00:00:00;5.93372145096283;1;31.027;1.58;1;0.01;1;0.29;1;0.18;1;2.3;1;0;1.61;0.13
180166005_275;CAST#1;44.58333;-64.03333;-93;10;18-aug-66;00:00:00;7.50111957008509;1;31.342;2.48;1;0.03;1;0.52;1;0.26;1;2.8;2;2048;2.00;0.19
180166005_275;CAST#1;44.58333;-64.03333;-94;15;18-aug-66;00:00:00;7.16524854455889;1;31.453;1.28;1;0.01;1;0.3;1;0.37;1;4.1;1;0;0.81;0.07
180166005_275;CAST#1;44.58333;-64.03333;-95;25;18-aug-66;00:00:00;6.82937751903269;1;31.616;0.6;1;0.13;1;1.13;1;0.66;1;6;2;2048;1.71;0.19
180166005_275;CAST#1;44.58333;-64.03333;-96;45;18-aug-66;00:00:00;6.38154948499776;1;31.716;0.45;1;0.25;1;2.05;1;0.87;1;9.8;1;0;2.36;0.21
180166005_277;CAST#1;44.58333;-64.03333;-97;1;22-aug-66;00:00:00;6.71742051052396;1;30.665;0.9;1;0.01;1;0.34;1;0.2;1;3.1;2;2048;1.70;0.11
180166005_277;CAST#1;44.58333;-64.03333;-98;5;22-aug-66;00:00:00;7.94894760412002;1;31.239;1.06;1;0;1;0.41;1;0.25;1;2.8;2;2048;1.64;0.15
180166005_277;CAST#1;44.58333;-64.03333;-99;10;22-aug-66;00:00:00;8.28481862964622;1;31.45;1.06;1;0.02;1;0.24;1;0.33;1;3;2;2048;0.73;0.08
180166005_277;CAST#1;44.58333;-64.03333;-100;15;22-aug-66;00:00:00;8.06090461262875;1;31.495;1.28;1;0.01;1;0.35;1;0.37;1;3.5;1;0;0.95;0.10
180166005_277;CAST#1;44.58333;-64.03333;-101;25;22-aug-66;00:00:00;7.72503358710255;1;31.574;0.68;1;0.1;1;0.73;1;0.56;1;4.9;2;2048;1.30;0.15
180166005_277;CAST#1;44.58333;-64.03333;-102;45;22-aug-66;00:00:00;6.82937751903269;1;31.709;0.6;1;0.27;1;2.17;1;1.01;1;13.5;1;0;2.15;0.16
