Filename; Pressure; Uniqueno; Variable; Values; Test failed
18PZ96058_494; 7.54; 182010; doxy; 7.27; Bottle-CTD Difference Problem
18PZ96058_494; 28.86; 182009; doxy; 7.25; Bottle-CTD Difference Problem
18PZ96058_494; 53.45; 182008; doxy; 6.69; Bottle-CTD Difference Problem
18PZ96058_494; 102.52; 182007; doxy; 7.17; Bottle-CTD Difference Problem
18PZ96058_494; 151.87; 182006; doxy; 6.73; Bottle-CTD Difference Problem
18PZ96058_494; 202.70; 182005; doxy; 4.44; Bottle-CTD Difference Problem
18PZ96058_494; 251.54; 182004; doxy; 3.24; Bottle-CTD Difference Problem
18PZ96058_494; 302.74; 182003; doxy; 2.39; Bottle-CTD Difference Problem
18PZ96058_495; 8.03; 182019; doxy; 7.18; Bottle-CTD Difference Problem
18PZ96058_495; 19.14; 182018; doxy; 7.25; Bottle-CTD Difference Problem
18PZ96058_495; 27.86; 182017; doxy; 7.24; Bottle-CTD Difference Problem
18PZ96058_495; 51.96; 182016; doxy; 7.13; Bottle-CTD Difference Problem
18PZ96058_495; 102.22; 182015; doxy; 6.69; Bottle-CTD Difference Problem
18PZ96058_495; 152.17; 182014; doxy; 6.03; Bottle-CTD Difference Problem
18PZ96058_495; 160.79; 182013; doxy; 5.12; Bottle-CTD Difference Problem
18PZ96058_496; 9.12; 182026; doxy; 7.14; Bottle-CTD Difference Problem
18PZ96058_496; 19.24; 182025; doxy; 7.12; Bottle-CTD Difference Problem
18PZ96058_496; 28.96; 182024; doxy; 7.17; Bottle-CTD Difference Problem
18PZ96058_496; 53.74; 182023; doxy; 6.94; Bottle-CTD Difference Problem
18PZ96058_496; 103.11; 182022; doxy; 6.70; Bottle-CTD Difference Problem
18PZ96058_496; 153.86; 182021; doxy; 5.31; Bottle-CTD Difference Problem
18PZ96058_508; 8.53; 182037; doxy; 6.79; Bottle-CTD Difference Problem
18PZ96058_508; 24.79; 182038; doxy; 7.24; Bottle-CTD Difference Problem
18PZ96058_508; 53.25; 182036; doxy; 7.33; Bottle-CTD Difference Problem
18PZ96058_508; 102.42; 182035; doxy; 7.28; Bottle-CTD Difference Problem
18PZ96058_508; 152.56; 182034; doxy; 6.31; Bottle-CTD Difference Problem
18PZ96058_508; 202.20; 182033; doxy; 4.65; Bottle-CTD Difference Problem
18PZ96058_508; 251.14; 182032; doxy; 3.90; Bottle-CTD Difference Problem
18PZ96058_508; 302.04; 182031; doxy; 3.57; Bottle-CTD Difference Problem
18PZ96058_508; 352.04; 182030; doxy; 3.40; Bottle-CTD Difference Problem
18PZ96058_508; 401.54; 182029; doxy; 3.38; Bottle-CTD Difference Problem
18PZ96058_508; 431.92; 182028; doxy; 3.32; Bottle-CTD Difference Problem
18PZ96058_509; 4.76; 182050; doxy; 7.36; Bottle-CTD Difference Problem
18PZ96058_509; 24.79; 182051; doxy; 7.27; Bottle-CTD Difference Problem
18PZ96058_509; 49.88; 182049; doxy; 7.22; Bottle-CTD Difference Problem
18PZ96058_509; 99.34; 182048; doxy; 7.10; Bottle-CTD Difference Problem
18PZ96058_509; 149.49; 182047; doxy; 6.23; Bottle-CTD Difference Problem
18PZ96058_509; 199.13; 182046; doxy; 4.40; Bottle-CTD Difference Problem
18PZ96058_509; 247.27; 182045; doxy; 3.58; Bottle-CTD Difference Problem
18PZ96058_509; 298.57; 182044; doxy; 3.21; Bottle-CTD Difference Problem
18PZ96058_509; 347.58; 182043; doxy; 3.46; Bottle-CTD Difference Problem
18PZ96058_509; 396.29; 182042; doxy; 3.61; Bottle-CTD Difference Problem
18PZ96058_509; 463.48; 182041; doxy; 3.67; Bottle-CTD Difference Problem
18PZ96058_509; 463.48; 182041; slca; 35.65  ; Out of Nutrient Climatology in box(es) 8 (Min=4.84 Max=35.20 n=189)
18PZ96058_510; 9.02; 182063; doxy; 7.30; Bottle-CTD Difference Problem
18PZ96058_510; 24.79; 182064; doxy; 7.31; Bottle-CTD Difference Problem
18PZ96058_510; 53.25; 182062; doxy; 7.28; Bottle-CTD Difference Problem
18PZ96058_510; 103.31; 182061; doxy; 7.07; Bottle-CTD Difference Problem
18PZ96058_510; 152.76; 182060; doxy; 6.29; Bottle-CTD Difference Problem
18PZ96058_510; 201.51; 182059; doxy; 4.45; Bottle-CTD Difference Problem
18PZ96058_510; 251.93; 182058; doxy; 3.66; Bottle-CTD Difference Problem
