CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU14007_264;HL_02;44.273;-63.3268;400023;0.74;02-may-14;20:04:00;0.744;31.3827;2.115;8.0282;0.10941;1;31.383;1;8.234;1;0;1;0.545;1;0.4705;1;0;1;0;1.16;NaN
18HU14007_264;HL_02;44.273;-63.3268;400024;1.96;02-may-14;20:04:00;1.964;31.3827;2.1144;8.02536;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU14007_264;HL_02;44.273;-63.3268;400022;5.88;02-may-14;20:03:00;5.882;31.3877;2.065;8.01635;0.18236;1;NaN;9;NaN;9;0;1;0.57;1;0.4935;1;0;1;0;1.16;NaN
18HU14007_264;HL_02;44.273;-63.3268;400021;10.64;02-may-14;20:02:00;10.649;31.3985;1.9776;8.00263;0.78228;1;NaN;9;NaN;9;0;1;0.5;1;0.4685;1;0;1;0;1.07;NaN
18HU14007_264;HL_02;44.273;-63.3268;400020;21.45;02-may-14;20:01:00;21.459;31.5023;1.5908;7.93423;0.25986;1;NaN;9;NaN;9;0;1;0.815;1;0.523;1;0.16;1;0;1.56;5.09
18HU14007_264;HL_02;44.273;-63.3268;400019;31.06;02-may-14;20:00:00;31.069;31.7573;2.055;7.75617;0.31001;1;NaN;9;NaN;9;0;1;1.42;1;0.557;1;0.635;1;0;2.55;2.24
18HU14007_264;HL_02;44.273;-63.3268;400018;41.17;02-may-14;19:59:00;41.17;31.8559;2.4097;7.66315;0.29633;1;31.856;1;7.853;1;0.025;1;1.425;1;0.534;1;0.715;1;0;2.67;1.99
18HU14007_264;HL_02;44.273;-63.3268;400017;51.01;02-may-14;19:59:00;51.014;31.8603;2.3148;7.65587;0.25074;1;NaN;9;NaN;9;0.05;1;1.8;1;0.5465;1;0.82;1;0;3.29;2.20
