CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU15030_002;HL_00;44.69442;-63.64092;10;67.56;20-sep-15;16:08:00;67.56;31.0954;1.4315;2.4725;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69442;-63.64092;11;67.56;20-sep-15;16:08:00;67.564;31.0951;1.4326;2.4581;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69442;-63.64092;9;67.56;20-sep-15;16:08:00;67.569;31.0954;1.4335;2.4549;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69442;-63.64092;13;67.57;20-sep-15;16:08:00;67.574;31.0955;1.4343;2.4647;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69442;-63.64092;12;67.58;20-sep-15;16:08:00;67.58;31.0953;1.4335;2.4592;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69443;-63.64092;8;67.58;20-sep-15;16:08:00;67.58;31.0952;1.4353;2.4658;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69442;-63.64092;14;67.58;20-sep-15;16:08:00;67.583;31.0967;1.4318;2.4915;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15030_002;HL_00;44.69438;-63.64092;22;67.58;20-sep-15;16:07:00;67.586;31.0957;1.437;2.489;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
