CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU15004_304;HL_02;44.27298;-63.31344;406260;2.19;18-apr-15;03:06:00;2.191;31.0432;0.3026;9.3017;15.35494;1;31.0326;1;9.228;1;0.09;1;0.375;1;0.408;1;0.57;1;0;0.92;0.66
18HU15004_304;HL_02;44.27303;-63.31346;406261;2.41;18-apr-15;03:06:00;2.417;31.0433;0.302;9.3103;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15004_304;HL_02;44.27292;-63.31342;406259;10.54;18-apr-15;03:04:00;10.549;31.0431;0.3009;9.3071;15.01372;1;NaN;9;NaN;9;0.09;1;0.21;1;0.4125;1;0.61;1;0;0.51;0.34
18HU15004_304;HL_02;44.27262;-63.31345;406258;20.82;18-apr-15;03:03:00;20.822;31.0475;0.2826;9.317;14.84311;1;NaN;9;NaN;9;0.09;1;0.145;1;0.4135;1;0.65;1;0;0.35;0.22
18HU15004_304;HL_02;44.27244;-63.31344;406257;30.99;18-apr-15;03:02:00;30.995;31.0856;0.006;9.0418;12.28395;1;NaN;9;NaN;9;0.1;1;1.265;1;0.4675;1;1.855;1;0;2.71;0.68
18HU15004_304;HL_02;44.27232;-63.31344;406256;40.19;18-apr-15;03:00:00;40.197;31.1869;-0.5945;8.5677;1.93981;1;31.1906;1;8.4695;1;0.165;1;5.235;1;0.721;1;6.2;1;0;7.26;0.84
18HU15004_304;HL_02;44.27212;-63.31348;406255;49.48;18-apr-15;02:59:00;49.485;31.306;-0.6017;8.5069;0.67091;1;NaN;9;NaN;9;0.175;1;5.55;1;0.7625;1;6.195;1;0;7.28;0.90
18HU15004_304;HL_02;44.27196;-63.31354;406254;61.25;18-apr-15;02:57:00;61.25;31.4208;-0.6272;8.3731;0.5029;1;NaN;9;NaN;9;0.165;1;5.785;1;0.772;1;6.075;1;0;7.49;0.95
