CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Q_OXYM;CHL_01;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU92053_366;2;41.39;-53.4;121019;1;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.205;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.38;-53.4;99475;1;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.25;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121018;10;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.218;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121017;20;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.347;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.38;-53.4;99476;20;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.3;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121016;40;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.215;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.38;-53.4;99477;40;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.26;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121015;50;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.264;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121014;60;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.199;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121013;70;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.153;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121012;80;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.095;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121011;90;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.036;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121010;100;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.011;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121009;110;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.021;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
