CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL16003_284;HL_02;44.27446;-63.33186;429231;75.81;11-mar-16;13:01:00;75.81;31.8714;2.8786;6.5813;0.20611;1;NaN;9;NaN;9;0.07333;1;7.37;1;0.862;1;7.51;1;0;8.55;0.98
18TL16003_284;HL_02;44.27429;-63.33147;429230;100.11;11-mar-16;13:00:00;100.11;32.1014;3.6725;6.4267;0.41651;1;NaN;9;NaN;9;0.13;1;6.39333;1;0.798;1;6.25;1;0;8.01;1.02
18TL16003_284;HL_02;44.27362;-63.3305;429229;165.24;11-mar-16;12:56:00;165.246;34.3154;8.9536;3.6614;0.15458;1;34.307;1;3.2845;1;0.09667;1;15.77667;1;1.29033;1;15.19333;1;0;12.23;1.04
18TL16003_326;6;44.17892;-63.49006;429242;4.92;14-mar-16;23:45:00;4.923;31.0728;1.4964;7.8437;0.81648;1;NaN;9;7.9775;1;0.15667;1;5.04667;1;0.751;1;5.6;1;0;6.72;0.90
18TL16003_326;6;44.17894;-63.48968;429241;25.3;14-mar-16;23:44:00;25.305;31.0773;1.5364;7.8185;0.88548;1;NaN;9;NaN;9;0.14333;1;4.98;1;0.73367;1;5.55667;1;0;6.79;0.90
18TL16003_326;6;44.1789;-63.48918;429240;50.59;14-mar-16;23:43:00;50.594;31.5535;2.1041;7.0612;0.19151;1;NaN;9;NaN;9;0.07333;1;7.01;1;0.84267;1;6.99;1;0;8.32;1.00
18TL16003_326;6;44.17866;-63.48748;429239;144.68;14-mar-16;23:39:00;144.686;34.2389;8.9502;3.9153;0.1958;1;34.106;1;4.19;1;0.13667;1;14.14333;1;1.189;1;12.87667;1;0;11.90;1.10
18TL16003_339;7;44.13586;-63.4508;429246;4.72;15-mar-16;01:54:00;4.728;31.4479;2.4242;7.7742;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL16003_339;7;44.13582;-63.4502;429245;25.04;15-mar-16;01:52:00;25.043;31.4492;2.4063;7.7611;2.60992;1;NaN;9;NaN;9;0.13;1;2.70333;1;0.60067;1;2.89667;1;0;4.50;0.93
18TL16003_339;7;44.13564;-63.44979;429244;50.15;15-mar-16;01:51:00;50.155;31.7548;3.151;7.3924;1.63297;1;NaN;9;NaN;9;0.12;1;2.96667;1;0.58733;1;2.45667;1;0;5.05;1.21
18TL16003_339;7;44.13544;-63.4481;429243;144.71;15-mar-16;01:47:00;144.712;34.3253;9.296;3.8308;0.13569;1;34.313;1;4.03;1;0.08;1;14.9;1;1.17533;1;11.77;1;0;12.68;1.27
18TL16003_003;8;43.81192;-63.92456;429250;5.09;15-mar-16;05:02:00;5.093;31.0121;1.4029;7.8442;0.57499;1;NaN;9;8.121;1;0.14;1;5.13333;1;0.74433;1;5.63;1;0;6.90;0.91
18TL16003_003;8;43.81188;-63.92424;429249;24.73;15-mar-16;05:01:00;24.734;31.0142;1.4065;7.8288;0.55199;1;NaN;9;NaN;9;0.15;1;5.10333;1;0.74633;1;5.59333;1;0;6.84;0.91
18TL16003_003;8;43.81186;-63.92382;429248;50.48;15-mar-16;04:59:00;50.481;31.6368;2.8949;7.4338;1.43747;1;NaN;9;NaN;9;0.12;1;2.87;1;0.604;1;2.35333;1;0;4.75;1.22
18TL16003_003;8;43.81178;-63.92228;429247;211.44;15-mar-16;04:54:00;211.441;35.1369;10.5194;2.5015;0.03132;1;35.13;1;2.681;1;0.07;1;20.60667;1;1.59967;1;20.81667;2;2048;12.88;0.99
18TL16003_025;9;43.80318;-64.07762;429254;4.6;15-mar-16;17:29:00;4.607;31.1496;1.7803;7.8272;0.64398;1;NaN;9;7.9335;1;0.13333;1;4.77667;1;0.70633;1;5.34333;1;0;6.76;0.89
18TL16003_025;9;43.80337;-64.07701;429253;24.68;15-mar-16;17:28:00;24.68;31.1501;1.7232;7.7995;0.74748;1;NaN;9;NaN;9;0.13333;1;4.68667;1;0.70333;1;4.98;1;0;6.66;0.94
18TL16003_025;9;43.80345;-64.07657;429252;50.07;15-mar-16;17:26:00;50.077;31.4923;2.5881;7.5211;1.27647;1;NaN;9;NaN;9;0.11333;1;2.86333;1;0.56067;1;2.51;1;0;5.11;1.14
18TL16003_025;9;43.80387;-64.07472;429251;199.09;15-mar-16;17:21:00;199.099;34.9896;10.5515;2.9887;0.08416;1;34.985;1;3.487;1;0.18333;1;18.25333;1;1.52567;1;15.86333;1;0;11.96;1.15
18TL16003_036;10;43.36656;-64.35724;429258;4.74;15-mar-16;21:56:00;4.741;31.2018;2.3345;7.6793;0.64398;1;NaN;9;7.8155;1;0.14667;1;4.10333;1;0.65967;1;4.23667;1;0;6.22;0.97
18TL16003_036;10;43.36644;-64.35694;429257;24.95;15-mar-16;21:55:00;24.957;31.2036;2.3253;7.6802;0.67848;1;NaN;9;NaN;9;0.14333;1;4.15667;1;0.651;1;4.31;1;0;6.39;0.96
18TL16003_036;10;43.36622;-64.35652;429256;50.75;15-mar-16;21:54:00;50.754;31.8612;3.4633;7.2821;0.97748;1;NaN;9;NaN;9;0.11667;1;2.18667;1;0.53867;1;1.96667;2;2048;4.06;1.11
18TL16003_036;10;43.36502;-64.35478;429255;179.93;15-mar-16;21:48:00;179.931;34.9061;10.2485;3.011;0.04216;1;34.899;1;3.193;1;0.05;1;18.38;1;1.408;2;15.94333;1;2048;13.05;1.15
18TL16003_047;11;43.23694;-63.97503;429262;4.76;16-mar-16;01:21:00;4.766;31.4841;2.6925;7.6863;2.30542;1;NaN;9;7.822;1;0.12;1;2.54667;1;0.564;1;2.37667;2;2048;4.52;1.07
18TL16003_047;11;43.23684;-63.97434;429261;25.37;16-mar-16;01:20:00;25.379;31.6108;2.9229;7.6027;2.47942;1;NaN;9;NaN;9;0.11;1;2.23;1;0.54333;1;1.84333;2;2048;4.10;1.21
18TL16003_047;11;43.23676;-63.97347;429260;50.16;16-mar-16;01:18:00;50.162;31.6549;3.012;7.5624;2.43594;1;NaN;9;NaN;9;0.11333;1;2.18333;1;0.54233;1;1.76333;2;2048;4.03;1.24
18TL16003_047;11;43.2367;-63.97243;429259;89.04;16-mar-16;01:16:00;89.044;32.6923;5.5852;6.4325;0.25163;1;32.716;1;6.544;1;0.17333;1;3.19;1;0.58167;1;2.65333;1;0;5.48;1.20
18TL16003_069;13;43.07882;-63.96214;429266;4.6;16-mar-16;04:39:00;4.605;31.512;2.7205;7.5576;1.25348;1;NaN;9;7.722;1;0.15333;1;2.85333;1;0.59167;1;2.52667;2;2048;4.82;1.13
18TL16003_069;13;43.07846;-63.96155;429265;24.72;16-mar-16;04:38:00;24.729;31.6262;2.9378;7.5015;1.25347;1;NaN;9;NaN;9;0.13;1;2.36;1;0.56767;1;2.23;2;2048;4.16;1.06
18TL16003_069;13;43.07796;-63.96077;429264;51.61;16-mar-16;04:37:00;51.617;32.1727;4.2752;6.9317;0.61232;1;NaN;9;NaN;9;0.12;1;2.01333;1;0.53267;1;1.80333;2;2048;3.78;1.12
18TL16003_069;13;43.07736;-63.95948;429263;94.09;16-mar-16;04:35:00;94.096;33.6704;7.955;4.9338;0.18721;1;33.64;1;5.1595;1;0.13;1;9.39;1;0.88633;1;7;1;0;10.59;1.34
18TL16003_080;14;43.2072;-63.47407;429270;4.81;16-mar-16;09:05:00;4.811;31.7287;3.2701;7.5289;1.94346;1;NaN;9;7.659;1;0.12333;1;2.01333;1;0.51033;1;1.59667;1;0;3.95;1.26
18TL16003_080;14;43.20736;-63.47396;429269;25.27;16-mar-16;09:04:00;25.279;32.4338;4.774;7.0551;0.82798;1;NaN;9;NaN;9;0.11667;1;1.44333;1;0.452;1;0.8;1;0;3.19;1.80
18TL16003_080;14;43.20763;-63.47384;429268;50.09;16-mar-16;09:02:00;50.095;32.8379;5.7451;6.7888;0.35649;1;NaN;9;NaN;9;0.11333;1;1.43333;1;0.417;1;0.34333;1;0;3.44;4.17
18TL16003_080;14;43.20816;-63.47292;429267;149.46;16-mar-16;08:58:00;149.467;35.1315;10.686;2.9256;0.05179;1;35.127;1;3.086;1;0.08333;1;19.62;1;1.40933;1;15.32333;1;0;13.92;1.28
18TL16003_091;15;43.03476;-63.61485;429274;5;16-mar-16;11:54:00;5.001;32.4449;4.9406;7.0816;0.78198;1;NaN;9;7.24;1;0.09667;1;1.28333;1;0.40633;1;0.64333;1;0;3.16;1.99
18TL16003_091;15;43.03462;-63.61479;429273;26.22;16-mar-16;11:53:00;26.226;32.4839;5.0112;7.0466;0.77048;1;NaN;9;NaN;9;0.09667;1;1.16667;1;0.42267;1;0.57667;1;0;2.76;2.02
18TL16003_091;15;43.03452;-63.615;429272;52.48;16-mar-16;11:52:00;52.485;32.6592;5.3506;6.8706;0.54049;1;NaN;9;NaN;9;0.10333;1;1.48333;1;0.41967;1;0.76667;1;0;3.53;1.93
18TL16003_091;15;43.03396;-63.6156;429271;158.34;16-mar-16;11:47:00;158.346;35.0626;10.6814;3.0135;0.053;1;35.058;1;3.2;1;0.06;1;18.50667;1;1.34667;1;14.17333;1;0;13.74;1.31
18TL16003_114;16;42.84382;-63.61497;429278;5.08;16-mar-16;15:28:00;5.086;33.4004;7.4847;6.4862;0.79348;1;NaN;9;6.6595;1;0.14333;1;2.71333;1;0.43433;1;1.08667;1;0;6.25;2.50
18TL16003_114;16;42.84353;-63.61436;429277;25.77;16-mar-16;15:27:00;25.772;33.5004;7.6812;6.4687;0.93148;1;NaN;9;NaN;9;0.16;1;2.60333;1;0.437;1;1.01667;1;0;5.96;2.56
18TL16003_114;16;42.84317;-63.6135;429276;52;16-mar-16;15:26:00;52.004;33.9513;8.9203;6.2796;2.13143;1;NaN;9;NaN;9;0.17667;1;3.8;1;0.458;1;1.88333;1;0;8.30;2.02
18TL16003_114;16;42.84158;-63.61037;429275;180.02;16-mar-16;15:20:00;180.028;35.3372;10.6718;3.3022;0.04095;1;35.341;1;3.505;1;0.07667;1;20.55;1;1.342;1;11.13;1;0;15.31;1.85
18TL16003_127;17;42.87704;-64.05276;429282;6.19;16-mar-16;19:24:00;6.197;32.4293;4.9982;7.0105;0.55199;1;NaN;9;7.186;1;0.10667;1;1.24333;1;0.44733;1;0.89333;2;2048;2.78;1.39
18TL16003_127;17;42.87675;-64.05226;429281;25.05;16-mar-16;19:23:00;25.053;32.4412;5.0047;7.0072;0.54049;1;NaN;9;NaN;9;0.10333;1;1.33667;1;0.43433;1;0.78;2;2048;3.08;1.71
