Filename; Pressure; Uniqueno; Variable; Values; Test failed
180166005_284; 1.00; -19; slca; 4.50  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_284; 5.00; -20; slca; 2.70  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_284; 10.00; -21; slca; 3.10  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_284; 25.00; -23; slca; 7.40  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=6.20 n=96)
180166005_326; 1.00; -25; slca; 4.20  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_326; 5.00; -26; slca; 3.50  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_326; 10.00; -27; slca; 4.20  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_326; 25.00; -29; slca; 6.50  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=6.20 n=96)
180166005_003; 1.00; -31; slca; 3.80  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_003; 5.00; -32; slca; 3.00  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_003; 10.00; -33; slca; 3.30  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.55 n=120)
180166005_014; 25.00; -5; slca; 7.40  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=7.10 n=381)
180166005_239; 1.00; -73; slca; 3.40  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_239; 5.00; -74; slca; 2.50  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_239; 10.00; -75; slca; 3.20  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_244; 1.00; -79; slca; 3.30  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_244; 10.00; -81; slca; 2.40  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_247; 5.00; -86; slca; 2.50  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_247; 10.00; -87; slca; 3.30  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_247; 25.00; -89; slca; 5.20  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=4.60 n=90)
180166005_275; 1.00; -91; slca; 2.50  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_275; 10.00; -93; slca; 2.80  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_275; 25.00; -95; slca; 6.00  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=4.60 n=90)
180166005_277; 1.00; -97; slca; 3.10  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_277; 5.00; -98; slca; 2.80  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_277; 10.00; -99; slca; 3.00  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=2.31 n=125)
180166005_277; 25.00; -101; slca; 4.90  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=4.60 n=90)
