CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18OL17048_1646;21;47.82467;-69.67733;453007;1.88;02-nov-17;02:13:00;17.79;6.55;312.03942;7.0915;0.27;0.402;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1646;21;47.82467;-69.67733;453006;12;02-nov-17;02:13:00;20.77;5.79;303.9113;NaN;0.3;0.388;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1647;31;47.68117;-69.82283;453010;1.69;02-nov-17;04:05:00;14.94;7.06;319.00638;7.1885;0.27;0.468;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1647;31;47.68117;-69.82283;453009;9.02;02-nov-17;04:05:00;16.48;6.89;319.27434;NaN;0.235;0.375;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1647;31;47.68117;-69.82283;453008;24.89;02-nov-17;04:05:00;29.33;3.02;271.22018;6.102;0.455;0.294;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1648;41;47.42483;-70.193;453012;2.18;02-nov-17;06:35:00;17.93;6.39;300.3385;6.808;0.3;0.476;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1648;41;47.42483;-70.193;453011;17.16;02-nov-17;06:35:00;25.69;4.27;282.07256;NaN;0.805;0.604;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1649;51;47.3465;-70.33683;453014;1.78;02-nov-17;08:16:00;17.54;6.59;299.35598;6.7605;0.275;0.435;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1649;51;47.3465;-70.33683;453013;16.46;02-nov-17;08:16:00;27.53;3.7;277.38326;NaN;0.5;0.317;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1650;61;47.2255;-70.57533;453016;1.98;02-nov-17;11:43:00;11.16;8.34;314.00446;7.0705;0.25;0.586;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1650;61;47.2255;-70.57533;453015;22.01;02-nov-17;11:43:00;15.48;7.46;300.74044;NaN;0.965;1.126;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1651;71;47.02867;-70.77167;453018;1.88;02-nov-17;13:55:00;0.15;12.13;312.26272;NaN;4.495;1.491;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1651;71;47.02867;-70.77167;453017;9.92;02-nov-17;13:55:00;0.18;12.11;310.52098;NaN;5.485;1.622;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1652;81;46.8445;-71.16233;453021;1.88;02-nov-17;16:46:00;0.09;11.16;319.18502;NaN;1.855;1.488;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1652;81;46.8445;-71.16233;453020;10.21;02-nov-17;16:46:00;0.1;11.16;322.40054;NaN;2.375;1.505;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1652;81;46.8445;-71.16233;453019;23.3;02-nov-17;16:46:00;0.1;11.18;320.52482;NaN;2;1.54;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1653;91;46.71917;-71.38767;453023;1.69;02-nov-17;18:35:00;0.11;11.19;322.31122;NaN;2.13;1.263;NaN;7;NaN;9;NaN;9;NaN;9;NaN;9;32;NaN;NaN
18OL17048_1653;91;46.71917;-71.38767;453022;10.12;02-nov-17;18:35:00;0.11;11.19;322.71316;NaN;2.13;1.315;NaN;7;NaN;9;NaN;9;NaN;9;NaN;9;32;NaN;NaN
18OL17048_1654;101;46.90983;-70.8775;453025;1.79;02-nov-17;21:55:00;0.1;11.95;314.27242;7.1135;1.09;1.136;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1654;101;46.90983;-70.8775;453024;21.12;02-nov-17;21:55:00;0.11;11.96;315.43358;NaN;1.68;1.361;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1655;111;46.97983;-70.684;453026;1.79;02-nov-17;23:29:00;0.11;12.26;309.7171;7.0345;1.25;0.978;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1656;121;47.10067;-70.7125;453028;1.98;03-nov-17;01:24:00;1.88;10.64;316.28212;NaN;1.33;1.305;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1656;121;47.10067;-70.7125;453027;12;03-nov-17;01:24:00;3.4;10.45;316.95202;NaN;1.86;1.644;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1657;131;47.4765;-70.08767;453031;1.59;03-nov-17;04:49:00;17.55;6.1;312.12874;7.053;0.195;0.547;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1657;131;47.4765;-70.08767;453030;10.11;03-nov-17;04:49:00;22.24;5.11;295.33658;NaN;0.51;0.488;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1657;131;47.4765;-70.08767;453029;17.75;03-nov-17;04:49:00;22.45;5.04;293.95212;6.63;0.645;0.609;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1658;141;47.49483;-70.12;453033;1.98;03-nov-17;06:16:00;22.11;5.17;297.25696;6.787;0.18;0.343;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1658;141;47.49483;-70.12;453032;13.29;03-nov-17;06:16:00;24.38;4.58;287.69972;NaN;0.3;0.406;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1659;151;47.52517;-70.168;453038;1.59;03-nov-17;07:58:00;22.25;5.21;292.16572;6.617;0.165;0.355;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1659;151;47.52517;-70.168;453037;10.21;03-nov-17;07:58:00;22.26;5.21;295.02396;NaN;0.205;0.356;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1659;151;47.52517;-70.168;453036;25.19;03-nov-17;07:58:00;23.31;4.91;291.4065;NaN;0.2;0.328;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1659;151;47.52517;-70.168;453035;50.37;03-nov-17;07:58:00;25.61;4.22;284.9308;6.366;0.31;0.345;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1659;151;47.52517;-70.168;453034;80.8;03-nov-17;07:58:00;28.58;3.21;277.7852;NaN;0.36;0.297;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1660;161;47.7075;-69.88567;453042;1.59;03-nov-17;10:25:00;20.9;5.53;310.8336;6.9485;0.47;0.334;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1660;161;47.7075;-69.88567;453041;10.11;03-nov-17;10:25:00;22.71;5.04;299.84724;NaN;0.295;0.319;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1660;161;47.7075;-69.88567;453040;26.08;03-nov-17;10:25:00;27.92;3.46;282.0279;NaN;0.205;0.21;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1660;161;47.7075;-69.88567;453039;40.55;03-nov-17;10:25:00;30.04;2.64;273.5425;6.127;0.24;0.222;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1661;171;47.74333;-69.91433;453044;1.59;03-nov-17;12:02:00;20.94;5.54;304.44722;NaN;NaN;0.335;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1661;171;47.74333;-69.91433;453043;5.06;03-nov-17;12:02:00;21.21;5.43;304.04528;NaN;NaN;0.338;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1662;181;47.74367;-69.91783;453050;1.59;03-nov-17;12:26:00;20.46;5.53;312.08408;7.033;0.305;0.374;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18OL17048_1662;181;47.74367;-69.91783;453049;9.82;03-nov-17;12:26:00;21.4;5.35;307.4841;NaN;0.13;0.335;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1662;181;47.74367;-69.91783;453048;24.99;03-nov-17;12:26:00;26.56;3.95;288.14632;NaN;0.09;0.256;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18OL17048_1662;181;47.74367;-69.91783;453047;50.77;03-nov-17;12:26:00;29.52;2.87;276.26676;6.183;0.225;0.198;NaN;1;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
