CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18VA18667_002;HL_0;44.6937;-63.6403;444032;1.4;03-jan-18;13:45:00;29.3277;2.484;8.8617;6.174;1.24988;1;NaN;9;NaN;9;0.335;1;11.135;1;1.2985;1;16.385;2;2048;8.58;0.68
18VA18667_002;HL_0;44.6937;-63.6403;444031;5.35;03-jan-18;13:45:00;30.6217;2.6702;6.0363;6.189;1.92964;1;NaN;9;6.559;1;0.355;1;11.125;1;1.305;1;16.245;2;2048;8.52;0.68
18VA18667_002;HL_0;44.6937;-63.6403;444030;10.47;03-jan-18;13:45:00;30.95;4.5628;5.7119;6.182;2.03928;1;NaN;9;NaN;9;0.65;1;11.375;1;1.283;1;15.515;2;2048;8.87;0.73
18VA18667_002;HL_0;44.6937;-63.6403;444029;60.66;03-jan-18;13:47:00;31.7488;4.676;5.7266;6.414;0.2043;1;31.722;1;5.863;1;0.28;1;9.17;1;1.18;1;12.535;1;0;7.77;0.73
18VA18667_113;HL_0;44.6937;-63.6403;444036;1.33;10-jan-18;13:51:00;30.9877;3.1202;6.5461;8.061;1.53494;1;NaN;9;NaN;9;0.365;1;10.485;1;1.225;1;14.675;2;2048;8.56;0.71
18VA18667_113;HL_0;44.6937;-63.6403;444035;5.41;10-jan-18;13:51:00;30.9906;3.1352;6.5545;8.068;1.55687;1;NaN;9;6.761;1;0.39;1;10.495;1;1.253;1;14.765;2;2048;8.38;0.71
18VA18667_113;HL_0;44.6937;-63.6403;444034;10.49;10-jan-18;13:51:00;31.0034;3.1386;6.5516;8.074;1.29373;1;NaN;9;NaN;9;0.54;1;10.68;1;1.2285;1;14.675;2;2048;8.69;0.73
18VA18667_113;HL_0;44.6937;-63.6403;444033;60.63;10-jan-18;13:54:00;31.6813;4.7232;5.5222;8.082;0.09806;1;31.613;1;5.731;1;0.345;1;10.045;1;1.272;1;14.075;1;0;7.90;0.71
18VA18667_225;HL_0;44.6937;-63.6403;444040;1.4;17-jan-18;13:43:00;30.0331;2.7456;7.3025;8.121;0.98675;1;NaN;9;NaN;9;0.47;1;11.425;1;1.17;1;15.415;2;2048;9.76;0.74
18VA18667_225;HL_0;44.6937;-63.6403;444039;5.43;17-jan-18;13:43:00;30.3518;2.9565;7.1674;8.127;1.49108;1;NaN;9;7.33;1;0.46;1;10.97;1;1.138;1;14.285;2;2048;9.64;0.77
18VA18667_225;HL_0;44.6937;-63.6403;444038;10.39;17-jan-18;13:44:00;30.8999;3.6757;6.7914;8.115;1.00868;1;NaN;9;NaN;9;0.48;1;10.91;1;1.1095;1;13.58;2;2048;9.83;0.80
18VA18667_225;HL_0;44.6937;-63.6403;444037;60.59;17-jan-18;13:46:00;31.6667;4.7181;5.3157;8.077;0.07766;1;31.692;1;5.6195;1;0.38;1;11.265;1;1.3415;1;15.555;1;0;8.40;0.72
