CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU05071_802;621;47.8325;-64.24567;289237;2.28;15-nov-05;00:19:00;29.4;5.95;315.88018;311.39185;NaN;1.205;3.179;0.12;1;3.385;1;0.525;1;5.63;1;6;6.45;0.60
18HU05071_802;621;47.8325;-64.24567;289236;5.06;15-nov-05;00:19:00;29.4;5.95;315.79086;311.54816;NaN;1.115;3.181;0.125;1;3.49;1;0.54;1;5.805;1;6;6.46;0.60
18HU05071_802;621;47.8325;-64.24567;289235;15.57;15-nov-05;00:19:00;29.44;5.92;315.56756;311.41418;NaN;1.11;2.962;0.16;1;3.395;1;0.535;1;4.37;1;6;6.35;0.78
18HU05071_802;621;47.8325;-64.24567;289234;25.38;15-nov-05;00:19:00;29.52;5.83;314.58504;310.29768;NaN;0.82;2.486;0.12;1;3.46;1;0.55;1;5.7;1;6;6.29;0.61
18HU05071_803;631;47.74117;-63.99833;289243;2.28;15-nov-05;01:47:00;29.6;5.52;318.02386;314.80834;NaN;0.985;2.667;0.11;1;3.815;1;0.58;1;5.08;1;6;6.58;0.75
18HU05071_803;631;47.74117;-63.99833;289242;5.75;15-nov-05;01:47:00;29.6;5.52;318.02386;315.16562;NaN;0.98;2.678;0.125;1;3.82;1;0.57;1;5.095;1;6;6.70;0.75
18HU05071_803;631;47.74117;-63.99833;289241;16.16;15-nov-05;01:47:00;29.61;5.51;317.44328;314.54038;NaN;0.795;2.612;0.12;1;3.75;1;0.555;1;5.07;1;6;6.76;0.74
18HU05071_803;631;47.74117;-63.99833;289240;23.8;15-nov-05;01:47:00;29.69;5.51;316.6394;313.2899;NaN;0.64;2.075;0.115;1;3.77;1;0.575;1;5.015;1;6;6.56;0.75
18HU05071_803;631;47.74117;-63.99833;289239;49.18;15-nov-05;01:47:00;30.56;5.45;306.8142;300.20452;NaN;0.26;0.799;0.15;1;3.635;1;0.62;1;4.09;1;6;5.86;0.89
18HU05071_803;631;47.74117;-63.99833;289238;70.29;15-nov-05;01:47:00;31.5;1.58;231.7854;231.27181;NaN;0.205;0.66;0.09;1;12.545;1;1.375;1;23.565;1;6;9.12;0.53
18HU05071_804;641;47.65967;-63.74983;289248;2.28;15-nov-05;03:11:00;29.78;5.66;NaN;313.11126;NaN;0.98;2.748;0.135;1;3.505;1;0.555;1;4.48;1;6;6.32;0.78
18HU05071_804;641;47.65967;-63.74983;289247;5.35;15-nov-05;03:11:00;29.78;5.66;314.853;312.97728;NaN;0.98;2.755;0.135;1;3.48;1;0.57;1;4.64;1;6;6.11;0.75
18HU05071_804;641;47.65967;-63.74983;289246;15.37;15-nov-05;03:11:00;29.78;5.66;315.2996;312.8433;NaN;0.985;2.733;0.13;1;3.505;1;0.565;1;4.485;1;6;6.20;0.78
18HU05071_804;641;47.65967;-63.74983;289245;26.87;15-nov-05;03:11:00;29.83;5.67;315.0763;311.54816;NaN;0.72;2.323;0.14;1;3.56;1;0.585;1;4.56;1;6;6.09;0.78
18HU05071_804;641;47.65967;-63.74983;289244;52.25;15-nov-05;03:11:00;31.06;3.26;285.86866;278.0085;NaN;0.17;0.64;0.05;1;8.535;1;0.945;1;9.875;1;6;9.03;0.86
18HU05071_805;651;47.49883;-63.248;289254;2.18;15-nov-05;06:10:00;29.86;6.11;314.6297;313.20058;NaN;0.76;2.442;0.11;1;2.495;1;0.465;1;3.33;1;6;5.37;0.75
18HU05071_805;651;47.49883;-63.248;289253;5.26;15-nov-05;06:10:00;29.86;6.11;314.6297;313.15592;NaN;0.565;2.45;0.11;1;2.51;1;0.465;1;3.355;1;6;5.40;0.75
18HU05071_805;651;47.49883;-63.248;289252;16.26;15-nov-05;06:10:00;29.86;6.11;312.88796;311.68214;NaN;0.46;2.453;0.105;1;2.51;1;0.475;1;3.505;1;6;5.28;0.72
18HU05071_805;651;47.49883;-63.248;289251;25.38;15-nov-05;06:10:00;29.86;6.11;312.08408;310.387;NaN;0.695;2.46;0.11;1;2.55;1;0.475;1;3.495;1;6;5.37;0.73
18HU05071_805;651;47.49883;-63.248;289250;49.08;15-nov-05;06:10:00;31.55;1.11;248.89018;246.79116;NaN;0.075;0.535;0.03;1;12.34;1;1.32667;1;19.89;1;6;9.30;0.62
18HU05071_805;651;47.49883;-63.248;289249;68.31;15-nov-05;06:10:00;31.83;0.73;227.0961;231.69608;NaN;0.12;0.556;0.06;1;13.625;1;1.42;1;24.08;1;6;9.60;0.57
18HU05071_806;661;47.33033;-62.7475;289259;1.78;15-nov-05;08:21:00;29.93;6.4;308.8239;309.09186;NaN;0.65;2.069;0.075;1;2.195;1;0.5;1;4.12;1;6;4.39;0.53
