CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU18051_1707;61;47.831;-63.75083;454619;2.38;15-oct-18;14:59:00;29.48;8.89;299.31132;8.271;310.00739;0.738;1.28;1;0.04;1;0.365;1;0.32;1;1.5;1;6;1.14;0.24
18HU18051_1707;61;47.831;-63.75083;454618;14.87;15-oct-18;14:59:00;29.56;8.5;300.51714;8.254;NaN;1.135;1.035;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1707;61;47.831;-63.75083;454617;25.19;15-oct-18;14:59:00;30.1;7.01;297.70356;8.183;299.95889;0.514;0.44;1;0.13;1;1.775;1;0.535;1;3.025;1;6;3.32;0.59
18HU18051_1707;61;47.831;-63.75083;454616;73.66;15-oct-18;14:59:00;31.89;0.73;242.01254;7.854;241.40963;0.15;NaN;9;0.1;1;12.305;1;1.45;1;22.795;1;6;8.49;0.54
18HU18051_1708;71;47.50067;-63.7505;454623;2.38;15-oct-18;18:14:00;29.39;9.38;299.62394;8.274;300.69578;0.987;1.5;1;0.03;1;0.18;1;0.28;1;1.665;1;6;0.64;0.11
18HU18051_1708;71;47.50067;-63.7505;454622;15.67;15-oct-18;18:14:00;29.39;9.28;299.84724;8.267;NaN;1.617;1.555;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1708;71;47.50067;-63.7505;454621;25.48;15-oct-18;18:14:00;29.99;7.78;301.2317;8.202;301.16471;0.405;0.49;1;0.09;1;0.765;1;0.44;1;1.585;1;6;1.74;0.48
18HU18051_1708;71;47.50067;-63.7505;454620;66.33;15-oct-18;18:14:00;31.78;0.58;244.5135;7.837;243.70962;0.19;NaN;9;0.105;1;11.975;1;1.44;1;22.3;1;6;8.32;0.54
18HU18051_1709;81;47.60967;-64.12867;454627;2.58;15-oct-18;21:09:00;29.51;9.02;304.1346;8.268;305.40741;1.997;1.84;1;0.02;1;0.08;1;0.305;1;1.54;1;6;0.26;0.05
18HU18051_1709;81;47.60967;-64.12867;454626;15.47;15-oct-18;21:09:00;29.51;9.02;304.04528;8.266;NaN;1.975;1.835;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1709;81;47.60967;-64.12867;454625;25.38;15-oct-18;21:09:00;29.55;8.73;301.27636;8.245;303.06276;1.64;1.605;1;0.025;1;0.2;1;0.32;1;1.55;1;6;0.63;0.13
18HU18051_1709;81;47.60967;-64.12867;454624;65.34;15-oct-18;21:09:00;31.49;1.84;264.92312;7.934;276.13278;0.233;NaN;9;0.125;1;8.355;1;1.13;1;13.925;1;6;7.39;0.60
18HU18051_1710;91;47.49767;-64.24783;454631;2.97;15-oct-18;23:08:00;29.05;10.29;288.68224;8.255;291.25019;1.432;1.32;1;0.15;1;0.29;1;0.29;1;2.14;1;6;1.00;0.14
18HU18051_1710;91;47.49767;-64.24783;454630;15.37;15-oct-18;23:08:00;29.06;10.27;289.66476;8.25;NaN;1.407;1.44;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1710;91;47.49767;-64.24783;454629;25.98;15-oct-18;23:08:00;29.26;9.32;296.72104;8.236;297.52492;1.754;2.03;1;0.03;1;0.21;1;0.31667;1;2.14;1;6;0.66;0.10
18HU18051_1710;91;47.49767;-64.24783;454628;54.43;15-oct-18;23:08:00;31.2;3.07;282.6978;8.004;282.11722;0.246;NaN;9;0.025;1;6.825;1;1.03;1;11.05;1;6;6.63;0.62
18HU18051_1699;101;47.82383;-64.2465;454635;4.96;16-oct-18;02:17:00;29.51;8.58;301.85694;8.229;301.56665;1.771;1.65;1;0.06;1;0.82;1;0.385;1;2.655;1;6;2.13;0.31
18HU18051_1699;101;47.82383;-64.2465;454634;15.47;16-oct-18;02:17:00;29.6;8.22;301.49966;8.219;NaN;1.746;1.6;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1699;101;47.82383;-64.2465;454633;25.68;16-oct-18;02:17:00;29.62;8.14;301.32102;8.216;301.92393;1.601;1.405;1;0.075;1;1.065;1;0.42;1;2.265;1;6;2.54;0.47
18HU18051_1699;101;47.82383;-64.2465;454632;34.9;16-oct-18;02:17:00;29.7;8.12;296.58706;8.201;297.48026;1.028;NaN;9;0.09;1;1.35;1;0.475;1;2.91;1;6;2.84;0.46
18HU18051_1700;241;47.881;-62.413;454685;2.97;20-oct-18;20:01:00;30.68;6.1;312.08408;8.153;310.85593;0.963;0.875;1;0.12;1;1.64;1;0.515;1;3.34;1;6;3.18;0.49
18HU18051_1700;241;47.881;-62.413;454684;14.97;20-oct-18;20:01:00;30.67;6.12;311.5035;8.148;NaN;1.004;0.85;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1700;241;47.881;-62.413;454683;25.19;20-oct-18;20:01:00;30.69;5.95;310.56564;8.122;309.4938;0.894;0.785;1;0.125;1;1.7;1;0.525;1;3.45;1;6;3.24;0.49
18HU18051_1700;241;47.881;-62.413;454682;81.69;20-oct-18;20:01:00;32.02;0.54;286.98516;7.904;283.41236;0.122;NaN;9;0.08;1;10.9;1;1.18;1;13.68;1;6;9.24;0.80
18HU18051_1701;251;47.40567;-62.59583;454689;3.47;21-oct-18;01:13:00;29.54;8.82;295.15794;8.204;295.51522;1.114;1.36;1;0.115;1;0.635;1;0.315;1;1.415;1;6;2.02;0.45
