CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NA96022_225;CAST#1;46.0148;-60.7457;175675;1;22-sep-96;11:55:00;22.752;15.521;264.47652;4;0.4005;1;0.159;1;0.12;1;0.234;1;3.555;1;6;0.51;0.03
18NA96022_225;CAST#1;46.0148;-60.7457;175676;7;22-sep-96;11:55:00;22.766;15.562;264.78914;4;1.2015;1;0.0745;1;0.05;1;0.213;1;3.495;1;6;0.23;0.01
18NA96022_225;CAST#1;46.0148;-60.7457;175674;30;22-sep-96;11:55:00;24.848;7.842;271.48814;4;0.0801;1;0.1275;1;4.05;1;0.612;1;7.095;1;6;6.62;0.57
18NA96022_225;CAST#1;46.0148;-60.7457;175673;65;22-sep-96;11:55:00;25.261;4.603;290.24534;4;NaN;9;0.0975;1;5.66;1;0.727;1;8.295;1;6;7.79;0.68
18NA96022_225;CAST#1;46.0148;-60.7457;175672;90;22-sep-96;11:55:00;25.578;0.732;324.94616;4;NaN;9;0.0915;1;6.59;1;0.812;1;9.36;1;6;8.12;0.70
18NA96022_225;CAST#1;46.0148;-60.7457;175671;110;22-sep-96;11:55:00;25.594;0.525;326.55392;4;NaN;9;0.0985;1;6.69;1;0.806;1;9.57;1;6;8.30;0.70
18NA96022_264;CAST#1;46.0233;-60.7647;175678;4;22-sep-96;12:35:00;22.628;15.726;207.53502;4;0.4806;1;0.065;1;0.06;1;0.198;1;3.54;1;6;0.30;0.02
18NA96022_264;CAST#1;46.0233;-60.7647;175677;19;22-sep-96;12:35:00;24.584;10.96;241.74458;4;0.2403;1;0.1745;1;2.89;1;0.5035;1;6.09;1;6;5.74;0.47
18NA96022_304;CAST#1;46.0553;-60.6242;175683;1;22-sep-96;13:32:00;22.448;16.148;265.59302;4;0.9612;1;0.098;1;0.095;1;0.1875;1;4.475;1;6;0.51;0.02
18NA96022_304;CAST#1;46.0553;-60.6242;175682;7;22-sep-96;13:32:00;22.445;16.147;264.6105;4;3.7647;1;0.096;1;0.19;1;0.2205;1;4.53;1;6;0.86;0.04
18NA96022_304;CAST#1;46.0553;-60.6242;175681;38;22-sep-96;13:32:00;24.917;6.896;273.58716;4;0.4806;1;0.113;1;4.04;1;0.5965;1;6.985;1;6;6.77;0.58
18NA96022_304;CAST#1;46.0553;-60.6242;175680;71;22-sep-96;13:32:00;25.182;1.452;303.33072;4;NaN;9;0.078;1;6.93;1;0.767;1;9.885;1;6;9.04;0.70
18NA96022_304;CAST#1;46.0553;-60.6242;175679;120;22-sep-96;13:32:00;25.424;0.263;311.63748;4;NaN;9;0.074;1;7.77;1;0.9045;1;13.275;1;6;8.59;0.59
