Filename; Pressure; Uniqueno; Variable; Values; Test failed
18HU08057_999_; 2.18; 341402; doxy; 317.15  ; Global Impossible Parameter Value
18HU08057_999_; 5.16; 341401; doxy; 317.09  ; Global Impossible Parameter Value
18HU08057_999_; 14.58; 341400; doxy; 310.74  ; Global Impossible Parameter Value
18HU08057_999_; 25.28; 341399; doxy; 310.43  ; Global Impossible Parameter Value
18HU08057_999_; 33.41; 341398; doxy; 309.76  ; Global Impossible Parameter Value
18HU08057_999_; 2.18; 341402; doxy; 317.15  ; Regional Impossible Parameter Value
18HU08057_999_; 5.16; 341401; doxy; 317.09  ; Regional Impossible Parameter Value
18HU08057_999_; 14.58; 341400; doxy; 310.74  ; Regional Impossible Parameter Value
18HU08057_999_; 25.28; 341399; doxy; 310.43  ; Regional Impossible Parameter Value
18HU08057_999_; 33.41; 341398; doxy; 309.76  ; Regional Impossible Parameter Value
18HU08057_1000; 5.55; 341407; doxy; 312.42  ; Global Impossible Parameter Value
18HU08057_1000; 15.87; 341406; doxy; 311.32  ; Global Impossible Parameter Value
18HU08057_1000; 25.19; 341405; doxy; 305.39  ; Global Impossible Parameter Value
18HU08057_1000; 50.47; 341404; doxy; 281.89  ; Global Impossible Parameter Value
18HU08057_1000; 73.86; 341403; doxy; 257.67  ; Global Impossible Parameter Value
18HU08057_1000; 5.55; 341407; doxy; 312.42  ; Regional Impossible Parameter Value
18HU08057_1000; 15.87; 341406; doxy; 311.32  ; Regional Impossible Parameter Value
18HU08057_1000; 25.19; 341405; doxy; 305.39  ; Regional Impossible Parameter Value
18HU08057_1000; 50.47; 341404; doxy; 281.89  ; Regional Impossible Parameter Value
18HU08057_1000; 73.86; 341403; doxy; 257.67  ; Regional Impossible Parameter Value
18HU08057_1001; 2.48; 341413; doxy; 321.44  ; Global Impossible Parameter Value
18HU08057_1001; 5.16; 341412; doxy; 322.31  ; Global Impossible Parameter Value
18HU08057_1001; 15.87; 341411; doxy; 330.84  ; Global Impossible Parameter Value
18HU08057_1001; 24.99; 341410; doxy; 322.98  ; Global Impossible Parameter Value
18HU08057_1001; 51.16; 341409; doxy; 268.63  ; Global Impossible Parameter Value
18HU08057_1001; 59.39; 341408; doxy; 261.22  ; Global Impossible Parameter Value
18HU08057_1001; 2.48; 341413; doxy; 321.44  ; Regional Impossible Parameter Value
18HU08057_1001; 5.16; 341412; doxy; 322.31  ; Regional Impossible Parameter Value
18HU08057_1001; 15.87; 341411; doxy; 330.84  ; Regional Impossible Parameter Value
18HU08057_1001; 24.99; 341410; doxy; 322.98  ; Regional Impossible Parameter Value
18HU08057_1001; 51.16; 341409; doxy; 268.63  ; Regional Impossible Parameter Value
18HU08057_1001; 59.39; 341408; doxy; 261.22  ; Regional Impossible Parameter Value
18HU08057_1002; 2.38; 341419; doxy; 312.11  ; Global Impossible Parameter Value
18HU08057_1002; 5.55; 341418; doxy; 313.02  ; Global Impossible Parameter Value
18HU08057_1002; 15.57; 341417; doxy; 312.08  ; Global Impossible Parameter Value
18HU08057_1002; 24.89; 341416; doxy; 311.37  ; Global Impossible Parameter Value
18HU08057_1002; 51.06; 341415; doxy; 255.72  ; Global Impossible Parameter Value
18HU08057_1002; 71.78; 341414; doxy; 235.65  ; Global Impossible Parameter Value
18HU08057_1002; 2.38; 341419; doxy; 312.11  ; Regional Impossible Parameter Value
18HU08057_1002; 5.55; 341418; doxy; 313.02  ; Regional Impossible Parameter Value
18HU08057_1002; 15.57; 341417; doxy; 312.08  ; Regional Impossible Parameter Value
18HU08057_1002; 24.89; 341416; doxy; 311.37  ; Regional Impossible Parameter Value
18HU08057_1002; 51.06; 341415; doxy; 255.72  ; Regional Impossible Parameter Value
18HU08057_1002; 71.78; 341414; doxy; 235.65  ; Regional Impossible Parameter Value
18HU08057_1003; 3.77; 341424; doxy; 299.98  ; Global Impossible Parameter Value
18HU08057_1003; 5.55; 341423; doxy; 299.76  ; Global Impossible Parameter Value
18HU08057_1003; 15.37; 341422; doxy; 299.36  ; Global Impossible Parameter Value
18HU08057_1003; 24.79; 341421; doxy; 299.94  ; Global Impossible Parameter Value
18HU08057_1003; 42.44; 341420; doxy; 264.07  ; Global Impossible Parameter Value
18HU08057_1003; 3.77; 341424; doxy; 299.98  ; Regional Impossible Parameter Value
18HU08057_1003; 5.55; 341423; doxy; 299.76  ; Regional Impossible Parameter Value
18HU08057_1003; 15.37; 341422; doxy; 299.36  ; Regional Impossible Parameter Value
18HU08057_1003; 24.79; 341421; doxy; 299.94  ; Regional Impossible Parameter Value
18HU08057_1003; 42.44; 341420; doxy; 264.07  ; Regional Impossible Parameter Value
18HU08057_1004; 1.98; 341429; doxy; 303.02  ; Global Impossible Parameter Value
18HU08057_1004; 5.16; 341428; doxy; 303.20  ; Global Impossible Parameter Value
18HU08057_1004; 14.97; 341427; doxy; 301.37  ; Global Impossible Parameter Value
18HU08057_1004; 25.29; 341426; doxy; 282.12  ; Global Impossible Parameter Value
18HU08057_1004; 31.73; 341425; doxy; 259.92  ; Global Impossible Parameter Value
18HU08057_1004; 1.98; 341429; doxy; 303.02  ; Regional Impossible Parameter Value
18HU08057_1004; 5.16; 341428; doxy; 303.20  ; Regional Impossible Parameter Value
18HU08057_1004; 14.97; 341427; doxy; 301.37  ; Regional Impossible Parameter Value
18HU08057_1004; 25.29; 341426; doxy; 282.12  ; Regional Impossible Parameter Value
18HU08057_1004; 31.73; 341425; doxy; 259.92  ; Regional Impossible Parameter Value
18HU08057_1005; 3.17; 341434; doxy; 299.58  ; Global Impossible Parameter Value
18HU08057_1005; 5.36; 341433; doxy; 299.36  ; Global Impossible Parameter Value
18HU08057_1005; 15.57; 341432; doxy; 298.82  ; Global Impossible Parameter Value
18HU08057_1005; 25.78; 341431; doxy; 291.90  ; Global Impossible Parameter Value
18HU08057_1005; 31.53; 341430; doxy; 291.41  ; Global Impossible Parameter Value
