CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l);((none));((none));((none));((none))
18HU10014_190;HL_09;42.2323;-61.2075;369782;3;27-may-10;06:05:00;6.6;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369780;51;27-may-10;06:03:00;6;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369779;120;27-may-10;06:01:00;5.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369778;232;27-may-10;05:59:00;4.2;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369777;362;27-may-10;05:56:00;3.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369776;510;27-may-10;05:53:00;4.5;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369775;681;27-may-10;05:50:00;5.4;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369774;872;27-may-10;05:47:00;5.8;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369773;1072;27-may-10;05:43:00;6;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369772;1299;27-may-10;05:40:00;6.1;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369771;1561;27-may-10;05:35:00;6.2;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369769;2071;27-may-10;05:28:00;6.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369767;2572;27-may-10;05:20:00;6.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369766;2790;27-may-10;05:16:00;6.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369765;3001;27-may-10;05:13:00;6.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369764;3169;27-may-10;05:10:00;6.3;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369763;3330;27-may-10;05:07:00;6.4;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369762;3470;27-may-10;05:04:00;6.5;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369761;3601;27-may-10;05:01:00;6.5;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369760;3720;27-may-10;04:59:00;6.5;1;0;NaN;NaN
18HU10014_190;HL_09;42.2323;-61.2075;369759;3862;27-may-10;04:56:00;6.5;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369819;3;27-may-10;13:56:00;6.1;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369817;104;27-may-10;13:53:00;5.1;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369816;211;27-may-10;13:51:00;4.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369815;320;27-may-10;13:49:00;3.2;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369814;486;27-may-10;13:46:00;4.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369813;690;27-may-10;13:43:00;5.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369812;906;27-may-10;13:40:00;5.7;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369811;1131;27-may-10;13:37:00;6;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369810;1366;27-may-10;13:33:00;6.1;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369809;1625;27-may-10;13:29:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369808;1891;27-may-10;13:25:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369807;2172;27-may-10;13:21:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369806;2451;27-may-10;13:16:00;6.2;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369805;2721;27-may-10;13:12:00;6.2;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369804;2975;27-may-10;13:08:00;5.4;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369803;3225;27-may-10;13:04:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369802;3459;27-may-10;13:00:00;6.4;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369801;3676;27-may-10;12:56:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369800;3870;27-may-10;12:53:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369799;4070;27-may-10;12:49:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369798;4210;27-may-10;12:47:00;6.3;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369797;4351;27-may-10;12:44:00;6.2;1;0;NaN;NaN
18HU10014_195;HL_11;41.7765;-60.9082;369796;4512;27-may-10;12:40:00;6.1;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369843;3;27-may-10;23:24:00;6;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369842;56;27-may-10;23:22:00;5.4;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369841;106;27-may-10;23:21:00;5.1;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369840;186;27-may-10;23:19:00;5;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369839;326;27-may-10;23:15:00;3.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369838;486;27-may-10;23:13:00;4.5;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369837;693;27-may-10;23:09:00;5.5;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369836;905;27-may-10;23:06:00;5.9;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369835;1131;27-may-10;23:03:00;6.1;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369834;1365;27-may-10;22:59:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369833;1626;27-may-10;22:55:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369832;1889;27-may-10;22:51:00;6.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369831;2170;27-may-10;22:46:00;6.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369830;2450;27-may-10;22:42:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369829;2720;27-may-10;22:38:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369828;2976;27-may-10;22:34:00;6.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369827;3224;27-may-10;22:29:00;6.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369826;3500;27-may-10;22:25:00;6.4;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369825;3751;27-may-10;22:20:00;6.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369824;4001;27-may-10;22:16:00;6.3;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369823;4230;27-may-10;22:12:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369822;4402;27-may-10;22:09:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369821;4551;27-may-10;22:05:00;6.2;1;0;NaN;NaN
18HU10014_198;HL_13;41.1837;-60.5175;369820;4633;27-may-10;22:03:00;6.2;1;0;NaN;NaN
18HU10014_200;HL_12;41.4837;-60.7107;369867;2;28-may-10;06:06:00;6.4;1;0;NaN;NaN
18HU10014_200;HL_12;41.4837;-60.7107;369866;56;28-may-10;06:05:00;5.7;1;0;NaN;NaN
18HU10014_200;HL_12;41.4837;-60.7107;369865;115;28-may-10;06:03:00;5.3;1;0;NaN;NaN
18HU10014_200;HL_12;41.4837;-60.7107;369864;194;28-may-10;06:01:00;4.7;1;0;NaN;NaN
