CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU98051_542;841;47.999;-59.5035;208903;5.55;10-nov-98;07:02:00;31.68;7.02;316.59474;305.0278;0.79;0.85;3.516;0.1;1;0.67;1;0.34;1;1.75;1;6;1.97;0.38
18HU98051_542;841;47.999;-59.5035;208902;15.47;10-nov-98;07:02:00;31.68;7.02;313.0666;305.07246;0.78;0.88;3.516;0.1;1;0.7;1;0.35;1;1.84;1;6;2.00;0.38
18HU98051_542;841;47.999;-59.5035;208901;25.58;10-nov-98;07:02:00;31.68;6.97;310.74428;304.5812;0.64;0.75;3.362;0.1;1;0.83;1;0.37;1;1.89;1;6;2.24;0.44
18HU98051_542;841;47.999;-59.5035;208900;48.98;10-nov-98;07:02:00;32.29;4.27;298.19482;307.79672;0.22;0.23;1.06;0.24;1;4.43;1;0.68;1;4.1;1;6;6.51;1.08
18HU98051_542;841;47.999;-59.5035;208899;101.22;10-nov-98;07:02:00;32.84;1.46;288.90554;305.96566;0.04;0.04;0.633;0.23;1;4.29;1;0.67;1;4.27;1;6;6.40;1.00
18HU98051_542;841;47.999;-59.5035;208898;149.98;10-nov-98;07:02:00;33.5;3.14;250.18532;258.84936;0.02;0.02;0.555;0.085;1;13.195;1;1.12;1;11.96;1;6;11.78;1.10
18HU98051_543;851;47.58117;-59.3305;208911;5.45;10-nov-98;09:26:00;31.13;7;313.60252;302.61616;0.86;1.06;3.065;0.11;1;1.48;1;0.52;1;3.48;1;6;2.85;0.43
18HU98051_543;851;47.58117;-59.3305;208910;15.37;10-nov-98;09:26:00;31.34;7.02;299.04336;294.71134;0.34;0.38;2.156;0.14;1;1.43;1;0.65;1;3.08;1;6;2.20;0.46
18HU98051_543;851;47.58117;-59.3305;208909;25.19;10-nov-98;09:26:00;31.35;4.51;279.97354;283.72498;0.15;0.2;1.184;0.13;1;7.36;1;1.36;2;8.85;1;2054;5.41;0.83
18HU98051_543;851;47.58117;-59.3305;208908;49.68;10-nov-98;09:26:00;31.98;2.04;291.94242;300.29384;0.09;0.12;0.776;0.06;1;6.96;1;1.06;1;8.39;1;6;6.57;0.83
18HU98051_543;851;47.58117;-59.3305;208907;97.06;10-nov-98;09:26:00;32.74;1.42;282.11722;311.9501;0.04;0.04;0.634;0.07;1;7.82;1;0.91;1;6.22;1;6;8.59;1.26
18HU98051_543;851;47.58117;-59.3305;208906;147.8;10-nov-98;09:26:00;33.17;1.88;265.727;284.84148;0.02;0.02;0.534;0.1;1;11.53;1;1.08;1;NaN;9;6;10.68;NaN
18HU98051_543;851;47.58117;-59.3305;208905;199.03;10-nov-98;09:26:00;33.89;4.16;237.54654;238.931;0.01;0.02;0.504;0.09;1;15.28;1;1.2;1;14.39;1;6;12.73;1.06
18HU98051_543;851;47.58117;-59.3305;208904;233.99;10-nov-98;09:26:00;34.41;5.47;212.62626;211.37578;0.01;0.02;0.466;0.08;1;18.62;1;1.29;1;16.07;1;6;14.43;1.16
18HU98051_544;861;47.48317;-59.44633;208923;5.45;10-nov-98;11:19:00;30.44;6.96;315.16562;304.5812;1.21;1.29;3.33;0.15;1;1.67;1;0.77;1;3.9;1;6;2.17;0.43
18HU98051_544;861;47.48317;-59.44633;208922;14.97;10-nov-98;11:19:00;30.46;6.99;313.0666;303.19674;0.92;1.02;3.312;0.19;1;1.85;1;0.95;1;4.03;1;6;1.95;0.46
18HU98051_544;861;47.48317;-59.44633;208921;24.99;10-nov-98;11:19:00;31.08;7.04;303.33072;297.2123;0.49;0.51;1.845;0.15;1;2.05;1;0.68;1;3.33;1;6;3.01;0.62
18HU98051_544;861;47.48317;-59.44633;208920;49.97;10-nov-98;11:19:00;31.87;5.37;288.057;302.16956;0.34;0.36;1.336;0.26;1;4.57;1;1.05;1;3.56;1;6;4.35;1.28
18HU98051_544;861;47.48317;-59.44633;208919;99.54;10-nov-98;11:19:00;32.85;1.35;277.96384;288.77156;0.04;0.05;0.772;0.07;1;11.84;1;1.59;1;8.87;1;6;7.45;1.33
18HU98051_544;861;47.48317;-59.44633;208918;148.79;10-nov-98;11:19:00;33.64;3.66;248.62222;230.57958;0.01;0.02;0.495;0.07;1;16.48;1;1.99;1;15.6;1;6;8.28;1.06
18HU98051_544;861;47.48317;-59.44633;208917;199.03;10-nov-98;11:19:00;34.33;5.66;201.05932;201.6399;0;0.02;0.456;0.07;1;20.39;1;1.69;1;15.59;1;6;12.07;1.31
18HU98051_544;861;47.48317;-59.44633;208916;249.05;10-nov-98;11:19:00;34.56;5.71;180.51572;176.80894;0.01;0.02;0.524;0.05;1;22.45;1;1.66;1;20.72;1;6;13.52;1.08
