CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18OL16015_1508;621;47.66617;-59.86567;418605;1.69;10-jun-16;08:35:00;30.72;5.8;323.5617;NaN;NaN;0.39;0.455;9;0.02;1;0.06;1;0.285;1;0.125;1;0;0.21;0.48
18OL16015_1508;621;47.66617;-59.86567;418604;5.06;10-jun-16;08:35:00;30.73;5.8;324.32092;333.02962;NaN;0.402;0.525;9;0.03;1;0.07;1;0.285;1;0.195;1;6;0.25;0.36
18OL16015_1508;621;47.66617;-59.86567;418603;14.97;10-jun-16;08:35:00;31.12;5.79;324.14228;NaN;NaN;0.53;0.45;9;0.04;1;0.07;1;0.32;1;0.105;1;0;0.22;0.67
18OL16015_1508;621;47.66617;-59.86567;418602;24.59;10-jun-16;08:35:00;31.54;3.9;351.07226;NaN;NaN;0.73;0.63;9;0.03;1;0.09;1;0.365;1;0.165;1;0;0.25;0.55
18OL16015_1508;621;47.66617;-59.86567;418601;49.28;10-jun-16;08:35:00;31.83;0.66;339.01406;343.90433;NaN;0.132;0.105;9;0.095;1;2.645;1;0.735;1;1.74;1;6;3.60;1.52
18OL16015_1508;621;47.66617;-59.86567;418600;100.73;10-jun-16;08:35:00;32.55;1.46;287.96768;NaN;NaN;0.099;0.12;9;0.12;1;9.715;1;1.035;1;8.345;1;0;9.39;1.16
18OL16015_1508;621;47.66617;-59.86567;418599;200.11;10-jun-16;08:35:00;34.28;5.83;152.5139;NaN;NaN;0.063;NaN;9;0.03;1;20.205;1;1.565;1;22.365;1;0;12.91;0.90
18OL16015_1508;621;47.66617;-59.86567;418598;301.43;10-jun-16;08:35:00;34.76;6.33;123.08296;NaN;NaN;0.059;NaN;9;0.035;1;23.705;1;1.755;1;28.66;1;0;13.51;0.83
