CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13008_284;HL_02;44.26613;-63.31396;392000;137.48;07-may-13;06:14:00;34.3595;9.1872;3.9258;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_284;HL_02;44.26613;-63.31396;391995;137.57;07-may-13;06:14:00;34.3718;9.2139;3.9201;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_284;HL_02;44.26613;-63.31396;391993;137.58;07-may-13;06:14:00;34.3672;9.2076;3.9068;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_284;HL_02;44.26613;-63.31396;391987;137.64;07-may-13;06:14:00;34.3856;9.2572;3.9217;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_284;HL_02;44.26613;-63.31396;391999;137.77;07-may-13;06:14:00;34.3627;9.1994;3.9248;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392034;5.79;09-may-13;11:38:00;32.2375;1.5593;8.5634;0.2429;1;32.2597;1;8.506;1;0.055;1;NaN;9;0.55;1;NaN;9;0.2885;1;NaN;9;0.065;1;NaN;9;0;1.91;8.46
18HU13008_058;STN27;47.54669;-52.59989;392033;10.66;09-may-13;11:38:00;32.2373;1.5836;8.5493;0.3474;1;NaN;9;8.53;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392032;20.24;09-may-13;11:38:00;32.2367;1.5019;8.5661;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392030;31.01;09-may-13;11:38:00;32.2371;1.3347;8.6116;NaN;9;NaN;9;NaN;9;0.04;1;NaN;9;0.545;1;NaN;9;0.3035;1;NaN;9;0.11;1;NaN;9;0;1.80;4.95
18HU13008_058;STN27;47.54669;-52.59989;392031;31.3;09-may-13;11:38:00;32.238;1.2985;8.5996;0.3144;1;NaN;9;NaN;9;0.05;1;NaN;9;0.425;1;NaN;9;0.2695;1;NaN;9;0.08;1;NaN;9;0;1.58;5.31
18HU13008_058;STN27;47.54669;-52.59989;392029;40.83;09-may-13;11:38:00;32.263;0.8746;8.6692;0.4655;1;32.2614;1;8.7635;1;0.06;1;NaN;9;0.87;1;NaN;9;0.3305;1;NaN;9;0.13;1;NaN;9;0;2.63;6.69
18HU13008_058;STN27;47.54669;-52.59989;392028;50.38;09-may-13;11:38:00;32.4389;1.1979;8.8326;1.1472;1;NaN;9;8.953;1;0.04;1;NaN;9;0.635;1;NaN;9;0.2765;1;NaN;9;0.955;1;NaN;9;0;2.30;0.66
18HU13008_058;STN27;47.54669;-52.59989;392027;75.5;09-may-13;11:38:00;32.4973;0.5132;8.8307;1.0876;1;NaN;9;8.954;1;0.045;1;NaN;9;0.665;1;NaN;9;0.307;1;NaN;9;0.135;1;NaN;9;0;2.17;4.93
18HU13008_058;STN27;47.54669;-52.59989;392026;99.92;09-may-13;11:38:00;32.5493;-0.4482;8.2208;1.0579;1;NaN;9;NaN;9;0.09;1;NaN;9;3.36;1;NaN;9;0.606;1;NaN;9;1.395;1;NaN;9;0;5.54;2.41
18HU13008_058;STN27;47.54669;-52.59989;392025;151.87;09-may-13;11:38:00;32.8369;-0.2292;7.4243;1.1919;1;NaN;9;7.541;1;0.11;1;NaN;9;6.835;1;NaN;9;0.8635;1;NaN;9;4.755;1;NaN;9;0;7.92;1.44
18HU13008_058;STN27;47.54669;-52.59989;392011;163.12;09-may-13;11:38:00;32.8482;-0.2352;7.3623;NaN;9;NaN;9;7.4325;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392012;163.69;09-may-13;11:38:00;32.8489;-0.2375;7.3586;NaN;9;NaN;9;7.408;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392017;163.76;09-may-13;11:38:00;32.8493;-0.2377;7.3552;NaN;9;NaN;9;7.425;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392019;163.78;09-may-13;11:38:00;32.8493;-0.2378;7.3568;NaN;9;NaN;9;7.4015;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392013;163.8;09-may-13;11:38:00;32.8491;-0.238;7.3703;NaN;9;NaN;9;7.411;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392016;163.85;09-may-13;11:38:00;32.8492;-0.2377;7.358;NaN;9;NaN;9;7.428;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392014;163.98;09-may-13;11:38:00;32.849;-0.2373;7.3546;NaN;9;NaN;9;7.416;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392015;164.01;09-may-13;11:38:00;32.8491;-0.2374;7.36;NaN;9;NaN;9;7.413;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392023;164.04;09-may-13;11:38:00;32.8492;-0.2372;7.3532;NaN;9;NaN;9;7.4105;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392020;164.07;09-may-13;11:38:00;32.849;-0.2373;7.3596;NaN;9;NaN;9;7.405;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392024;164.1;09-may-13;11:38:00;32.8492;-0.2374;7.3511;1.4561;1;32.8518;1;7.4255;1;0.115;1;NaN;9;7.42;1;NaN;9;0.9915;1;NaN;9;5.22;1;NaN;9;0;7.48;1.42
18HU13008_058;STN27;47.54669;-52.59989;392021;164.17;09-may-13;11:38:00;32.8488;-0.2364;7.3618;NaN;9;NaN;9;6.788;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
