CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU09063_1059;761;47.828;-64.24983;343335;2.48;07-nov-09;11:12:00;29.73;6.04;312.88796;8.787;313.64718;0.725;0.112;0.11;1;2.505;1;0.48;1;3.43;1;6;5.22;0.73
18HU09063_1059;761;47.828;-64.24983;343334;5.45;07-nov-09;11:12:00;29.73;6.04;312.8433;8.778;313.24524;0.66;0.104;0.115;1;2.52;1;0.475;1;3.38;1;6;5.31;0.75
18HU09063_1059;761;47.828;-64.24983;343333;14.87;07-nov-09;11:12:00;29.75;6.05;311.5035;8.772;312.88796;0.67;0.104;0.11;1;2.475;1;0.475;1;3.325;1;6;5.21;0.74
18HU09063_1059;761;47.828;-64.24983;343332;25.19;07-nov-09;11:12:00;29.82;6.08;311.9501;8.762;312.53068;0.665;0.094;0.115;1;2.44;1;0.475;1;3.29;1;6;5.14;0.74
18HU09063_1059;761;47.828;-64.24983;343331;38.37;07-nov-09;11:12:00;30.25;6.2;301.94626;8.742;302.43752;0.425;0.074;0.135;1;2.545;1;0.625;1;3.93;1;6;4.07;0.65
18HU09063_1060;771;47.74067;-64.00317;343341;4.36;07-nov-09;13:12:00;30.44;5.71;316.1928;8.808;317.51027;0.67;0.096;0.125;1;2.295;1;0.48;1;2.62;1;6;4.78;0.88
18HU09063_1060;771;47.74067;-64.00317;343340;7.14;07-nov-09;13:12:00;30.44;5.7;316.23746;8.801;316.72872;0.74;0.098;0.125;1;2.275;1;0.475;1;2.7;1;6;4.79;0.84
18HU09063_1060;771;47.74067;-64.00317;343339;16.86;07-nov-09;13:12:00;30.44;5.7;315.43358;8.801;316.77338;0.665;0.095;0.125;1;2.27;1;0.525;1;2.63;1;6;4.32;0.86
18HU09063_1060;771;47.74067;-64.00317;343338;26.77;07-nov-09;13:12:00;30.44;5.7;315.47824;8.789;316.50542;0.665;0.09;0.125;1;2.275;1;0.51;1;2.68;1;6;4.46;0.85
18HU09063_1060;771;47.74067;-64.00317;343337;50.27;07-nov-09;13:12:00;30.89;5.52;294.80066;8.727;296.27444;0.155;0.046;0.175;1;3.975;1;0.62;1;4.285;1;6;6.41;0.93
18HU09063_1060;771;47.74067;-64.00317;343336;74.95;07-nov-09;13:12:00;31.72;2.45;229.73104;8.558;229.06114;0.23;0.054;0.135;1;12.685;1;1.41;1;21.83;1;6;9.00;0.58
18HU09063_1061;781;47.65917;-63.7535;343347;3.17;07-nov-09;15:36:00;29.98;6.38;311.59282;8.815;311.14622;0.67;0.11;0.13;1;1.895;1;0.4;1;2.15;1;6;4.74;0.88
18HU09063_1061;781;47.65917;-63.7535;343346;5.55;07-nov-09;15:36:00;29.98;6.38;311.5035;8.814;312.08408;0.66;0.114;0.125;1;1.91;1;0.41;1;2.1;1;6;4.66;0.91
18HU09063_1061;781;47.65917;-63.7535;343345;15.27;07-nov-09;15:36:00;29.98;6.38;311.45884;8.802;312.75398;0.72;0.114;0.125;1;1.905;1;0.405;1;2.16;1;6;4.70;0.88
18HU09063_1061;781;47.65917;-63.7535;343344;25.58;07-nov-09;15:36:00;30.35;6.16;306.68022;8.776;310.56564;0.485;0.084;0.135;1;2.1;1;0.435;1;2.295;1;6;4.83;0.92
18HU09063_1061;781;47.65917;-63.7535;343343;51.46;07-nov-09;15:36:00;31.5;3.2;268.09398;8.652;NaN;0.075;0.039;0.145;1;10.01;1;1.045;1;10.085;1;0;9.58;0.99
18HU09063_1061;781;47.65917;-63.7535;343342;59.99;07-nov-09;15:36:00;31.7;2.47;250.67658;8.622;250.67658;0.145;0.042;0.135;1;12.11;1;1.23;1;15.635;1;6;9.85;0.77
18HU09063_1062;791;47.49967;-63.25233;343353;2.08;07-nov-09;18:15:00;29.86;6.74;310.74428;8.831;311.5035;0.92;0.136;0.135;1;1.59;1;0.355;1;2.065;1;6;4.48;0.77
18HU09063_1062;791;47.49967;-63.25233;343352;5.75;07-nov-09;18:15:00;29.86;6.74;310.387;8.821;311.0569;0.885;0.148;0.135;1;1.605;1;0.355;1;1.875;1;6;4.52;0.86
18HU09063_1062;791;47.49967;-63.25233;343351;14.97;07-nov-09;18:15:00;29.86;6.74;310.387;8.805;311.86078;0.87;0.136;0.135;1;1.61;1;0.36;1;1.9;1;6;4.47;0.85
