CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18OL03004_636;191;47.828;-64.24817;302026;1.49;19-apr-03;21:07:00;31.29;0.66;363.48774;359.2897;0.31;3.042;0.12;1;14.265;1;1.37;1;25.615;1;6;10.41;0.56
18OL03004_636;191;47.828;-64.24817;302025;5.06;19-apr-03;21:07:00;31.29;0.2;363.0858;NaN;0.445;3.964;0.115;1;14.26;1;1.37;1;24.87;1;0;10.41;0.57
18OL03004_636;191;47.828;-64.24817;302024;14.97;19-apr-03;21:07:00;31.3;-0.03;363.71104;NaN;0.325;5.122;0.115;1;14.135;1;1.355;1;24.12;1;0;10.43;0.59
18OL03004_636;191;47.828;-64.24817;302023;24.99;19-apr-03;21:07:00;31.37;-0.2;361.56736;NaN;0.47;6.249;0.12;1;13.95;1;1.35;1;24.51;1;0;10.33;0.57
18OL03004_636;191;47.828;-64.24817;302022;35.1;19-apr-03;21:07:00;31.43;-0.38;361.38872;356.8334;0.355;5.24;0.115;1;13.665;1;1.325;1;24.225;1;6;10.31;0.56
18OL03004_637;201;47.73867;-63.99833;302032;1.29;19-apr-03;22:44:00;31.36;0.72;367.9984;364.4256;0.625;6.261;0.11;1;13.4;1;1.295;1;22.68;1;6;10.35;0.59
18OL03004_637;201;47.73867;-63.99833;302031;4.96;19-apr-03;22:44:00;31.36;0.49;366.61394;NaN;0.565;5.164;0.12;1;13.355;1;1.295;1;22.765;1;0;10.31;0.59
18OL03004_637;201;47.73867;-63.99833;302030;14.97;19-apr-03;22:44:00;31.47;-0.08;367.5518;NaN;0.82;7.076;0.12;1;12.16;1;1.225;1;21.735;1;0;9.93;0.56
18OL03004_637;201;47.73867;-63.99833;302029;25.19;19-apr-03;22:44:00;31.62;-0.63;377.68962;NaN;2.135;16.042;0.125;1;9.91;1;1.08;1;17.44;1;0;9.18;0.57
18OL03004_637;201;47.73867;-63.99833;302028;50.07;19-apr-03;22:44:00;31.75;-1.12;381.57504;NaN;5.02;29.954;0.115;1;6.325;1;0.87;1;11.03;1;0;7.27;0.57
18OL03004_637;201;47.73867;-63.99833;302027;74.95;19-apr-03;22:44:00;32.03;-1.26;334.90534;329.3675;1.27;8.061;0.135;1;7.92;1;1.165;1;17.93;1;6;6.80;0.44
18OL03004_638;211;47.65983;-63.74933;302038;1.78;19-apr-03;23:57:00;31.81;-0.34;408.28172;404.8429;7.495;46.475;0.13;1;3.255;1;0.695;1;9.355;1;6;4.68;0.35
18OL03004_638;211;47.65983;-63.74933;302037;6.35;19-apr-03;23:57:00;31.81;-0.62;406.13804;NaN;7.77;55.141;0.135;1;3.215;1;0.69;1;9.395;1;0;4.66;0.34
18OL03004_638;211;47.65983;-63.74933;302036;14.97;19-apr-03;23:57:00;31.82;-1.01;400.95748;NaN;8.8;52.572;0.13;1;3.595;1;0.71;1;9.17;1;0;5.06;0.39
18OL03004_638;211;47.65983;-63.74933;302035;24.89;19-apr-03;23:57:00;31.82;-1.09;390.9983;NaN;7.475;42.909;0.13;1;4.315;1;0.745;1;8.515;1;0;5.79;0.51
18OL03004_638;211;47.65983;-63.74933;302034;49.87;19-apr-03;23:57:00;31.83;-1.22;382.02164;381.3964;5.93;35.158;0.125;1;5.025;1;0.805;1;9.2;1;6;6.24;0.55
18OL03004_639;221;47.50033;-63.24983;302044;1.29;20-apr-03;02:43:00;31.7;-0.47;391.98082;390.3284;3.715;27.166;0.14;1;4.66;1;0.74;1;9.585;1;6;6.30;0.49
18OL03004_639;221;47.50033;-63.24983;302043;4.96;20-apr-03;02:43:00;31.7;-0.62;390.95364;NaN;4.47;31.204;0.135;1;4.595;1;0.735;1;8.49;1;0;6.25;0.54
18OL03004_639;221;47.50033;-63.24983;302042;15.07;20-apr-03;02:43:00;31.71;-1.06;385.68376;NaN;4.62;32.893;0.135;1;5.08;1;0.765;1;8.26;1;0;6.64;0.62
18OL03004_639;221;47.50033;-63.24983;302041;24.99;20-apr-03;02:43:00;31.71;-1.08;380.99446;NaN;4.635;27.569;0.135;1;5.685;1;0.785;1;8.71;1;0;7.24;0.65
18OL03004_639;221;47.50033;-63.24983;302040;50.17;20-apr-03;02:43:00;31.74;-1.19;373.22362;NaN;3.53;21.16;0.13;1;5.97;1;0.845;1;9.605;1;0;7.07;0.62
18OL03004_639;221;47.50033;-63.24983;302039;75.25;20-apr-03;02:43:00;31.89;-1.21;346.69558;349.6878;2.31;10.675;0.14;1;7.975;1;1.005;1;13.965;1;6;7.94;0.57
18OL03004_640;231;47.32933;-62.7495;302049;1.49;20-apr-03;04:57:00;31.69;-0.97;393.85654;393.2313;4.855;31.561;0.115;1;4.345;1;0.71;1;7.465;1;6;6.12;0.58
18OL03004_640;231;47.32933;-62.7495;302048;5.06;20-apr-03;04:57:00;31.7;-1.1;390.41772;NaN;5.53;29.947;0.115;1;4.615;1;0.725;1;7.765;1;0;6.37;0.59
18OL03004_640;231;47.32933;-62.7495;302047;14.97;20-apr-03;04:57:00;31.71;-1.11;388.94394;NaN;6.28;29.989;0.115;1;4.835;1;0.72;1;7.275;1;0;6.72;0.66
18OL03004_640;231;47.32933;-62.7495;302046;24.99;20-apr-03;04:57:00;31.71;-1.08;389.25656;NaN;6.145;33.674;0.115;1;4.545;1;0.695;1;7.135;1;0;6.54;0.64
18OL03004_640;231;47.32933;-62.7495;302045;50.07;20-apr-03;04:57:00;31.72;-1.19;382.0663;383.4061;4.2;21.345;0.125;1;4.365;1;0.765;1;8.8;1;6;5.71;0.50
18OL03004_641;241;47.169;-62.24783;302054;1.49;20-apr-03;12:39:00;31.52;-1.01;426.63698;420.6972;11.765;19.642;0.015;1;0.19;1;0.355;1;1.11;1;6;0.54;0.17
18OL03004_641;241;47.169;-62.24783;302053;5.16;20-apr-03;12:39:00;31.51;-1;426.86028;NaN;13.415;41.353;0.015;1;0.115;1;0.35;1;1.2;1;0;0.33;0.10
18OL03004_641;241;47.169;-62.24783;302052;15.17;20-apr-03;12:39:00;31.53;-1.12;422.17098;NaN;15.035;73.421;0.01;1;0.245;1;0.335;1;1.225;1;0;0.73;0.20
