Filename; Pressure; Uniqueno; Variable; Values; Test failed
18HU05656_002; 5.59; 260507; doxy; 314.90  ; Global Impossible Parameter Value
18HU05656_002; 10.15; 260506; doxy; 315.30  ; Global Impossible Parameter Value
18HU05656_002; 20.09; 260505; doxy; 316.60  ; Global Impossible Parameter Value
18HU05656_002; 30.16; 260504; doxy; 317.10  ; Global Impossible Parameter Value
18HU05656_002; 40.02; 260503; doxy; 324.70  ; Global Impossible Parameter Value
18HU05656_002; 50.46; 260502; doxy; 325.10  ; Global Impossible Parameter Value
18HU05656_002; 75.64; 260501; doxy; 326.50  ; Global Impossible Parameter Value
18HU05656_002; 99.94; 260500; doxy; 327.80  ; Global Impossible Parameter Value
18HU05656_002; 153.06; 260499; doxy; 310.40  ; Global Impossible Parameter Value
18HU05656_002; 169.91; 260498; doxy; 285.40  ; Global Impossible Parameter Value
18HU05656_002; 5.59; 260507; doxy; 314.90  ; Regional Impossible Parameter Value
18HU05656_002; 10.15; 260506; doxy; 315.30  ; Regional Impossible Parameter Value
18HU05656_002; 20.09; 260505; doxy; 316.60  ; Regional Impossible Parameter Value
18HU05656_002; 30.16; 260504; doxy; 317.10  ; Regional Impossible Parameter Value
18HU05656_002; 40.02; 260503; doxy; 324.70  ; Regional Impossible Parameter Value
18HU05656_002; 50.46; 260502; doxy; 325.10  ; Regional Impossible Parameter Value
18HU05656_002; 75.64; 260501; doxy; 326.50  ; Regional Impossible Parameter Value
18HU05656_002; 99.94; 260500; doxy; 327.80  ; Regional Impossible Parameter Value
18HU05656_002; 153.06; 260499; doxy; 310.40  ; Regional Impossible Parameter Value
18HU05656_002; 169.91; 260498; doxy; 285.40  ; Regional Impossible Parameter Value
18HU05656_113; 5.10; 260512; doxy; 314.90  ; Global Impossible Parameter Value
18HU05656_113; 10.19; 260511; doxy; 314.00  ; Global Impossible Parameter Value
18HU05656_113; 19.78; 260510; doxy; 314.40  ; Global Impossible Parameter Value
18HU05656_113; 31.23; 260509; doxy; 314.40  ; Global Impossible Parameter Value
18HU05656_113; 48.70; 260508; doxy; 314.00  ; Global Impossible Parameter Value
18HU05656_113; 5.10; 260512; doxy; 314.90  ; Regional Impossible Parameter Value
18HU05656_113; 10.19; 260511; doxy; 314.00  ; Regional Impossible Parameter Value
18HU05656_113; 19.78; 260510; doxy; 314.40  ; Regional Impossible Parameter Value
18HU05656_113; 31.23; 260509; doxy; 314.40  ; Regional Impossible Parameter Value
18HU05656_113; 48.70; 260508; doxy; 314.00  ; Regional Impossible Parameter Value
18HU05656_225; 174.54; 260513; doxy; 286.30  ; Global Impossible Parameter Value
18HU05656_225; 174.54; 260513; doxy; 286.30  ; Regional Impossible Parameter Value
18HU05656_264; 4.86; 260523; doxy; 314.40  ; Global Impossible Parameter Value
18HU05656_264; 9.81; 260522; doxy; 314.40  ; Global Impossible Parameter Value
18HU05656_264; 19.87; 260521; doxy; 312.60  ; Global Impossible Parameter Value
18HU05656_264; 30.10; 260520; doxy; 313.10  ; Global Impossible Parameter Value
18HU05656_264; 40.23; 260519; doxy; 320.70  ; Global Impossible Parameter Value
18HU05656_264; 50.25; 260518; doxy; 328.20  ; Global Impossible Parameter Value
18HU05656_264; 75.34; 260517; doxy; 333.20  ; Global Impossible Parameter Value
18HU05656_264; 100.19; 260516; doxy; 308.20  ; Global Impossible Parameter Value
18HU05656_264; 150.98; 260515; doxy; 281.40  ; Global Impossible Parameter Value
18HU05656_264; 168.30; 260514; doxy; 280.50  ; Global Impossible Parameter Value
18HU05656_264; 4.86; 260523; doxy; 314.40  ; Regional Impossible Parameter Value
18HU05656_264; 9.81; 260522; doxy; 314.40  ; Regional Impossible Parameter Value
18HU05656_264; 19.87; 260521; doxy; 312.60  ; Regional Impossible Parameter Value
18HU05656_264; 30.10; 260520; doxy; 313.10  ; Regional Impossible Parameter Value
18HU05656_264; 40.23; 260519; doxy; 320.70  ; Regional Impossible Parameter Value
18HU05656_264; 50.25; 260518; doxy; 328.20  ; Regional Impossible Parameter Value
18HU05656_264; 75.34; 260517; doxy; 333.20  ; Regional Impossible Parameter Value
18HU05656_264; 100.19; 260516; doxy; 308.20  ; Regional Impossible Parameter Value
18HU05656_264; 150.98; 260515; doxy; 281.40  ; Regional Impossible Parameter Value
18HU05656_264; 168.30; 260514; doxy; 280.50  ; Regional Impossible Parameter Value
18HU05656_264; 100.19; 260516; ntrz; 11.27  ; Out of Nutrient Climatology in box(es) 9 (Min=0.00 Max=10.79 n=212)
18HU05656_264; 150.98; 260515; ntrz; 13.51  ; Out of Nutrient Climatology in box(es) 9 (Min=4.96 Max=13.34 n=8)
