CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
181091058_014;CAST#1;47.29667;-59.73167;106087;256;27-nov-91;07:52:00;34.23;4.63;188;4;14.56;1;1.29;1;15.01;1;6;11.29;0.97
181091058_014;CAST#1;47.29667;-59.73167;106086;306;27-nov-91;07:52:00;34.56;5.37;170;4;18.35;1;1.482;1;19.44;1;6;12.38;0.94
181091058_014;CAST#1;47.29667;-59.73167;106085;356;27-nov-91;07:52:00;34.72;5.27;151;4;21.94;1;1.679;1;28.19;1;6;13.07;0.78
181091058_014;CAST#1;47.29667;-59.73167;106084;472;27-nov-91;07:52:00;NaN;NaN;164;4;20.47;1;1.668;1;31.03;1;6;12.27;0.66
181091058_025;CAST#1;47.41667;-59.58667;106103;1;27-nov-91;10:01:00;31.41;5.67;321;4;1.12;1;0.427;1;1.71;1;6;2.62;0.65
181091058_025;CAST#1;47.41667;-59.58667;106102;54;27-nov-91;10:01:00;31.47;5.56;319;4;1.35;1;0.445;1;1.89;1;6;3.03;0.71
181091058_025;CAST#1;47.41667;-59.58667;106101;78;27-nov-91;10:01:00;32.33;2.48;329;4;4.33;1;0.709;1;3.86;1;6;6.11;1.12
181091058_025;CAST#1;47.41667;-59.58667;106100;103;27-nov-91;10:01:00;32.56;0.71;305;4;5.98;1;0.826;1;4.88;1;6;7.24;1.23
181091058_025;CAST#1;47.41667;-59.58667;106099;154;27-nov-91;10:01:00;33.18;1.18;283;4;11.55;1;1.123;1;11.6;1;6;10.28;1.00
181091058_025;CAST#1;47.41667;-59.58667;106098;205;27-nov-91;10:01:00;33.98;3.76;207;4;17.45;1;1.418;1;18.5;1;6;12.31;0.94
181091058_025;CAST#1;47.41667;-59.58667;106097;254;27-nov-91;10:01:00;34.46;5.19;185;4;17.78;1;1.458;1;18.81;1;6;12.19;0.95
181091058_025;CAST#1;47.41667;-59.58667;106096;306;27-nov-91;10:01:00;34.67;5.38;166;4;19.53;1;1.483;1;20.22;1;6;13.17;0.97
181091058_025;CAST#1;47.41667;-59.58667;106095;352;27-nov-91;10:01:00;34.79;5.15;158;4;22.49;1;1.678;1;29;1;6;13.40;0.78
181091058_025;CAST#1;47.41667;-59.58667;106094;467;27-nov-91;10:01:00;NaN;NaN;171;4;21.86;1;1.663;1;31.93;1;6;13.14;0.68
181091058_036;CAST#1;47.49667;-59.47167;106113;3;27-nov-91;11:38:00;31.41;5.41;321;4;1.18;1;0.439;1;1.61;1;6;2.69;0.73
181091058_036;CAST#1;47.49667;-59.47167;106112;53;27-nov-91;11:38:00;32.12;3.29;325;4;3.51;1;0.635;1;3.05;1;6;5.53;1.15
181091058_036;CAST#1;47.49667;-59.47167;106111;78;27-nov-91;11:38:00;32.42;1.56;327;4;5.48;1;0.796;1;4.2;1;6;6.88;1.30
181091058_036;CAST#1;47.49667;-59.47167;106110;103;27-nov-91;11:38:00;32.76;0.66;316;4;8.32;1;0.984;1;7.11;1;6;8.46;1.17
181091058_036;CAST#1;47.49667;-59.47167;106109;153;27-nov-91;11:38:00;33.39;1.92;265;4;13.07;1;1.23;1;13.02;1;6;10.63;1.00
181091058_036;CAST#1;47.49667;-59.47167;106108;204;27-nov-91;11:38:00;34.26;4.66;192;4;17.52;1;1.41;1;18.13;1;6;12.43;0.97
181091058_036;CAST#1;47.49667;-59.47167;106107;252;27-nov-91;11:38:00;34.61;5.45;163;4;21.01;1;1.512;1;22.28;1;6;13.90;0.94
181091058_036;CAST#1;47.49667;-59.47167;106106;299;27-nov-91;11:38:00;34.73;5.41;170;4;21.55;1;1.572;1;23.25;1;6;13.71;0.93
181091058_036;CAST#1;47.49667;-59.47167;106105;348;27-nov-91;11:38:00;34.8;5.14;193;4;21.25;1;1.505;1;21.25;1;6;14.12;1.00
181091058_036;CAST#1;47.49667;-59.47167;106104;446;27-nov-91;11:38:00;NaN;NaN;217;4;19.97;1;1.416;1;20.81;1;6;14.10;0.96
181091058_047;CAST#1;47.57833;-59.34;106121;2;27-nov-91;13:31:00;31.63;4.66;322;4;1.55;1;0.409;1;1.85;1;6;3.79;0.84
181091058_047;CAST#1;47.57833;-59.34;106120;27;27-nov-91;13:31:00;32.37;1.78;327;4;4.33;1;0.675;1;3.68;1;6;6.41;1.18
181091058_047;CAST#1;47.57833;-59.34;106119;53;27-nov-91;13:31:00;32.62;0.49;327;4;6.67;1;0.883;1;5.55;1;6;7.55;1.20
181091058_047;CAST#1;47.57833;-59.34;106118;77;27-nov-91;13:31:00;32.74;0.48;321;4;5.95;1;0.788;1;5.53;1;6;7.55;1.08
181091058_047;CAST#1;47.57833;-59.34;106117;101;27-nov-91;13:31:00;32.9;0.63;311;4;7.5;1;0.909;1;6.82;1;6;8.25;1.10
181091058_047;CAST#1;47.57833;-59.34;106116;151;27-nov-91;13:31:00;33.54;2.32;253;4;13.79;1;1.232;1;14.08;1;6;11.19;0.98
181091058_047;CAST#1;47.57833;-59.34;106115;202;27-nov-91;13:31:00;34.16;4.27;202;4;18.02;1;1.369;1;18.78;1;6;13.16;0.96
181091058_047;CAST#1;47.57833;-59.34;106114;253;27-nov-91;13:31:00;NaN;NaN;173;4;20.79;1;1.497;1;22.01;1;6;13.89;0.94
181091058_058;CAST#1;47.99833;-59.50167;106128;1;27-nov-91;17:24:00;31.44;5.78;319;4;1.13;1;0.409;1;1.5;1;6;2.76;0.75
181091058_058;CAST#1;47.99833;-59.50167;106127;28;27-nov-91;17:24:00;31.44;5.79;319;4;1.14;1;0.423;1;1.58;1;6;2.70;0.72
181091058_058;CAST#1;47.99833;-59.50167;106126;53;27-nov-91;17:24:00;32.31;1.77;326;4;5.47;1;0.791;1;4.64;1;6;6.92;1.18
181091058_058;CAST#1;47.99833;-59.50167;106125;77;27-nov-91;17:24:00;32.51;1.14;302;4;6.66;1;0.848;1;5.65;1;6;7.85;1.18
181091058_058;CAST#1;47.99833;-59.50167;106124;103;27-nov-91;17:24:00;32.68;0.79;318;4;7.9;1;0.945;1;7.23;1;6;8.36;1.09
181091058_058;CAST#1;47.99833;-59.50167;106123;152;27-nov-91;17:24:00;33.57;2.46;248;4;13.26;1;1.177;1;14.36;1;6;11.27;0.92
181091058_058;CAST#1;47.99833;-59.50167;106122;167;27-nov-91;17:24:00;NaN;NaN;216;4;14.52;1;1.227;1;15.7;1;6;11.83;0.92
181091058_138;CAST#1;47.96667;-60.33167;106182;3;28-nov-91;06:35:00;31.28;5.5;324;4;1.03;1;0.409;1;1.64;1;6;2.52;0.63
181091058_138;CAST#1;47.96667;-60.33167;106181;53;28-nov-91;06:35:00;32.02;2.79;319;4;4.46;1;0.659;1;4.7;1;6;6.77;0.95
181091058_138;CAST#1;47.96667;-60.33167;106180;153;28-nov-91;06:35:00;32.93;0.27;293;4;9.53;1;1.065;1;11.03;1;6;8.95;0.86
181091058_138;CAST#1;47.96667;-60.33167;106179;204;28-nov-91;06:35:00;33.6;2.44;197;4;15.17;1;1.438;1;18.03;1;6;10.55;0.84
181091058_138;CAST#1;47.96667;-60.33167;106178;253;28-nov-91;06:35:00;34.25;4.46;125;4;19.05;1;1.717;1;26.72;1;6;11.09;0.71
181091058_138;CAST#1;47.96667;-60.33167;106177;297;28-nov-91;06:35:00;34.58;5.31;151;4;18.74;1;1.489;1;22.41;1;6;12.59;0.84
181091058_138;CAST#1;47.96667;-60.33167;106176;350;28-nov-91;06:35:00;34.73;5.36;169;4;19.8;1;1.426;1;22.25;1;6;13.88;0.89
181091058_138;CAST#1;47.96667;-60.33167;106175;484;28-nov-91;06:35:00;NaN;NaN;172;4;18.67;1;1.48;1;26.64;1;6;12.61;0.70
181091058_149;CAST#1;47.85833;-60.45833;106190;2;28-nov-91;08:17:00;30.81;4.28;332;4;1.64;1;0.416;1;1.8;1;6;3.94;0.91
181091058_149;CAST#1;47.85833;-60.45833;106189;55;28-nov-91;08:17:00;32.13;0.25;340;4;5.33;1;0.772;1;4.82;1;6;6.90;1.11
181091058_149;CAST#1;47.85833;-60.45833;106188;154;28-nov-91;08:17:00;33.01;0.48;277;4;4.54;1;0.729;1;3.95;1;6;6.23;1.15
181091058_149;CAST#1;47.85833;-60.45833;106187;204;28-nov-91;08:17:00;33.82;3.18;196;4;8.62;1;1.034;1;9.63;1;6;8.34;0.90
181091058_149;CAST#1;47.85833;-60.45833;106186;256;28-nov-91;08:17:00;34.43;5.06;166;4;13.31;1;1.32;1;16.18;1;6;10.08;0.82
181091058_149;CAST#1;47.85833;-60.45833;106185;306;28-nov-91;08:17:00;34.66;5.37;160;4;17.38;1;1.493;1;19.91;1;6;11.64;0.87
181091058_149;CAST#1;47.85833;-60.45833;106184;357;28-nov-91;08:17:00;34.78;5.17;149;4;20.33;1;1.577;1;23.68;1;6;12.89;0.86
181091058_149;CAST#1;47.85833;-60.45833;106183;427;28-nov-91;08:17:00;NaN;NaN;164;4;17.83;1;1.51;1;26.6;1;6;11.81;0.67
181091058_160;CAST#1;47.76667;-60.56667;106198;2;28-nov-91;09:41:00;30.67;4.18;332;4;1.63;1;0.39;1;2.34;1;6;4.18;0.70
181091058_160;CAST#1;47.76667;-60.56667;106197;54;28-nov-91;09:41:00;32.02;0.77;303;4;7.42;1;0.889;1;8.44;1;6;8.35;0.88
181091058_160;CAST#1;47.76667;-60.56667;106196;79;28-nov-91;09:41:00;32.29;0.13;303;4;9.45;1;1.044;1;10.92;1;6;9.05;0.87
181091058_160;CAST#1;47.76667;-60.56667;106195;103;28-nov-91;09:41:00;32.43;-0.02;300;4;8.01;1;0.883;1;8.77;1;6;9.07;0.91
181091058_160;CAST#1;47.76667;-60.56667;106194;153;28-nov-91;09:41:00;33.02;0.56;249;4;10.28;1;0.975;1;11.56;1;6;10.54;0.89
181091058_160;CAST#1;47.76667;-60.56667;106193;204;28-nov-91;09:41:00;33.52;2.16;210;4;10.11;1;0.985;1;11.78;1;6;10.26;0.86
181091058_160;CAST#1;47.76667;-60.56667;106192;254;28-nov-91;09:41:00;34.25;4.34;131;4;19.81;1;1.617;1;28.04;1;6;12.25;0.71
181091058_160;CAST#1;47.76667;-60.56667;106191;266;28-nov-91;09:41:00;NaN;NaN;123;4;20.11;1;1.629;1;30.2;1;6;12.34;0.67
181091058_171;CAST#1;47.66667;-60.69;106201;2;28-nov-91;11:01:00;30.64;4.21;332;4;1.74;1;0.422;1;2.18;1;6;4.12;0.80
181091058_171;CAST#1;47.66667;-60.69;106200;28;28-nov-91;11:01:00;30.65;4.25;332;4;1.65;1;0.372;1;1.95;1;6;4.44;0.85
181091058_171;CAST#1;47.66667;-60.69;106199;59;28-nov-91;11:01:00;NaN;NaN;296;4;8.04;1;0.893;1;9.91;1;6;9.00;0.81
181091058_305;CAST#1;47.825;-62.81667;106477;4;03-dec-91;16:40:00;30.64;3.23;339;4;2.2;1;0.462;1;2.86;1;6;4.76;0.77
181091058_305;CAST#1;47.825;-62.81667;106476;30;03-dec-91;16:40:00;30.64;3.24;339;4;2.8;1;0.678;1;3.66;1;6;4.13;0.77
181091058_305;CAST#1;47.825;-62.81667;106475;55;03-dec-91;16:40:00;32.03;0.28;242;4;13.33;1;1.502;1;22.21;1;6;8.87;0.60
181091058_305;CAST#1;47.825;-62.81667;106474;70;03-dec-91;16:40:00;NaN;NaN;244;4;10.98;1;1.29;1;18.37;1;6;8.51;0.60
181091058_306;CAST#1;47.15667;-63.155;106480;5;03-dec-91;20:20:00;30.26;4.54;332;4;2.23;1;0.479;1;2.88;1;6;4.66;0.77
181091058_306;CAST#1;47.15667;-63.155;106479;30;03-dec-91;20:20:00;30.26;4.57;330;4;2.71;1;0.502;1;3.43;1;6;5.40;0.79
181091058_306;CAST#1;47.15667;-63.155;106478;64;03-dec-91;20:20:00;NaN;NaN;236;4;10.23;1;1.263;1;17.94;1;6;8.10;0.57
181091058_307;CAST#1;46.77667;-62.05;106483;6;04-dec-91;01:14:00;30.11;5.2;331;4;3.33;1;0.594;1;5.24;1;6;5.61;0.64
181091058_307;CAST#1;46.77667;-62.05;106482;31;04-dec-91;01:14:00;30.16;5.14;326;4;3.56;1;0.596;1;5.42;1;6;5.97;0.66
181091058_307;CAST#1;46.77667;-62.05;106481;67;04-dec-91;01:14:00;NaN;NaN;228;4;13.81;1;1.512;1;21.69;1;6;9.13;0.64
181091058_308;CAST#1;46.3333;-61.99667;106486;3;04-dec-91;05:40:00;29.46;5.78;328;4;2.51;1;0.555;1;5.81;1;6;4.52;0.43
181091058_308;CAST#1;46.3333;-61.99667;106485;30;04-dec-91;05:40:00;29.47;5.76;323;4;2.47;1;0.582;1;5.78;1;6;4.24;0.43
181091058_308;CAST#1;46.3333;-61.99667;106484;36;04-dec-91;05:40:00;NaN;NaN;323;4;2.54;1;0.592;1;5.87;1;6;4.29;0.43
181091058_309;CAST#1;46.235;-62;106489;6;04-dec-91;06:46:00;29.52;6.33;319;4;2.78;1;0.65;1;7.01;1;6;4.28;0.40
181091058_309;CAST#1;46.235;-62;106488;31;04-dec-91;06:46:00;29.53;6.33;320;4;2.58;1;0.617;1;6.41;1;6;4.18;0.40
181091058_309;CAST#1;46.235;-62;106487;42;04-dec-91;06:46:00;NaN;NaN;320;4;2.78;1;0.642;1;7.05;1;6;4.33;0.39
181091058_310;CAST#1;46.135;-62.00167;106492;6;04-dec-91;08:08:00;29.51;6.33;318;4;1.77;1;0.452;1;4.41;1;6;3.92;0.40
181091058_310;CAST#1;46.135;-62.00167;106491;31;04-dec-91;08:08:00;29.51;6.33;324;4;2.52;1;0.6;1;6.48;1;6;4.20;0.39
181091058_310;CAST#1;46.135;-62.00167;106490;40;04-dec-91;08:08:00;NaN;NaN;317;4;2.49;1;0.601;1;6.26;1;6;4.14;0.40
181091058_311;CAST#1;46.03333;-62;106495;6;04-dec-91;09:21:00;29.25;6.36;318;4;2.26;1;0.606;1;6.55;1;6;3.73;0.35
181091058_311;CAST#1;46.03333;-62;106494;31;04-dec-91;09:21:00;29.27;6.36;318;4;2.2;1;0.582;1;6.12;1;6;3.78;0.36
181091058_311;CAST#1;46.03333;-62;106493;41;04-dec-91;09:21:00;NaN;NaN;320;4;2.41;1;0.663;1;6.5;1;6;3.63;0.37
181091058_312;CAST#1;45.935;-62.00333;106498;5;04-dec-91;10:29:00;29.11;6.37;317;4;1.97;1;0.586;1;5.96;1;6;3.36;0.33
181091058_312;CAST#1;45.935;-62.00333;106497;29;04-dec-91;10:29:00;29.11;6.37;NaN;9;2.3;1;0.674;1;7.03;1;0;3.41;0.33
181091058_312;CAST#1;45.935;-62.00333;106496;37;04-dec-91;10:29:00;NaN;NaN;313;4;2.21;1;0.629;1;6.81;1;6;3.51;0.32
